Year,Type of hate crime,Age,Sex,Disability status,Ethnicity,Household income,Urban or rural,GeoCode,Observation status,Unit multiplier,Unit measure,Value
2015/16 to 2017/18,,35 to 44,Male,,,,,,Normal Value,Units,Percentage (%),0.2516870324082444
2015/16 to 2017/18,,45 to 54,Male,,,,,,Normal Value,Units,Percentage (%),0.2026512327056276
2015/16 to 2017/18,,55 to 64,Male,,,,,,Normal Value,Units,Percentage (%),0.1447467089205927
2015/16 to 2017/18,,65 to 74,Male,,,,,,Normal Value,Units,Percentage (%),0.0420899139671135
2015/16 to 2017/18,,75 and over,Male,,,,,,Normal Value,Units,Percentage (%),0.0269207796989903
2015/16 to 2017/18,,16 to 24,Female,,,,,,Normal Value,Units,Percentage (%),0.1473472999371242
2015/16 to 2017/18,,25 to 34,Female,,,,,,Normal Value,Units,Percentage (%),0.1476731923158283
2015/16 to 2017/18,,35 to 44,Female,,,,,,Normal Value,Units,Percentage (%),0.1575412523735407
2015/16 to 2017/18,,45 to 54,Female,,,,,,Normal Value,Units,Percentage (%),0.0802781843206518
2015/16 to 2017/18,,55 to 64,Female,,,,,,Normal Value,Units,Percentage (%),0.068238682190403
2015/16 to 2017/18,,65 to 74,Female,,,,,,Normal Value,Units,Percentage (%),0.0436882324652642
2015/16 to 2017/18,,75 and over,Female,,,,,,Normal Value,Units,Percentage (%),0.0308180896535813
2017/18 to 2019/20,Race,,,,,,,,Normal Value,Units,Percentage (%),0.0903287621948796
2017/18 to 2019/20,Religion,,,,,,,,Normal Value,Units,Percentage (%),0.045788277354422
2017/18 to 2019/20,Sexual orientation,,,,,,,,Normal Value,Units,Percentage (%),0.034210925532861
2017/18 to 2019/20,Disability,,,,,,,,Normal Value,Units,Percentage (%),0.0299440266464203
2017/18 to 2019/20,Gender Identity,,,,,,,,Normal Value,Units,Percentage (%),0.0065715078655506
2017/18 to 2019/20,,16 to 24,,,,,,,Normal Value,Units,Percentage (%),0.386433120512112
2017/18 to 2019/20,,25 to 34,,,,,,,Normal Value,Units,Percentage (%),0.219743084957563
2017/18 to 2019/20,,35 to 44,,,,,,,Normal Value,Units,Percentage (%),0.187578444698652
2017/18 to 2019/20,,45 to 54,,,,,,,Normal Value,Units,Percentage (%),0.1484999598889328
2017/18 to 2019/20,,55 to 64,,,,,,,Normal Value,Units,Percentage (%),0.1203161358098332
2017/18 to 2019/20,,65 to 74,,,,,,,Normal Value,Units,Percentage (%),0.0613147453789416
2017/18 to 2019/20,,75 and over,,,,,,,Normal Value,Units,Percentage (%),0.0412475138309785
2017/18 to 2019/20,,,Male,,,,,,Normal Value,Units,Percentage (%),0.2013305811426395
2017/18 to 2019/20,,,Female,,,,,,Normal Value,Units,Percentage (%),0.1430690517885708
2017/18 to 2019/20,,,,Long-standing illness or disability,,,,,Normal Value,Units,Percentage (%),0.3101927565650289
2017/18 to 2019/20,,,,No long-standing illness or disability,,,,,Normal Value,Units,Percentage (%),0.1417203198894336
2017/18 to 2019/20,,,,,White,,,,Normal Value,Units,Percentage (%),0.1252577356381143
2017/18 to 2019/20,,,,,Mixed/multiple ethnic groups,,,,Normal Value,Units,Percentage (%),
2017/18 to 2019/20,,,,,Asian/Asian British,,,,Normal Value,Units,Percentage (%),0.4381652546094144
2017/18 to 2019/20,,,,,Black/African/Caribbean/Black British,,,,Normal Value,Units,Percentage (%),0.4682298922004524
2017/18 to 2019/20,,,,,Other ethnic group,,,,Normal Value,Units,Percentage (%),1.077809110648997
2017/18 to 2019/20,,,,,,,Urban,,Normal Value,Units,Percentage (%),0.0581542968092748
2017/18 to 2019/20,,,,,,,Rural,,Normal Value,Units,Percentage (%),0.1982910002657149
2017/18 to 2019/20,,,,,,,,,Normal Value,Units,Percentage (%),0.171625609741123
2017/18 to 2019/20,,16 to 24,Male,,,,,,Normal Value,Units,Percentage (%),0.4241092641416645
2017/18 to 2019/20,,25 to 34,Male,,,,,,Normal Value,Units,Percentage (%),0.2839331140374518
2017/18 to 2019/20,,35 to 44,Male,,,,,,Normal Value,Units,Percentage (%),0.137416566671621
2017/18 to 2019/20,,45 to 54,Male,,,,,,Normal Value,Units,Percentage (%),0.1749924978715356
2017/18 to 2019/20,,55 to 64,Male,,,,,,Normal Value,Units,Percentage (%),0.1752334577890353
2017/18 to 2019/20,,65 to 74,Male,,,,,,Normal Value,Units,Percentage (%),0.0986900429451396
2017/18 to 2019/20,,75 and over,Male,,,,,,Normal Value,Units,Percentage (%),0.0538948425760811
2017/18 to 2019/20,,16 to 24,Female,,,,,,Normal Value,Units,Percentage (%),0.3468472124485647
2017/18 to 2019/20,,25 to 34,Female,,,,,,Normal Value,Units,Percentage (%),0.1549738426846016
2017/18 to 2019/20,,35 to 44,Female,,,,,,Normal Value,Units,Percentage (%),0.2368353891199273
2017/18 to 2019/20,,45 to 54,Female,,,,,,Normal Value,Units,Percentage (%),0.1228197727949518
2017/18 to 2019/20,,55 to 64,Female,,,,,,Normal Value,Units,Percentage (%),0.0673021732982764
2017/18 to 2019/20,,65 to 74,Female,,,,,,Normal Value,Units,Percentage (%),0.0265623293311672
2017/18 to 2019/20,,75 and over,Female,,,,,,Normal Value,Units,Percentage (%),0.0313584815081037
