Year,Education category,Age,Sex,Region,Household income,Deprivation quantile,Employment status,Highest qualification,Disability status,Country of birth,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016,Non-formal learning,19 to 24,,,,,,,,,Undefined,Units,Percentage (%),,64.9
2016,Non-formal learning,25 to 34,,,,,,,,,Undefined,Units,Percentage (%),,54.5
2016,Non-formal learning,35 to 44,,,,,,,,,Undefined,Units,Percentage (%),,51.6
2016,Non-formal learning,45 to 54,,,,,,,,,Undefined,Units,Percentage (%),,46.1
2016,Non-formal learning,55 to 64,,,,,,,,,Undefined,Units,Percentage (%),,36.7
2016,Non-formal learning,65 and over,,,,,,,,,Undefined,Units,Percentage (%),,21.8
2016,Non-formal learning,,Male,,,,,,,,Undefined,Units,Percentage (%),,41.1
2016,Non-formal learning,,Female,,,,,,,,Undefined,Units,Percentage (%),,43.4
2016,Non-formal learning,,,North East,,,,,,,Undefined,Units,Percentage (%),E12000001,39.8
2016,Non-formal learning,,,North West,,,,,,,Undefined,Units,Percentage (%),E12000002,43.3
2016,Non-formal learning,,,Yorkshire and the Humber,,,,,,,Undefined,Units,Percentage (%),E12000003,40.6
2016,Non-formal learning,,,East Midlands,,,,,,,Undefined,Units,Percentage (%),E12000004,41.1
2016,Non-formal learning,,,West Midlands,,,,,,,Undefined,Units,Percentage (%),E12000005,36.0
2016,Non-formal learning,,,East of England,,,,,,,Undefined,Units,Percentage (%),E12000006,41.4
2016,Non-formal learning,,,London,,,,,,,Undefined,Units,Percentage (%),E12000007,44.2
2016,Non-formal learning,,,South East,,,,,,,Undefined,Units,Percentage (%),E12000008,46.5
2016,Non-formal learning,,,South West,,,,,,,Undefined,Units,Percentage (%),E12000009,42.3
2016,Non-formal learning,,,,"Less than £14,999",,,,,,Undefined,Units,Percentage (%),,24.3
2016,Non-formal learning,,,,"£15,000 to £29,999",,,,,,Undefined,Units,Percentage (%),,39.7
2016,Non-formal learning,,,,"£30,000 to £44,999",,,,,,Undefined,Units,Percentage (%),,48.9
2016,Non-formal learning,,,,"£45,000 or more",,,,,,Undefined,Units,Percentage (%),,58.1
2016,Non-formal learning,,,,,Quintile 1 (most deprived),,,,,Undefined,Units,Percentage (%),,33.7
2016,Non-formal learning,,,,,Quintile 2,,,,,Undefined,Units,Percentage (%),,41.8
2016,Non-formal learning,,,,,Quintile 3,,,,,Undefined,Units,Percentage (%),,44.1
2016,Non-formal learning,,,,,Quintile 4,,,,,Undefined,Units,Percentage (%),,43.6
2016,Non-formal learning,,,,,Quintile 5 (least deprived),,,,,Undefined,Units,Percentage (%),,46.5
2016,Non-formal learning,,,,,,Full-time,,,,Undefined,Units,Percentage (%),,57.4
2016,Non-formal learning,,,,,,Part-time,,,,Undefined,Units,Percentage (%),,50.9
2016,Non-formal learning,,,,,,Unemployed,,,,Undefined,Units,Percentage (%),,23.6
2016,Non-formal learning,,,,,,Mature student,,,,Undefined,Units,Percentage (%),,40.8
2016,Non-formal learning,,,,,,Retired,,,,Undefined,Units,Percentage (%),,20.5
2016,Non-formal learning,,,,,,Permanently disabled,,,,Undefined,Units,Percentage (%),,10.1
2016,Non-formal learning,,,,,,Fulfilling domestic tasks,,,,Undefined,Units,Percentage (%),,19.3
2016,Non-formal learning,,,,,,Other inactive,,,,Undefined,Units,Percentage (%),,26.8
2016,Non-formal learning,,,,,,,Degree or equivalent,,,Undefined,Units,Percentage (%),,63.0
2016,Non-formal learning,,,,,,,Higher Education,,,Undefined,Units,Percentage (%),,51.1
2016,Non-formal learning,,,,,,,A level or equivalent,,,Undefined,Units,Percentage (%),,47.8
2016,Non-formal learning,,,,,,,GCSE or equivalent,,,Undefined,Units,Percentage (%),,32.8
2016,Non-formal learning,,,,,,,Other qualification,,,Undefined,Units,Percentage (%),,28.8
2016,Non-formal learning,,,,,,,No qualification,,,Undefined,Units,Percentage (%),,13.2
2016,Non-formal learning,,,,,,,,Disability and/or work-limiting disabled,,Undefined,Units,Percentage (%),,30.9
2016,Non-formal learning,,,,,,,,No disability,,Undefined,Units,Percentage (%),,47.6
2016,Non-formal learning,,,,,,,,,Born in UK,Undefined,Units,Percentage (%),,42.0
2016,Non-formal learning,,,,,,,,,Not born in UK,Undefined,Units,Percentage (%),,44.1
