Year,Sex,Age,Country,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
1985,Male,,,,Undefined,Units,"Rate per 100,000 population",,20.1
1986,Male,,,,Undefined,Units,"Rate per 100,000 population",,20.4
1987,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.6
1988,Male,,,,Undefined,Units,"Rate per 100,000 population",,21.4
1989,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.0
1990,Male,,,,Undefined,Units,"Rate per 100,000 population",,20.2
1991,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.7
1992,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.9
1993,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.2
1994,Male,,,,Undefined,Units,"Rate per 100,000 population",,18.8
1995,Male,,,,Undefined,Units,"Rate per 100,000 population",,18.9
1996,Male,,,,Undefined,Units,"Rate per 100,000 population",,18.1
1997,Male,,,,Undefined,Units,"Rate per 100,000 population",,17.6
1998,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.3
1999,Male,,,,Undefined,Units,"Rate per 100,000 population",,19.3
2000,Male,,,,Undefined,Units,"Rate per 100,000 population",,18.4
2001,Male,,,,Undefined,Units,"Rate per 100,000 population",,17.9
2002,Male,,,,Undefined,Units,"Rate per 100,000 population",,17.1
2003,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.9
2004,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.9
2005,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.4
2006,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.2
2007,Male,,,,Undefined,Units,"Rate per 100,000 population",,15.6
2008,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.3
2009,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.1
2010,Male,,,,Undefined,Units,"Rate per 100,000 population",,15.8
2011,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.8
2012,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.8
2013,Male,,,,Undefined,Units,"Rate per 100,000 population",,17.8
2014,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.8
2015,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.6
2016,Male,,,,Undefined,Units,"Rate per 100,000 population",,16.0
2017,Male,,,,Undefined,Units,"Rate per 100,000 population",,15.5
1981,Female,,,,Undefined,Units,"Rate per 100,000 population",,10.6
1982,Female,,,,Undefined,Units,"Rate per 100,000 population",,10.2
1983,Female,,,,Undefined,Units,"Rate per 100,000 population",,9.6
1984,Female,,,,Undefined,Units,"Rate per 100,000 population",,9.5
1985,Female,,,,Undefined,Units,"Rate per 100,000 population",,9.8
1986,Female,,,,Undefined,Units,"Rate per 100,000 population",,8.9
1987,Female,,,,Undefined,Units,"Rate per 100,000 population",,8.2
1988,Female,,,,Undefined,Units,"Rate per 100,000 population",,8.3
1989,Female,,,,Undefined,Units,"Rate per 100,000 population",,7.2
1990,Female,,,,Undefined,Units,"Rate per 100,000 population",,6.9
1991,Female,,,,Undefined,Units,"Rate per 100,000 population",,6.6
1992,Female,,,,Undefined,Units,"Rate per 100,000 population",,6.6
1993,Female,,,,Undefined,Units,"Rate per 100,000 population",,6.4
1994,Female,,,,Undefined,Units,"Rate per 100,000 population",,6.1
1995,Female,,,,Undefined,Units,"Rate per 100,000 population",,6.0
1996,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.8
1997,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.8
1998,Female,,,,Undefined,Units,"Rate per 100,000 population",,6.0
1999,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.8
2000,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.9
2001,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.5
2002,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.6
2003,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.5
2004,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.8
2005,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.5
2006,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.0
2007,Female,,,,Undefined,Units,"Rate per 100,000 population",,4.7
2008,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.0
2009,Female,,,,Undefined,Units,"Rate per 100,000 population",,4.9
2010,Female,,,,Undefined,Units,"Rate per 100,000 population",,4.9
2011,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.3
2012,Female,,,,Undefined,Units,"Rate per 100,000 population",,4.9
2013,Female,,,,Undefined,Units,"Rate per 100,000 population",,4.8
2014,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.2
2015,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.4
2016,Female,,,,Undefined,Units,"Rate per 100,000 population",,5.0
2017,Female,,,,Undefined,Units,"Rate per 100,000 population",,4.9
1981,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.6
1982,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.0
1983,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.7
1984,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.8
1985,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.4
1986,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.7
1987,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.2
1988,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.0
1989,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.4
1990,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.7
1991,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.4
1992,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,12.4
1993,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.7
1994,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.3
1995,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.4
1996,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.8
1997,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.6
1998,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.6
1999,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.4
2000,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,11.0
2001,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.5
2002,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.2
2003,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.1
2004,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.3
2005,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.9
2006,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.4
2007,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.9
2008,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.4
2009,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.6
2010,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.1
2011,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.7
2012,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.6
2013,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.1
2014,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.3
2015,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.1
2016,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.5
2017,,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.2
1981,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.3
1982,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.7
1983,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.6
1984,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.8
1985,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.6
1986,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.6
1987,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.2
1988,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,20.8
1989,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.5
1990,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.4
1991,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.1
1992,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,19.1
1993,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.0
1994,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.7
1995,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.7
1996,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.9
1997,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.4
1998,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,18.2
1999,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,17.8
2000,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.9
2001,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.5
2002,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.6
2003,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.6
2004,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.6
2005,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.2
2006,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.5
2007,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,13.9
2008,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.7
2009,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.9
2010,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.2
2011,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.1
2012,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.2
2013,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.1
2014,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,16.0
2015,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,15.4
2016,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.7
2017,Male,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,14.0
1981,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.6
1982,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,10.1
1983,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.6
1984,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.5
1985,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,9.8
1986,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.8
1987,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.1
1988,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,8.2
1989,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,7.0
1990,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.8
1991,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.4
1992,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.4
1993,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,6.1
1994,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.7
1995,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.7
1996,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.5
1997,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.5
1998,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.6
1999,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.5
2000,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.6
2001,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.1
2002,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.1
2003,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.1
2004,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.4
2005,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.1
2006,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.6
2007,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.2
2008,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.4
2009,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.5
2010,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.4
2011,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.6
2012,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.3
2013,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.3
2014,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.9
2015,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,5.0
2016,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.5
2017,Female,,England,,Undefined,Units,"Rate per 100,000 population",E92000001,4.6
1981,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.0
1982,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.9
1983,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.9
1984,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.3
1985,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.4
1986,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.9
1987,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.7
1988,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.4
1989,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.0
1990,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.1
1991,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.1
1992,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.0
1993,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.7
1994,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.8
1995,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.0
1996,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.1
1997,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.3
1998,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.7
1999,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.2
2000,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.6
2001,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.4
2002,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.0
2003,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.0
2004,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.9
2005,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.4
2006,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.5
2007,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.2
2008,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.0
2009,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.7
2010,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,10.8
2011,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.6
2012,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,12.5
2013,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,14.7
2014,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.2
2015,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.0
2016,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,11.8
2017,,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,13.2
1981,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,16.0
1982,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.9
1983,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,19.9
1984,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.0
1985,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.5
1986,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,21.3
1987,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.6
1988,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,22.1
1989,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,16.3
1990,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,19.2
1991,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,21.1
1992,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,23.3
1993,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.7
1994,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.1
1995,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,21.5
1996,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.5
1997,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.4
1998,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,19.4
1999,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,22.4
2000,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.6
2001,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,21.0
2002,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.5
2003,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.2
2004,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.9
2005,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.1
2006,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.8
2007,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,18.7
2008,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.1
2009,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.4
2010,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,17.6
2011,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.3
2012,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.1
2013,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,24.5
2014,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,15.3
2015,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,21.0
2016,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.0
2017,Male,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,20.9
1981,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.0
1982,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.8
1983,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.2
1984,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,9.2
1985,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,8.0
1986,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.2
1987,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,7.5
1988,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.1
1989,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.2
1990,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.1
1991,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.7
1992,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.0
1993,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.0
1994,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.8
1995,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.8
1996,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.2
1997,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.8
1998,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.4
1999,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.0
2000,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.2
2001,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.6
2002,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.7
2003,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,6.0
2004,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.5
2005,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.3
2006,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.7
2007,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.3
2008,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.2
2009,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.2
2010,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.5
2011,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.1
2012,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.6
2013,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.5
2014,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,3.4
2015,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.5
2016,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,4.0
2017,Female,,Wales,,Undefined,Units,"Rate per 100,000 population",W92000004,5.8
1981,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,17.5
1982,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,17.7
1983,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,16.1
1984,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,16.3
1985,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,17.9
1986,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,18.1
1987,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,16.2
1988,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,17.7
1989,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,16.5
1990,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,16.8
1991,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,15.9
1992,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,17.5
1993,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,19.9
1994,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,18.5
1995,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,18.5
1996,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,18.7
1997,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,19.0
1998,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,19.3
1999,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,19.1
2000,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,19.2
2001,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,19.4
2002,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,19.6
2003,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,17.4
2004,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,18.2
2005,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,16.5
2006,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,16.4
2007,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,18.0
2008,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,17.9
2009,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,15.6
2010,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,16.4
2011,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,18.6
2012,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,17.3
2013,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,16.6
2014,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,14.5
2015,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,14.0
2016,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,15.0
2017,,,Scotland,,Undefined,Units,"Rate per 100,000 population",S92000003,13.9
