Year,Health product or service,Health product or service category,Health product or service sub-category,Tenure category,Tenure sub-category,Occupation category,Age,Value
2016-17,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,50 to 64,1.6
2016-17,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,65 to 74,2.2
2016-17,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,75 and over,1.5
2016-17,Hospital services,,,,,,29 and under,0.8
2016-17,Hospital services,,,,,,30 to 49,2.8
2016-17,Hospital services,,,,,,50 to 64,4.8
2016-17,Hospital services,,,,,,65 to 74,4.9
2016-17,Hospital services,,,,,,75 and over,3.6
2017-18,,,,,,,,6.9
2017-18,Medical products appliances and equipment,,,,,,,3.8
2017-18,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,,2.1
2017-18,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,,0.3
2017-18,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,,1.6
2017-18,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,,0.2
2017-18,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,,0.1
2017-18,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,,1.7
2017-18,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,,1.7
2017-18,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,,0.0
2017-18,Hospital services,,,,,,,3.1
2017-18,Hospital services,Outpatient services,,,,,,2.9
2017-18,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,,0.9
2017-18,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,,2.0
2017-18,,,,Owner occupied,Owned outright,,,9.3
2017-18,,,,Owner occupied,Owner occupied buying with a mortgage,,,8.6
2017-18,,,,Owner occupied,,,,8.9
2017-18,,,,Social rented,Council,,,1.6
2017-18,,,,Social rented,Registered social landlord,,,1.8
2017-18,,,,Social rented,,,,1.7
2017-18,,,,Private rented,Rent free,,,10.4
2017-18,,,,Private rented,Rent paid unfurnished,,,2.9
2017-18,,,,Private rented,Rent paid furnished,,,6.4
2017-18,,,,Private rented,,,,4.0
2017-18,,,,,,Large employers and higher managerial,,8.9
2017-18,,,,,,Higher professional,,11.0
2017-18,,,,,,Lower managerial and professional,,7.2
2017-18,,,,,,Intermediate occupations,,8.0
2017-18,,,,,,Small employers,,6.6
2017-18,,,,,,Lower supervisory,,7.2
2017-18,,,,,,Semiroutine,,3.9
2017-18,,,,,,Routine,,2.7
2017-18,,,,,,Long term unemployed,,1.6
2017-18,,,,,,Students,,2.5
2017-18,,,,,,Occupation not stated,,6.9
2017-18,,,,,,,29 and under,3.6
2017-18,,,,,,,30 to 49,6.2
2017-18,,,,,,,50 to 64,7.9
2017-18,,,,,,,65 to 74,8.3
2017-18,,,,,,,75 and over,7.3
2017-18,Medical products appliances and equipment,,,,,,29 and under,1.8
2017-18,Medical products appliances and equipment,,,,,,30 to 49,3.5
2017-18,Medical products appliances and equipment,,,,,,50 to 64,4.0
2017-18,Medical products appliances and equipment,,,,,,65 to 74,5.1
2017-18,Medical products appliances and equipment,,,,,,75 and over,4.2
2017-18,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,29 and under,1.4
2017-18,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,30 to 49,2.2
2017-18,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,50 to 64,2.4
2017-18,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,65 to 74,2.1
2017-18,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,75 and over,1.9
2017-18,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,29 and under,0.4
2017-18,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,30 to 49,1.3
2017-18,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,50 to 64,1.7
2017-18,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,65 to 74,3.0
2017-18,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,75 and over,2.3
2017-18,Hospital services,,,,,,29 and under,1.8
2017-18,Hospital services,,,,,,30 to 49,2.7
2017-18,Hospital services,,,,,,50 to 64,3.9
2017-18,Hospital services,,,,,,65 to 74,3.2
2017-18,Hospital services,,,,,,75 and over,3.1
