Year,Country,Region,Sex,Age,Unintentional poisoning category,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,England and Wales,,,30 to 34,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.1313145026034377
2014,England and Wales,,,30 to 34,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.1028467729639488
2015,England and Wales,,,30 to 34,,Undefined,Units,"Rate per 100,000 population",K04000001,1.918162001824556
2015,England and Wales,,,30 to 34,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.790284535036252
2016,England and Wales,,,30 to 34,,Undefined,Units,"Rate per 100,000 population",K04000001,2.2378071930752075
2016,England and Wales,,,30 to 34,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.0762888815821093
2016,England and Wales,,,30 to 34,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.9580812939408063
2016,England and Wales,,,30 to 34,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.1271481359701822
2017,England and Wales,,,30 to 34,,Undefined,Units,"Rate per 100,000 population",K04000001,2.0799080376270584
2017,England and Wales,,,30 to 34,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1268236608309182
2017,England and Wales,,,30 to 34,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.8516254481314056
2013,England and Wales,,,35 to 39,,Undefined,Units,"Rate per 100,000 population",K04000001,3.5058523702530686
2013,England and Wales,,,35 to 39,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1130920119436473
2013,England and Wales,,,35 to 39,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,3.307941349351686
2013,England and Wales,,,35 to 39,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0848190089577355
2014,England and Wales,,,35 to 39,,Undefined,Units,"Rate per 100,000 population",K04000001,2.300946390474531
2014,England and Wales,,,35 to 39,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.0841809655051657
2014,England and Wales,,,35 to 39,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,2.104524137629144
2015,England and Wales,,,35 to 39,,Undefined,Units,"Rate per 100,000 population",K04000001,2.361603836562735
2015,England and Wales,,,35 to 39,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.0823815291824209
2015,England and Wales,,,35 to 39,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.1373025486373683
2015,England and Wales,,,35 to 39,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,2.032077719833051
2015,England and Wales,,,35 to 39,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0823815291824209
2016,England and Wales,,,35 to 39,,Undefined,Units,"Rate per 100,000 population",K04000001,2.438225154284725
2016,England and Wales,,,35 to 39,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1339684150705893
2016,England and Wales,,,35 to 39,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,2.1970820071576647
2017,England and Wales,,,35 to 39,,Undefined,Units,"Rate per 100,000 population",K04000001,3.453934973917557
2017,England and Wales,,,35 to 39,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.3663264366276197
2017,England and Wales,,,35 to 39,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.0784985221344899
2017,England and Wales,,,35 to 39,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,2.852112970886468
2017,England and Wales,,,35 to 39,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.1308308702241499
2013,England and Wales,,,40 to 44,,Undefined,Units,"Rate per 100,000 population",K04000001,2.7540256970626813
2013,England and Wales,,,40 to 44,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.200292777968195
2013,England and Wales,,,40 to 44,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,2.40351333561834
2013,England and Wales,,,40 to 44,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0751097917380731
2014,England and Wales,,,40 to 44,,Undefined,Units,"Rate per 100,000 population",K04000001,1.895511224500251
2014,England and Wales,,,40 to 44,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1280750827365034
2014,England and Wales,,,40 to 44,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.48567095974344
2014,England and Wales,,,40 to 44,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.1536900992838041
2015,England and Wales,,,40 to 44,,Undefined,Units,"Rate per 100,000 population",K04000001,2.744139563279336
2015,England and Wales,,,40 to 44,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1045386500296889
2015,England and Wales,,,40 to 44,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,2.482792938205113
2015,England and Wales,,,40 to 44,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.1568079750445334
2016,England and Wales,,,40 to 44,,Undefined,Units,"Rate per 100,000 population",K04000001,3.013772942346524
2016,England and Wales,,,40 to 44,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1345434349261841
2016,England and Wales,,,40 to 44,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,2.7446860724941557
2017,England and Wales,,,40 to 44,,Undefined,Units,"Rate per 100,000 population",K04000001,3.456212278899188
2017,England and Wales,,,40 to 44,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1382484911559675
2017,England and Wales,,,40 to 44,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,3.069116503662479
2017,England and Wales,,,40 to 44,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0829490946935805
2017,England and Wales,,,40 to 44,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.1382484911559675
2013,England and Wales,,,45 to 49,,Undefined,Units,"Rate per 100,000 population",K04000001,2.364058209867579
2013,England and Wales,,,45 to 49,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1929843436626595
2013,England and Wales,,,45 to 49,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.953966479584428
2013,England and Wales,,,45 to 49,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.1206152147891621
2014,England and Wales,,,45 to 49,,Undefined,Units,"Rate per 100,000 population",K04000001,1.7649152260445398
2014,England and Wales,,,45 to 49,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.169238446333038
2014,England and Wales,,,45 to 49,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.0725307627141591
2014,England and Wales,,,45 to 49,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.3780844915690242
2014,England and Wales,,,45 to 49,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0967076836188788
2015,England and Wales,,,45 to 49,,Undefined,Units,"Rate per 100,000 population",K04000001,2.242010947349541
2015,England and Wales,,,45 to 49,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.2436968421032109
2015,England and Wales,,,45 to 49,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.8277263157740824
2015,England and Wales,,,45 to 49,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0974787368412843
2016,England and Wales,,,45 to 49,,Undefined,Units,"Rate per 100,000 population",K04000001,2.441198247512602
2016,England and Wales,,,45 to 49,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.073235947425378
2016,England and Wales,,,45 to 49,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.073235947425378
2016,England and Wales,,,45 to 49,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,2.123842475335964
2016,England and Wales,,,45 to 49,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.073235947425378
2016,England and Wales,,,45 to 49,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.097647929900504
2017,England and Wales,,,45 to 49,,Undefined,Units,"Rate per 100,000 population",K04000001,2.413472694142329
2017,England and Wales,,,45 to 49,X43 Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system,Undefined,Units,"Rate per 100,000 population",K04000001,0.0738818171676223
2017,England and Wales,,,45 to 49,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,2.167199970250255
2017,England and Wales,,,45 to 49,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0738818171676223
2013,England and Wales,,,50 to 54,,Undefined,Units,"Rate per 100,000 population",K04000001,1.8284372138169251
2013,England and Wales,,,50 to 54,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1828437213816925
2013,England and Wales,,,50 to 54,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.4888703026794965
2013,England and Wales,,,50 to 54,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0783615948778682
2014,England and Wales,,,50 to 54,,Undefined,Units,"Rate per 100,000 population",K04000001,1.0933280039949698
2014,England and Wales,,,50 to 54,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1779836285573206
2014,England and Wales,,,50 to 54,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.8644919101355574
2015,England and Wales,,,50 to 54,,Undefined,Units,"Rate per 100,000 population",K04000001,1.5134009170217164
2015,England and Wales,,,50 to 54,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.2232886598884499
2015,England and Wales,,,50 to 54,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.0420137461460997
2015,England and Wales,,,50 to 54,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0744295532961499
2015,England and Wales,,,50 to 54,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.0992394043948666
2016,England and Wales,,,50 to 54,,Undefined,Units,"Rate per 100,000 population",K04000001,1.831748748549255
2016,England and Wales,,,50 to 54,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1709632165312638
2016,England and Wales,,,50 to 54,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.4409756821920805
2016,England and Wales,,,50 to 54,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0976932665892936
2017,England and Wales,,,50 to 54,,Undefined,Units,"Rate per 100,000 population",K04000001,1.9616176807140289
2017,England and Wales,,,50 to 54,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1453050133862243
2017,England and Wales,,,50 to 54,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.5983551472484678
2017,England and Wales,,,50 to 54,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0968700089241495
2017,England and Wales,,,50 to 54,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.0726525066931121
2013,England and Wales,,,55 to 59,,Undefined,Units,"Rate per 100,000 population",K04000001,1.2407807718927444
2013,England and Wales,,,55 to 59,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.1815776739355235
2013,England and Wales,,,55 to 59,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,0.9381513153335386
2013,England and Wales,,,55 to 59,X49 Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances,Undefined,Units,"Rate per 100,000 population",K04000001,0.0907888369677617
2014,England and Wales,,,55 to 59,,Undefined,Units,"Rate per 100,000 population",K04000001,1.479607312219337
2014,England and Wales,,,55 to 59,"X40 Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics",Undefined,Units,"Rate per 100,000 population",K04000001,0.3255136086882541
2014,England and Wales,,,55 to 59,"X44 Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",Undefined,Units,"Rate per 100,000 population",K04000001,1.0061329723091492
2014,England and Wales,,,55 to 59,X47 Accidental poisoning by and exposure to other gases and vapours,Undefined,Units,"Rate per 100,000 population",K04000001,0.0887764387331602
2015,England and Wales,,,55 to 59,,Undefined,Units,"Rate per 100,000 population",K04000001,0.8919587615814372
