Year,Type of non-partner abuse,Abuse sub-type,Relationship to perpetrator,Age,Observation status,Unit multiplier,Unit measure,Value
2008/09,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0386940622261531
2008/09,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.4344847677164214
2009/10,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0995114838777941
2009/10,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0257586646006817
2009/10,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0343295513931812
2009/10,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.4595620125199489
2010/11,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.1539025796736463
2010/11,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0582750550918206
2010/11,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0860683571329515
2010/11,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.5320464899704966
2011/12,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.084900579676112
2011/12,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0315735884826145
2011/12,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0194953676221905
2011/12,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.7685388231703523
2012/13,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0806142831020495
2012/13,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0525928757809047
2012/13,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.02765640168892
2012/13,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.6856950657341614
2013/14,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0727089480579746
2013/14,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0358106216855411
2013/14,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0392408905892831
2013/14,Stalking,,Family member,16 to 59,Missing data,Units,Percentage (%),0.4860842630154533
2014/15,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0557008277189327
2014/15,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0166988368560799
2014/15,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0387835962382943
2014/15,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.5440069755339062
2015/16,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0362756963484188
2015/16,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0134008233256899
2015/16,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0226693926614473
2015/16,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.4979577507703118
2016/17,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0435895790818983
2016/17,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.019466673492425
2016/17,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0239109566316042
2016/17,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.4519342971360979
2017/18,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.1342386449213812
2017/18,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0872238103228199
2017/18,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0607097539504903
2017/18,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.6290287851948808
2018/19,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.0941867291999993
2018/19,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0616200726497348
2018/19,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0766164504996788
2018/19,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.486345695464032
2019/20,Sexual (including attempts),,Family member,16 to 59,Normal value,Units,Percentage (%),0.068043447338709
2019/20,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Normal value,Units,Percentage (%),0.0152831028745889
2019/20,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Normal value,Units,Percentage (%),0.0627807612287524
2019/20,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.5322360859005457
2020/21,Sexual (including attempts),,Family member,16 to 59,Missing data,Units,Percentage (%),
2020/21,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Missing data,Units,Percentage (%),
2020/21,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Missing data,Units,Percentage (%),
2020/21,Stalking,,Family member,16 to 59,Missing data,Units,Percentage (%),
2021/22,Sexual (including attempts),,Family member,16 to 59,Missing value; suppressed,Units,Percentage (%),
2021/22,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 to 59,Missing value; suppressed,Units,Percentage (%),
2021/22,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 to 59,Missing value; suppressed,Units,Percentage (%),
2021/22,Stalking,,Family member,16 to 59,Normal value,Units,Percentage (%),0.44417148588392
2021/22,Sexual (including attempts),,Family member,16 and over,Missing value; suppressed,Units,Percentage (%),
2021/22,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),Family member,16 and over,Missing value; suppressed,Units,Percentage (%),
2021/22,Sexual (including attempts),Indecent exposure or unwanted sexual touching,Family member,16 and over,Missing value; suppressed,Units,Percentage (%),
2021/22,Stalking,,Family member,16 and over,Normal value,Units,Percentage (%),0.341431069120487
