Year,Series,Type of Neglected Tropical Disease (NTD),Region of travel,Units,Unit multiplier,Observation status,GeoCode,Value
2013,United Kingdom (UK),,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2013,United Kingdom (UK),,Southern Asia,Number,Units,Normal value,K02000001,0.0
2013,United Kingdom (UK),,Southern Africa,Number,Units,Normal value,K02000001,0.0
2013,United Kingdom (UK),,Western Africa,Number,Units,Normal value,K02000001,0.0
2013,United Kingdom (UK),,No travel,Number,Units,Normal value,K02000001,0.0
2013,United Kingdom (UK),,,Number,Units,Normal value,K02000001,0.0
2014,United Kingdom (UK),,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2014,United Kingdom (UK),,Southern Asia,Number,Units,Normal value,K02000001,0.0
2014,United Kingdom (UK),,Southern Africa,Number,Units,Normal value,K02000001,0.0
2014,United Kingdom (UK),,Western Africa,Number,Units,Normal value,K02000001,0.0
2014,United Kingdom (UK),,No travel,Number,Units,Normal value,K02000001,0.0
2014,United Kingdom (UK),,,Number,Units,Normal value,K02000001,0.0
2015,United Kingdom (UK),,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2015,United Kingdom (UK),,Southern Asia,Number,Units,Normal value,K02000001,0.0
2015,United Kingdom (UK),,Southern Africa,Number,Units,Normal value,K02000001,0.0
2015,United Kingdom (UK),,Western Africa,Number,Units,Normal value,K02000001,0.0
2015,United Kingdom (UK),,No travel,Number,Units,Normal value,K02000001,0.0
2015,United Kingdom (UK),,,Number,Units,Normal value,K02000001,0.0
2016,United Kingdom (UK),,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2016,United Kingdom (UK),,Southern Asia,Number,Units,Normal value,K02000001,0.0
2016,United Kingdom (UK),,Southern Africa,Number,Units,Normal value,K02000001,0.0
2016,United Kingdom (UK),,Western Africa,Number,Units,Normal value,K02000001,0.0
2016,United Kingdom (UK),,No travel,Number,Units,Normal value,K02000001,0.0
2016,United Kingdom (UK),,,Number,Units,Normal value,K02000001,0.0
2017,United Kingdom (UK),,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2017,United Kingdom (UK),,Southern Asia,Number,Units,Normal value,K02000001,0.0
2017,United Kingdom (UK),,Southern Africa,Number,Units,Normal value,K02000001,0.0
2017,United Kingdom (UK),,Western Africa,Number,Units,Normal value,K02000001,0.0
2017,United Kingdom (UK),,No travel,Number,Units,Normal value,K02000001,0.0
2017,United Kingdom (UK),,,Number,Units,Normal value,K02000001,0.0
2018,United Kingdom (UK),,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2018,United Kingdom (UK),,Southern Asia,Number,Units,Normal value,K02000001,0.0
2018,United Kingdom (UK),,Southern Africa,Number,Units,Normal value,K02000001,0.0
2018,United Kingdom (UK),,Western Africa,Number,Units,Normal value,K02000001,1.0
2018,United Kingdom (UK),,No travel,Number,Units,Normal value,K02000001,0.0
2018,United Kingdom (UK),,,Number,Units,Normal value,K02000001,1.0
2019,United Kingdom (UK),,South-Eastern Asia,Number,Units,Normal value,K02000001,0.0
2019,United Kingdom (UK),,Southern Asia,Number,Units,Normal value,K02000001,0.0
2019,United Kingdom (UK),,Southern Africa,Number,Units,Normal value,K02000001,0.0
2019,United Kingdom (UK),,Western Africa,Number,Units,Normal value,K02000001,0.0
2019,United Kingdom (UK),,No travel,Number,Units,Normal value,K02000001,0.0
2019,United Kingdom (UK),,,Number,Units,Normal value,K02000001,0.0
2020,United Kingdom (UK),,Southern Asia,Number,Units,Normal value,K02000001,0.0
2020,United Kingdom (UK),,Southern Africa,Number,Units,Normal value,K02000001,0.0
2020,United Kingdom (UK),,Western Africa,Number,Units,Normal value,K02000001,0.0
2020,United Kingdom (UK),,No travel,Number,Units,Normal value,K02000001,0.0
2020,United Kingdom (UK),,,Number,Units,Normal value,K02000001,0.0
2020,United Kingdom (UK),,,Number,Units,Normal value,K02000002,0.0
