Year,Series,Country,Vaccine,Age,Region,Units,Unit multiplier,Observation status,GeoCode,Value
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East,Percentage (%),Units,Normal value,E12000006,94.1
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East,Percentage (%),Units,Normal value,E12000006,94.3
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East,Percentage (%),Units,Normal value,E12000006,93.9
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East,Percentage (%),Units,Normal value,E12000006,94.1
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East,Percentage (%),Units,Normal value,E12000006,92.6
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East,Percentage (%),Units,Normal value,E12000006,91.6
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East,Percentage (%),Units,Normal value,E12000006,91.8
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East,Percentage (%),Units,Normal value,E12000006,92.7
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,East,Percentage (%),Units,Normal value,E12000006,86.9
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,East,Percentage (%),Units,Normal value,E12000006,91.7
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,96.0
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,95.9
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,96.7
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,96.4
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,96.6
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,96.1
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,96.3
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East,Percentage (%),Units,Normal value,E12000006,96.5
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East,Percentage (%),Units,Normal value,E12000006,91.3
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East,Percentage (%),Units,Normal value,E12000006,91.9
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East,Percentage (%),Units,Normal value,E12000006,90.0
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East,Percentage (%),Units,Normal value,E12000006,88.7
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East,Percentage (%),Units,Normal value,E12000006,88.2
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East,Percentage (%),Units,Normal value,E12000006,87.2
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East,Percentage (%),Units,Normal value,E12000006,88.2
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East,Percentage (%),Units,Normal value,E12000006,89.6
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,94.0
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,94.4
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,95.5
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,95.9
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,96.1
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,95.5
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,95.8
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East,Percentage (%),Units,Normal value,E12000006,95.5
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East,Percentage (%),Units,Normal value,E12000006,89.9
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East,Percentage (%),Units,Normal value,E12000006,90.8
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East,Percentage (%),Units,Normal value,E12000006,90.7
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East,Percentage (%),Units,Normal value,E12000006,89.7
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East,Percentage (%),Units,Normal value,E12000006,89.8
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East,Percentage (%),Units,Normal value,E12000006,88.1
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East,Percentage (%),Units,Normal value,E12000006,89.3
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East,Percentage (%),Units,Normal value,E12000006,90.4
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,93.8
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,94.3
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,93.6
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,93.2
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,93.6
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,93.5
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,93.8
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Hib Meningococcal group C (booster),,East,Percentage (%),Units,Normal value,E12000006,92.9
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,East,Percentage (%),Units,Normal value,E12000006,89.4
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.9
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.8
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.2
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.9
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.4
2015/16,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.6
2014/15,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.2
2013/14,Proportion of children vaccinated by 1st birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.5
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.3
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.6
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.0
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.4
2015/16,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.5
2014/15,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.7
2013/14,Proportion of children vaccinated by 1st birthday (%),England,Pneumococcal disease (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.1
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.3
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,91.7
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,91.9
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.2
2016/17,Proportion of children vaccinated by 1st birthday (%),England,Rotavirus (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.7
2020/21,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.9
2019/20,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.7
2018/19,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.9
2017/18,Proportion of children vaccinated by 1st birthday (%),England,Meningococcal group B (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.4
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,97.7
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,97.5
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,97.0
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.7
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.5
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.5
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.7
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.0
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.9
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.3
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.1
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.6
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.1
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.0
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.3
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.4
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.3
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.3
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.0
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.6
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.2
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,91.9
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.3
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Hib Meningococcal group C (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.3
2013/14,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.2
2014/15,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.2
2015/16,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,94.0
2016/17,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.5
2017/18,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,93.2
2018/19,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,91.9
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.3
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Pneumococcal disease (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.2
2019/20,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,90.2
2020/21,Proportion of children vaccinated by 2nd birthday (%),England,Meningococcal group B (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,90.9
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,97.2
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,97.1
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,97.0
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.7
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.8
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.6
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.4
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis Hib (primary),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.6
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.3
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,92.0
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,89.2
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,88.4
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,88.4
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,87.5
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,86.8
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Diphtheria Tetanus Polio Pertussis (booster),,East Midlands,Percentage (%),Units,Normal value,E12000004,87.7
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.6
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.0
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.5
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.4
2017/18,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,96.4
2018/19,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.9
2019/20,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.9
2020/21,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,95.7
2013/14,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,91.1
2014/15,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,91.2
2015/16,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,90.5
2016/17,Proportion of children vaccinated by 5th birthday (%),England,Measles mumps rubella (first and second dose),,East Midlands,Percentage (%),Units,Normal value,E12000004,88.8
