Year,Series,Age at which FGM took place,Country of birth,FGM type,Region,Units,Unit multiplier,Observation status,GeoCode,Value
2020/21,Percentage (%),5 to 9,,,,Percentage (%),Units,Normal value,,0.0539100120167155
2021/22,Percentage (%),5 to 9,,,,Percentage (%),Units,Normal value,,0.0613489781407455
2015/16,Percentage (%),10 to 14,,,,Percentage (%),Units,Normal value,,0.0136513366706301
2016/17,Percentage (%),10 to 14,,,,Percentage (%),Units,Normal value,,0.0180260416214624
2017/18,Percentage (%),10 to 14,,,,Percentage (%),Units,Normal value,,0.0155476262661598
2018/19,Percentage (%),10 to 14,,,,Percentage (%),Units,Normal value,,0.0153475307389115
2019/20,Percentage (%),10 to 14,,,,Percentage (%),Units,Normal value,,0.0159041834119367
2020/21,Percentage (%),10 to 14,,,,Percentage (%),Units,Normal value,,0.0125470139600467
2021/22,Percentage (%),10 to 14,,,,Percentage (%),Units,Normal value,,0.0137926154336967
2015/16,Percentage (%),15 to 17,,,,Percentage (%),Units,Normal value,,0.0021786231319668
2016/17,Percentage (%),15 to 17,,,,Percentage (%),Units,Normal value,,0.0038689295114205
2017/18,Percentage (%),15 to 17,,,,Percentage (%),Units,Normal value,,0.0028231807987568
2018/19,Percentage (%),15 to 17,,,,Percentage (%),Units,Normal value,,0.003403351620676
2019/20,Percentage (%),15 to 17,,,,Percentage (%),Units,Normal value,,0.0050523989913166
2020/21,Percentage (%),15 to 17,,,,Percentage (%),Units,Normal value,,0.002735789488659
2021/22,Percentage (%),15 to 17,,,,Percentage (%),Units,Normal value,,0.0026473740167652
2015/16,Percentage (%),18 and over,,,,Percentage (%),Units,Normal value,,0.0004306217970237
2016/17,Percentage (%),18 and over,,,,Percentage (%),Units,Normal value,,0.0005850405754891
2017/18,Percentage (%),18 and over,,,,Percentage (%),Units,Normal value,,0.0010960565139264
2018/19,Percentage (%),18 and over,,,,Percentage (%),Units,Normal value,,0.0013344603295636
2019/20,Percentage (%),18 and over,,,,Percentage (%),Units,Normal value,,0.0008627740601802
2020/21,Percentage (%),18 and over,,,,Percentage (%),Units,Normal value,,0.0009039776427367
2021/22,Percentage (%),18 and over,,,,Percentage (%),Units,Normal value,,0.000756932103147
2015/16,Individuals,,,,,Individuals,Units,Normal value,,6195.0
2016/17,Individuals,,,,,Individuals,Units,Normal value,,6685.0
2017/18,Individuals,,,,,Individuals,Units,Normal value,,6265.0
2018/19,Individuals,,,,,Individuals,Units,Normal value,,6505.0
2019/20,Individuals,,,,,Individuals,Units,Normal value,,6690.0
2020/21,Individuals,,,,,Individuals,Units,Normal value,,5525.0
2021/22,Individuals,,,,,Individuals,Units,Normal value,,5620.0
2015/16,Individuals,Not Recorded,,,,Individuals,Units,Normal value,,2865.0
2016/17,Individuals,Not Recorded,,,,Individuals,Units,Normal value,,2660.0
2017/18,Individuals,Not Recorded,,,,Individuals,Units,Normal value,,2515.0
2018/19,Individuals,Not Recorded,,,,Individuals,Units,Normal value,,2480.0
2019/20,Individuals,Not Recorded,,,,Individuals,Units,Normal value,,2265.0
2020/21,Individuals,Not Recorded,,,,Individuals,Units,Normal value,,1830.0
2021/22,Individuals,Not Recorded,,,,Individuals,Units,Normal value,,1720.0
2015/16,Individuals,Not Known,,,,Individuals,Units,Normal value,,1280.0
2016/17,Individuals,Not Known,,,,Individuals,Units,Normal value,,1375.0
2017/18,Individuals,Not Known,,,,Individuals,Units,Normal value,,1230.0
2018/19,Individuals,Not Known,,,,Individuals,Units,Normal value,,1290.0
2019/20,Individuals,Not Known,,,,Individuals,Units,Normal value,,1450.0
2020/21,Individuals,Not Known,,,,Individuals,Units,Normal value,,1435.0
2021/22,Individuals,Not Known,,,,Individuals,Units,Normal value,,1350.0
2015/16,Individuals,Under 1,,,,Individuals,Units,Normal value,,325.0
2016/17,Individuals,Under 1,,,,Individuals,Units,Normal value,,470.0
2017/18,Individuals,Under 1,,,,Individuals,Units,Normal value,,420.0
2018/19,Individuals,Under 1,,,,Individuals,Units,Normal value,,415.0
2019/20,Individuals,Under 1,,,,Individuals,Units,Normal value,,495.0
2020/21,Individuals,Under 1,,,,Individuals,Units,Normal value,,340.0
2021/22,Individuals,Under 1,,,,Individuals,Units,Normal value,,475.0
2015/16,Individuals,1 to 4,,,,Individuals,Units,Normal value,,505.0
2016/17,Individuals,1 to 4,,,,Individuals,Units,Normal value,,590.0
2017/18,Individuals,1 to 4,,,,Individuals,Units,Normal value,,555.0
2018/19,Individuals,1 to 4,,,,Individuals,Units,Normal value,,715.0
2019/20,Individuals,1 to 4,,,,Individuals,Units,Normal value,,730.0
2020/21,Individuals,1 to 4,,,,Individuals,Units,Normal value,,555.0
2021/22,Individuals,1 to 4,,,,Individuals,Units,Normal value,,645.0
2015/16,Individuals,5 to 9,,,,Individuals,Units,Normal value,,905.0
2016/17,Individuals,5 to 9,,,,Individuals,Units,Normal value,,1155.0
2017/18,Individuals,5 to 9,,,,Individuals,Units,Normal value,,1030.0
2018/19,Individuals,5 to 9,,,,Individuals,Units,Normal value,,1035.0
2019/20,Individuals,5 to 9,,,,Individuals,Units,Normal value,,1250.0
2020/21,Individuals,5 to 9,,,,Individuals,Units,Normal value,,930.0
2021/22,Individuals,5 to 9,,,,Individuals,Units,Normal value,,1000.0
2015/16,Individuals,10 to 14,,,,Individuals,Units,Normal value,,200.0
2016/17,Individuals,10 to 14,,,,Individuals,Units,Normal value,,270.0
2017/18,Individuals,10 to 14,,,,Individuals,Units,Normal value,,240.0
2018/19,Individuals,10 to 14,,,,Individuals,Units,Normal value,,245.0
2019/20,Individuals,10 to 14,,,,Individuals,Units,Normal value,,260.0
2020/21,Individuals,10 to 14,,,,Individuals,Units,Normal value,,210.0
2021/22,Individuals,10 to 14,,,,Individuals,Units,Normal value,,230.0
2015/16,Individuals,15 to 17,,,,Individuals,Units,Normal value,,20.0
2016/17,Individuals,15 to 17,,,,Individuals,Units,Normal value,,35.0
2017/18,Individuals,15 to 17,,,,Individuals,Units,Normal value,,25.0
2018/19,Individuals,15 to 17,,,,Individuals,Units,Normal value,,30.0
2019/20,Individuals,15 to 17,,,,Individuals,Units,Normal value,,45.0
2020/21,Individuals,15 to 17,,,,Individuals,Units,Normal value,,25.0
2021/22,Individuals,15 to 17,,,,Individuals,Units,Normal value,,25.0
2015/16,Individuals,18 and over,,,,Individuals,Units,Normal value,,95.0
2016/17,Individuals,18 and over,,,,Individuals,Units,Normal value,,130.0
2017/18,Individuals,18 and over,,,,Individuals,Units,Normal value,,245.0
2018/19,Individuals,18 and over,,,,Individuals,Units,Normal value,,300.0
2019/20,Individuals,18 and over,,,,Individuals,Units,Normal value,,195.0
2020/21,Individuals,18 and over,,,,Individuals,Units,Normal value,,205.0
2021/22,Individuals,18 and over,,,,Individuals,Units,Normal value,,175.0
2015/16,Individuals,,Born in UK,,,Individuals,Units,Normal value,,45.0
2016/17,Individuals,,Born in UK,,,Individuals,Units,Normal value,,120.0
2017/18,Individuals,,Born in UK,,,Individuals,Units,Normal value,,145.0
2018/19,Individuals,,Born in UK,,,Individuals,Units,Normal value,,155.0
2019/20,Individuals,,Born in UK,,,Individuals,Units,Normal value,,210.0
2020/21,Individuals,,Born in UK,,,Individuals,Units,Normal value,,215.0
2021/22,Individuals,,Born in UK,,,Individuals,Units,Normal value,,190.0
2015/16,Individuals,,Born in Eastern Africa,,,Individuals,Units,Normal value,,1670.0
2016/17,Individuals,,Born in Eastern Africa,,,Individuals,Units,Normal value,,2015.0
2017/18,Individuals,,Born in Eastern Africa,,,Individuals,Units,Normal value,,1855.0
2018/19,Individuals,,Born in Eastern Africa,,,Individuals,Units,Normal value,,1975.0
2019/20,Individuals,,Born in Eastern Africa,,,Individuals,Units,Normal value,,1955.0
2020/21,Individuals,,Born in Eastern Africa,,,Individuals,Units,Normal value,,1440.0
2021/22,Individuals,,Born in Eastern Africa,,,Individuals,Units,Normal value,,1740.0
2015/16,Individuals,,Born in Northern Africa,,,Individuals,Units,Normal value,,340.0
2016/17,Individuals,,Born in Northern Africa,,,Individuals,Units,Normal value,,440.0
2017/18,Individuals,,Born in Northern Africa,,,Individuals,Units,Normal value,,460.0
2018/19,Individuals,,Born in Northern Africa,,,Individuals,Units,Normal value,,575.0
2019/20,Individuals,,Born in Northern Africa,,,Individuals,Units,Normal value,,605.0
2020/21,Individuals,,Born in Northern Africa,,,Individuals,Units,Normal value,,560.0
2021/22,Individuals,,Born in Northern Africa,,,Individuals,Units,Normal value,,530.0
2015/16,Individuals,,Born in Western Africa,,,Individuals,Units,Normal value,,695.0
2016/17,Individuals,,Born in Western Africa,,,Individuals,Units,Normal value,,695.0
2017/18,Individuals,,Born in Western Africa,,,Individuals,Units,Normal value,,830.0
2018/19,Individuals,,Born in Western Africa,,,Individuals,Units,Normal value,,770.0
2019/20,Individuals,,Born in Western Africa,,,Individuals,Units,Normal value,,815.0
2020/21,Individuals,,Born in Western Africa,,,Individuals,Units,Normal value,,640.0
2021/22,Individuals,,Born in Western Africa,,,Individuals,Units,Normal value,,715.0
2015/16,Individuals,,Born elsewhere in Africa,,,Individuals,Units,Normal value,,15.0
2016/17,Individuals,,Born elsewhere in Africa,,,Individuals,Units,Normal value,,25.0
2017/18,Individuals,,Born elsewhere in Africa,,,Individuals,Units,Normal value,,40.0
2018/19,Individuals,,Born elsewhere in Africa,,,Individuals,Units,Normal value,,20.0
2019/20,Individuals,,Born elsewhere in Africa,,,Individuals,Units,Normal value,,25.0
2020/21,Individuals,,Born elsewhere in Africa,,,Individuals,Units,Normal value,,45.0
2021/22,Individuals,,Born elsewhere in Africa,,,Individuals,Units,Normal value,,30.0
2015/16,Individuals,,Born in Western Asia,,,Individuals,Units,Normal value,,140.0
2016/17,Individuals,,Born in Western Asia,,,Individuals,Units,Normal value,,185.0
2017/18,Individuals,,Born in Western Asia,,,Individuals,Units,Normal value,,245.0
2018/19,Individuals,,Born in Western Asia,,,Individuals,Units,Normal value,,260.0
2019/20,Individuals,,Born in Western Asia,,,Individuals,Units,Normal value,,310.0
2020/21,Individuals,,Born in Western Asia,,,Individuals,Units,Normal value,,300.0
2021/22,Individuals,,Born in Western Asia,,,Individuals,Units,Normal value,,315.0
2015/16,Individuals,,Born elsewhere in Asia,,,Individuals,Units,Normal value,,35.0
2016/17,Individuals,,Born elsewhere in Asia,,,Individuals,Units,Normal value,,60.0
2017/18,Individuals,,Born elsewhere in Asia,,,Individuals,Units,Normal value,,45.0
2018/19,Individuals,,Born elsewhere in Asia,,,Individuals,Units,Normal value,,70.0
2019/20,Individuals,,Born elsewhere in Asia,,,Individuals,Units,Normal value,,65.0
2020/21,Individuals,,Born elsewhere in Asia,,,Individuals,Units,Normal value,,50.0
2021/22,Individuals,,Born elsewhere in Asia,,,Individuals,Units,Normal value,,60.0
2015/16,Individuals,,Other country of birth,,,Individuals,Units,Normal value,,20.0
2016/17,Individuals,,Other country of birth,,,Individuals,Units,Normal value,,25.0
2017/18,Individuals,,Other country of birth,,,Individuals,Units,Normal value,,40.0
2018/19,Individuals,,Other country of birth,,,Individuals,Units,Normal value,,45.0
2019/20,Individuals,,Other country of birth,,,Individuals,Units,Normal value,,50.0
2020/21,Individuals,,Other country of birth,,,Individuals,Units,Normal value,,40.0
2021/22,Individuals,,Other country of birth,,,Individuals,Units,Normal value,,45.0
2015/16,Individuals,,Country of birth not recorded,,,Individuals,Units,Normal value,,2110.0
2016/17,Individuals,,Country of birth not recorded,,,Individuals,Units,Normal value,,1930.0
2017/18,Individuals,,Country of birth not recorded,,,Individuals,Units,Normal value,,1580.0
2018/19,Individuals,,Country of birth not recorded,,,Individuals,Units,Normal value,,1500.0
2019/20,Individuals,,Country of birth not recorded,,,Individuals,Units,Normal value,,1550.0
2020/21,Individuals,,Country of birth not recorded,,,Individuals,Units,Normal value,,1315.0
2021/22,Individuals,,Country of birth not recorded,,,Individuals,Units,Normal value,,1175.0
2015/16,Individuals,,Country of birth not known,,,Individuals,Units,Normal value,,1120.0
2016/17,Individuals,,Country of birth not known,,,Individuals,Units,Normal value,,1190.0
2017/18,Individuals,,Country of birth not known,,,Individuals,Units,Normal value,,1035.0
2018/19,Individuals,,Country of birth not known,,,Individuals,Units,Normal value,,1135.0
2019/20,Individuals,,Country of birth not known,,,Individuals,Units,Normal value,,1100.0
2020/21,Individuals,,Country of birth not known,,,Individuals,Units,Normal value,,925.0
2021/22,Individuals,,Country of birth not known,,,Individuals,Units,Normal value,,825.0
2015/16,Individuals,,,Not recorded,,Individuals,Units,Normal value,,205.0
2016/17,Individuals,,,Not recorded,,Individuals,Units,Normal value,,255.0
2017/18,Individuals,,,Not recorded,,Individuals,Units,Normal value,,160.0
2018/19,Individuals,,,Not recorded,,Individuals,Units,Normal value,,210.0
2019/20,Individuals,,,Not recorded,,Individuals,Units,Normal value,,230.0
2020/21,Individuals,,,Not recorded,,Individuals,Units,Normal value,,165.0
2021/22,Individuals,,,Not recorded,,Individuals,Units,Normal value,,150.0
2015/16,Individuals,,,Not known,,Individuals,Units,Normal value,,2495.0
2016/17,Individuals,,,Not known,,Individuals,Units,Normal value,,2520.0
2017/18,Individuals,,,Not known,,Individuals,Units,Normal value,,2365.0
2018/19,Individuals,,,Not known,,Individuals,Units,Normal value,,2130.0
2019/20,Individuals,,,Not known,,Individuals,Units,Normal value,,2185.0
2020/21,Individuals,,,Not known,,Individuals,Units,Normal value,,1955.0
2021/22,Individuals,,,Not known,,Individuals,Units,Normal value,,2215.0
2015/16,Individuals,,,Type 1,,Individuals,Units,Normal value,,1275.0
2016/17,Individuals,,,Type 1,,Individuals,Units,Normal value,,1435.0
2017/18,Individuals,,,Type 1,,Individuals,Units,Normal value,,1475.0
2018/19,Individuals,,,Type 1,,Individuals,Units,Normal value,,1600.0
2019/20,Individuals,,,Type 1,,Individuals,Units,Normal value,,1710.0
2020/21,Individuals,,,Type 1,,Individuals,Units,Normal value,,1375.0
2021/22,Individuals,,,Type 1,,Individuals,Units,Normal value,,1320.0
2015/16,Individuals,,,Type 2,,Individuals,Units,Normal value,,1090.0
2016/17,Individuals,,,Type 2,,Individuals,Units,Normal value,,1150.0
2017/18,Individuals,,,Type 2,,Individuals,Units,Normal value,,980.0
2018/19,Individuals,,,Type 2,,Individuals,Units,Normal value,,1155.0
2019/20,Individuals,,,Type 2,,Individuals,Units,Normal value,,1135.0
2020/21,Individuals,,,Type 2,,Individuals,Units,Normal value,,930.0
2021/22,Individuals,,,Type 2,,Individuals,Units,Normal value,,885.0
2015/16,Individuals,,,Type 3,,Individuals,Units,Normal value,,750.0
2016/17,Individuals,,,Type 3,,Individuals,Units,Normal value,,825.0
2017/18,Individuals,,,Type 3,,Individuals,Units,Normal value,,745.0
2018/19,Individuals,,,Type 3,,Individuals,Units,Normal value,,880.0
2019/20,Individuals,,,Type 3,,Individuals,Units,Normal value,,890.0
2020/21,Individuals,,,Type 3,,Individuals,Units,Normal value,,635.0
2021/22,Individuals,,,Type 3,,Individuals,Units,Normal value,,605.0
2015/16,Individuals,,,Type 4,,Individuals,Units,Normal value,,145.0
2016/17,Individuals,,,Type 4,,Individuals,Units,Normal value,,290.0
2017/18,Individuals,,,Type 4,,Individuals,Units,Normal value,,355.0
2018/19,Individuals,,,Type 4,,Individuals,Units,Normal value,,335.0
2019/20,Individuals,,,Type 4,,Individuals,Units,Normal value,,375.0
2020/21,Individuals,,,Type 4,,Individuals,Units,Normal value,,345.0
2021/22,Individuals,,,Type 4,,Individuals,Units,Normal value,,335.0
2015/16,Individuals,,,History of type 3,,Individuals,Units,Normal value,,140.0
2016/17,Individuals,,,History of type 3,,Individuals,Units,Normal value,,160.0
2017/18,Individuals,,,History of type 3,,Individuals,Units,Normal value,,135.0
2018/19,Individuals,,,History of type 3,,Individuals,Units,Normal value,,130.0
2019/20,Individuals,,,History of type 3,,Individuals,Units,Normal value,,105.0
2020/21,Individuals,,,History of type 3,,Individuals,Units,Normal value,,70.0
2021/22,Individuals,,,History of type 3,,Individuals,Units,Normal value,,60.0
2015/16,Individuals,,,Type 3 reinfibulation identified,,Individuals,Units,Normal value,,95.0
2016/17,Individuals,,,Type 3 reinfibulation identified,,Individuals,Units,Normal value,,55.0
2017/18,Individuals,,,Type 3 reinfibulation identified,,Individuals,Units,Normal value,,50.0
2018/19,Individuals,,,Type 3 reinfibulation identified,,Individuals,Units,Normal value,,65.0
2019/20,Individuals,,,Type 3 reinfibulation identified,,Individuals,Units,Normal value,,60.0
2020/21,Individuals,,,Type 3 reinfibulation identified,,Individuals,Units,Normal value,,55.0
2021/22,Individuals,,,Type 3 reinfibulation identified,,Individuals,Units,Normal value,,45.0
2015/16,Individuals,,,,East,Individuals,Units,Normal value,E12000006,130.0
2015/16,Individuals,,,,London,Individuals,Units,Normal value,E12000007,3215.0
2015/16,Individuals,,,,Midlands,Individuals,Units,Normal value,,945.0
2015/16,Individuals,,,,North East and Yorkshire,Individuals,Units,Normal value,,595.0
2015/16,Individuals,,,,North West,Individuals,Units,Normal value,E12000002,610.0
2015/16,Individuals,,,,South East,Individuals,Units,Normal value,E12000008,220.0
2015/16,Individuals,,,,South West,Individuals,Units,Normal value,E12000009,415.0
2015/16,Individuals,,,,Unknown,Individuals,Units,Normal value,,60.0
2016/17,Individuals,,,,East,Individuals,Units,Normal value,E12000006,175.0
2016/17,Individuals,,,,London,Individuals,Units,Normal value,E12000007,3190.0
2016/17,Individuals,,,,Midlands,Individuals,Units,Normal value,,1025.0
2016/17,Individuals,,,,North East and Yorkshire,Individuals,Units,Normal value,,725.0
2016/17,Individuals,,,,North West,Individuals,Units,Normal value,E12000002,695.0
2016/17,Individuals,,,,South East,Individuals,Units,Normal value,E12000008,275.0
2016/17,Individuals,,,,South West,Individuals,Units,Normal value,E12000009,545.0
2016/17,Individuals,,,,Unknown,Individuals,Units,Normal value,,55.0
2017/18,Individuals,,,,East,Individuals,Units,Normal value,E12000006,175.0
2017/18,Individuals,,,,London,Individuals,Units,Normal value,E12000007,2775.0
2017/18,Individuals,,,,Midlands,Individuals,Units,Normal value,,1065.0
2017/18,Individuals,,,,North East and Yorkshire,Individuals,Units,Normal value,,750.0
2017/18,Individuals,,,,North West,Individuals,Units,Normal value,E12000002,685.0
2017/18,Individuals,,,,South East,Individuals,Units,Normal value,E12000008,250.0
2017/18,Individuals,,,,South West,Individuals,Units,Normal value,E12000009,505.0
2017/18,Individuals,,,,Unknown,Individuals,Units,Normal value,,65.0
2018/19,Individuals,,,,East,Individuals,Units,Normal value,E12000006,165.0
2018/19,Individuals,,,,London,Individuals,Units,Normal value,E12000007,2865.0
2018/19,Individuals,,,,Midlands,Individuals,Units,Normal value,,1175.0
2018/19,Individuals,,,,North East and Yorkshire,Individuals,Units,Normal value,,680.0
2018/19,Individuals,,,,North West,Individuals,Units,Normal value,E12000002,815.0
2018/19,Individuals,,,,South East,Individuals,Units,Normal value,E12000008,230.0
2018/19,Individuals,,,,South West,Individuals,Units,Normal value,E12000009,495.0
2018/19,Individuals,,,,Unknown,Individuals,Units,Normal value,,80.0
2019/20,Individuals,,,,East,Individuals,Units,Normal value,E12000006,175.0
2019/20,Individuals,,,,London,Individuals,Units,Normal value,E12000007,2825.0
2019/20,Individuals,,,,Midlands,Individuals,Units,Normal value,,1275.0
2019/20,Individuals,,,,North East and Yorkshire,Individuals,Units,Normal value,,720.0
2019/20,Individuals,,,,North West,Individuals,Units,Normal value,E12000002,940.0
2019/20,Individuals,,,,South East,Individuals,Units,Normal value,E12000008,250.0
2019/20,Individuals,,,,South West,Individuals,Units,Normal value,E12000009,435.0
2019/20,Individuals,,,,Unknown,Individuals,Units,Normal value,,65.0
2020/21,Individuals,,,,East,Individuals,Units,Normal value,E12000006,150.0
2020/21,Individuals,,,,London,Individuals,Units,Normal value,E12000007,1950.0
2020/21,Individuals,,,,Midlands,Individuals,Units,Normal value,,1235.0
2020/21,Individuals,,,,North East and Yorkshire,Individuals,Units,Normal value,,640.0
2020/21,Individuals,,,,North West,Individuals,Units,Normal value,E12000002,890.0
2020/21,Individuals,,,,South East,Individuals,Units,Normal value,E12000008,200.0
2020/21,Individuals,,,,South West,Individuals,Units,Normal value,E12000009,405.0
2020/21,Individuals,,,,Unknown,Individuals,Units,Normal value,,55.0
2021/22,Individuals,,,,East,Individuals,Units,Normal value,E12000006,160.0
2021/22,Individuals,,,,London,Individuals,Units,Normal value,E12000007,2080.0
2021/22,Individuals,,,,Midlands,Individuals,Units,Normal value,,1265.0
2021/22,Individuals,,,,North East and Yorkshire,Individuals,Units,Normal value,,665.0
2021/22,Individuals,,,,North West,Individuals,Units,Normal value,E12000002,830.0
2021/22,Individuals,,,,South East,Individuals,Units,Normal value,E12000008,215.0
2021/22,Individuals,,,,South West,Individuals,Units,Normal value,E12000009,355.0
2021/22,Individuals,,,,Unknown,Individuals,Units,Normal value,,50.0
