Year,Series,Age,Sex,Citizenship,Disability status,Ethnicity,Index of multiple deprivation quintile,Household income,Region,Urban or rural,Observation status,Unit multiplier,Units,GeoCode,Value
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,25 to 34,,,,,,,,,Normal value,Units,Percentage (%),,24.68555123903845
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,35 to 49,,,,,,,,,Normal value,Units,Percentage (%),,27.654932895387024
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,50 to 64,,,,,,,,,Normal value,Units,Percentage (%),,26.41958562140737
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,65 to 74,,,,,,,,,Normal value,Units,Percentage (%),,24.53552599240511
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,75 and over,,,,,,,,,Normal value,Units,Percentage (%),,26.28038273506233
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,White,,,,,Normal value,Units,Percentage (%),,24.21854212982676
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Asian,,,,,Normal value,Units,Percentage (%),,39.34464884940749
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Black,,,,,Normal value,Units,Percentage (%),,50.34984303756295
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Mixed,,,,,Normal value,Units,Percentage (%),,31.821631006898965
2013/14,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Other,,,,,Normal value,Units,Percentage (%),,32.194613888953555
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Rural,Normal value,Units,Percentage (%),,31.74766610979064
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Urban,Normal value,Units,Percentage (%),,23.81741944551077
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East of England,,Normal value,Units,Percentage (%),E12000006,27.144164697419367
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,29.54147547962606
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,32.03815860211649
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,15.555603202176496
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,20.50268001825125
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,26.17382100094618
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,25.71096824963126
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,22.318676452952616
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,22.867671414891745
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,22.678664863378643
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Non-disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,26.5131241678536
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,Female,,,,,,,,Normal value,Units,Percentage (%),,23.536612
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,Male,,,,,,,,Normal value,Units,Percentage (%),,27.413253
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,,Normal value,Units,Percentage (%),,25.436388
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,16 to 24,,,,,,,,,Normal value,Units,Percentage (%),,23.19798897859682
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,25 to 34,,,,,,,,,Normal value,Units,Percentage (%),,22.35599568946252
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,35 to 49,,,,,,,,,Normal value,Units,Percentage (%),,27.958841514650597
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,50 to 64,,,,,,,,,Normal value,Units,Percentage (%),,26.43196787552324
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,65 to 74,,,,,,,,,Normal value,Units,Percentage (%),,26.763739328337437
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,75 and over,,,,,,,,,Normal value,Units,Percentage (%),,25.001585008129588
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,White,,,,,Normal value,Units,Percentage (%),,24.19549790173709
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Asian,,,,,Normal value,Units,Percentage (%),,43.91867085569739
2014/15,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Mixed,,,,,Normal value,Units,Percentage (%),,18.20429704774321
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Rural,Normal value,Units,Percentage (%),,28.99466101806953
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Urban,Normal value,Units,Percentage (%),,27.524637125621364
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East of England,,Normal value,Units,Percentage (%),E12000006,24.163798277765537
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,32.435903745234675
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,35.94091064038291
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,23.39878559390612
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,23.705219228071453
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,28.07935643161657
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,26.546498287513405
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,24.58770391718941
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,27.181481826222605
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,22.8164915360862
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Non-disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,30.24908250949801
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,Female,,,,,,,,Normal value,Units,Percentage (%),,26.80685
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,Male,,,,,,,,Normal value,Units,Percentage (%),,28.896533
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,,Normal value,Units,Percentage (%),,27.804348
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,16 to 24,,,,,,,,,Normal value,Units,Percentage (%),,25.475174024502824
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,25 to 34,,,,,,,,,Normal value,Units,Percentage (%),,23.141251407738235
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,35 to 49,,,,,,,,,Normal value,Units,Percentage (%),,32.74616483180837
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,50 to 64,,,,,,,,,Normal value,Units,Percentage (%),,30.32573194497885
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,65 to 74,,,,,,,,,Normal value,Units,Percentage (%),,26.34988710387723
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,75 and over,,,,,,,,,Normal value,Units,Percentage (%),,23.24021606192517
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,White,,,,,Normal value,Units,Percentage (%),,24.94193315277676
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Asian,,,,,Normal value,Units,Percentage (%),,45.31814444166066
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Black,,,,,Normal value,Units,Percentage (%),,59.55775472936361
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Mixed,,,,,Normal value,Units,Percentage (%),,34.37978085263337
2015/16,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Other,,,,,Normal value,Units,Percentage (%),,28.199735692825307
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Rural,Normal value,Units,Percentage (%),,31.92792559495225
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Urban,Normal value,Units,Percentage (%),,25.300163419178023
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East of England,,Normal value,Units,Percentage (%),E12000006,25.29695799917364
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,23.49949020477236
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,32.31039809849673
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,19.400544475947317
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,26.450263123849982
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,25.59520300644596
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,27.40202973861284
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,26.61922505091634
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,25.673966245600766
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,25.891284746575483
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Non-disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,27.138881620367748
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,Female,,,,,,,,Normal value,Units,Percentage (%),,26.29921
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,Male,,,,,,,,Normal value,Units,Percentage (%),,26.76568
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,,Normal value,Units,Percentage (%),,26.5292
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,16 to 24,,,,,,,,,Normal value,Units,Percentage (%),,22.38644
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,25 to 34,,,,,,,,,Normal value,Units,Percentage (%),,25.07945
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,35 to 49,,,,,,,,,Normal value,Units,Percentage (%),,31.63331
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,50 to 64,,,,,,,,,Normal value,Units,Percentage (%),,24.83311
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,65 to 74,,,,,,,,,Normal value,Units,Percentage (%),,25.99084
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,75 and over,,,,,,,,,Normal value,Units,Percentage (%),,27.08717
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,White,,,,,Normal value,Units,Percentage (%),,24.666457498094648
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Asian,,,,,Normal value,Units,Percentage (%),,37.39816385410448
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Black,,,,,Normal value,Units,Percentage (%),,43.99525730368673
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Mixed,,,,,Normal value,Units,Percentage (%),,36.70875979916242
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Other,,,,,Normal value,Units,Percentage (%),,33.5261893267998
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 1 (Most deprived),,,,Normal value,Units,Percentage (%),,26.70615334322539
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 2,,,,Normal value,Units,Percentage (%),,27.507582877502795
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 3,,,,Normal value,Units,Percentage (%),,26.457761685092063
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 4,,,,Normal value,Units,Percentage (%),,25.659339141229783
2016/17,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 5 (least deprived),,,,Normal value,Units,Percentage (%),,26.32008291356615
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Rural,Normal value,Units,Percentage (%),,26.919205712597467
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Urban,Normal value,Units,Percentage (%),,25.83479164626472
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East of England,,Normal value,Units,Percentage (%),E12000006,22.202466425382124
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,21.43457140102824
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,32.64023327617596
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,26.69242402827126
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,24.919193942000884
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,28.054249626403905
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,26.80490646754495
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,23.85584375919316
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,22.838033971862384
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,21.54031059919449
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Non-disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,26.735241775861237
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,Female,,,,,,,,Normal value,Units,Percentage (%),,25.978785081068036
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,Male,,,,,,,,Normal value,Units,Percentage (%),,26.09409577849749
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,,Normal value,Units,Percentage (%),,26.02569441401861
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,16 to 24,,,,,,,,,Normal value,Units,Percentage (%),,24.51291860336044
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,25 to 34,,,,,,,,,Normal value,Units,Percentage (%),,24.64222776972332
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,35 to 49,,,,,,,,,Normal value,Units,Percentage (%),,28.66403641089618
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,50 to 64,,,,,,,,,Normal value,Units,Percentage (%),,25.007571556007115
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,65 to 74,,,,,,,,,Normal value,Units,Percentage (%),,25.24442225036412
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,75 and over,,,,,,,,,Normal value,Units,Percentage (%),,27.220000942869337
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,White,,,,,Normal value,Units,Percentage (%),,24.426500225257257
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Asian,,,,,Normal value,Units,Percentage (%),,34.26512221819934
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Black,,,,,Normal value,Units,Percentage (%),,42.79825768058031
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Mixed,,,,,Normal value,Units,Percentage (%),,34.35674950007037
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Other,,,,,Normal value,Units,Percentage (%),,40.4855548571109
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,United Kingdom,,,,,,,Normal value,Units,Percentage (%),,25.119492793709096
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,Republic of Ireland,,,,,,,Normal value,Units,Percentage (%),,31.664880401649132
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,EU Member State,,,,,,,Normal value,Units,Percentage (%),,32.83096104292639
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,Elsewhere in the world,,,,,,,Normal value,Units,Percentage (%),,34.737634649823015
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 1 (Most deprived),,,,Normal value,Units,Percentage (%),,25.960736634819582
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 2,,,,Normal value,Units,Percentage (%),,24.91291051665189
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 3,,,,Normal value,Units,Percentage (%),,25.374655744439323
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 4,,,,Normal value,Units,Percentage (%),,27.665776318156997
2017/18,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 5 (least deprived),,,,Normal value,Units,Percentage (%),,26.432642236715427
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Rural,Normal value,Units,Percentage (%),,27.584967861934505
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Urban,Normal value,Units,Percentage (%),,24.942566926133196
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East of England,,Normal value,Units,Percentage (%),E12000006,23.767940579301
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,24.542693399191144
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,30.86461402175994
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,19.75306529788899
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,24.21240170429292
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,25.938053748021044
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,27.96692633343176
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,22.10845609160768
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,23.49774415885852
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,21.602358473035544
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Non-disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,26.29662523891463
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,Female,,,,,,,,Normal value,Units,Percentage (%),,25.39140847778777
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,Male,,,,,,,,Normal value,Units,Percentage (%),,25.241988743612065
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,,Normal value,Units,Percentage (%),,25.391919983986057
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,16 to 24,,,,,,,,,Normal value,Units,Percentage (%),,21.36354948312443
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,25 to 34,,,,,,,,,Normal value,Units,Percentage (%),,24.330506280838
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,35 to 49,,,,,,,,,Normal value,Units,Percentage (%),,29.19425614872062
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,50 to 64,,,,,,,,,Normal value,Units,Percentage (%),,26.150763845582464
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,65 to 74,,,,,,,,,Normal value,Units,Percentage (%),,24.93295707547665
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,75 and over,,,,,,,,,Normal value,Units,Percentage (%),,21.976460253657653
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,White,,,,,Normal value,Units,Percentage (%),,23.658657469364396
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Asian,,,,,Normal value,Units,Percentage (%),,31.95778513684775
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Black,,,,,Normal value,Units,Percentage (%),,47.66270049679657
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Mixed,,,,,Normal value,Units,Percentage (%),,34.894220737067634
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,Other,,,,,Normal value,Units,Percentage (%),,30.42420414143327
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,United Kingdom,,,,,,,Normal value,Units,Percentage (%),,24.493952777473503
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,Republic of Ireland,,,,,,,Normal value,Units,Percentage (%),,21.68723532244
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,EU Member State,,,,,,,Normal value,Units,Percentage (%),,35.95204163294895
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,Elsewhere in the world,,,,,,,Normal value,Units,Percentage (%),,36.32173049630487
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 1 (Most deprived),,,,Normal value,Units,Percentage (%),,25.22134271452723
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 2,,,,Normal value,Units,Percentage (%),,25.92296406901425
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 3,,,,Normal value,Units,Percentage (%),,23.61129345793995
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 4,,,,Normal value,Units,Percentage (%),,26.22521321578244
2018/19,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,Quintile 5 (least deprived),,,,Normal value,Units,Percentage (%),,25.945373473310845
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Rural,Normal value,Units,Percentage (%),,29.0
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,Urban,Normal value,Units,Percentage (%),,26.3
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East of England,,Normal value,Units,Percentage (%),E12000006,24.9
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,East Midlands,,Normal value,Units,Percentage (%),E12000004,25.4
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,London,,Normal value,Units,Percentage (%),E12000007,32.8
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North East,,Normal value,Units,Percentage (%),E12000001,25.0
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,North West,,Normal value,Units,Percentage (%),E12000002,25.5
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South East,,Normal value,Units,Percentage (%),E12000008,25.5
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,South West,,Normal value,Units,Percentage (%),E12000009,25.8
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,West Midlands,,Normal value,Units,Percentage (%),E12000005,26.5
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,26.2
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,23.6
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,Non-disabled (GSS harmonised),,,,,,Normal value,Units,Percentage (%),,27.8
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,Female,,,,,,,,Normal value,Units,Percentage (%),,27.2
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,Male,,,,,,,,Normal value,Units,Percentage (%),,26.4
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,,,,,,,,,,Normal value,Units,Percentage (%),,26.8
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,16 to 24,,,,,,,,,Normal value,Units,Percentage (%),,26.0
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,25 to 34,,,,,,,,,Normal value,Units,Percentage (%),,24.2
2019/20,Percentage of people who feel they are able to influence decisions affecting their local area,35 to 49,,,,,,,,,Normal value,Units,Percentage (%),,30.1
