Year,Age,Main method of contraception,Observation status,Unit multiplier,Unit measure,Value
2014/15,20 to 24,Implant,Undefined,Thousands,Number,39.755
2014/15,25 to 34,Implant,Undefined,Thousands,Number,39.52
2014/15,35 to 44,Implant,Undefined,Thousands,Number,14.36
2014/15,45 and over,Implant,Undefined,Thousands,Number,3.267
2014/15,,Implant,Undefined,Thousands,Number,138.937
2014/15,15 and under,Implant,Undefined,Thousands,Number,7.05
2015/16,16 to 17,Implant,Undefined,Thousands,Number,14.458
2015/16,18 to 19,Implant,Undefined,Thousands,Number,17.697
2015/16,20 to 24,Implant,Undefined,Thousands,Number,39.821
2015/16,25 to 34,Implant,Undefined,Thousands,Number,42.425
2015/16,35 to 44,Implant,Undefined,Thousands,Number,15.742
2015/16,45 and over,Implant,Undefined,Thousands,Number,3.917
2015/16,,Implant,Undefined,Thousands,Number,140.019
2015/16,15 and under,Implant,Undefined,Thousands,Number,5.917
2016/17,16 to 17,Implant,Undefined,Thousands,Number,11.96
2016/17,18 to 19,Implant,Undefined,Thousands,Number,15.742
2016/17,20 to 24,Implant,Undefined,Thousands,Number,38.262
2016/17,25 to 34,Implant,Undefined,Thousands,Number,43.118
2016/17,35 to 44,Implant,Undefined,Thousands,Number,16.403
2016/17,45 and over,Implant,Undefined,Thousands,Number,4.447
2016/17,,Implant,Undefined,Thousands,Number,134.623
2016/17,15 and under,Implant,Undefined,Thousands,Number,4.676
2017/18,16 to 17,Implant,Undefined,Thousands,Number,11.14
2017/18,18 to 19,Implant,Undefined,Thousands,Number,14.544
2017/18,20 to 24,Implant,Undefined,Thousands,Number,35.695
2017/18,25 to 34,Implant,Undefined,Thousands,Number,42.849
2017/18,35 to 44,Implant,Undefined,Thousands,Number,16.56
2017/18,45 and over,Implant,Undefined,Thousands,Number,4.535
2017/18,,Implant,Undefined,Thousands,Number,129.76
2017/18,15 and under,Implant,Undefined,Thousands,Number,4.432
2014/15,16 to 17,Injectable contraceptive,Undefined,Thousands,Number,8.785
2014/15,18 to 19,Injectable contraceptive,Undefined,Thousands,Number,12.489
2014/15,20 to 24,Injectable contraceptive,Undefined,Thousands,Number,26.494
2014/15,25 to 34,Injectable contraceptive,Undefined,Thousands,Number,22.803
2014/15,35 to 44,Injectable contraceptive,Undefined,Thousands,Number,10.283
2014/15,45 and over,Injectable contraceptive,Undefined,Thousands,Number,2.088
2014/15,,Injectable contraceptive,Undefined,Thousands,Number,85.255
2014/15,15 and under,Injectable contraceptive,Undefined,Thousands,Number,2.31
2015/16,16 to 17,Injectable contraceptive,Undefined,Thousands,Number,7.377
2015/16,18 to 19,Injectable contraceptive,Undefined,Thousands,Number,11.742
2015/16,20 to 24,Injectable contraceptive,Undefined,Thousands,Number,26.586
2015/16,25 to 34,Injectable contraceptive,Undefined,Thousands,Number,23.648
2015/16,35 to 44,Injectable contraceptive,Undefined,Thousands,Number,10.615
2015/16,45 and over,Injectable contraceptive,Undefined,Thousands,Number,2.363
2015/16,,Injectable contraceptive,Undefined,Thousands,Number,84.179
2015/16,15 and under,Injectable contraceptive,Undefined,Thousands,Number,1.841
2016/17,16 to 17,Injectable contraceptive,Undefined,Thousands,Number,6.532
2016/17,18 to 19,Injectable contraceptive,Undefined,Thousands,Number,10.833
2016/17,20 to 24,Injectable contraceptive,Undefined,Thousands,Number,25.764
2016/17,25 to 34,Injectable contraceptive,Undefined,Thousands,Number,23.425
2016/17,35 to 44,Injectable contraceptive,Undefined,Thousands,Number,10.376
2016/17,45 and over,Injectable contraceptive,Undefined,Thousands,Number,2.341
2016/17,,Injectable contraceptive,Undefined,Thousands,Number,80.843
2016/17,15 and under,Injectable contraceptive,Undefined,Thousands,Number,1.561
2017/18,16 to 17,Injectable contraceptive,Undefined,Thousands,Number,5.699
2017/18,18 to 19,Injectable contraceptive,Undefined,Thousands,Number,9.845
2017/18,20 to 24,Injectable contraceptive,Undefined,Thousands,Number,24.0
2017/18,25 to 34,Injectable contraceptive,Undefined,Thousands,Number,21.98
2017/18,35 to 44,Injectable contraceptive,Undefined,Thousands,Number,9.58
2017/18,45 and over,Injectable contraceptive,Undefined,Thousands,Number,2.216
2017/18,,Injectable contraceptive,Undefined,Thousands,Number,74.752
2017/18,15 and under,Injectable contraceptive,Undefined,Thousands,Number,1.425
2014/15,16 to 17,IU device,Undefined,Thousands,Number,0.655
2014/15,18 to 19,IU device,Undefined,Thousands,Number,1.719
2014/15,20 to 24,IU device,Undefined,Thousands,Number,9.251
2014/15,25 to 34,IU device,Undefined,Thousands,Number,24.388
2014/15,35 to 44,IU device,Undefined,Thousands,Number,14.383
2014/15,45 and over,IU device,Undefined,Thousands,Number,3.706
2014/15,,IU device,Undefined,Thousands,Number,54.216
2014/15,15 and under,IU device,Undefined,Thousands,Number,0.11
2015/16,16 to 17,IU device,Undefined,Thousands,Number,0.601
2015/16,18 to 19,IU device,Undefined,Thousands,Number,1.768
2015/16,20 to 24,IU device,Undefined,Thousands,Number,9.081
2015/16,25 to 34,IU device,Undefined,Thousands,Number,23.651
2015/16,35 to 44,IU device,Undefined,Thousands,Number,14.073
2015/16,45 and over,IU device,Undefined,Thousands,Number,3.55
2015/16,,IU device,Undefined,Thousands,Number,52.855
2015/16,15 and under,IU device,Undefined,Thousands,Number,0.121
2016/17,16 to 17,IU device,Undefined,Thousands,Number,0.623
2016/17,18 to 19,IU device,Undefined,Thousands,Number,1.863
2016/17,20 to 24,IU device,Undefined,Thousands,Number,9.91
2016/17,25 to 34,IU device,Undefined,Thousands,Number,24.222
2016/17,35 to 44,IU device,Undefined,Thousands,Number,14.102
2016/17,45 and over,IU device,Undefined,Thousands,Number,3.385
2016/17,,IU device,Undefined,Thousands,Number,54.198
2016/17,15 and under,IU device,Undefined,Thousands,Number,0.091
2017/18,16 to 17,IU device,Undefined,Thousands,Number,0.803
2017/18,18 to 19,IU device,Undefined,Thousands,Number,2.467
2017/18,20 to 24,IU device,Undefined,Thousands,Number,11.47
2017/18,25 to 34,IU device,Undefined,Thousands,Number,24.799
2017/18,35 to 44,IU device,Undefined,Thousands,Number,13.71
2017/18,45 and over,IU device,Undefined,Thousands,Number,3.215
2017/18,,IU device,Undefined,Thousands,Number,56.593
2017/18,15 and under,IU device,Undefined,Thousands,Number,0.127
2014/15,16 to 17,IU system,Undefined,Thousands,Number,0.511
2014/15,18 to 19,IU system,Undefined,Thousands,Number,1.531
2014/15,20 to 24,IU system,Undefined,Thousands,Number,7.718
2014/15,25 to 34,IU system,Undefined,Thousands,Number,19.398
2014/15,35 to 44,IU system,Undefined,Thousands,Number,23.018
2014/15,45 and over,IU system,Undefined,Thousands,Number,15.446
2014/15,,IU system,Undefined,Thousands,Number,67.666
2014/15,15 and under,IU system,Undefined,Thousands,Number,0.041
2015/16,16 to 17,IU system,Undefined,Thousands,Number,0.54
2015/16,18 to 19,IU system,Undefined,Thousands,Number,1.564
2015/16,20 to 24,IU system,Undefined,Thousands,Number,8.303
2015/16,25 to 34,IU system,Undefined,Thousands,Number,20.416
2015/16,35 to 44,IU system,Undefined,Thousands,Number,23.489
2015/16,45 and over,IU system,Undefined,Thousands,Number,16.226
2015/16,,IU system,Undefined,Thousands,Number,70.621
2015/16,15 and under,IU system,Undefined,Thousands,Number,0.067
2016/17,16 to 17,IU system,Undefined,Thousands,Number,0.556
2016/17,18 to 19,IU system,Undefined,Thousands,Number,1.66
2016/17,20 to 24,IU system,Undefined,Thousands,Number,9.184
2016/17,25 to 34,IU system,Undefined,Thousands,Number,21.532
2016/17,35 to 44,IU system,Undefined,Thousands,Number,23.026
2016/17,45 and over,IU system,Undefined,Thousands,Number,16.215
2016/17,,IU system,Undefined,Thousands,Number,72.229
2016/17,15 and under,IU system,Undefined,Thousands,Number,0.053
2017/18,16 to 17,IU system,Undefined,Thousands,Number,0.628
2017/18,18 to 19,IU system,Undefined,Thousands,Number,1.936
2017/18,20 to 24,IU system,Undefined,Thousands,Number,10.441
2017/18,25 to 34,IU system,Undefined,Thousands,Number,23.389
2017/18,35 to 44,IU system,Undefined,Thousands,Number,22.573
2017/18,45 and over,IU system,Undefined,Thousands,Number,15.903
2017/18,,IU system,Undefined,Thousands,Number,74.931
2017/18,15 and under,IU system,Undefined,Thousands,Number,0.06
2014/15,16 to 17,Male condom,Undefined,Thousands,Number,16.106
2014/15,18 to 19,Male condom,Undefined,Thousands,Number,16.656
2014/15,20 to 24,Male condom,Undefined,Thousands,Number,32.241
2014/15,25 to 34,Male condom,Undefined,Thousands,Number,38.839
2014/15,35 to 44,Male condom,Undefined,Thousands,Number,20.35
2014/15,45 and over,Male condom,Undefined,Thousands,Number,9.501
2014/15,,Male condom,Undefined,Thousands,Number,141.156
2014/15,15 and under,Male condom,Undefined,Thousands,Number,7.444
2015/16,16 to 17,Male condom,Undefined,Thousands,Number,11.931
2015/16,18 to 19,Male condom,Undefined,Thousands,Number,13.734
2015/16,20 to 24,Male condom,Undefined,Thousands,Number,29.14
2015/16,25 to 34,Male condom,Undefined,Thousands,Number,37.879
2015/16,35 to 44,Male condom,Undefined,Thousands,Number,19.625
2015/16,45 and over,Male condom,Undefined,Thousands,Number,9.282
2015/16,,Male condom,Undefined,Thousands,Number,126.874
2015/16,15 and under,Male condom,Undefined,Thousands,Number,5.263
2016/17,16 to 17,Male condom,Undefined,Thousands,Number,9.719
2016/17,18 to 19,Male condom,Undefined,Thousands,Number,12.796
2016/17,20 to 24,Male condom,Undefined,Thousands,Number,28.119
2016/17,25 to 34,Male condom,Undefined,Thousands,Number,37.271
2016/17,35 to 44,Male condom,Undefined,Thousands,Number,18.283
2016/17,45 and over,Male condom,Undefined,Thousands,Number,8.221
2016/17,,Male condom,Undefined,Thousands,Number,118.121
2016/17,15 and under,Male condom,Undefined,Thousands,Number,3.692
2017/18,16 to 17,Male condom,Undefined,Thousands,Number,8.341
2017/18,18 to 19,Male condom,Undefined,Thousands,Number,11.787
2017/18,20 to 24,Male condom,Undefined,Thousands,Number,26.956
2017/18,25 to 34,Male condom,Undefined,Thousands,Number,35.832
2017/18,35 to 44,Male condom,Undefined,Thousands,Number,17.225
2017/18,45 and over,Male condom,Undefined,Thousands,Number,7.334
2017/18,,Male condom,Undefined,Thousands,Number,110.61
2017/18,15 and under,Male condom,Undefined,Thousands,Number,3.112
2017/18,16 to 17,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.164
2017/18,18 to 19,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.33
2017/18,20 to 24,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.17
2017/18,25 to 34,Natural family planning incl. rhythm method,Undefined,Thousands,Number,2.834
2017/18,35 to 44,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.398
2017/18,45 and over,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.993
2017/18,,Natural family planning incl. rhythm method,Undefined,Thousands,Number,6.936
2017/18,15 and under,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.046
2014/15,16 to 17,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.303
2014/15,18 to 19,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.502
2014/15,20 to 24,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.584
2014/15,25 to 34,Natural family planning incl. rhythm method,Undefined,Thousands,Number,2.663
2014/15,35 to 44,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.393
2014/15,45 and over,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.119
2014/15,,Natural family planning incl. rhythm method,Undefined,Thousands,Number,7.652
2014/15,15 and under,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.086
2015/16,16 to 17,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.153
2015/16,18 to 19,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.349
2015/16,20 to 24,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.217
2015/16,25 to 34,Natural family planning incl. rhythm method,Undefined,Thousands,Number,2.417
2015/16,35 to 44,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.24
2015/16,45 and over,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.894
2015/16,,Natural family planning incl. rhythm method,Undefined,Thousands,Number,6.324
2015/16,15 and under,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.054
2016/17,16 to 17,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.135
2016/17,18 to 19,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.284
2016/17,20 to 24,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.138
2016/17,25 to 34,Natural family planning incl. rhythm method,Undefined,Thousands,Number,2.733
2016/17,35 to 44,Natural family planning incl. rhythm method,Undefined,Thousands,Number,1.254
2016/17,45 and over,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.914
2016/17,,Natural family planning incl. rhythm method,Undefined,Thousands,Number,6.499
2016/17,15 and under,Natural family planning incl. rhythm method,Undefined,Thousands,Number,0.041
2014/15,16 to 17,Oral contraceptives,Undefined,Thousands,Number,45.075
2014/15,18 to 19,Oral contraceptives,Undefined,Thousands,Number,63.405
2014/15,20 to 24,Oral contraceptives,Undefined,Thousands,Number,140.51
2014/15,25 to 34,Oral contraceptives,Undefined,Thousands,Number,113.935
2014/15,35 to 44,Oral contraceptives,Undefined,Thousands,Number,34.801
2014/15,45 and over,Oral contraceptives,Undefined,Thousands,Number,14.818
2014/15,,Oral contraceptives,Undefined,Thousands,Number,426.758
2014/15,15 and under,Oral contraceptives,Undefined,Thousands,Number,14.182
2015/16,16 to 17,Oral contraceptives,Undefined,Thousands,Number,39.467
2015/16,18 to 19,Oral contraceptives,Undefined,Thousands,Number,59.044
2015/16,20 to 24,Oral contraceptives,Undefined,Thousands,Number,134.734
2015/16,25 to 34,Oral contraceptives,Undefined,Thousands,Number,111.772
2015/16,35 to 44,Oral contraceptives,Undefined,Thousands,Number,34.619
2015/16,45 and over,Oral contraceptives,Undefined,Thousands,Number,14.169
2015/16,,Oral contraceptives,Undefined,Thousands,Number,405.433
2015/16,15 and under,Oral contraceptives,Undefined,Thousands,Number,11.58
2016/17,16 to 17,Oral contraceptives,Undefined,Thousands,Number,34.914
2016/17,18 to 19,Oral contraceptives,Undefined,Thousands,Number,55.303
2016/17,20 to 24,Oral contraceptives,Undefined,Thousands,Number,129.045
2016/17,25 to 34,Oral contraceptives,Undefined,Thousands,Number,108.915
2016/17,35 to 44,Oral contraceptives,Undefined,Thousands,Number,33.14
2016/17,45 and over,Oral contraceptives,Undefined,Thousands,Number,13.689
2016/17,,Oral contraceptives,Undefined,Thousands,Number,384.7
2016/17,15 and under,Oral contraceptives,Undefined,Thousands,Number,9.655
2017/18,16 to 17,Oral contraceptives,Undefined,Thousands,Number,31.105
2017/18,18 to 19,Oral contraceptives,Undefined,Thousands,Number,48.814
2017/18,20 to 24,Oral contraceptives,Undefined,Thousands,Number,112.856
2017/18,25 to 34,Oral contraceptives,Undefined,Thousands,Number,97.846
2017/18,35 to 44,Oral contraceptives,Undefined,Thousands,Number,29.993
2017/18,45 and over,Oral contraceptives,Undefined,Thousands,Number,12.222
2017/18,,Oral contraceptives,Undefined,Thousands,Number,341.741
2017/18,15 and under,Oral contraceptives,Undefined,Thousands,Number,8.888
2017/18,16 to 17,Other methods,Undefined,Thousands,Number,0.098
2017/18,18 to 19,Other methods,Undefined,Thousands,Number,0.334
2017/18,20 to 24,Other methods,Undefined,Thousands,Number,1.241
2017/18,25 to 34,Other methods,Undefined,Thousands,Number,2.254
2017/18,35 to 44,Other methods,Undefined,Thousands,Number,0.644
2017/18,45 and over,Other methods,Undefined,Thousands,Number,0.325
2017/18,,Other methods,Undefined,Thousands,Number,4.913
2017/18,15 and under,Other methods,Undefined,Thousands,Number,0.017
2014/15,16 to 17,Other methods,Undefined,Thousands,Number,0.061
2014/15,18 to 19,Other methods,Undefined,Thousands,Number,0.147
2014/15,20 to 24,Other methods,Undefined,Thousands,Number,1.031
2014/15,25 to 34,Other methods,Undefined,Thousands,Number,1.954
2014/15,35 to 44,Other methods,Undefined,Thousands,Number,0.724
2014/15,45 and over,Other methods,Undefined,Thousands,Number,0.545
2014/15,,Other methods,Undefined,Thousands,Number,4.476
2014/15,15 and under,Other methods,Undefined,Thousands,Number,0.014
2015/16,16 to 17,Other methods,Undefined,Thousands,Number,0.076
2015/16,18 to 19,Other methods,Undefined,Thousands,Number,0.169
2015/16,20 to 24,Other methods,Undefined,Thousands,Number,0.997
2015/16,25 to 34,Other methods,Undefined,Thousands,Number,2.045
2015/16,35 to 44,Other methods,Undefined,Thousands,Number,0.712
2015/16,45 and over,Other methods,Undefined,Thousands,Number,0.414
2015/16,,Other methods,Undefined,Thousands,Number,4.425
2015/16,15 and under,Other methods,Undefined,Thousands,Number,0.011
2016/17,16 to 17,Other methods,Undefined,Thousands,Number,0.058
2016/17,18 to 19,Other methods,Undefined,Thousands,Number,0.152
2016/17,20 to 24,Other methods,Undefined,Thousands,Number,1.046
2016/17,25 to 34,Other methods,Undefined,Thousands,Number,2.226
2016/17,35 to 44,Other methods,Undefined,Thousands,Number,0.666
2016/17,45 and over,Other methods,Undefined,Thousands,Number,0.393
2016/17,,Other methods,Undefined,Thousands,Number,4.558
2016/17,15 and under,Other methods,Undefined,Thousands,Number,0.017
2014/15,16 to 17,,Undefined,Thousands,Number,89.429
2014/15,18 to 19,,Undefined,Thousands,Number,117.568
2014/15,20 to 24,,Undefined,Thousands,Number,263.695
2014/15,25 to 34,,Undefined,Thousands,Number,267.807
2014/15,35 to 44,,Undefined,Thousands,Number,120.163
2014/15,45 and over,,Undefined,Thousands,Number,50.671
2014/15,,,Undefined,Thousands,Number,941.169
2014/15,15 and under,,Undefined,Thousands,Number,31.765
2015/16,16 to 17,,Undefined,Thousands,Number,76.088
2015/16,18 to 19,,Undefined,Thousands,Number,108.411
2015/16,20 to 24,,Undefined,Thousands,Number,255.091
2015/16,25 to 34,,Undefined,Thousands,Number,268.744
2015/16,35 to 44,,Undefined,Thousands,Number,121.018
2015/16,45 and over,,Undefined,Thousands,Number,50.978
2015/16,,,Undefined,Thousands,Number,905.753
2015/16,15 and under,,Undefined,Thousands,Number,25.277
2016/17,16 to 17,,Undefined,Thousands,Number,65.942
2016/17,18 to 19,,Undefined,Thousands,Number,100.843
2016/17,20 to 24,,Undefined,Thousands,Number,247.744
2016/17,25 to 34,,Undefined,Thousands,Number,268.068
2016/17,35 to 44,,Undefined,Thousands,Number,118.15
2016/17,45 and over,,Undefined,Thousands,Number,49.778
2016/17,,,Undefined,Thousands,Number,870.73
2016/17,15 and under,,Undefined,Thousands,Number,20.114
2017/18,16 to 17,,Undefined,Thousands,Number,59.284
2017/18,18 to 19,,Undefined,Thousands,Number,92.231
2017/18,20 to 24,,Undefined,Thousands,Number,229.416
2017/18,25 to 34,,Undefined,Thousands,Number,257.134
2017/18,35 to 44,,Undefined,Thousands,Number,113.208
2017/18,45 and over,,Undefined,Thousands,Number,47.221
2017/18,,,Undefined,Thousands,Number,817.018
2017/18,15 and under,,Undefined,Thousands,Number,18.465
