Year,Type of violence,Unit measure,Unit multiplier,Observation status,Value
2008/09,Stranger violence,Percentage (%),Units,Undefined,45.18895485996673
2009/10,Stranger violence,Percentage (%),Units,Undefined,47.707326850477
2010/11,Stranger violence,Percentage (%),Units,Undefined,43.320066911603156
2011/12,Stranger violence,Percentage (%),Units,Undefined,40.63712502488471
2012/13,Stranger violence,Percentage (%),Units,Undefined,40.19189768029515
2013/14,Stranger violence,Percentage (%),Units,Undefined,48.122421130157576
2014/15,Stranger violence,Percentage (%),Units,Undefined,55.604722035518655
2015/16,Stranger violence,Percentage (%),Units,Undefined,59.87208191074651
2016/17,Stranger violence,Percentage (%),Units,Undefined,42.61045800591107
2017/18,Stranger violence,Percentage (%),Units,Undefined,39.370501313770255
2018/19,Stranger violence,Percentage (%),Units,Undefined,45.658456924634855
