Year,Series,Age,Number of previous live births,Country,Region,Health board,Observation status,Unit multiplier,Units,GeoCode,Value
2014,Births occurring within a medical facility,40 to 44,1,,,,Normal value,Units,Percentage (%),,97.24400369003688
2014,Births occurring within a medical facility,45 and over,1,,,,Normal value,Units,Percentage (%),,98.7152034261242
2014,Births occurring within a medical facility,,2,,,,Normal value,Units,Percentage (%),,95.94583275164037
2014,Births occurring within a medical facility,19 and under,2,,,,Normal value,Units,Percentage (%),,94.30485762144056
2014,Births occurring within a medical facility,20 to 24,2,,,,Normal value,Units,Percentage (%),,95.70940598183788
2014,Births occurring within a medical facility,25 to 29,2,,,,Normal value,Units,Percentage (%),,95.98428775483704
2014,Births occurring within a medical facility,30 to 34,2,,,,Normal value,Units,Percentage (%),,95.97725299044738
2014,Births occurring within a medical facility,35 to 39,2,,,,Normal value,Units,Percentage (%),,95.77085905803492
2014,Births occurring within a medical facility,40 to 44,2,,,,Normal value,Units,Percentage (%),,96.82686954908148
2014,Births occurring within a medical facility,45 and over,2,,,,Normal value,Units,Percentage (%),,98.5663082437276
2014,Births occurring within a medical facility,,3,,,,Normal value,Units,Percentage (%),,95.34605013482472
2014,Births occurring within a medical facility,19 and under,3,,,,Normal value,Units,Percentage (%),,95.0
2014,Births occurring within a medical facility,20 to 24,3,,,,Normal value,Units,Percentage (%),,94.6260804208944
2014,Births occurring within a medical facility,25 to 29,3,,,,Normal value,Units,Percentage (%),,94.93612294019626
2014,Births occurring within a medical facility,30 to 34,3,,,,Normal value,Units,Percentage (%),,95.35816618911174
2014,Births occurring within a medical facility,35 to 39,3,,,,Normal value,Units,Percentage (%),,95.6019962570181
2014,Births occurring within a medical facility,40 to 44,3,,,,Normal value,Units,Percentage (%),,96.4855072463768
2014,Births occurring within a medical facility,45 and over,3,,,,Normal value,Units,Percentage (%),,98.42931937172776
2014,Births occurring within a medical facility,,4 and over,,,,Normal value,Units,Percentage (%),,95.51925135810302
2014,Births occurring within a medical facility,19 and under,4 and over,,,,Normal value,Units,Percentage (%),,100.0
2014,Births occurring within a medical facility,20 to 24,4 and over,,,,Normal value,Units,Percentage (%),,93.4931506849315
2014,Births occurring within a medical facility,25 to 29,4 and over,,,,Normal value,Units,Percentage (%),,94.4
2014,Births occurring within a medical facility,30 to 34,4 and over,,,,Normal value,Units,Percentage (%),,95.3068194337336
2014,Births occurring within a medical facility,35 to 39,4 and over,,,,Normal value,Units,Percentage (%),,95.9469992205768
2014,Births occurring within a medical facility,40 to 44,4 and over,,,,Normal value,Units,Percentage (%),,97.03603907039408
2014,Births occurring within a medical facility,45 and over,4 and over,,,,Normal value,Units,Percentage (%),,97.28682170542636
2014,Births occurring within a medical facility,,Not stated,,,,Normal value,Units,Percentage (%),,97.9502196193265
2014,Births occurring within a medical facility,19 and under,Not stated,,,,Normal value,Units,Percentage (%),,97.5206611570248
2014,Births occurring within a medical facility,20 to 24,Not stated,,,,Normal value,Units,Percentage (%),,98.51851851851852
2014,Births occurring within a medical facility,25 to 29,Not stated,,,,Normal value,Units,Percentage (%),,98.30007390983
2014,Births occurring within a medical facility,30 to 34,Not stated,,,,Normal value,Units,Percentage (%),,97.83180026281208
2014,Births occurring within a medical facility,35 to 39,Not stated,,,,Normal value,Units,Percentage (%),,96.8072976054732
2014,Births occurring within a medical facility,40 to 44,Not stated,,,,Normal value,Units,Percentage (%),,99.51690821256038
2014,Births occurring within a medical facility,45 and over,Not stated,,,,Normal value,Units,Percentage (%),,100.0
2014,Births occurring within a medical facility,,,England,,,Normal value,Units,Percentage (%),E92000001,97.54
2014,Births occurring within a medical facility,,,Wales,,,Normal value,Units,Percentage (%),W92000004,96.64
2014,Births occurring within a medical facility,,,Outside England and Wales,,,Normal value,Units,Percentage (%),J99000001,99.52
2015,Births occurring within a medical facility,,,England,East,,Normal value,Units,Percentage (%),E12000006,97.2
2015,Births occurring within a medical facility,,,England,East Midlands,,Normal value,Units,Percentage (%),E12000004,97.33
2015,Births occurring within a medical facility,,,England,London,,Normal value,Units,Percentage (%),E12000007,98.05
2015,Births occurring within a medical facility,,,England,North East,,Normal value,Units,Percentage (%),E12000001,98.67
2015,Births occurring within a medical facility,,,England,North West,,Normal value,Units,Percentage (%),E12000002,97.69
2015,Births occurring within a medical facility,,,England,South East,,Normal value,Units,Percentage (%),E12000008,96.67
2015,Births occurring within a medical facility,,,England,South West,,Normal value,Units,Percentage (%),E12000009,96.6
2015,Births occurring within a medical facility,,,England,West Midlands,,Normal value,Units,Percentage (%),E12000005,98.32
2015,Births occurring within a medical facility,,,England,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,97.61
2015,Births occurring within a medical facility,,,Wales,,Abertawe Bro Morgannwg University,Normal value,Units,Percentage (%),W92000004,96.05
2015,Births occurring within a medical facility,,,Wales,,Aneurin Bevan University,Normal value,Units,Percentage (%),W92000004,97.99
2015,Births occurring within a medical facility,,,Wales,,Betsi Cadwaladr University,Normal value,Units,Percentage (%),W92000004,97.6
2015,Births occurring within a medical facility,,,Wales,,Cardiff and Vale University,Normal value,Units,Percentage (%),W92000004,97.21
2015,Births occurring within a medical facility,,,Wales,,Cwm Taf University,Normal value,Units,Percentage (%),W92000004,98.11
2015,Births occurring within a medical facility,,,Wales,,Hywel Dda University,Normal value,Units,Percentage (%),W92000004,95.48
2015,Births occurring within a medical facility,,,Wales,,Powys Teaching,Normal value,Units,Percentage (%),W92000004,89.78
2015,Births occurring within a medical facility,,,,,,Normal value,Units,Percentage (%),,97.54056173894638
2015,Births occurring within a medical facility,19 and under,,,,,Normal value,Units,Percentage (%),,98.80459770114942
2015,Births occurring within a medical facility,20 to 24,,,,,Normal value,Units,Percentage (%),,98.15153852587754
2015,Births occurring within a medical facility,25 to 29,,,,,Normal value,Units,Percentage (%),,97.71952964662384
2015,Births occurring within a medical facility,30 to 34,,,,,Normal value,Units,Percentage (%),,97.22716060874018
2015,Births occurring within a medical facility,35 to 39,,,,,Normal value,Units,Percentage (%),,96.88670648982485
2015,Births occurring within a medical facility,40 to 44,,,,,Normal value,Units,Percentage (%),,97.95648560852158
2015,Births occurring within a medical facility,45 and over,,,,,Normal value,Units,Percentage (%),,98.89558232931726
2015,Births occurring within a medical facility,,0,,,,Normal value,Units,Percentage (%),,99.08068277212946
2015,Births occurring within a medical facility,19 and under,0,,,,Normal value,Units,Percentage (%),,99.1198591774684
2015,Births occurring within a medical facility,20 to 24,0,,,,Normal value,Units,Percentage (%),,99.25100962479318
2015,Births occurring within a medical facility,25 to 29,0,,,,Normal value,Units,Percentage (%),,99.19117006582631
2015,Births occurring within a medical facility,30 to 34,0,,,,Normal value,Units,Percentage (%),,98.88469365895456
2015,Births occurring within a medical facility,35 to 39,0,,,,Normal value,Units,Percentage (%),,98.8448471121178
2015,Births occurring within a medical facility,40 to 44,0,,,,Normal value,Units,Percentage (%),,99.4549135648653
2015,Births occurring within a medical facility,45 and over,0,,,,Normal value,Units,Percentage (%),,99.56647398843933
2015,Births occurring within a medical facility,,1,,,,Normal value,Units,Percentage (%),,97.0420093533301
2015,Births occurring within a medical facility,19 and under,1,,,,Normal value,Units,Percentage (%),,97.83701114266988
2015,Births occurring within a medical facility,20 to 24,1,,,,Normal value,Units,Percentage (%),,97.2572315431752
2015,Births occurring within a medical facility,25 to 29,1,,,,Normal value,Units,Percentage (%),,97.35357296290992
2015,Births occurring within a medical facility,30 to 34,1,,,,Normal value,Units,Percentage (%),,96.80387230268992
2015,Births occurring within a medical facility,35 to 39,1,,,,Normal value,Units,Percentage (%),,96.58274956217164
2015,Births occurring within a medical facility,40 to 44,1,,,,Normal value,Units,Percentage (%),,97.71164468492842
2015,Births occurring within a medical facility,45 and over,1,,,,Normal value,Units,Percentage (%),,98.84393063583816
2015,Births occurring within a medical facility,,2,,,,Normal value,Units,Percentage (%),,96.01082707905472
2015,Births occurring within a medical facility,19 and under,2,,,,Normal value,Units,Percentage (%),,95.90517241379312
2015,Births occurring within a medical facility,20 to 24,2,,,,Normal value,Units,Percentage (%),,96.24342599549212
2015,Births occurring within a medical facility,25 to 29,2,,,,Normal value,Units,Percentage (%),,95.96715207128132
2015,Births occurring within a medical facility,30 to 34,2,,,,Normal value,Units,Percentage (%),,95.93271049140536
2015,Births occurring within a medical facility,35 to 39,2,,,,Normal value,Units,Percentage (%),,95.69042458243018
2015,Births occurring within a medical facility,40 to 44,2,,,,Normal value,Units,Percentage (%),,97.60398696568907
2015,Births occurring within a medical facility,45 and over,2,,,,Normal value,Units,Percentage (%),,98.98648648648648
2015,Births occurring within a medical facility,,3,,,,Normal value,Units,Percentage (%),,95.61164165529786
2015,Births occurring within a medical facility,19 and under,3,,,,Normal value,Units,Percentage (%),,97.5
2015,Births occurring within a medical facility,20 to 24,3,,,,Normal value,Units,Percentage (%),,95.54908485856906
2015,Births occurring within a medical facility,25 to 29,3,,,,Normal value,Units,Percentage (%),,95.1559389515594
2015,Births occurring within a medical facility,30 to 34,3,,,,Normal value,Units,Percentage (%),,95.42402568968032
2015,Births occurring within a medical facility,35 to 39,3,,,,Normal value,Units,Percentage (%),,95.89841781719238
2015,Births occurring within a medical facility,40 to 44,3,,,,Normal value,Units,Percentage (%),,97.07052441229656
2015,Births occurring within a medical facility,45 and over,3,,,,Normal value,Units,Percentage (%),,98.4924623115578
2015,Births occurring within a medical facility,,4 and over,,,,Normal value,Units,Percentage (%),,95.46159659520306
2015,Births occurring within a medical facility,19 and under,4 and over,,,,Normal value,Units,Percentage (%),,83.33333333333334
2015,Births occurring within a medical facility,20 to 24,4 and over,,,,Normal value,Units,Percentage (%),,94.7080291970803
2015,Births occurring within a medical facility,25 to 29,4 and over,,,,Normal value,Units,Percentage (%),,94.78984238178634
2015,Births occurring within a medical facility,30 to 34,4 and over,,,,Normal value,Units,Percentage (%),,95.01020639600816
2015,Births occurring within a medical facility,35 to 39,4 and over,,,,Normal value,Units,Percentage (%),,95.74927039715772
2015,Births occurring within a medical facility,40 to 44,4 and over,,,,Normal value,Units,Percentage (%),,97.0423923759448
2015,Births occurring within a medical facility,45 and over,4 and over,,,,Normal value,Units,Percentage (%),,97.41697416974168
2015,Births occurring within a medical facility,,Not stated,,,,Normal value,Units,Percentage (%),,97.88007268322228
2015,Births occurring within a medical facility,19 and under,Not stated,,,,Normal value,Units,Percentage (%),,100.0
2015,Births occurring within a medical facility,20 to 24,Not stated,,,,Normal value,Units,Percentage (%),,98.3451536643026
2015,Births occurring within a medical facility,25 to 29,Not stated,,,,Normal value,Units,Percentage (%),,98.15384615384616
2015,Births occurring within a medical facility,30 to 34,Not stated,,,,Normal value,Units,Percentage (%),,97.8866474543708
2015,Births occurring within a medical facility,35 to 39,Not stated,,,,Normal value,Units,Percentage (%),,97.35973597359737
2015,Births occurring within a medical facility,40 to 44,Not stated,,,,Normal value,Units,Percentage (%),,95.54140127388536
2015,Births occurring within a medical facility,45 and over,Not stated,,,,Normal value,Units,Percentage (%),,100.0
2015,Births occurring within a medical facility,,,England,,,Normal value,Units,Percentage (%),E92000001,97.57
2015,Births occurring within a medical facility,,,Wales,,,Normal value,Units,Percentage (%),W92000004,96.91
2015,Births occurring within a medical facility,,,Outside England and Wales,,,Normal value,Units,Percentage (%),J99000001,98.49
2016,Births occurring within a medical facility,,,England,East,,Normal value,Units,Percentage (%),E12000006,97.41
2016,Births occurring within a medical facility,,,England,East Midlands,,Normal value,Units,Percentage (%),E12000004,97.38
2016,Births occurring within a medical facility,,,England,London,,Normal value,Units,Percentage (%),E12000007,98.06
2016,Births occurring within a medical facility,,,England,North East,,Normal value,Units,Percentage (%),E12000001,98.74
2016,Births occurring within a medical facility,,,England,North West,,Normal value,Units,Percentage (%),E12000002,97.87
2016,Births occurring within a medical facility,,,England,South East,,Normal value,Units,Percentage (%),E12000008,97.09
2016,Births occurring within a medical facility,,,England,South West,,Normal value,Units,Percentage (%),E12000009,96.82
2016,Births occurring within a medical facility,,,England,West Midlands,,Normal value,Units,Percentage (%),E12000005,98.33
2016,Births occurring within a medical facility,,,England,Yorkshire and The Humber,,Normal value,Units,Percentage (%),E12000003,97.87
2016,Births occurring within a medical facility,,,Wales,,Abertawe Bro Morgannwg University,Normal value,Units,Percentage (%),W92000004,96.5
2016,Births occurring within a medical facility,,,Wales,,Aneurin Bevan University,Normal value,Units,Percentage (%),W92000004,97.84
2016,Births occurring within a medical facility,,,Wales,,Betsi Cadwaladr University,Normal value,Units,Percentage (%),W92000004,97.71
2016,Births occurring within a medical facility,,,Wales,,Cardiff and Vale University,Normal value,Units,Percentage (%),W92000004,97.13
2016,Births occurring within a medical facility,,,Wales,,Cwm Taf University,Normal value,Units,Percentage (%),W92000004,98.33
2016,Births occurring within a medical facility,,,Wales,,Hywel Dda University,Normal value,Units,Percentage (%),W92000004,95.24
2016,Births occurring within a medical facility,,,Wales,,Powys Teaching,Normal value,Units,Percentage (%),W92000004,91.87
2016,Births occurring within a medical facility,,,,,,Normal value,Units,Percentage (%),,97.66222746570348
2016,Births occurring within a medical facility,19 and under,,,,,Normal value,Units,Percentage (%),,98.70112479914302
2016,Births occurring within a medical facility,20 to 24,,,,,Normal value,Units,Percentage (%),,98.18885297286708
2016,Births occurring within a medical facility,25 to 29,,,,,Normal value,Units,Percentage (%),,97.85928944876704
2016,Births occurring within a medical facility,30 to 34,,,,,Normal value,Units,Percentage (%),,97.46759730012008
2016,Births occurring within a medical facility,35 to 39,,,,,Normal value,Units,Percentage (%),,96.98227543742792
2016,Births occurring within a medical facility,40 to 44,,,,,Normal value,Units,Percentage (%),,97.98378096867792
2016,Births occurring within a medical facility,45 and over,,,,,Normal value,Units,Percentage (%),,98.62494073020387
2016,Births occurring within a medical facility,,0,,,,Normal value,Units,Percentage (%),,99.12140347882978
2016,Births occurring within a medical facility,19 and under,0,,,,Normal value,Units,Percentage (%),,98.9531378459852
2016,Births occurring within a medical facility,20 to 24,0,,,,Normal value,Units,Percentage (%),,99.2654886097509
2016,Births occurring within a medical facility,25 to 29,0,,,,Normal value,Units,Percentage (%),,99.20663072266365
2016,Births occurring within a medical facility,30 to 34,0,,,,Normal value,Units,Percentage (%),,98.9949125201638
2016,Births occurring within a medical facility,35 to 39,0,,,,Normal value,Units,Percentage (%),,98.97738388119868
2016,Births occurring within a medical facility,40 to 44,0,,,,Normal value,Units,Percentage (%),,99.45488452158943
2016,Births occurring within a medical facility,45 and over,0,,,,Normal value,Units,Percentage (%),,99.73718791064388
2016,Births occurring within a medical facility,,1,,,,Normal value,Units,Percentage (%),,97.02707164080554
2016,Births occurring within a medical facility,19 and under,1,,,,Normal value,Units,Percentage (%),,97.6579520697168
2016,Births occurring within a medical facility,20 to 24,1,,,,Normal value,Units,Percentage (%),,97.30165363261897
2016,Births occurring within a medical facility,25 to 29,1,,,,Normal value,Units,Percentage (%),,97.33005366726296
2016,Births occurring within a medical facility,30 to 34,1,,,,Normal value,Units,Percentage (%),,96.89047778646707
2016,Births occurring within a medical facility,35 to 39,1,,,,Normal value,Units,Percentage (%),,96.4518419513825
2016,Births occurring within a medical facility,40 to 44,1,,,,Normal value,Units,Percentage (%),,97.64796819787986
2016,Births occurring within a medical facility,45 and over,1,,,,Normal value,Units,Percentage (%),,98.94179894179894
2016,Births occurring within a medical facility,,2,,,,Normal value,Units,Percentage (%),,96.17801628050071
2016,Births occurring within a medical facility,19 and under,2,,,,Normal value,Units,Percentage (%),,97.03264094955487
2016,Births occurring within a medical facility,20 to 24,2,,,,Normal value,Units,Percentage (%),,95.79479457947946
2016,Births occurring within a medical facility,25 to 29,2,,,,Normal value,Units,Percentage (%),,96.34371270478464
2016,Births occurring within a medical facility,30 to 34,2,,,,Normal value,Units,Percentage (%),,96.20476347010133
2016,Births occurring within a medical facility,35 to 39,2,,,,Normal value,Units,Percentage (%),,95.84417837931632
2016,Births occurring within a medical facility,40 to 44,2,,,,Normal value,Units,Percentage (%),,97.18421574459649
2016,Births occurring within a medical facility,45 and over,2,,,,Normal value,Units,Percentage (%),,97.61092150170649
2016,Births occurring within a medical facility,,3,,,,Normal value,Units,Percentage (%),,95.8913312194336
2016,Births occurring within a medical facility,19 and under,3,,,,Normal value,Units,Percentage (%),,89.65517241379311
2016,Births occurring within a medical facility,20 to 24,3,,,,Normal value,Units,Percentage (%),,94.24026330224903
2016,Births occurring within a medical facility,25 to 29,3,,,,Normal value,Units,Percentage (%),,95.37123330226778
2016,Births occurring within a medical facility,30 to 34,3,,,,Normal value,Units,Percentage (%),,95.99265830529214
2016,Births occurring within a medical facility,35 to 39,3,,,,Normal value,Units,Percentage (%),,96.1702994499898
2016,Births occurring within a medical facility,40 to 44,3,,,,Normal value,Units,Percentage (%),,97.45440729483282
2016,Births occurring within a medical facility,45 and over,3,,,,Normal value,Units,Percentage (%),,96.08938547486034
2016,Births occurring within a medical facility,,4 and over,,,,Normal value,Units,Percentage (%),,95.80780528745278
2016,Births occurring within a medical facility,19 and under,4 and over,,,,Normal value,Units,Percentage (%),,100.0
2016,Births occurring within a medical facility,20 to 24,4 and over,,,,Normal value,Units,Percentage (%),,95.13274336283186
2016,Births occurring within a medical facility,25 to 29,4 and over,,,,Normal value,Units,Percentage (%),,94.85546300832924
2016,Births occurring within a medical facility,30 to 34,4 and over,,,,Normal value,Units,Percentage (%),,95.56900726392251
2016,Births occurring within a medical facility,35 to 39,4 and over,,,,Normal value,Units,Percentage (%),,95.9525650940964
2016,Births occurring within a medical facility,40 to 44,4 and over,,,,Normal value,Units,Percentage (%),,97.3208305425318
2016,Births occurring within a medical facility,45 and over,4 and over,,,,Normal value,Units,Percentage (%),,97.55244755244756
2016,Births occurring within a medical facility,,Not stated,,,,Normal value,Units,Percentage (%),,97.83041841930483
2016,Births occurring within a medical facility,19 and under,Not stated,,,,Normal value,Units,Percentage (%),,99.1304347826087
2016,Births occurring within a medical facility,20 to 24,Not stated,,,,Normal value,Units,Percentage (%),,98.0030721966206
2016,Births occurring within a medical facility,25 to 29,Not stated,,,,Normal value,Units,Percentage (%),,97.65990639625583
2016,Births occurring within a medical facility,30 to 34,Not stated,,,,Normal value,Units,Percentage (%),,97.921146953405
2016,Births occurring within a medical facility,35 to 39,Not stated,,,,Normal value,Units,Percentage (%),,97.31621936989498
2016,Births occurring within a medical facility,40 to 44,Not stated,,,,Normal value,Units,Percentage (%),,98.96907216494846
2016,Births occurring within a medical facility,45 and over,Not stated,,,,Normal value,Units,Percentage (%),,100.0
2016,Births occurring within a medical facility,,,England,,,Normal value,Units,Percentage (%),E92000001,97.69
2016,Births occurring within a medical facility,,,Wales,,,Normal value,Units,Percentage (%),W92000004,97.02
2016,Births occurring within a medical facility,,,Outside England and Wales,,,Normal value,Units,Percentage (%),J99000001,99.1
2017,Births occurring within a medical facility,,,,,,Normal value,Units,Percentage (%),,97.70424050274583
2017,Births occurring within a medical facility,19 and under,,,,,Normal value,Units,Percentage (%),,98.72558185307288
2017,Births occurring within a medical facility,20 to 24,,,,,Normal value,Units,Percentage (%),,98.29737645408797
2017,Births occurring within a medical facility,25 to 29,,,,,Normal value,Units,Percentage (%),,97.88469096200625
2017,Births occurring within a medical facility,30 to 34,,,,,Normal value,Units,Percentage (%),,97.48127310195936
2017,Births occurring within a medical facility,35 to 39,,,,,Normal value,Units,Percentage (%),,97.10232123257045
2017,Births occurring within a medical facility,40 to 44,,,,,Normal value,Units,Percentage (%),,97.94033015296075
2017,Births occurring within a medical facility,45 and over,,,,,Normal value,Units,Percentage (%),,99.18367346938776
2017,Births occurring within a medical facility,,0,,,,Normal value,Units,Percentage (%),,99.15671973290156
2017,Births occurring within a medical facility,19 and under,0,,,,Normal value,Units,Percentage (%),,99.0578734858681
2017,Births occurring within a medical facility,20 to 24,0,,,,Normal value,Units,Percentage (%),,99.32095066906332
2017,Births occurring within a medical facility,25 to 29,0,,,,Normal value,Units,Percentage (%),,99.20736627272296
2017,Births occurring within a medical facility,30 to 34,0,,,,Normal value,Units,Percentage (%),,99.044578042757
2017,Births occurring within a medical facility,35 to 39,0,,,,Normal value,Units,Percentage (%),,99.01980511081088
2017,Births occurring within a medical facility,40 to 44,0,,,,Normal value,Units,Percentage (%),,99.39148073022312
2017,Births occurring within a medical facility,45 and over,0,,,,Normal value,Units,Percentage (%),,99.76218787158146
2017,Births occurring within a medical facility,,1,,,,Normal value,Units,Percentage (%),,96.96533509969768
2017,Births occurring within a medical facility,19 and under,1,,,,Normal value,Units,Percentage (%),,97.135955831608
2017,Births occurring within a medical facility,20 to 24,1,,,,Normal value,Units,Percentage (%),,97.37547892720306
2017,Births occurring within a medical facility,25 to 29,1,,,,Normal value,Units,Percentage (%),,97.20200675110712
2017,Births occurring within a medical facility,30 to 34,1,,,,Normal value,Units,Percentage (%),,96.76174918321186
2017,Births occurring within a medical facility,35 to 39,1,,,,Normal value,Units,Percentage (%),,96.58969357578808
2017,Births occurring within a medical facility,40 to 44,1,,,,Normal value,Units,Percentage (%),,97.44800449690838
2017,Births occurring within a medical facility,45 and over,1,,,,Normal value,Units,Percentage (%),,99.10394265232976
2017,Births occurring within a medical facility,,2,,,,Normal value,Units,Percentage (%),,96.2952853858509
2017,Births occurring within a medical facility,19 and under,2,,,,Normal value,Units,Percentage (%),,96.36363636363636
2017,Births occurring within a medical facility,20 to 24,2,,,,Normal value,Units,Percentage (%),,95.7806942229854
2017,Births occurring within a medical facility,25 to 29,2,,,,Normal value,Units,Percentage (%),,96.40784432727688
2017,Births occurring within a medical facility,30 to 34,2,,,,Normal value,Units,Percentage (%),,96.34859856026956
2017,Births occurring within a medical facility,35 to 39,2,,,,Normal value,Units,Percentage (%),,96.00177698800532
2017,Births occurring within a medical facility,40 to 44,2,,,,Normal value,Units,Percentage (%),,97.31946389277856
2017,Births occurring within a medical facility,45 and over,2,,,,Normal value,Units,Percentage (%),,99.35897435897436
2017,Births occurring within a medical facility,,3,,,,Normal value,Units,Percentage (%),,96.11453646614451
2017,Births occurring within a medical facility,19 and under,3,,,,Normal value,Units,Percentage (%),,86.66666666666667
2017,Births occurring within a medical facility,20 to 24,3,,,,Normal value,Units,Percentage (%),,95.2354260089686
2017,Births occurring within a medical facility,25 to 29,3,,,,Normal value,Units,Percentage (%),,95.87827864198933
2017,Births occurring within a medical facility,30 to 34,3,,,,Normal value,Units,Percentage (%),,96.04804339403331
2017,Births occurring within a medical facility,35 to 39,3,,,,Normal value,Units,Percentage (%),,96.11428571428571
2017,Births occurring within a medical facility,40 to 44,3,,,,Normal value,Units,Percentage (%),,97.70417764395935
2017,Births occurring within a medical facility,45 and over,3,,,,Normal value,Units,Percentage (%),,98.12206572769952
2017,Births occurring within a medical facility,,4 and over,,,,Normal value,Units,Percentage (%),,96.08503472953063
2017,Births occurring within a medical facility,19 and under,4 and over,,,,Normal value,Units,Percentage (%),,100.0
2017,Births occurring within a medical facility,20 to 24,4 and over,,,,Normal value,Units,Percentage (%),,95.84415584415584
2017,Births occurring within a medical facility,25 to 29,4 and over,,,,Normal value,Units,Percentage (%),,95.16546018614272
2017,Births occurring within a medical facility,30 to 34,4 and over,,,,Normal value,Units,Percentage (%),,95.9262851600388
2017,Births occurring within a medical facility,35 to 39,4 and over,,,,Normal value,Units,Percentage (%),,96.17810760667903
2017,Births occurring within a medical facility,40 to 44,4 and over,,,,Normal value,Units,Percentage (%),,97.3337950138504
2017,Births occurring within a medical facility,45 and over,4 and over,,,,Normal value,Units,Percentage (%),,98.18840579710144
2017,Births occurring within a medical facility,,Not stated,,,,Normal value,Units,Percentage (%),,96.70184696569922
2017,Births occurring within a medical facility,19 and under,Not stated,,,,Normal value,Units,Percentage (%),,92.6829268292683
2017,Births occurring within a medical facility,20 to 24,Not stated,,,,Normal value,Units,Percentage (%),,95.98393574297188
2017,Births occurring within a medical facility,25 to 29,Not stated,,,,Normal value,Units,Percentage (%),,97.2361809045226
