Year,Series,Observation status,Unit multiplier,Units,Value
1999,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.24
2000,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.32
2001,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.32
2002,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.31
2003,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.34
2004,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.36
2005,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.47
2006,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.51
2007,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.36
2008,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.43
2009,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.51
2010,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.57
2011,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.56
2012,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.56
2013,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2014,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2015,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7
2016,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.7001138524817396
2017,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.698487094133099
2018,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.695432929606952
2019,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.703284457691932
2020,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.698060841283564
2021,Net official development assistance (ODA) as a percentage of GNI,Normal value,Units,Percentage (%),0.50391698260432
2012,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units,Percentage (%),0.1228521376185441
2013,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units,Percentage (%),0.1398796900804018
2014,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units,Percentage (%),0.1379513802813589
2015,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units,Percentage (%),0.1453955703972598
2016,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units,Percentage (%),0.1231643146305515
2017,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units,Percentage (%),0.1280976661762621
2018,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units,Percentage (%),0.1143002118764276
2019,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units,Percentage (%),0.1256368555462201
2020,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units,Percentage (%),0.1106488547123132
2021,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries",Normal value,Units,Percentage (%),0.060830649445355
