Year,Series,Age,Sex,Country of birth,Disability status,Ethnicity,Ethnic group,Household income,Region,Urban or rural,Sexual orientation,Highest qualification,Observation status,Unit multiplier,Units,GeoCode,Value
2018/19,Proportion of population who feel safe walking alone after dark,,,,,White,Irish,,,,,,Normal value,Units,Percentage (%),,74.9862028800316
2018/19,Proportion of population who feel safe walking alone after dark,,,,,White,Any other White background,,,,,,Normal value,Units,Percentage (%),,79.84218147531351
2018/19,Proportion of population who feel safe walking alone after dark,,,,,Mixed/Multiple ethnic background,,,,,,,Normal value,Units,Percentage (%),,84.75593746705765
2018/19,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,,,,,,,Normal value,Units,Percentage (%),,75.27839954474747
2018/19,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Indian,,,,,,Normal value,Units,Percentage (%),,73.46391719535835
2018/19,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Pakistani,,,,,,Normal value,Units,Percentage (%),,74.43152249321248
2018/19,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Bangladeshi,,,,,,Normal value,Units,Percentage (%),,69.517298812181
2018/19,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Any other Asian background,,,,,,Normal value,Units,Percentage (%),,77.96376902459552
2018/19,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,,,,,,,Normal value,Units,Percentage (%),,77.05079735468706
2018/19,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,African,,,,,,Normal value,Units,Percentage (%),,74.05557140374054
2018/19,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,Normal value,Units,Percentage (%),,81.39877737252117
2018/19,Proportion of population who feel safe walking alone after dark,,,,,Other ethnic group,,,,,,,Normal value,Units,Percentage (%),,65.92666573022196
2018/19,Proportion of population who feel safe walking alone after dark,,,Born in UK,,,,,,,,,Normal value,Units,Percentage (%),,78.54333145981356
2018/19,Proportion of population who feel safe walking alone after dark,,,Not born in UK,,,,,,,,,Normal value,Units,Percentage (%),,77.72011442294882
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,East,,,,Normal value,Units,Percentage (%),E12000006,77.70847618897513
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,East Midlands,,,,Normal value,Units,Percentage (%),E12000004,75.89910596609465
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,London,,,,Normal value,Units,Percentage (%),E12000007,75.95050746283611
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,North East,,,,Normal value,Units,Percentage (%),E12000001,76.98902630026375
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,North West,,,,Normal value,Units,Percentage (%),E12000002,77.45575886844394
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,South East,,,,Normal value,Units,Percentage (%),E12000008,81.60204285317506
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,South West,,,,Normal value,Units,Percentage (%),E12000009,82.7700556171558
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,Wales,,,,Normal value,Units,Percentage (%),W92000004,85.35156907374639
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,West Midlands,,,,Normal value,Units,Percentage (%),E12000005,70.70317133346681
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,Yorkshire and The Humber,,,,Normal value,Units,Percentage (%),E12000003,75.58187511158661
2019/20,Proportion of population who feel safe walking alone after dark,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,68.99553805118843
2019/20,Proportion of population who feel safe walking alone after dark,16 to 24,Female,,,,,,,,,,Normal value,Units,Percentage (%),,74.01473807641497
2019/20,Proportion of population who feel safe walking alone after dark,25 to 34,Female,,,,,,,,,,Normal value,Units,Percentage (%),,68.98324688775531
2019/20,Proportion of population who feel safe walking alone after dark,35 to 44,Female,,,,,,,,,,Normal value,Units,Percentage (%),,71.13065473423107
2019/20,Proportion of population who feel safe walking alone after dark,45 to 54,Female,,,,,,,,,,Normal value,Units,Percentage (%),,70.3985369297277
2019/20,Proportion of population who feel safe walking alone after dark,55 to 64,Female,,,,,,,,,,Normal value,Units,Percentage (%),,70.32949299579319
2019/20,Proportion of population who feel safe walking alone after dark,65 to 74,Female,,,,,,,,,,Normal value,Units,Percentage (%),,67.57493224732468
2019/20,Proportion of population who feel safe walking alone after dark,75 and over,Female,,,,,,,,,,Normal value,Units,Percentage (%),,58.42508272380803
2019/20,Proportion of population who feel safe walking alone after dark,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,86.83011684809004
2019/20,Proportion of population who feel safe walking alone after dark,16 to 24,Male,,,,,,,,,,Normal value,Units,Percentage (%),,85.79478498104551
2019/20,Proportion of population who feel safe walking alone after dark,25 to 34,Male,,,,,,,,,,Normal value,Units,Percentage (%),,89.46697571128536
2019/20,Proportion of population who feel safe walking alone after dark,35 to 44,Male,,,,,,,,,,Normal value,Units,Percentage (%),,88.40737324741946
2019/20,Proportion of population who feel safe walking alone after dark,45 to 54,Male,,,,,,,,,,Normal value,Units,Percentage (%),,89.71567539555367
2019/20,Proportion of population who feel safe walking alone after dark,55 to 64,Male,,,,,,,,,,Normal value,Units,Percentage (%),,86.02061580014241
2019/20,Proportion of population who feel safe walking alone after dark,65 to 74,Male,,,,,,,,,,Normal value,Units,Percentage (%),,83.38857874986357
2019/20,Proportion of population who feel safe walking alone after dark,75 and over,Male,,,,,,,,,,Normal value,Units,Percentage (%),,79.59228841316175
2019/20,Proportion of population who feel safe walking alone after dark,,,,Non-disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,80.61527371096132
2019/20,Proportion of population who feel safe walking alone after dark,,,,Disabled (GSS harmonised),,,,,,,,Normal value,Units,Percentage (%),,63.4823693253464
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,,,,,,Normal value,Units,Percentage (%),,77.84645681302179
2019/20,Proportion of population who feel safe walking alone after dark,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,80.12869771552586
2019/20,Proportion of population who feel safe walking alone after dark,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,79.508350295058
2019/20,Proportion of population who feel safe walking alone after dark,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,80.13446165880262
2019/20,Proportion of population who feel safe walking alone after dark,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,79.86600818259623
2019/20,Proportion of population who feel safe walking alone after dark,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,78.17376536292647
2019/20,Proportion of population who feel safe walking alone after dark,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,74.98005118970329
2019/20,Proportion of population who feel safe walking alone after dark,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,67.58099568980793
2019/20,Proportion of population who feel safe walking alone after dark,,,,,White,,,,,,,Normal value,Units,Percentage (%),,78.41391707570313
2019/20,Proportion of population who feel safe walking alone after dark,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,Normal value,Units,Percentage (%),,78.32918086678458
2019/20,Proportion of population who feel safe walking alone after dark,,,,,White,Irish,,,,,,Normal value,Units,Percentage (%),,77.65466398264351
2019/20,Proportion of population who feel safe walking alone after dark,,,,,White,Any other White background,,,,,,Normal value,Units,Percentage (%),,79.5579980630285
2019/20,Proportion of population who feel safe walking alone after dark,,,,,Mixed/Multiple ethnic background,,,,,,,Normal value,Units,Percentage (%),,77.95501634727785
2019/20,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,,,,,,,Normal value,Units,Percentage (%),,72.29803961720162
2019/20,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Indian,,,,,,Normal value,Units,Percentage (%),,76.24178897412816
2019/20,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Pakistani,,,,,,Normal value,Units,Percentage (%),,66.37979335376163
2019/20,Proportion of population who feel safe walking alone after dark,,,,,Asian/Asian British,Any other Asian background,,,,,,Normal value,Units,Percentage (%),,74.1820633355827
2019/20,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,,,,,,,Normal value,Units,Percentage (%),,77.63093544500984
2019/20,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,African,,,,,,Normal value,Units,Percentage (%),,73.43684872862536
2019/20,Proportion of population who feel safe walking alone after dark,,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,Normal value,Units,Percentage (%),,84.01022168172877
2019/20,Proportion of population who feel safe walking alone after dark,,,,,Other ethnic group,,,,,,,Normal value,Units,Percentage (%),,80.24983930056128
2019/20,Proportion of population who feel safe walking alone after dark,,,Born in UK,,,,,,,,,Normal value,Units,Percentage (%),,78.35186259741008
2019/20,Proportion of population who feel safe walking alone after dark,,,Not born in UK,,,,,,,,,Normal value,Units,Percentage (%),,75.5539694244559
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,"Less than £10,400",,,,,Normal value,Units,Percentage (%),,66.49974624848282
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,"£10,400 to less than £20,800",,,,,Normal value,Units,Percentage (%),,71.94108956812019
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,"£20,800 to less than £31,200",,,,,Normal value,Units,Percentage (%),,73.76682240006
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,"£31,200 to less than £41,600",,,,,Normal value,Units,Percentage (%),,80.77645895295193
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,"£41,600 to less than £52,000",,,,,Normal value,Units,Percentage (%),,81.09606586782111
2019/20,Proportion of population who feel safe walking alone after dark,,,,,,,"£52,000 or more",,,,,Normal value,Units,Percentage (%),,85.8228497980259
