Year,Units,Sex,Relationship to perpetrator,Age,Ethnicity,Income,Disability status,Country of birth,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2008/09,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.6913240502662868
2009/10,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.02214864516915
2010/11,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.8525419993938651
2011/12,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.8019246449108717
2012/13,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.7889063825956348
2013/14,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.6741722037520375
2014/15,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.6232282040002418
2015/16,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.5897704524117864
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.8018492776244551
2017/18,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.1853964199235367
2018/19,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,1.1064151964944418
2019/20,Percentage of adults aged 16 to 59 (%),Men,,,,,,,,Undefined,Units,Percentage (%),,0.822212196229098
2004/05,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.431964537862358
2005/06,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.888849778472944
2006/07,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.9678185619389694
2007/08,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.542807610868581
2008/09,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.9796500560357337
2009/10,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.750517656315929
2010/11,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.9241257833519048
2011/12,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.3450652048261045
2012/13,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.3453355670110603
2013/14,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,1.813297347583786
2014/15,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.3701036303484897
2015/16,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.8245726902570256
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,2.673493973298345
2017/18,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.836737919901081
2018/19,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.7979494275361247
2019/20,Percentage of adults aged 16 to 59 (%),Women,,,,,,,,Undefined,Units,Percentage (%),,3.0503256964849847
2004/05,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.3438758529594878
2005/06,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.3309974679126455
2006/07,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.3465802381637204
2007/08,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.3201902728552583
2008/09,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2204798946418313
2009/10,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.3190584814468588
2010/11,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.3047823828494001
2011/12,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2128713881147914
2012/13,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1818524782663706
2013/14,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1486918763743441
2014/15,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1907556345200028
2015/16,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2250003700231362
2016/17,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1552139436659
2017/18,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1617315067512608
2018/19,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2744517144963624
2019/20,Percentage of adults aged 16 to 59 (%),,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2484290701551153
2004/05,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0295418125816813
2005/06,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0353085726518666
2006/07,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.033452590640783
2007/08,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0427908794058877
2008/09,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0234790674628576
2009/10,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0171259598303727
2010/11,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0431860164615531
2011/12,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0097204815405059
2012/13,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0201651583446617
2013/14,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0370111138564946
2014/15,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0195804532360345
2015/16,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0114312439382766
2016/17,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0249035369795763
2017/18,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.048902252963714
2018/19,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0389841249746913
2019/20,Percentage of adults aged 16 to 59 (%),,Family member,,,,,,,Undefined,Units,Percentage (%),,0.042103585030786
2004/05,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.221249273355011
2005/06,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.0
2006/07,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1340280575405703
2007/08,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1372678835611972
2008/09,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1772537707530306
2009/10,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1959297468994902
2010/11,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1545054539121381
2011/12,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.0
2012/13,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.1219949989119881
2013/14,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.0831878750101829
2014/15,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.0449068296943657
2015/16,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.0699209817509307
2016/17,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.0542261055438619
2017/18,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.0653234848835438
2018/19,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.0227257926699007
2019/20,Percentage of adults aged 16 to 59 (%),Men,Partner,,,,,,,Undefined,Units,Percentage (%),,0.0768858595960279
2004/05,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0065362339244938
2005/06,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0269055752009054
2006/07,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0054152897021613
2007/08,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0071207706698828
2008/09,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0081908299567925
2009/10,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0
2010/11,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0
2011/12,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0
2012/13,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0126187555055138
2013/14,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0347529618357633
2014/15,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0
2015/16,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0
2016/17,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0258999241082854
2017/18,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0371602753468076
2018/19,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0
2019/20,Percentage of adults aged 16 to 59 (%),Men,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0212325042894599
2004/05,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.4636297297425751
2005/06,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.6214529325641317
2006/07,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.5411480589081344
2007/08,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.4885994193608259
2008/09,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2686457351589055
2009/10,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.4400372725020354
2010/11,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.4457061667101186
2011/12,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.402680877040676
2012/13,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2414814727478358
2013/14,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2133264935196214
2014/15,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.3339368703317226
2015/16,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.3781658131002129
2016/17,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2566273183447821
2017/18,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.2594601655545305
2018/19,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.518446833404983
2019/20,Percentage of adults aged 16 to 59 (%),Women,Partner,,,,,,,Undefined,Units,Percentage (%),,0.4186005891812054
2004/05,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0522859722877996
2005/06,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0436325629013042
2006/07,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0612917049408776
2007/08,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.078160508688808
2008/09,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0386940622261531
2009/10,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0343295513931812
2010/11,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0860683571329515
2011/12,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0194953676221905
2012/13,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.02765640168892
2013/14,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0392408905892831
2014/15,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0387835962382943
2015/16,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0226693926614473
2016/17,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0239109566316042
2017/18,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0607097539504903
2018/19,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0766164504996788
2019/20,Percentage of adults aged 16 to 59 (%),Women,Family member,,,,,,,Undefined,Units,Percentage (%),,0.0627807612287524
2016/17,Percentage of adults aged 16 to 59 (%),Men,,16 to 19,,,,,,Undefined,Units,Percentage (%),,3.037513840087863
2016/17,Percentage of adults aged 16 to 59 (%),Men,,20 to 24,,,,,,Undefined,Units,Percentage (%),,1.6659956122708386
2016/17,Percentage of adults aged 16 to 59 (%),Men,,25 to 34,,,,,,Undefined,Units,Percentage (%),,1.0360621397775551
2016/17,Percentage of adults aged 16 to 59 (%),Men,,35 to 44,,,,,,Undefined,Units,Percentage (%),,0.3213437180002343
2016/17,Percentage of adults aged 16 to 59 (%),Men,,45 to 54,,,,,,Undefined,Units,Percentage (%),,0.1536907386804137
2016/17,Percentage of adults aged 16 to 59 (%),Men,,55 to 59,,,,,,Undefined,Units,Percentage (%),,0.0820519075357496
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,White,,,,,Undefined,Units,Percentage (%),,0.8495725219497449
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,Mixed/Multiple ethnic groups,,,,,Undefined,Units,Percentage (%),,1.403893577100262
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,Asian/Asian British,,,,,Undefined,Units,Percentage (%),,0.4726501563065205
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,Percentage (%),,0.0
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,Other ethnic group,,,,,Undefined,Units,Percentage (%),,1.3471774495790587
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,1.6612751463262432
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,0.572082645154207
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,0.9662799560028522
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,1.017016950553519
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,0.2491439393884193
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,0.6826890375209541
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,1.0233424593656166
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,North East,Undefined,Units,Percentage (%),E12000001,0.0
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,North West,Undefined,Units,Percentage (%),E12000002,0.6142775646233953
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),E12000003,0.5549000672142662
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,East Midlands,Undefined,Units,Percentage (%),E12000004,0.580044599429054
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,West Midlands,Undefined,Units,Percentage (%),E12000005,1.3861192168051888
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,East of England,Undefined,Units,Percentage (%),E12000006,0.9225236374749048
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,London,Undefined,Units,Percentage (%),E12000007,1.0225564368922362
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,South East,Undefined,Units,Percentage (%),E12000008,0.6252288813412801
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,South West,Undefined,Units,Percentage (%),E12000009,1.1725549760417393
2016/17,Percentage of adults aged 16 to 59 (%),Men,,,,,,,Wales,Undefined,Units,Percentage (%),W92000004,0.4215998530778582
2016/17,Percentage of adults aged 16 to 59 (%),Women,,16 to 19,,,,,,Undefined,Units,Percentage (%),,8.362879614480724
2016/17,Percentage of adults aged 16 to 59 (%),Women,,20 to 24,,,,,,Undefined,Units,Percentage (%),,6.186424784666137
2016/17,Percentage of adults aged 16 to 59 (%),Women,,25 to 34,,,,,,Undefined,Units,Percentage (%),,2.8751542899058182
2016/17,Percentage of adults aged 16 to 59 (%),Women,,35 to 44,,,,,,Undefined,Units,Percentage (%),,1.3631080251104648
2016/17,Percentage of adults aged 16 to 59 (%),Women,,45 to 54,,,,,,Undefined,Units,Percentage (%),,1.043001704921817
2016/17,Percentage of adults aged 16 to 59 (%),Women,,55 to 59,,,,,,Undefined,Units,Percentage (%),,0.9948036549832432
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,White,,,,,Undefined,Units,Percentage (%),,2.655470620497132
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,Mixed/Multiple ethnic groups,,,,,Undefined,Units,Percentage (%),,7.915370883820403
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,Asian/Asian British,,,,,Undefined,Units,Percentage (%),,1.3837783121048963
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,Percentage (%),,3.484754505535031
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,Other ethnic group,,,,,Undefined,Units,Percentage (%),,3.2670855856483256
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,2.002250128452912
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,2.1283860416256024
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,2.849108535864769
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,2.047737029511293
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,2.328704509447902
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,2.552372352921863
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,4.039596935340057
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,North East,Undefined,Units,Percentage (%),E12000001,4.383127158047293
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,North West,Undefined,Units,Percentage (%),E12000002,1.947006276443231
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,Yorkshire and the Humber,Undefined,Units,Percentage (%),E12000003,1.5510738254308756
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,East Midlands,Undefined,Units,Percentage (%),E12000004,2.475070758258445
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,West Midlands,Undefined,Units,Percentage (%),E12000005,2.450002398015956
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,East of England,Undefined,Units,Percentage (%),E12000006,2.3749725896884706
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,London,Undefined,Units,Percentage (%),E12000007,3.014889370753691
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,South East,Undefined,Units,Percentage (%),E12000008,2.9129343499194413
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,South West,Undefined,Units,Percentage (%),E12000009,3.315841589824461
2016/17,Percentage of adults aged 16 to 59 (%),Women,,,,,,,Wales,Undefined,Units,Percentage (%),W92000004,3.184628097454394
2017/18,Percentage of adults aged 16 to 59 (%),,,16 to 19,,,,,,Undefined,Units,Percentage (%),,8.395573722751966
2017/18,Percentage of adults aged 16 to 59 (%),,,20 to 24,,,,,,Undefined,Units,Percentage (%),,6.644872299696767
2017/18,Percentage of adults aged 16 to 59 (%),,,25 to 34,,,,,,Undefined,Units,Percentage (%),,2.389028051494748
2017/18,Percentage of adults aged 16 to 59 (%),,,35 to 44,,,,,,Undefined,Units,Percentage (%),,0.9092206483110518
2017/18,Percentage of adults aged 16 to 59 (%),,,45 to 54,,,,,,Undefined,Units,Percentage (%),,0.9590817550017636
2017/18,Percentage of adults aged 16 to 59 (%),,,55 to 59,,,,,,Undefined,Units,Percentage (%),,1.0847883886022458
2017/18,Percentage of adults aged 16 to 74 (%),,,,,,,,,Undefined,Units,Percentage (%),,2.0759912032468533
2017/18,Percentage of adults aged 16 to 59 (%),,,,White,,,,,Undefined,Units,Percentage (%),,2.429100949949901
2017/18,Percentage of adults aged 16 to 59 (%),,,,Mixed/Multiple ethnic groups,,,,,Undefined,Units,Percentage (%),,3.644424576602992
2017/18,Percentage of adults aged 16 to 59 (%),,,,Asian/Asian British,,,,,Undefined,Units,Percentage (%),,1.810148016076394
2017/18,Percentage of adults aged 16 to 59 (%),,,,Black/African/Caribbean/Black British,,,,,Undefined,Units,Percentage (%),,5.730656219319114
2017/18,Percentage of adults aged 16 to 59 (%),,,,Other ethnic group,,,,,Undefined,Units,Percentage (%),,0.9075714018027335
2017/18,Percentage of adults aged 16 to 59 (%),,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,3.715809877697047
2017/18,Percentage of adults aged 16 to 59 (%),,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,3.5543259843462214
2017/18,Percentage of adults aged 16 to 59 (%),,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,2.199548975218224
2017/18,Percentage of adults aged 16 to 59 (%),,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,2.038443595304624
2017/18,Percentage of adults aged 16 to 59 (%),,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,1.7071665757728016
2017/18,Percentage of adults aged 16 to 59 (%),,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,2.4815634682510668
2017/18,Percentage of adults aged 16 to 59 (%),,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,2.547617794952969
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,Disabled (GSS harmonised),,,Undefined,Units,Percentage (%),,4.0760504975494944
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,Non-disabled (GSS harmonised),,,Undefined,Units,Percentage (%),,2.3088777559541
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,Born in UK,,Undefined,Units,Percentage (%),,2.640044899133622
2017/18,Percentage of adults aged 16 to 59 (%),,,,,,,Not born in UK,,Undefined,Units,Percentage (%),,1.9147866107280924
