Year,Series,Water type,Geography (HydroBASINs ID),Units,Observation status,Unit multiplier,Value
1987-1991,Open water area,Ephemeral,,% change from baseline,Missing value; data exist but were not collected,Units,
2000-2004,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
2002-2006,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
2003-2007,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
2004-2008,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
2005-2009,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
2006-2010,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
2007-2011,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
2008-2012,Open water area,Permanent,,% change from baseline,Missing value; data exist but were not collected,Units,
1987-1991,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
1988-1992,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
1989-1993,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
1990-1994,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
1991-1995,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
1992-1996,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
1993-1997,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
1996-2000,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
1997-2001,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
2000-2004,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
2002-2006,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
2003-2007,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
2004-2008,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
2005-2009,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
2006-2010,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
2007-2011,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
2008-2012,Open water area,Permanent,,% of total land area,Missing value; data exist but were not collected,Units,
1987-1991,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1988-1992,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1989-1993,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1990-1994,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1991-1995,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1992-1996,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1993-1997,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1994-1998,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1995-1999,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1996-2000,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1997-2001,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
2000-2004,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
2002-2006,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
2003-2007,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
2004-2008,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
2005-2009,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
2006-2010,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
2007-2011,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
2008-2012,Open water area,Permanent,,Square km,Missing value; data exist but were not collected,Units,
1987-1991,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1988-1992,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1989-1993,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1990-1994,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1991-1995,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1992-1996,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1993-1997,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1994-1998,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1995-1999,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1996-2000,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1997-2001,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
2000-2004,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
2002-2006,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
2003-2007,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
2004-2008,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
2005-2009,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
2006-2010,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
2007-2011,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
2008-2012,Open water area,Seasonal,,% change from baseline,Missing value; data exist but were not collected,Units,
1987-1991,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1988-1992,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1989-1993,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1990-1994,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1991-1995,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1992-1996,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1993-1997,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1994-1998,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1995-1999,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1996-2000,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1997-2001,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
2000-2004,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
2002-2006,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
2003-2007,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
2004-2008,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
2005-2009,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
2006-2010,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
2007-2011,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
2008-2012,Open water area,Seasonal,,% of total land area,Missing value; data exist but were not collected,Units,
1987-1991,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1988-1992,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1989-1993,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1990-1994,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1991-1995,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1992-1996,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1993-1997,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1994-1998,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1995-1999,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1996-2000,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1997-2001,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
2000-2004,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
2002-2006,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
2003-2007,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
2004-2008,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
2005-2009,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
2006-2010,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
2007-2011,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
2008-2012,Open water area,Seasonal,,Square km,Missing value; data exist but were not collected,Units,
1984-1988,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,13.61006845
1985-1989,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,18.33075734
1986-1990,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,22.12850519
1998-2002,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,25.48465445
1999-2003,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,23.14418194
2009-2013,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,16.32148377
2010-2014,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,9.975712078
2011-2015,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,3.749172003
2012-2016,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,-2.424376242
2013-2017,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,-1.466107308
2014-2018,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,-9.450209759
2015-2019,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,-7.785383087
2016-2020,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,-13.83528373
2017-2021,Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,-14.34753809
1984-1988,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,-4.631530915
1985-1989,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,5.087839379
1986-1990,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,5.325119781
1998-2002,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,-9.486652977
1999-2003,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,-6.735112936
2009-2013,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,-18.47136664
2010-2014,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,1.419119325
2011-2015,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,17.3853525
2012-2016,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,30.10723249
2013-2017,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,38.67214237
2014-2018,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,52.89984029
2015-2019,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,57.73671002
2016-2020,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,88.07209674
2017-2021,Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,107.2005476
1984-1988,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,-16.66133989
1985-1989,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,-16.5457898
1986-1990,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,-18.44376152
1998-2002,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,-11.80086048
1999-2003,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,-10.70190535
2009-2013,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,-6.22249539
2010-2014,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,-2.692071297
2011-2015,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,4.939151813
2012-2016,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,8.582667486
2013-2017,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,10.59864782
2014-2018,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,11.56484327
2015-2019,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,11.83036263
2016-2020,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,7.88690842
2017-2021,Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,9.625076829
2001-2005 (baseline),Open water area,Ephemeral,2060048790 (Central South East England),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060048790 (Central South East England),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060048790 (Central South East England),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,41.78800857
1985-1989,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,41.124197
1986-1990,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,36.92719486
1998-2002,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,20.54603854
1999-2003,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,14.5503212
2009-2013,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,-6.284796574
2010-2014,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,-14.3254818
2011-2015,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,-22.73019272
2012-2016,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,-32.21627409
2013-2017,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,-35.47109208
2014-2018,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,-39.26124197
2015-2019,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,-41.23126338
2016-2020,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,-45.11777302
2017-2021,Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,-23.98286938
1984-1988,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,38.84792627
1985-1989,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,53.50230415
1986-1990,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,59.33179724
1998-2002,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,3.755760369
1999-2003,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,7.764976959
2009-2013,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,-19.49308756
2010-2014,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,6.152073733
2011-2015,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,26.84331797
2012-2016,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,49.26267281
2013-2017,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,68.24884793
2014-2018,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,84.67741935
2015-2019,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,86.77419355
2016-2020,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,137.5345622
2017-2021,Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,142.8341014
1984-1988,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,-39.17014925
1985-1989,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,-39.12238806
1986-1990,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,-37.08656716
1998-2002,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,-14.58507463
1999-2003,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,-10.84776119
2009-2013,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,0.107462687
2010-2014,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,7.36119403
2011-2015,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,12.86567164
2012-2016,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,13.91641791
2013-2017,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,13.77910448
2014-2018,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,12.65074627
2015-2019,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,14.20298507
2016-2020,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,15.80298507
2017-2021,Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,16.08955224
2001-2005 (baseline),Open water area,Ephemeral,2060048980 (Central South West England),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060048980 (Central South West England),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060048980 (Central South West England),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,34.82633017
1985-1989,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,27.32535449
1986-1990,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,23.7153636
1998-2002,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,8.307532197
1999-2003,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,8.637960193
2009-2013,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,-7.174450371
2010-2014,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,-10.62963445
2011-2015,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,-17.11070639
2012-2016,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,-25.3024587
2013-2017,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,-26.28853909
2014-2018,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,-25.5197086
2015-2019,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,-25.00455314
2016-2020,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,-26.0114479
2017-2021,Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,-16.78418108
1984-1988,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,45.65257565
1985-1989,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,69.47100947
1986-1990,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,74.2018942
1998-2002,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,14.34049434
1999-2003,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,28.27442827
2009-2013,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,33.67983368
2010-2014,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,67.62300762
2011-2015,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,88.75490875
2012-2016,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,130.8385308
2013-2017,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,154.9272349
2014-2018,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,166.3848464
2015-2019,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,180.7322707
2016-2020,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,218.9142989
2017-2021,Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,241.0602911
1984-1988,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,-23.71525314
1985-1989,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,-18.55558484
1986-1990,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,-17.3455526
1998-2002,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,-13.18748606
1999-2003,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,-6.718841873
2009-2013,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,-0.927799517
2010-2014,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,3.689300704
2011-2015,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,7.656373553
2012-2016,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,8.756513453
2013-2017,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,9.108898846
2014-2018,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,8.742320715
2015-2019,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,8.596338274
2016-2020,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,6.744794307
2017-2021,Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,6.993775471
2001-2005 (baseline),Open water area,Ephemeral,2060048990 (South West England),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Seasonal,2060048990 (South West England),% change from baseline,Normal value,Units,0.0
2001-2005 (baseline),Open water area,Permanent,2060048990 (South West England),% change from baseline,Normal value,Units,0.0
1984-1988,Open water area,Ephemeral,2060049660 (Severn),% change from baseline,Normal value,Units,-19.44066709
