Year,Type of partner abuse,Abuse sub-category,Age,Ethnicity,Ethnic group,Disability status,Country of birth,Region,Highest qualification,Units,Unit multiplier,Observation status,GeoCode,Value
2005/06,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.4255795919999998
2006/07,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.3627513530000002
2008/09,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.037840044
2009/10,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.069310384
2010/11,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.2691460190000001
2011/12,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.0941469209999999
2012/13,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.144135192
2013/14,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.585792516
2014/15,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.555120635
2015/16,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.284846656
2016/17,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.322797979
2017/18,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.3970291680000002
2004/05,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,5.854566667
2005/06,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,5.634773292
2006/07,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,5.495721994
2007/08,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,5.349678029
2008/09,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.197981733
2009/10,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.61213129
2010/11,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.361206718
2011/12,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.65336561
2012/13,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.48934388
2013/14,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.214484333
2014/15,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,3.998541527
2015/16,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,3.9384805430000003
2016/17,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.00406904
2017/18,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.505424596
2004/05,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,5.604157963
2005/06,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,6.108059145
2006/07,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,5.908326457
2007/08,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,4.619949919
2008/09,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,4.458602657
2009/10,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,4.868333313
2010/11,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,4.1727997089999995
2011/12,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,4.520087845
2012/13,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,3.7442693019999997
2013/14,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,3.606578508
2014/15,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,3.5866918510000003
2015/16,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,3.0477413610000004
2016/17,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,2.792484731
2017/18,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,3.005932988
2004/05,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,4.183591185
2005/06,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,4.771790191
2006/07,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,4.652404457
2007/08,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,3.972830449
2008/09,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,3.343963422
2009/10,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,4.078203206
2010/11,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,3.2815491310000002
2011/12,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,3.399883907
2012/13,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,3.0077485939999997
2013/14,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.8144319139999996
2014/15,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.865624602
2015/16,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.310985948
2016/17,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.171177475
2017/18,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.325797667
2004/05,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,3.563418135
2005/06,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,3.88981699
2006/07,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,3.4808633999999996
2007/08,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.93855393
2008/09,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.8511790610000003
2009/10,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.910466115
2010/11,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.791987732
2011/12,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.9807704489999995
2012/13,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.06421817
2013/14,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.031989784
2014/15,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,1.855113302
2015/16,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,1.709937407
2016/17,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,1.544702646
2017/18,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,1.6749602019999998
2004/05,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.263437563
2005/06,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.278080862
2006/07,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.31030737199999997
2007/08,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.253777139
2008/09,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.22383184
2009/10,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.207328813
2010/11,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.39597791600000004
2011/12,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.34426728
2012/13,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.320458465
2013/14,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.241317703
2014/15,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.266320546
2015/16,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.297414003
2016/17,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.29575124399999997
2017/18,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.22408165300000002
2004/05,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.46362973
2005/06,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.6214529329999999
2006/07,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.541148059
2007/08,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.488599419
2008/09,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.268645735
2009/10,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.44003727299999995
2010/11,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.44570616700000004
2011/12,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.40268087700000005
2012/13,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.241481473
2013/14,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.21332649399999998
2014/15,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.33393687
2015/16,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.37816581299999996
2016/17,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.256627318
2017/18,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.25918699100000003
2018/19,,,,,,,,,,Percentage (%),Units,Undefined,,6.375420398669647
2018/19,Non-sexual,,,,,,,,,Percentage (%),Units,Undefined,,5.386574496652863
2018/19,Sexual (including attempts),,,,,,,,,Percentage (%),Units,Undefined,,0.7156394256004414
2018/19,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.5868831784630997
2018/19,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.312473389560704
2018/19,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,2.7198523606895333
2018/19,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.2012362268129553
2018/19,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,1.5549911139474588
2018/19,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.3071479617474434
2018/19,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.518446833404983
2018/19,,,16 to 19,,,,,,,Percentage (%),Units,Undefined,,6.398095313844577
2018/19,,,20 to 24,,,,,,,Percentage (%),Units,Undefined,,9.930108160995674
2018/19,,,25 to 34,,,,,,,Percentage (%),Units,Undefined,,6.332597458337928
2018/19,,,35 to 44,,,,,,,Percentage (%),Units,Undefined,,5.70113500747042
2018/19,,,45 to 54,,,,,,,Percentage (%),Units,Undefined,,6.618011802127921
2018/19,,,55 to 59,,,,,,,Percentage (%),Units,Undefined,,3.9507204967890144
2018/19,,,,White,,,,,,Percentage (%),Units,Undefined,,6.353924225017511
2018/19,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Percentage (%),Units,Undefined,,6.673899900744562
2018/19,,,,White,Any other White background,,,,,Percentage (%),Units,Undefined,,3.68867968607566
2018/19,,,,Asian/Asian British,,,,,,Percentage (%),Units,Undefined,,3.9610347751276804
2018/19,,,,Asian/Asian British,Indian,,,,,Percentage (%),Units,Undefined,,4.928686745896759
2018/19,,,,Asian/Asian British,Any other Asian background,,,,,Percentage (%),Units,Undefined,,3.6705545399037742
2018/19,,,,Black/African/Caribbean/Black British,,,,,,Percentage (%),Units,Undefined,,5.984063581150902
2018/19,,,,Black/African/Caribbean/Black British,African,,,,,Percentage (%),Units,Undefined,,3.6705545399037742
2018/19,,,,Other ethnic group,,,,,,Percentage (%),Units,Undefined,,6.0802435450330234
2018/19,,,,,,,,,Degree or diploma,Percentage (%),Units,Undefined,,5.862546261571944
2018/19,,,,,,,,,Apprenticeship or A/AS level,Percentage (%),Units,Undefined,,7.377468349205325
2018/19,,,,,,,,,O level/GCSE,Percentage (%),Units,Undefined,,7.8096968457861475
2018/19,,,,,,,,,Other qualification,Percentage (%),Units,Undefined,,4.092801401139943
2018/19,,,,,,,,,No qualification,Percentage (%),Units,Undefined,,4.30894024024491
2018/19,,,,,,Disabled (GSS harmonised),,,,Percentage (%),Units,Undefined,,12.874502258303108
2018/19,,,,,,Non-disabled (GSS harmonised),,,,Percentage (%),Units,Undefined,,5.408475819471454
2018/19,,,,,,,Born in UK,,,Percentage (%),Units,Undefined,,6.994836460742056
2018/19,,,,,,,Not born in UK,,,Percentage (%),Units,Undefined,,3.751814790000308
2018/19,,,,,,,,North East,,Percentage (%),Units,Undefined,E12000001,5.561740809721061
2018/19,,,,,,,,North West,,Percentage (%),Units,Undefined,E12000002,5.371183451154077
2018/19,,,,,,,,Yorkshire and the Humber,,Percentage (%),Units,Undefined,E12000003,6.698017196980207
2018/19,,,,,,,,East Midlands,,Percentage (%),Units,Undefined,E12000004,6.502998473294327
2018/19,,,,,,,,West Midlands,,Percentage (%),Units,Undefined,E12000005,7.622626516801965
2018/19,,,,,,,,East of England,,Percentage (%),Units,Undefined,E12000006,9.073847818367609
2018/19,,,,,,,,London,,Percentage (%),Units,Undefined,E12000007,4.296935465500357
2018/19,,,,,,,,South East,,Percentage (%),Units,Undefined,E12000008,7.390511338227942
2018/19,,,,,,,,South West,,Percentage (%),Units,Undefined,E12000009,5.728663959123086
2018/19,,,,,,,,Wales,,Percentage (%),Units,Undefined,W92000004,5.624540167097664
