Year,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2019,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,3.020152654988743
2009,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,6.412640597145093
2010,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.0473733580890863
2011,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.251910635291057
2012,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,2.632107100437917
2013,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.1152222328491983
2014,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,4.292316536067956
2015,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.996498203466044
2016,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.651718428880367
2017,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.367482096220188
2018,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,2.922980526040833
2019,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,2.95722531997442
2009,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.8344660196059626
2010,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,1.9714960330407272
2011,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.233826996261421
2012,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.958822035308353
2013,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.9112494124830546
2014,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.17662261487985
2015,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.3622836272026864
2016,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.123956369384838
2017,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.193042987045544
2018,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,1.9564251447284315
2019,England,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,2.8090508367038822
2009,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,3.3637954835248456
2010,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.7635638634679798
2011,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.976206926313793
2012,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.3290380226043728
2013,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.0975610854836386
2014,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.565531094377057
2015,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.466837756498863
2016,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.5747647308727166
2017,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.300710588930937
2018,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.6604158778556446
2019,England,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,2.6698646923471325
2009,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,3.924688858325241
2010,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,3.2351447860503604
2011,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,3.2714270910470304
2012,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,2.7083466164569296
2013,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,3.091080079581262
2014,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,2.9476968506471035
2015,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,2.764270266970996
2016,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,2.543605320927421
2017,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,2.935709790408669
2018,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,3.321401229830928
2019,England,Yorkshire and the Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,3.4163388586557035
2009,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,5.076422522051689
2010,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,4.06028660298451
2011,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,4.121259351071351
2012,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,3.7217057321711686
2013,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,3.2184072015775413
2014,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,3.644307796080062
2015,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,3.719995510350246
2016,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,4.041994417392004
2017,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,3.814181461988329
2018,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,4.079806850287117
2019,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,4.09435376209075
2009,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,4.052093277016473
2010,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.8027983426119136
2011,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,3.387614204943884
2012,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,3.119039378403807
2013,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.748884146867946
2014,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.7304045776983004
2015,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.8323039732880724
2016,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.6674592175602108
2017,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,3.258993029167476
2018,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.931827221490395
2019,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,2.527790103095077
2009,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,4.085931130674511
2010,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.392222546329667
2011,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.3945037696049654
2012,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.1663176944330718
2013,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,2.9906245600169625
2014,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.1243508247122853
2015,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.1929058240906394
2016,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.475278613739098
2017,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,3.242315064833332
2018,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,2.741398700319002
2019,England,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,2.9185038274093054
2009,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,2.329213856329557
2010,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.5629855256376142
2011,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.9379828426356716
2012,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.6247769091038415
2013,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.5800494638642688
2014,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.5106451297854957
2015,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.5691830902061052
2016,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.3227424236221728
2017,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.4844190952499607
2018,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.2572853794212244
2019,England,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,1.3947796633091158
2009,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,3.4625215023763025
2010,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,3.3108834451281104
2011,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.981699300479476
2012,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.6705091434565422
2013,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.672533655159457
2014,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.783410647165513
2015,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.625876707602036
2016,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,3.100656043449936
2017,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.9402614850522943
2018,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.824727312540202
2019,England,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,2.331120402913465
2009,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.86468180180649
2010,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.649309007140861
2011,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.0183946630254765
2012,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.8204114470763457
2013,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.533107635938176
2014,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.411221036428522
2015,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.161775053412067
2016,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,2.954518718869931
2017,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.381710987466804
2018,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.285869777766269
2019,England,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,2.862376917792535
2019,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.06921256243308
2019,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.363458129113885
2009,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,5.574356127301567
2010,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.565362302105664
2011,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.710682493809491
2012,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.39832463935546
2013,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.148730723417212
2014,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.240711732569971
2009,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.8465929743011376
2010,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.5595965001623395
2011,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.5289693307304602
2012,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.3222837034699966
2013,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.396963525946053
2014,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.459271588738478
2018,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.7635816755883837
2018,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.152020829022042
2018,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.4102212037495243
2018,Great Britain,,,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.3428006071262445
2018,Great Britain,,,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.3226647045210875
2018,Great Britain,,,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,3.96120485161025
2018,Great Britain,,,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,3.317356638716984
2018,Great Britain,,,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,2.7687622094722437
2018,Great Britain,,,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,2.578041231173854
2018,Great Britain,,,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,2.867270188294408
2018,Great Britain,,,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,2.9946100107034157
2018,Great Britain,,,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,4.542730816677967
2018,Great Britain,,,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,7.002925949787748
2018,Great Britain,,Male,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.4112886392823836
2018,Great Britain,,Male,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.3276424362483429
2018,Great Britain,,Male,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,6.178954786392001
2018,Great Britain,,Male,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,5.576730692846192
2018,Great Britain,,Male,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,4.71134459543064
2018,Great Britain,,Male,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,4.208386563736355
2018,Great Britain,,Male,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,4.285220039476604
2018,Great Britain,,Male,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,3.81562269840196
2018,Great Britain,,Male,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,5.472242921013414
2018,Great Britain,,Male,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,11.18316095539142
2018,Great Britain,,Female,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.2706819995387579
2018,Great Britain,,Female,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.3174400785558381
2018,Great Britain,,Female,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,1.618374811830212
2018,Great Britain,,Female,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,1.0348050944604583
2018,Great Britain,,Female,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,0.8550023500350307
2018,Great Britain,,Female,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,0.9943613084734167
2018,Great Britain,,Female,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,1.4979242324534678
2018,Great Britain,,Female,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,2.2324425093963502
2018,Great Britain,,Female,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,3.7789604701600847
2018,Great Britain,,Female,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,4.606988802012653
2017,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.7941669077603115
2017,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.229103986150016
2017,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.3965860914421817
2017,Great Britain,,,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.3126840275787312
2017,Great Britain,,,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.3946634658582556
2017,Great Britain,,,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,3.867593899515223
2017,Great Britain,,,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,3.923852929861817
2017,Great Britain,,,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,2.665847165500976
2017,Great Britain,,,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,2.727707034912312
2017,Great Britain,,,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,2.4721107569074343
2017,Great Britain,,,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,2.7741416953652664
2017,Great Britain,,,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,4.495895677990491
2017,Great Britain,,,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,7.650524060898172
2017,Great Britain,,Male,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.2540700755756847
2017,Great Britain,,Male,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.4623931775427964
2017,Great Britain,,Male,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,6.040198280929115
2017,Great Britain,,Male,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,6.537627015120663
2017,Great Britain,,Male,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,4.27468425119337
2017,Great Britain,,Male,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,4.519199026202994
2017,Great Britain,,Male,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,3.790967656593178
2017,Great Britain,,Male,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,3.6581133717316536
2017,Great Britain,,Male,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,6.109738083914257
2017,Great Britain,,Male,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,11.454179701761795
2017,Great Britain,,Female,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.3743757952143007
2017,Great Britain,,Female,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.3235703180318727
2017,Great Britain,,Female,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,1.5779936746524736
2017,Great Britain,,Female,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,1.2899519423796897
2017,Great Britain,,Female,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,1.0787483870872836
2017,Great Britain,,Female,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,0.9876348121518588
2017,Great Britain,,Female,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,1.1963529959149746
2017,Great Britain,,Female,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,1.9534918667117471
2017,Great Britain,,Female,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,3.178432817465537
2017,Great Britain,,Female,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,5.518204556832992
2016,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.809397566550623
2016,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.20183278097667
2016,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.4540524379571294
2016,Great Britain,,,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.4113591692601577
2016,Great Britain,,,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.5928575220549736
2016,Great Britain,,,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,4.117728024961899
2016,Great Britain,,,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,3.4021701924682644
2016,Great Britain,,,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,2.859295780098463
2016,Great Britain,,,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,2.64746284625171
2016,Great Britain,,,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,2.7205404048976223
2016,Great Britain,,,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,2.2143059028808594
2016,Great Britain,,,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,5.346375580156764
2016,Great Britain,,,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,7.069117643208542
2016,Great Britain,,Male,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.2507704923377076
2016,Great Britain,,Male,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.8420822166972272
2016,Great Britain,,Male,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,6.359424667357023
2016,Great Britain,,Male,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,5.492259246586125
2016,Great Britain,,Male,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,4.538199738321947
2016,Great Britain,,Male,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,4.423782071855763
2016,Great Britain,,Male,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,4.238684158303293
2016,Great Britain,,Male,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,3.251578575710051
2016,Great Britain,,Male,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,6.882509472586599
2016,Great Britain,,Male,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,8.517004384405736
2016,Great Britain,,Female,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.5802636507023827
2016,Great Britain,,Female,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.3313472745858297
2016,Great Britain,,Female,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,1.762467285845099
2016,Great Britain,,Female,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,1.2964892691203806
2016,Great Britain,,Female,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,1.2005537247791838
2016,Great Britain,,Female,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,0.9212261695788746
2016,Great Britain,,Female,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,1.2516527808662237
2016,Great Britain,,Female,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,1.2508206603844962
2016,Great Britain,,Female,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,4.100401542936639
2016,Great Britain,,Female,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,6.277362211899449
2015,Great Britain,,,,Undefined,Units,"Rate per 100,000 population",K03000001,2.734814102908336
2015,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",K03000001,4.2258515844986135
2015,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",K03000001,1.28688110094205
2015,Great Britain,,,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.2819228987004892
2015,Great Britain,,,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.4953893016827274
2015,Great Britain,,,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,4.303448191815477
2015,Great Britain,,,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,3.3703402131034625
2015,Great Britain,,,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,2.4945037971140187
2015,Great Britain,,,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,2.909830942179757
2015,Great Britain,,,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,2.3188540223421583
2015,Great Britain,,,65 to 74,Undefined,Units,"Rate per 100,000 population",K03000001,2.476877217958558
2015,Great Britain,,,75 to 84,Undefined,Units,"Rate per 100,000 population",K03000001,4.846907549756792
2015,Great Britain,,,85 and over,Undefined,Units,"Rate per 100,000 population",K03000001,6.307044364689409
2015,Great Britain,,Male,0 to 4,Undefined,Units,"Rate per 100,000 population",K03000001,0.300037504688086
2015,Great Britain,,Male,5 to 14,Undefined,Units,"Rate per 100,000 population",K03000001,0.6184281921515546
2015,Great Britain,,Male,15 to 24,Undefined,Units,"Rate per 100,000 population",K03000001,7.050004890320293
2015,Great Britain,,Male,25 to 34,Undefined,Units,"Rate per 100,000 population",K03000001,5.622845645187708
2015,Great Britain,,Male,35 to 44,Undefined,Units,"Rate per 100,000 population",K03000001,4.157214982701779
2015,Great Britain,,Male,45 to 54,Undefined,Units,"Rate per 100,000 population",K03000001,4.811344241921651
2015,Great Britain,,Male,55 to 64,Undefined,Units,"Rate per 100,000 population",K03000001,3.621237632350621
