Year,Units,Sex,Observation status,Unit multiplier,Unit measure,Value
2015,All public schools (%),Male,Undefined,Units,Percentage (%),93.23126510878322
2015,Nursery (%),Female,Undefined,Units,Percentage (%),100.0
2015,Primary (%),Female,Undefined,Units,Percentage (%),97.063003315964
2015,Secondary (%),Female,Undefined,Units,Percentage (%),93.42560553633218
2015,All public schools (%),Female,Undefined,Units,Percentage (%),95.19408502772644
2016,Nursery (%),,Undefined,Units,Percentage (%),100.0
2016,Primary (%),,Undefined,Units,Percentage (%),96.4616003216727
2016,Secondary (%),,Undefined,Units,Percentage (%),93.34226988382484
2016,All public schools (%),,Undefined,Units,Percentage (%),94.4433419329232
2016,Nursery (%),Male,Undefined,Units,Percentage (%),100.0
2016,Primary (%),Male,Undefined,Units,Percentage (%),94.61756373937678
2016,Secondary (%),Male,Undefined,Units,Percentage (%),93.66459627329193
2016,All public schools (%),Male,Undefined,Units,Percentage (%),93.04769603880356
2016,Nursery (%),Female,Undefined,Units,Percentage (%),92.85714285714286
2016,Primary (%),Female,Undefined,Units,Percentage (%),96.85741088180113
2016,Secondary (%),Female,Undefined,Units,Percentage (%),93.22152341020265
2016,All public schools (%),Female,Undefined,Units,Percentage (%),94.92105263157896
2017,Nursery (%),,Undefined,Units,Percentage (%),95.85510521112838
2017,Primary (%),,Undefined,Units,Percentage (%),97.04208367918804
2017,Secondary (%),,Undefined,Units,Percentage (%),94.13785992212584
2017,All public schools (%),,Undefined,Units,Percentage (%),95.10213226242416
2017,Nursery (%),Male,Undefined,Units,Percentage (%),92.58720930232559
2017,Primary (%),Male,Undefined,Units,Percentage (%),95.61462077195178
2017,Secondary (%),Male,Undefined,Units,Percentage (%),94.42781452419622
2017,All public schools (%),Male,Undefined,Units,Percentage (%),93.88623365442595
2017,Nursery (%),Female,Undefined,Units,Percentage (%),96.02196823511947
2017,Primary (%),Female,Undefined,Units,Percentage (%),97.28014792120103
2017,Secondary (%),Female,Undefined,Units,Percentage (%),93.97942436535963
2017,All public schools (%),Female,Undefined,Units,Percentage (%),95.4976637693314
2018,Nursery (%),,Undefined,Units,Percentage (%),96.53743128816423
2018,Primary (%),,Undefined,Units,Percentage (%),96.9381941246107
2018,Secondary (%),,Undefined,Units,Percentage (%),94.16201580494264
2018,All public schools (%),,Undefined,Units,Percentage (%),95.0081422762316
2018,Nursery (%),Male,Undefined,Units,Percentage (%),96.68222621184921
2018,Primary (%),Male,Undefined,Units,Percentage (%),95.72260754428352
2018,Secondary (%),Male,Undefined,Units,Percentage (%),94.59817255596217
2018,All public schools (%),Male,Undefined,Units,Percentage (%),93.99211164263164
2018,Nursery (%),Female,Undefined,Units,Percentage (%),96.53073625559976
2018,Primary (%),Female,Undefined,Units,Percentage (%),97.14318294956286
2018,Secondary (%),Female,Undefined,Units,Percentage (%),93.9225744678665
2018,All public schools (%),Female,Undefined,Units,Percentage (%),95.33784463001076
