Year,Series,Sex,Age,Region,Disability status,Ethnicity,Nationality,Country of birth,Observation status,Unit multiplier,Units,GeoCode,Value
2017 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.817894703899524
2017 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.978204937369105
2018 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.865057766745927
2018 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.554132406956056
2018 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.540671655893156
2018 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.60995394076747
2019 Q1,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.756900391621494
2019 Q2,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.978912813309464
2019 Q3,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.774506151164854
2019 Q4,Manufacturing employment as a proportion of total employment,Male,,,,,,,Normal value,Units,Percentage (%),,12.994014179207731
2000 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,8.260642990210608
2000 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,8.170092921616218
2000 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,7.970234549393508
2000 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,7.982526256201664
2001 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,7.764375094330003
2001 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,7.674373365766322
2001 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,7.756887205003573
2001 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,7.605588800427068
2002 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,7.39940483082489
2002 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,7.229942628521658
2002 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,7.189157871035077
2002 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,7.152425803474279
2003 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,6.778156825293629
2003 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,6.652845519608737
2003 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,6.535608134411444
2003 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,6.24088342937808
2004 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,6.063366093918804
2004 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,6.021158659004416
2004 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,6.038233529656197
2004 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.948303908142364
2005 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.8682224900389794
2005 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.945052645302708
2005 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.822516429709922
2005 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.733478974265965
2006 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.598430141705468
2006 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.792475388150461
2006 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.842707213083398
2006 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.71412581033039
2007 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.695549237768039
2007 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.762635145211107
2007 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.936435532846541
2007 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.76362283833365
2008 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.631247638279851
2008 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.357028247614062
2008 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.49719689032212
2008 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.320185117871642
2009 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.240404783960099
2009 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.980727168543454
2009 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.026048041559599
2009 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.94674963027374
2010 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.862500294179944
2010 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.904116220910916
2010 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.928140642638398
2010 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.029505376218236
2011 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.959164032710725
2011 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.099227721287385
2011 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.92029167171476
2011 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.009172804807345
2012 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.0887110820266654
2012 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.213869770289612
2012 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.147527365544374
2012 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.089504908850242
2013 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.980507709277866
2013 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.797183371361742
2013 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.06565892207692
2013 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.15638498673681
2014 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.235652585027749
2014 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.281016304319398
2014 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.288520216072491
2014 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.293657369525836
2015 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.106216006568472
2015 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.099473796934941
2015 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.073203689828108
2015 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.900187275001179
2016 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.873405174509723
2016 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.932514850217468
2016 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.084256656043399
2016 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.973235711480609
2017 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.824890656042366
2017 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.794647083301041
2017 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.074119879593879
2017 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.845381753250448
2018 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.767682135485727
2018 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.851304182593784
2018 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.707265240136024
2018 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.662059219476531
2019 Q1,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.874400218106046
2019 Q2,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.05177754141698
2019 Q3,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,5.061208106527349
2019 Q4,Manufacturing employment as a proportion of total employment,Female,,,,,,,Normal value,Units,Percentage (%),,4.831222753229269
2009 Q1,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.1
2009 Q2,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,5.8
2009 Q3,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.2
2009 Q4,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,5.8
2010 Q1,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,5.8
2010 Q2,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.4
2010 Q3,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.5
2010 Q4,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.9
2011 Q1,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.3
2011 Q2,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.3
2011 Q3,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.1
2011 Q4,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.5
2012 Q1,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.2
2012 Q2,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.5
2012 Q3,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.9
2012 Q4,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.4
2013 Q1,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.2
2013 Q2,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.4
2013 Q3,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.7
2013 Q4,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.9
2014 Q1,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.7
2014 Q2,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.9
2014 Q3,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.3
2014 Q4,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.1
2015 Q1,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.7
2015 Q2,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.2
2015 Q3,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.3
2015 Q4,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.8
2016 Q1,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.8
2016 Q2,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.1
2016 Q3,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.6
2016 Q4,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,7.1
2017 Q1,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.8
2017 Q2,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.4
2017 Q3,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.6
2017 Q4,Manufacturing employment as a proportion of total employment,,16 to 24,,,,,,Normal value,Units,Percentage (%),,6.6
2009 Q1,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.6
2009 Q2,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.3
2009 Q3,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.3
2009 Q4,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.2
2010 Q1,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.4
2010 Q2,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.6
2010 Q3,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.4
2010 Q4,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.6
2011 Q1,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,8.9
2011 Q2,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.1
2011 Q3,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,8.8
2011 Q4,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.1
2012 Q1,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,8.6
2012 Q2,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.1
2012 Q3,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,8.9
2012 Q4,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.0
2013 Q1,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.2
2013 Q2,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,8.6
2013 Q3,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.0
2013 Q4,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.0
2014 Q1,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.1
2014 Q2,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.4
2014 Q3,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.3
2014 Q4,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.7
2015 Q1,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.4
2015 Q2,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.5
2015 Q3,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,8.9
2015 Q4,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.1
2016 Q1,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.5
2016 Q2,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.7
2016 Q3,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.5
2016 Q4,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.3
2017 Q1,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,8.8
2017 Q2,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.0
2017 Q3,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.0
2017 Q4,Manufacturing employment as a proportion of total employment,,25 to 34,,,,,,Normal value,Units,Percentage (%),,9.1
2009 Q1,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.5
2009 Q2,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.4
2009 Q3,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.4
2009 Q4,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.5
2010 Q1,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.4
2010 Q2,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.5
2010 Q3,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.5
2010 Q4,Manufacturing employment as a proportion of total employment,,35 to 44,,,,,,Normal value,Units,Percentage (%),,10.4
