Year,Series,Beverage,Sex,Observation status,Unit multiplier,Units,Value
1976,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.81
1975,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.4
1974,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.39
1973,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,10.04
1972,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,9.14
1971,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,8.83
1970,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,8.46
1969,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,8.11
1968,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,7.91
1967,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,7.68
1966,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,7.56
1965,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,7.4
1964,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,7.53
1963,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,7.18
1962,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,7.09
1961,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,,,Normal value,Units,Litres of pure alcohol,7.14
2019,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.53
2018,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.57
2017,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.42
2016,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.39
2015,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.41
2014,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.39
2013,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.3
2012,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.38
2011,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.58
2010,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.69
2009,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,3.78
2008,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,4.17
2007,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,4.42
2006,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,4.69
2005,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,4.85
2004,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.11
2003,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.17
2002,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.12
2001,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.06
2000,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,4.98
1999,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.25
1998,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.37
1997,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.27
1996,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.29
1995,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.21
1994,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.09
1993,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.24
1992,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.47
1991,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.62
1990,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.62
1989,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.68
1988,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.65
1987,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.49
1986,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.73
1985,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.75
1984,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.84
1983,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.91
1982,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.86
1981,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.1
1980,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.48
1979,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.85
1978,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.77
1977,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.68
1976,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.83
1975,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.73
1974,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.61
1973,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.45
1972,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.09
1971,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,7.01
1970,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.8
1969,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.62
1968,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.35
1967,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.21
1966,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.12
1965,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.99
1964,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,6.02
1963,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.79
1962,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.77
1961,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Beer,,Normal value,Units,Litres of pure alcohol,5.81
2019,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.3
2018,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.44
2017,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.52
2016,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.46
2015,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.39
2014,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.3
2013,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.28
2012,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.22
2011,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.22
2010,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.23
2009,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.17
2008,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.4
2007,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.51
2006,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.25
2005,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.42
2004,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.33
2003,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.05
2002,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.28
2001,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.6
2000,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,3.25
1999,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,2.48
1998,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,2.4
1997,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,2.29
1996,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,2.09
1995,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,2.03
1994,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.96
1993,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.87
1992,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.81
1991,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.81
1990,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.8
1989,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.78
1988,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.72
1987,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.65
1986,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.41
1985,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.36
1984,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.31
1983,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.16
1982,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.07
1981,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,1.06
1980,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.99
1979,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.99
1978,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.92
1977,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.77
1976,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.83
1975,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.75
1974,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.76
1973,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.75
1972,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.59
1971,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.51
1970,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.42
1969,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.41
1968,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.42
1967,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.37
1966,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.34
1965,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.32
1964,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.34
1963,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.3
1962,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.29
1961,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Wine,,Normal value,Units,Litres of pure alcohol,0.28
2019,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.35
2018,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.39
2017,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.26
2016,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.18
2015,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.08
2014,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.02
2013,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.04
2012,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.11
2011,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.12
2010,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.2
2009,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.12
2008,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.26
2007,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.33
2006,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.25
2005,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.46
2004,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.52
2003,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.45
2002,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.33
2001,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.03
2000,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.96
1999,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.81
1998,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.75
1997,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.78
1996,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.75
1995,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.91
1994,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.84
1993,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.87
1992,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.93
1991,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.15
1990,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.16
1989,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.18
1988,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.2
1987,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.01
1986,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.12
1985,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.13
1984,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.01
1983,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.03
1982,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.98
1981,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.11
1980,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.24
1979,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.4
1978,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.2
1977,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.83
1976,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.15
1975,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.92
1974,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,2.02
1973,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.84
1972,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.46
1971,Recorded alcohol consumption per capita (aged 15 years and older) within a calendar year,Spirits,,Normal value,Units,Litres of pure alcohol,1.31
