Year,Units,Sex,Age,Country,Region,Malaria species,Fatality,Country of birth,Ethnic Group,Region of travel,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2007,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.855866221073948
2008,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.7582233578371762
2009,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.8936569174869595
2010,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.012445742040849
2011,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.8108515039350863
2012,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.572874229868505
2013,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.8594303709934847
2014,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.8096885118929815
2015,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.640300172474184
2016,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,1.992442913844788
2017,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.19865985019525
2018,"Rate per 100,000 population",,,,,P. falciparum,,,,,Undefined,Units,"Rate per 100,000 population",,2.0696750459656013
2000,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.5468183493218264
2001,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.4415271249228765
2002,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.4783909059101608
2003,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.3437482802105859
2004,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.4603808577375777
2005,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.4270584498678734
2006,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.3567490768542234
2007,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.417488359046512
2008,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.2862976396846184
2009,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.3292618049913712
2010,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.5544981141965284
2011,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.6557621065733514
2012,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.4238283852939085
2013,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.2792265406105989
2014,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.3483147264122506
2015,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.3179233480357267
2016,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.2528635502280082
2017,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.2483334817024937
2018,"Rate per 100,000 population",,,,,P. vivax,,,,,Undefined,Units,"Rate per 100,000 population",,0.2152462047804225
2000,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.2088778166664119
2001,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.2655929448769794
2002,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.2240351777677866
2003,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.2246939977961878
2004,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.2001655903206859
2005,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1920107759095865
2006,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1742645260209571
2007,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1761279014727472
2008,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1229300599775762
2009,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1108247050946566
2010,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1577451531765986
2011,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1216715233883085
2012,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1036024941829554
2013,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1216741350146743
2014,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.2012485085937447
2015,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1459068505477972
2016,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1340481471088236
2017,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.1635366830723739
2018,"Rate per 100,000 population",,,,,P. ovale,,,,,Undefined,Units,"Rate per 100,000 population",,0.176110531183982
2000,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0509458089430273
2001,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0625919679009441
2002,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0724324258948482
2003,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0452741637350527
2004,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.04670530440816
2005,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0480026939773966
2006,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0394561190990846
2007,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0489244170757631
2008,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0323500157835727
2009,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0578215852667773
2010,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0589552592680217
2011,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0489846392862021
2012,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0502315123311298
2013,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0608370675073371
2014,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0634706834795656
2015,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.035324816448414
2016,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0624542503575201
2017,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0832825700831534
2018,"Rate per 100,000 population",,,,,P. malariae,,,,,Undefined,Units,"Rate per 100,000 population",,0.0541878557489175
2000,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2001,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2002,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2003,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2004,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2005,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2006,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.001644005
2007,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2008,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2009,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2010,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2011,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2012,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2013,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2014,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2015,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2016,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.001523274
2017,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.003028457
2018,"Rate per 100,000 population",,,,,P. knowlesi,,,,,Undefined,Units,"Rate per 100,000 population",,0.0030104364304954
2000,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0271710981029478
2001,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.027066796930138
2002,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0218981752705355
2003,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0251523131861404
2004,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0200165590320685
2005,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.016552653095654
2006,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0328800992492371
2007,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0244622085378815
2008,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0145575071026077
2009,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0096369308777962
2010,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0191206246274664
2011,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0063205986175744
2012,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0109881433224346
2013,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0202790225024457
2014,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0325093744651433
2015,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0107510310929955
2016,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0198025671865307
2017,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0166565140166306
2018,"Rate per 100,000 population",,,,,Mixed,,,,,Undefined,Units,"Rate per 100,000 population",,0.0135469639372293
2000,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.001698194
2001,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.001691675
2002,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.00336895
2003,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.001676821
2004,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2005,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.004965796
2006,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2007,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2008,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.001617501
2009,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2010,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2011,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2012,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2013,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2014,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2015,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2016,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.001523274
2017,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0
2018,"Rate per 100,000 population",,,,,P. unspecified,,,,,Undefined,Units,"Rate per 100,000 population",,0.0015052182152477
2000,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,3.449031265442948
2001,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,3.4425582345519303
2002,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,3.252721265184932
2003,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.857302777945553
2004,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.7539449134954377
2005,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.8851274345724938
2006,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.870432664458406
2007,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.514715037694225
2008,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.2062710764396583
2009,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.3915650128397647
2010,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.7916111956101086
2011,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.630949174565374
2012,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.158385295478237
2013,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.3305276629733784
2014,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.450587608491523
2015,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.140991049090836
2016,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.455518331129815
2017,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.704412184882036
2018,"Rate per 100,000 population",,,,,,Non-fatal,,,,Undefined,Units,"Rate per 100,000 population",,2.52425094697041
2014,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.449039543
2014,"Rate per 100,000 population",,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.918964699
2014,"Rate per 100,000 population",,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.088291538
2014,"Rate per 100,000 population",,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.47643636
2014,"Rate per 100,000 population",,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.389809023
2014,"Rate per 100,000 population",,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.059753509
2014,"Rate per 100,000 population",,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.483271078
2014,"Rate per 100,000 population",,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.971187087
2014,"Rate per 100,000 population",,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.630280243
2014,"Rate per 100,000 population",,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.803687801
2014,"Rate per 100,000 population",,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.044848596
2014,"Rate per 100,000 population",,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.27496273
2014,"Rate per 100,000 population",,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.810363684
2014,"Rate per 100,000 population",,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.765577951
2014,"Rate per 100,000 population",,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.235315884
2014,"Rate per 100,000 population",,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.509880268999999
2014,"Rate per 100,000 population",Male,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.406329646
2014,"Rate per 100,000 population",Male,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.921270189
2014,"Rate per 100,000 population",Male,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.164363
2014,"Rate per 100,000 population",Male,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.663900894
2014,"Rate per 100,000 population",Male,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.086001291
2014,"Rate per 100,000 population",Male,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.237830705
2014,"Rate per 100,000 population",Male,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.733268918
2014,"Rate per 100,000 population",Male,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.824585669
2014,"Rate per 100,000 population",Male,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.732068055
2014,"Rate per 100,000 population",Male,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.836030917
2014,"Rate per 100,000 population",Male,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,5.862693121
2014,"Rate per 100,000 population",Male,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,4.767340178
2014,"Rate per 100,000 population",Male,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,3.899631906
2014,"Rate per 100,000 population",Male,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.443596555
2014,"Rate per 100,000 population",Male,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.559848799
2014,"Rate per 100,000 population",Male,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.733376123
2014,"Rate per 100,000 population",Female,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.521202329
2014,"Rate per 100,000 population",Female,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.916543612
2014,"Rate per 100,000 population",Female,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.008529506
2014,"Rate per 100,000 population",Female,10 to 14,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.279812356
2014,"Rate per 100,000 population",Female,15 to 19,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.655088168
2014,"Rate per 100,000 population",Female,20 to 24,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.840009738
2014,"Rate per 100,000 population",Female,25 to 29,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.232132689
2014,"Rate per 100,000 population",Female,30 to 34,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.143049952
2014,"Rate per 100,000 population",Female,35 to 39,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.545848624
2014,"Rate per 100,000 population",Female,40 to 44,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.79370641
2014,"Rate per 100,000 population",Female,45 to 49,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.278563695
2014,"Rate per 100,000 population",Female,50 to 54,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.817714291
2014,"Rate per 100,000 population",Female,55 to 59,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.747798802
2014,"Rate per 100,000 population",Female,60 to 64,,,,,,,,Undefined,Units,"Rate per 100,000 population",,1.11556096
2014,"Rate per 100,000 population",Female,65 to 69,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.928502571
2014,"Rate per 100,000 population",Female,70 and over,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.338135839
2015,"Rate per 100,000 population",,,,,,,,,,Undefined,Units,"Rate per 100,000 population",,2.136383464
2015,"Rate per 100,000 population",,4 and under,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.521468097
2015,"Rate per 100,000 population",,5 to 9,,,,,,,,Undefined,Units,"Rate per 100,000 population",,0.809215754
