Year,Units,Unit measure,Observation status,Unit multiplier,Value
1993,House of Lords,Percentage (%),Undefined,Units,6.54515327258
1994,House of Lords,Percentage (%),Undefined,Units,6.64451827243
1995,House of Lords,Percentage (%),Undefined,Units,6.63865546218
1996,House of Lords,Percentage (%),Undefined,Units,7.12510356255
1997,House of Lords,Percentage (%),Undefined,Units,7.14285714286
1998,House of Lords,Percentage (%),Undefined,Units,7.94140323824
1999,House of Lords,Percentage (%),Undefined,Units,8.90566037736
2000,House of Lords,Percentage (%),Undefined,Units,15.873015873
2001,House of Lords,Percentage (%),Undefined,Units,16.2002945508
2002,House of Lords,Percentage (%),Undefined,Units,16.2824207493
2003,House of Lords,Percentage (%),Undefined,Units,16.568914956
2004,House of Lords,Percentage (%),Undefined,Units,17.8217821782
2005,House of Lords,Percentage (%),Undefined,Units,17.7053824363
2006,House of Lords,Percentage (%),Undefined,Units,18.9081225033
2007,House of Lords,Percentage (%),Undefined,Units,19.5739014647
2008,House of Lords,Percentage (%),Undefined,Units,19.8924731183
2009,House of Lords,Percentage (%),Undefined,Units,20.1086956522
2010,House of Lords,Percentage (%),Undefined,Units,20.0
2012,House of Lords,Percentage (%),Undefined,Units,22.0048899756
2013,House of Lords,Percentage (%),Undefined,Units,22.2222222222
2014,House of Lords,Percentage (%),Undefined,Units,23.0492196879
2015,House of Lords,Percentage (%),Undefined,Units,23.7247924081
2016,House of Lords,Percentage (%),Undefined,Units,25.5621301775
2017,House of Lords,Percentage (%),Undefined,Units,26.1077844311
1999,Welsh Assembly,Percentage (%),Undefined,Units,40.0
2003,Welsh Assembly,Percentage (%),Undefined,Units,50.0
2007,Welsh Assembly,Percentage (%),Undefined,Units,46.6666666666666
2011,Welsh Assembly,Percentage (%),Undefined,Units,41.6666666666666
2016,Welsh Assembly,Percentage (%),Undefined,Units,41.6666666666666
1999,Scottish Parliament,Percentage (%),Undefined,Units,37.2093023255814
2003,Scottish Parliament,Percentage (%),Undefined,Units,39.5348837209302
2007,Scottish Parliament,Percentage (%),Undefined,Units,33.3333333333333
2011,Scottish Parliament,Percentage (%),Undefined,Units,34.8837209302325
2016,Scottish Parliament,Percentage (%),Undefined,Units,34.8837209302325
1998,Northern Ireland Assembly,Percentage (%),Undefined,Units,12.9629629629629
2003,Northern Ireland Assembly,Percentage (%),Undefined,Units,16.6666666666666
2007,Northern Ireland Assembly,Percentage (%),Undefined,Units,16.6666666666666
2011,Northern Ireland Assembly,Percentage (%),Undefined,Units,18.5185185185185
2016,Northern Ireland Assembly,Percentage (%),Undefined,Units,27.7777777777777
2017,Northern Ireland Assembly,Percentage (%),Undefined,Units,30.0
1997,English Local Authority Councillors,Percentage (%),Undefined,Units,27.8
2001,English Local Authority Councillors,Percentage (%),Undefined,Units,28.5
2004,English Local Authority Councillors,Percentage (%),Undefined,Units,29.1
2006,English Local Authority Councillors,Percentage (%),Undefined,Units,29.3
2008,English Local Authority Councillors,Percentage (%),Undefined,Units,30.8
2010,English Local Authority Councillors,Percentage (%),Undefined,Units,30.6
2013,English Local Authority Councillors,Percentage (%),Undefined,Units,31.7
2018,English Local Authority Councillors,Percentage (%),Undefined,Units,35.7
2004,Welsh Local Authority Councillors,Percentage (%),Undefined,Units,22.0
2008,Welsh Local Authority Councillors,Percentage (%),Undefined,Units,25.0
2012,Welsh Local Authority Councillors,Percentage (%),Undefined,Units,26.0
2019,Welsh Local Authority Councillors,Percentage (%),Undefined,Units,28.0
2005,Northern Ireland Local Authority Councils,Percentage (%),Undefined,Units,21.0
2011,Northern Ireland Local Authority Councils,Percentage (%),Undefined,Units,23.5
2014,Northern Ireland Local Authority Councils,Percentage (%),Undefined,Units,25.11
2019,Northern Ireland Local Authority Councils,Percentage (%),Undefined,Units,26.2
1995,Scottish Local Authority Councils,Percentage (%),Undefined,Units,23.0
1999,Scottish Local Authority Councils,Percentage (%),Undefined,Units,24.5
2003,Scottish Local Authority Councils,Percentage (%),Undefined,Units,23.3
2007,Scottish Local Authority Councils,Percentage (%),Undefined,Units,21.8
2012,Scottish Local Authority Councils,Percentage (%),Undefined,Units,24.3
2017,Scottish Local Authority Councils,Percentage (%),Undefined,Units,28.9
