Year,Sex,Occupation minor group,Occupation unit group,Unit measure,Observation status,Unit multiplier,Value
2013,Male,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,42.17071
2013,Male,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,2.086701
2013,Male,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,4.642752
2013,Male,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,2.646432
2013,Male,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,6.733259
2013,Male,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,1.900864
2013,Male,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,3.051722
2013,Male,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,8.62461
2013,Male,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,4.796876
2013,Male,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,2.667997
2013,Male,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,19.74153
2013,Male,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,19.4818
2013,Male,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,14.17466
2013,Male,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,5.061678
2013,Male,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,5.345507
2013,Male,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,2.242094
2013,Female,Health professionals,,"Rate per 10,000 population",Undefined,Units,84.96795
2013,Female,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,33.13149
2013,Female,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,9.745912
2013,Female,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,9.447195
2013,Female,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.671794
2013,Female,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,6.602168
2013,Female,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,5.428176
2013,Female,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,3.40562
2013,Female,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,10.35378
2013,Female,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,37.49589
2013,Female,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,11.27419
2013,Female,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,11.23151
2013,Female,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,5.77755
2013,Female,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,9.212642
2013,Female,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,177.2792
2013,Female,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,163.2644
2013,Female,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,14.01483
2013,Female,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,33.06426
2013,Female,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,4.777016
2013,Female,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,7.188243
2013,Female,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,7.122237
2013,Female,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,12.9093
2014,,Health professionals,,"Rate per 10,000 population",Undefined,Units,81.58692
2014,,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,38.29837
2014,,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,6.075228
2014,,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,9.238855
2014,,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.392895
2014,,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,7.94204
2014,,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,3.592131
2014,,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,2.525669
2014,,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,7.382415
2014,,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,22.88366
2014,,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,8.082759
2014,,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,6.461935
2014,,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,1.705968
2014,,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.632996
2014,,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,97.64268
2014,,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,91.36713
2014,,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,6.275548
2014,,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,23.45489
2014,,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,3.410543
2014,,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,0.96429
2014,,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,3.863197
2014,,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,7.119708
2014,,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,8.097156
2014,Male,Health professionals,,"Rate per 10,000 population",Undefined,Units,75.74255
2014,Male,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,40.85583
2014,Male,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,1.929939
2014,Male,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,7.22815
2014,Male,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,4.438608
2014,Male,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,10.53415
2014,Male,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,5.287202
2014,Male,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,7.458069
2014,Male,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,3.517987
2014,Male,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,2.351405
2014,Male,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,21.43755
2014,Male,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,21.43755
2014,Male,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,16.56174
2014,Male,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,4.384195
2014,Male,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,1.524828
2014,Male,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.870218
2014,Male,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,3.584038
2014,Female,Health professionals,,"Rate per 10,000 population",Undefined,Units,87.25147
2014,Female,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,35.81959
2014,Female,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,10.09298
2014,Female,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,11.1877
2014,Female,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,2.379356
2014,Female,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,5.429686
2014,Female,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,6.076883
2014,Female,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,3.691126
2014,Female,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,9.413163
2014,Female,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,37.83465
2014,Female,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,12.50709
2014,Female,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,11.57638
2014,Female,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,2.968326
2014,Female,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,10.78286
2014,Female,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,171.5032
2014,Female,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,159.1452
2014,Female,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,12.35802
2014,Female,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,30.13596
2014,Female,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,2.466848
2014,Female,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,1.706551
2014,Female,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,6.129622
2014,Female,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,7.361522
2014,Female,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,12.47142
2015,,Health professionals,,"Rate per 10,000 population",Undefined,Units,78.3549
2015,,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,35.59006
2015,,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,5.590383
2015,,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,10.01366
2015,,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,2.030409
2015,,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,7.031942
2015,,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,4.502839
2015,,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,2.463215
2015,,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,7.915063
2015,,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,21.41682
2015,,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,8.038239
2015,,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,4.878357
2015,,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,3.169711
2015,,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,5.330515
2015,,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,105.1756
2015,,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,98.40972
2015,,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,6.765931
2015,,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,22.53324
2015,,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,3.721393
2015,,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,0.940715
2015,,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,4.342649
2015,,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.15988
2015,,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,7.368603
2015,Male,Health professionals,,"Rate per 10,000 population",Undefined,Units,70.63505
2015,Male,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,37.21841
2015,Male,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,2.398171
2015,Male,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,8.697578
2015,Male,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,2.218589
2015,Male,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,8.893996
2015,Male,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,1.905255
2015,Male,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.00291
2015,Male,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,4.963453
2015,Male,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,2.524751
2015,Male,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,1.580074
2015,Male,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,20.04524
2015,Male,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,20.04524
2015,Male,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,16.76412
2015,Male,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,5.785603
2015,Male,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,1.516472
2015,Male,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.396681
2015,Male,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,2.811896
2015,Female,Health professionals,,"Rate per 10,000 population",Undefined,Units,85.85014
2015,Female,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,34.00908
2015,Female,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,8.689719
2015,Female,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,11.29146
2015,Female,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,1.847704
2015,Female,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,5.224063
2015,Female,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,7.024848
2015,Female,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,4.045637
2015,Female,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,9.771583
2015,Female,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,37.39149
2015,Female,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,13.39132
2015,Female,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,9.213397
2015,Female,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,5.814941
2015,Female,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,8.971839
2015,Female,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,187.8293
2015,Female,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,174.4942
