Year,Country,Region,Type of disease,Chronic respiratory disease type,Sex,Age,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,7.8
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,18.27
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,46.67
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,81.53
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Men,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.66
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Men,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,1.07
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Men,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,2.24
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Men,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,4.02
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Men,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,8.14
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,19.1
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Men,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,51.32
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Men,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,89.03
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Women,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.27
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Women,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.59
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Women,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,1.88
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Women,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,2.42
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Women,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,7.45
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Women,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,17.46
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Women,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,42.21
2013,England,,Chronic respiratory disease,Chronic lower respiratory diseases,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,74.43
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.11
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.21
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.45
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.61
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,1.05
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,1.93
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,2.93
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,4.9
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Men,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.24
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Men,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.64
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Men,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.72
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Men,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,1.23
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,2.47
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Men,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,3.96
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Men,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,7.04
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Women,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.18
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Women,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.26
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Women,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.5
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Women,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,0.88
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Women,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,1.4
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Women,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,1.93
2013,England,,Chronic respiratory disease,Lung diseases due to external agents,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,2.87
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.08
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.24
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.32
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.64
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,1.47
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,2.92
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,7.25
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,13.74
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Men,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.36
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Men,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.27
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Men,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.72
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Men,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,1.95
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,3.51
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Men,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,9.79
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Men,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,18.24
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Women,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.16
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Women,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.37
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Women,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.55
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Women,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,0.99
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Women,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,2.35
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Women,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,4.8
2013,England,,Chronic respiratory disease,Other respiratory diseases principally affecting the interstitium,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,9.48
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.15
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.11
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.23
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,0.25
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,0.32
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,0.88
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,0.99
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Men,35 to 39,"Rate per 100,000 population",Units,Undefined,E92000001,0.24
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Men,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.26
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Men,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,0.22
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,0.26
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Men,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,1.04
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Men,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,1.62
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Women,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.2
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Women,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,0.27
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Women,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,0.38
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Women,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,0.73
2013,England,,Chronic respiratory disease,Suppurative and necrotic conditions of lower respiratory tract,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,0.4
2013,England,,Chronic respiratory disease,Other diseases of pleura,,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.08
2013,England,,Chronic respiratory disease,Other diseases of pleura,,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,0.16
2013,England,,Chronic respiratory disease,Other diseases of pleura,,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,0.27
2013,England,,Chronic respiratory disease,Other diseases of pleura,,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,0.21
2013,England,,Chronic respiratory disease,Other diseases of pleura,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,0.32
2013,England,,Chronic respiratory disease,Other diseases of pleura,Men,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,0.42
2013,England,,Chronic respiratory disease,Other diseases of pleura,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,0.33
2013,England,,Chronic respiratory disease,Other respiratory disorders,,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.14
2013,England,,Chronic respiratory disease,Other respiratory disorders,,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.34
2013,England,,Chronic respiratory disease,Other respiratory disorders,,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.41
2013,England,,Chronic respiratory disease,Other respiratory disorders,,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,0.83
2013,England,,Chronic respiratory disease,Other respiratory disorders,,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,1.09
2013,England,,Chronic respiratory disease,Other respiratory disorders,,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,2.65
2013,England,,Chronic respiratory disease,Other respiratory disorders,,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,4.08
2013,England,,Chronic respiratory disease,Other respiratory disorders,Men,30 to 34,"Rate per 100,000 population",Units,Undefined,E92000001,0.16
2013,England,,Chronic respiratory disease,Other respiratory disorders,Men,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.32
2013,England,,Chronic respiratory disease,Other respiratory disorders,Men,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.41
2013,England,,Chronic respiratory disease,Other respiratory disorders,Men,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,0.84
2013,England,,Chronic respiratory disease,Other respiratory disorders,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,1.04
2013,England,,Chronic respiratory disease,Other respiratory disorders,Men,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,2.29
2013,England,,Chronic respiratory disease,Other respiratory disorders,Men,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,4.72
2013,England,,Chronic respiratory disease,Other respiratory disorders,Women,40 to 44,"Rate per 100,000 population",Units,Undefined,E92000001,0.37
2013,England,,Chronic respiratory disease,Other respiratory disorders,Women,45 to 49,"Rate per 100,000 population",Units,Undefined,E92000001,0.4
2013,England,,Chronic respiratory disease,Other respiratory disorders,Women,50 to 54,"Rate per 100,000 population",Units,Undefined,E92000001,0.82
2013,England,,Chronic respiratory disease,Other respiratory disorders,Women,55 to 59,"Rate per 100,000 population",Units,Undefined,E92000001,1.14
2013,England,,Chronic respiratory disease,Other respiratory disorders,Women,60 to 64,"Rate per 100,000 population",Units,Undefined,E92000001,3.0
2013,England,,Chronic respiratory disease,Other respiratory disorders,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,E92000001,3.47
2013,England and Wales,,Cancer,,,30 to 34,"Rate per 100,000 population",Units,Undefined,K04000001,11.65
2013,England and Wales,,Cancer,,,35 to 39,"Rate per 100,000 population",Units,Undefined,K04000001,19.88
2013,England and Wales,,Cancer,,,40 to 44,"Rate per 100,000 population",Units,Undefined,K04000001,36.28
2013,England and Wales,,Cancer,,,45 to 49,"Rate per 100,000 population",Units,Undefined,K04000001,66.92
2013,England and Wales,,Cancer,,,50 to 54,"Rate per 100,000 population",Units,Undefined,K04000001,121.67
2013,England and Wales,,Cancer,,,55 to 59,"Rate per 100,000 population",Units,Undefined,K04000001,218.07
2013,England and Wales,,Cancer,,,60 to 64,"Rate per 100,000 population",Units,Undefined,K04000001,371.65
2013,England and Wales,,Cancer,,,65 to 69,"Rate per 100,000 population",Units,Undefined,K04000001,563.99
2013,England and Wales,,Cancer,,Men,30 to 34,"Rate per 100,000 population",Units,Undefined,K04000001,9.94
2013,England and Wales,,Cancer,,Men,35 to 39,"Rate per 100,000 population",Units,Undefined,K04000001,16.15
2013,England and Wales,,Cancer,,Men,40 to 44,"Rate per 100,000 population",Units,Undefined,K04000001,29.93
2013,England and Wales,,Cancer,,Men,45 to 49,"Rate per 100,000 population",Units,Undefined,K04000001,62.09
2013,England and Wales,,Cancer,,Men,50 to 54,"Rate per 100,000 population",Units,Undefined,K04000001,117.95
2013,England and Wales,,Cancer,,Men,55 to 59,"Rate per 100,000 population",Units,Undefined,K04000001,227.72
2013,England and Wales,,Cancer,,Men,60 to 64,"Rate per 100,000 population",Units,Undefined,K04000001,420.42
2013,England and Wales,,Cancer,,Men,65 to 69,"Rate per 100,000 population",Units,Undefined,K04000001,644.3
2013,England and Wales,,Cancer,,Women,30 to 34,"Rate per 100,000 population",Units,Undefined,K04000001,13.34
2013,England and Wales,,Cancer,,Women,35 to 39,"Rate per 100,000 population",Units,Undefined,K04000001,23.58
2013,England and Wales,,Cancer,,Women,40 to 44,"Rate per 100,000 population",Units,Undefined,K04000001,42.5
2013,England and Wales,,Cancer,,Women,45 to 49,"Rate per 100,000 population",Units,Undefined,K04000001,71.63
2013,England and Wales,,Cancer,,Women,50 to 54,"Rate per 100,000 population",Units,Undefined,K04000001,125.32
2013,England and Wales,,Cancer,,Women,55 to 59,"Rate per 100,000 population",Units,Undefined,K04000001,208.66
2013,England and Wales,,Cancer,,Women,60 to 64,"Rate per 100,000 population",Units,Undefined,K04000001,324.81
2013,England and Wales,,Cancer,,Women,65 to 69,"Rate per 100,000 population",Units,Undefined,K04000001,487.83
2013,England and Wales,,Diabetes,,,30 to 34,"Rate per 100,000 population",Units,Undefined,K04000001,0.52
2013,England and Wales,,Diabetes,,,35 to 39,"Rate per 100,000 population",Units,Undefined,K04000001,0.88
2013,England and Wales,,Diabetes,,,40 to 44,"Rate per 100,000 population",Units,Undefined,K04000001,1.53
2013,England and Wales,,Diabetes,,,45 to 49,"Rate per 100,000 population",Units,Undefined,K04000001,2.0
2013,England and Wales,,Diabetes,,,50 to 54,"Rate per 100,000 population",Units,Undefined,K04000001,3.0
2013,England and Wales,,Diabetes,,,55 to 59,"Rate per 100,000 population",Units,Undefined,K04000001,3.99
2013,England and Wales,,Diabetes,,,60 to 64,"Rate per 100,000 population",Units,Undefined,K04000001,6.2
2013,England and Wales,,Diabetes,,,65 to 69,"Rate per 100,000 population",Units,Undefined,K04000001,9.08
2013,England and Wales,,Diabetes,,Men,30 to 34,"Rate per 100,000 population",Units,Undefined,K04000001,0.68
2013,England and Wales,,Diabetes,,Men,35 to 39,"Rate per 100,000 population",Units,Undefined,K04000001,0.96
2013,England and Wales,,Diabetes,,Men,40 to 44,"Rate per 100,000 population",Units,Undefined,K04000001,2.17
2013,England and Wales,,Diabetes,,Men,45 to 49,"Rate per 100,000 population",Units,Undefined,K04000001,2.1
2013,England and Wales,,Diabetes,,Men,50 to 54,"Rate per 100,000 population",Units,Undefined,K04000001,3.95
