Year,Productivity,Outputs,Inputs,Observation status,Unit multiplier,Unit measure,Value
2014,Total factor productivity,,,Undefined,Units,Index,155.2
2015,Total factor productivity,,,Undefined,Units,Index,156.8
2016,Total factor productivity,,,Undefined,Units,Index,152.5
2017,Total factor productivity,,,Undefined,Units,Index,156.5
2018,Total factor productivity,,,Undefined,Units,Index,153.2
1973,Labour productivity,,,Undefined,Units,Index,100.0
1974,Labour productivity,,,Undefined,Units,Index,104.9
1975,Labour productivity,,,Undefined,Units,Index,102.6
1976,Labour productivity,,,Undefined,Units,Index,101.9
1977,Labour productivity,,,Undefined,Units,Index,110.7
1978,Labour productivity,,,Undefined,Units,Index,117.0
1979,Labour productivity,,,Undefined,Units,Index,121.9
1980,Labour productivity,,,Undefined,Units,Index,128.4
1981,Labour productivity,,,Undefined,Units,Index,131.0
1982,Labour productivity,,,Undefined,Units,Index,141.1
1983,Labour productivity,,,Undefined,Units,Index,141.0
1984,Labour productivity,,,Undefined,Units,Index,154.3
1985,Labour productivity,,,Undefined,Units,Index,151.3
1986,Labour productivity,,,Undefined,Units,Index,155.3
1987,Labour productivity,,,Undefined,Units,Index,156.1
1988,Labour productivity,,,Undefined,Units,Index,159.8
1989,Labour productivity,,,Undefined,Units,Index,165.7
1990,Labour productivity,,,Undefined,Units,Index,168.7
1991,Labour productivity,,,Undefined,Units,Index,175.1
1992,Labour productivity,,,Undefined,Units,Index,178.5
1993,Labour productivity,,,Undefined,Units,Index,177.1
1994,Labour productivity,,,Undefined,Units,Index,183.7
1995,Labour productivity,,,Undefined,Units,Index,188.1
1996,Labour productivity,,,Undefined,Units,Index,189.4
1997,Labour productivity,,,Undefined,Units,Index,193.1
1998,Labour productivity,,,Undefined,Units,Index,197.4
1999,Labour productivity,,,Undefined,Units,Index,208.0
2000,Labour productivity,,,Undefined,Units,Index,209.8
2001,Labour productivity,,,Undefined,Units,Index,208.2
2002,Labour productivity,,,Undefined,Units,Index,221.9
2003,Labour productivity,,,Undefined,Units,Index,226.3
2004,Labour productivity,,,Undefined,Units,Index,231.8
2005,Labour productivity,,,Undefined,Units,Index,237.2
2006,Labour productivity,,,Undefined,Units,Index,233.3
2007,Labour productivity,,,Undefined,Units,Index,233.1
2008,Labour productivity,,,Undefined,Units,Index,244.5
2009,Labour productivity,,,Undefined,Units,Index,242.5
2010,Labour productivity,,,Undefined,Units,Index,246.8
2011,Labour productivity,,,Undefined,Units,Index,254.0
2012,Labour productivity,,,Undefined,Units,Index,240.8
2013,Labour productivity,,,Undefined,Units,Index,247.1
2014,Labour productivity,,,Undefined,Units,Index,264.2
2015,Labour productivity,,,Undefined,Units,Index,269.1
2016,Labour productivity,,,Undefined,Units,Index,264.5
2017,Labour productivity,,,Undefined,Units,Index,270.9
2018,Labour productivity,,,Undefined,Units,Index,264.1
2013,,,,Undefined,,,
2016,,,,Undefined,,,
