Year,Age,Region,Local authority,Unit measure,Observation status,GeoCode,Value
2017,3,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,96.0
2017,4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,98.0
2017,3 and 4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,97.0
2018,,,,Percentage (%),Normal value,,90.9
2018,2,,,Percentage (%),Normal value,,71.8
2018,3,,,Percentage (%),Normal value,,92.4
2018,4,,,Percentage (%),Normal value,,95.4
2018,3 and 4,,,Percentage (%),Normal value,,93.9
2018,,North East,,Percentage (%),Normal value,E12000001,96.1
2018,2,North East,,Percentage (%),Normal value,E12000001,84.3
2018,3,North East,,Percentage (%),Normal value,E12000001,97.7
2018,4,North East,,Percentage (%),Normal value,E12000001,99.3
2018,3 and 4,North East,,Percentage (%),Normal value,E12000001,98.5
2018,,North West,,Percentage (%),Normal value,E12000002,94.9
2018,2,North West,,Percentage (%),Normal value,E12000002,83.0
2018,3,North West,,Percentage (%),Normal value,E12000002,94.9
2018,4,North West,,Percentage (%),Normal value,E12000002,99.1
2018,3 and 4,North West,,Percentage (%),Normal value,E12000002,97.0
2018,,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,92.7
2018,2,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,73.0
2018,3,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,95.0
2018,4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,98.0
2018,3 and 4,Yorkshire and The Humber,,Percentage (%),Normal value,E12000003,96.6
2018,,East Midlands,,Percentage (%),Normal value,E12000004,91.8
2018,2,East Midlands,,Percentage (%),Normal value,E12000004,66.6
2018,3,East Midlands,,Percentage (%),Normal value,E12000004,94.5
2018,4,East Midlands,,Percentage (%),Normal value,E12000004,97.4
2018,3 and 4,East Midlands,,Percentage (%),Normal value,E12000004,96.0
2018,,West Midlands,,Percentage (%),Normal value,E12000005,91.2
2018,2,West Midlands,,Percentage (%),Normal value,E12000005,67.7
2018,3,West Midlands,,Percentage (%),Normal value,E12000005,93.1
2018,4,West Midlands,,Percentage (%),Normal value,E12000005,98.3
2018,3 and 4,West Midlands,,Percentage (%),Normal value,E12000005,95.7
2018,,East of England,,Percentage (%),Normal value,E12000006,92.0
2018,2,East of England,,Percentage (%),Normal value,E12000006,70.3
2018,3,East of England,,Percentage (%),Normal value,E12000006,94.3
2018,4,East of England,,Percentage (%),Normal value,E12000006,95.3
2018,3 and 4,East of England,,Percentage (%),Normal value,E12000006,94.8
2018,,London,,Percentage (%),Normal value,E12000007,81.5
2018,2,London,,Percentage (%),Normal value,E12000007,61.4
2018,3,London,,Percentage (%),Normal value,E12000007,82.6
2018,4,London,,Percentage (%),Normal value,E12000007,86.8
2018,3 and 4,London,,Percentage (%),Normal value,E12000007,84.7
2018,,South East,,Percentage (%),Normal value,E12000008,92.0
2018,2,South East,,Percentage (%),Normal value,E12000008,69.7
2018,3,South East,,Percentage (%),Normal value,E12000008,93.7
2018,4,South East,,Percentage (%),Normal value,E12000008,95.6
2018,3 and 4,South East,,Percentage (%),Normal value,E12000008,94.6
2018,,South West,,Percentage (%),Normal value,E12000009,95.2
2018,2,South West,,Percentage (%),Normal value,E12000009,82.9
2018,3,South West,,Percentage (%),Normal value,E12000009,95.9
2018,4,South West,,Percentage (%),Normal value,E12000009,97.5
2018,3 and 4,South West,,Percentage (%),Normal value,E12000009,96.8
2018,2,Inner London,,Percentage (%),Normal value,E13000001,59.6
2018,3,Inner London,,Percentage (%),Normal value,E13000001,78.9
2018,4,Inner London,,Percentage (%),Normal value,E13000001,81.3
2018,3 and 4,Inner London,,Percentage (%),Normal value,E13000001,80.1
2018,2,Outer London,,Percentage (%),Normal value,E13000002,62.7
2018,3,Outer London,,Percentage (%),Normal value,E13000002,84.9
2018,4,Outer London,,Percentage (%),Normal value,E13000002,90.2
2018,3 and 4,Outer London,,Percentage (%),Normal value,E13000002,87.5
2018,,North East,County Durham,Percentage (%),Normal value,E12000001,93.4
2018,2,North East,County Durham,Percentage (%),Normal value,E12000001,83.3
2018,3,North East,County Durham,Percentage (%),Normal value,E12000001,94.6
2018,4,North East,County Durham,Percentage (%),Normal value,E12000001,96.3
2018,3 and 4,North East,County Durham,Percentage (%),Normal value,E12000001,95.5
2018,,North East,Darlington,Percentage (%),Normal value,E12000001,91.4
2018,2,North East,Darlington,Percentage (%),Normal value,E12000001,75.9
2018,3,North East,Darlington,Percentage (%),Normal value,E12000001,94.1
2018,4,North East,Darlington,Percentage (%),Normal value,E12000001,95.1
2018,3 and 4,North East,Darlington,Percentage (%),Normal value,E12000001,94.6
2018,,North East,Gateshead,Percentage (%),Normal value,E12000001,97.7
2018,2,North East,Gateshead,Percentage (%),Normal value,E12000001,82.1
2018,3,North East,Gateshead,Percentage (%),Normal value,E12000001,97.2
2018,4,North East,Gateshead,Percentage (%),Normal value,E12000001,104.8
2018,3 and 4,North East,Gateshead,Percentage (%),Normal value,E12000001,100.9
2018,,North East,Hartlepool,Percentage (%),Normal value,E12000001,95.6
2018,2,North East,Hartlepool,Percentage (%),Normal value,E12000001,101.4
2018,3,North East,Hartlepool,Percentage (%),Normal value,E12000001,94.6
2018,4,North East,Hartlepool,Percentage (%),Normal value,E12000001,94.2
2018,3 and 4,North East,Hartlepool,Percentage (%),Normal value,E12000001,94.4
2018,,North East,Middlesbrough,Percentage (%),Normal value,E12000001,93.3
2018,2,North East,Middlesbrough,Percentage (%),Normal value,E12000001,80.9
2018,3,North East,Middlesbrough,Percentage (%),Normal value,E12000001,97.5
2018,4,North East,Middlesbrough,Percentage (%),Normal value,E12000001,96.2
2018,3 and 4,North East,Middlesbrough,Percentage (%),Normal value,E12000001,96.9
2018,,North East,Newcastle Upon Tyne,Percentage (%),Normal value,E12000001,96.5
2018,2,North East,Newcastle Upon Tyne,Percentage (%),Normal value,E12000001,102.6
2018,3,North East,Newcastle Upon Tyne,Percentage (%),Normal value,E12000001,93.9
2018,4,North East,Newcastle Upon Tyne,Percentage (%),Normal value,E12000001,96.8
2018,3 and 4,North East,Newcastle Upon Tyne,Percentage (%),Normal value,E12000001,95.4
2018,,North East,North Tyneside,Percentage (%),Normal value,E12000001,98.6
2018,2,North East,North Tyneside,Percentage (%),Normal value,E12000001,85.3
2018,3,North East,North Tyneside,Percentage (%),Normal value,E12000001,102.7
2018,4,North East,North Tyneside,Percentage (%),Normal value,E12000001,98.6
2018,3 and 4,North East,North Tyneside,Percentage (%),Normal value,E12000001,100.6
2018,,North East,Northumberland,Percentage (%),Normal value,E12000001,105.5
2018,2,North East,Northumberland,Percentage (%),Normal value,E12000001,84.8
2018,3,North East,Northumberland,Percentage (%),Normal value,E12000001,112.3
2018,4,North East,Northumberland,Percentage (%),Normal value,E12000001,106.3
2018,3 and 4,North East,Northumberland,Percentage (%),Normal value,E12000001,109.2
2018,,North East,Redcar and Cleveland,Percentage (%),Normal value,E12000001,96.0
2018,2,North East,Redcar and Cleveland,Percentage (%),Normal value,E12000001,78.6
2018,3,North East,Redcar and Cleveland,Percentage (%),Normal value,E12000001,97.1
2018,4,North East,Redcar and Cleveland,Percentage (%),Normal value,E12000001,102.3
2018,3 and 4,North East,Redcar and Cleveland,Percentage (%),Normal value,E12000001,99.7
2018,,North East,South Tyneside,Percentage (%),Normal value,E12000001,93.7
2018,2,North East,South Tyneside,Percentage (%),Normal value,E12000001,78.9
2018,3,North East,South Tyneside,Percentage (%),Normal value,E12000001,94.8
2018,4,North East,South Tyneside,Percentage (%),Normal value,E12000001,99.2
2018,3 and 4,North East,South Tyneside,Percentage (%),Normal value,E12000001,97.0
2018,,North East,Stockton-on-Tees,Percentage (%),Normal value,E12000001,97.4
2018,2,North East,Stockton-on-Tees,Percentage (%),Normal value,E12000001,81.9
2018,3,North East,Stockton-on-Tees,Percentage (%),Normal value,E12000001,97.5
2018,4,North East,Stockton-on-Tees,Percentage (%),Normal value,E12000001,103.4
2018,3 and 4,North East,Stockton-on-Tees,Percentage (%),Normal value,E12000001,100.4
2018,,North East,Sunderland,Percentage (%),Normal value,E12000001,92.8
2018,2,North East,Sunderland,Percentage (%),Normal value,E12000001,77.2
2018,3,North East,Sunderland,Percentage (%),Normal value,E12000001,94.5
2018,4,North East,Sunderland,Percentage (%),Normal value,E12000001,98.1
2018,3 and 4,North East,Sunderland,Percentage (%),Normal value,E12000001,96.3
2018,,North West,Blackburn with Darwen,Percentage (%),Normal value,E12000002,90.1
2018,2,North West,Blackburn with Darwen,Percentage (%),Normal value,E12000002,63.6
2018,3,North West,Blackburn with Darwen,Percentage (%),Normal value,E12000002,94.3
2018,4,North West,Blackburn with Darwen,Percentage (%),Normal value,E12000002,98.4
2018,3 and 4,North West,Blackburn with Darwen,Percentage (%),Normal value,E12000002,96.4
2018,,North West,Blackpool,Percentage (%),Normal value,E12000002,90.7
2018,2,North West,Blackpool,Percentage (%),Normal value,E12000002,78.0
2018,3,North West,Blackpool,Percentage (%),Normal value,E12000002,91.9
2018,4,North West,Blackpool,Percentage (%),Normal value,E12000002,95.4
2018,3 and 4,North West,Blackpool,Percentage (%),Normal value,E12000002,93.6
2018,,North West,Bolton,Percentage (%),Normal value,E12000002,94.7
2018,2,North West,Bolton,Percentage (%),Normal value,E12000002,71.7
2018,3,North West,Bolton,Percentage (%),Normal value,E12000002,98.1
2018,4,North West,Bolton,Percentage (%),Normal value,E12000002,101.4
2018,3 and 4,North West,Bolton,Percentage (%),Normal value,E12000002,99.7
2018,,North West,Bury,Percentage (%),Normal value,E12000002,95.7
2018,2,North West,Bury,Percentage (%),Normal value,E12000002,85.7
2018,3,North West,Bury,Percentage (%),Normal value,E12000002,97.3
2018,4,North West,Bury,Percentage (%),Normal value,E12000002,97.4
2018,3 and 4,North West,Bury,Percentage (%),Normal value,E12000002,97.4
2018,,North West,Cheshire East,Percentage (%),Normal value,E12000002,97.5
2018,2,North West,Cheshire East,Percentage (%),Normal value,E12000002,84.7
2018,3,North West,Cheshire East,Percentage (%),Normal value,E12000002,98.7
2018,4,North West,Cheshire East,Percentage (%),Normal value,E12000002,98.7
2018,3 and 4,North West,Cheshire East,Percentage (%),Normal value,E12000002,98.7
2018,,North West,Cheshire West and Chester,Percentage (%),Normal value,E12000002,99.7
