Year,Series,Age,Sex,Country,Region,Observation status,Units,GeoCode,Value
17 May to 11 June 2023,Police,,,England,South East,Normal value,Percentage (%),E12000008,62.0
17 May to 11 June 2023,Police,,,England,South West,Normal value,Percentage (%),E12000009,62.0
17 May to 11 June 2023,Police,,,Scotland,,Normal value,Percentage (%),S92000003,64.4
17 May to 11 June 2023,Police,,,Wales,,Normal value,Percentage (%),W92000004,60.1
17 May to 11 June 2023,Police,16 to 24,,,,Normal value,Percentage (%),,58.3
17 May to 11 June 2023,Police,25 to 34,,,,Normal value,Percentage (%),,63.5
17 May to 11 June 2023,Police,35 to 49,,,,Normal value,Percentage (%),,63.1
17 May to 11 June 2023,Police,50 to 64,,,,Normal value,Percentage (%),,62.4
17 May to 11 June 2023,Police,65 to 74,,,,Normal value,Percentage (%),,64.3
17 May to 11 June 2023,Police,75 and over,,,,Normal value,Percentage (%),,72.4
17 May to 11 June 2023,Police,,Female,,,Normal value,Percentage (%),,66.8
17 May to 11 June 2023,Police,,Male,,,Normal value,Percentage (%),,60.1
17 May to 11 June 2023,Courts and legal system,,,,,Normal value,Percentage (%),,56.2
17 May to 11 June 2023,Courts and legal system,,,England,,Normal value,Percentage (%),E92000001,56.4
17 May to 11 June 2023,Courts and legal system,,,England,North East,Normal value,Percentage (%),E12000001,54.7
17 May to 11 June 2023,Courts and legal system,,,England,North West,Normal value,Percentage (%),E12000002,57.6
17 May to 11 June 2023,Courts and legal system,,,England,Yorkshire and The Humber,Normal value,Percentage (%),E12000003,48.3
17 May to 11 June 2023,Courts and legal system,,,England,East Midlands,Normal value,Percentage (%),E12000004,56.4
17 May to 11 June 2023,Courts and legal system,,,England,West Midlands,Normal value,Percentage (%),E12000005,53.7
17 May to 11 June 2023,Courts and legal system,,,England,East,Normal value,Percentage (%),E12000006,59.9
17 May to 11 June 2023,Courts and legal system,,,England,London,Normal value,Percentage (%),E12000007,59.7
17 May to 11 June 2023,Courts and legal system,,,England,South East,Normal value,Percentage (%),E12000008,57.6
17 May to 11 June 2023,Courts and legal system,,,England,South West,Normal value,Percentage (%),E12000009,55.6
17 May to 11 June 2023,Courts and legal system,,,Scotland,,Normal value,Percentage (%),S92000003,56.6
17 May to 11 June 2023,Courts and legal system,,,Wales,,Normal value,Percentage (%),W92000004,52.0
17 May to 11 June 2023,Courts and legal system,16 to 24,,,,Normal value,Percentage (%),,51.4
17 May to 11 June 2023,Courts and legal system,25 to 34,,,,Normal value,Percentage (%),,60.9
17 May to 11 June 2023,Courts and legal system,35 to 49,,,,Normal value,Percentage (%),,55.4
17 May to 11 June 2023,Courts and legal system,50 to 64,,,,Normal value,Percentage (%),,54.7
17 May to 11 June 2023,Courts and legal system,65 to 74,,,,Normal value,Percentage (%),,54.5
17 May to 11 June 2023,Courts and legal system,75 and over,,,,Normal value,Percentage (%),,62.2
17 May to 11 June 2023,Courts and legal system,,Female,,,Normal value,Percentage (%),,58.7
17 May to 11 June 2023,Courts and legal system,,Male,,,Normal value,Percentage (%),,53.7
