Year,Series,Country income classification,Aid description (CRS code),Observation status,Units,Value
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),672.32
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),1067.027
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),88269.39
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),140090.778
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),20210.2
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),32075.249
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),15.0
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),23.806
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),20225.2
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),32099.055
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),77054.86
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),122292.397
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),2308.46
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),3663.716
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),79363.32
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),125956.113
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),223.1
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),354.078
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),223.1
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),354.078
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),84164.48
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),133575.948
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),52611.9
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),83499.41
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),136776.38
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),217075.358
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),269249.71
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),427321.422
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),55607.68
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),88253.959
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),324857.39
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),515575.381
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),168291.45
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),261682.516
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),7991.96
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),12426.99
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),176283.41
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),274109.506
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),58412.38
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),90827.541
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),1739.15
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),2704.268
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),60151.53
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),93531.809
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),20595.53
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),32024.741
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),1781.12
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),2769.528
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),22376.65
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),34794.27
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),2193.36
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),3410.535
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,GBP (£ thousands),2353.56
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Constant USD ($ thousands),3659.636
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),4546.92
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),7070.172
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),173323.39
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),269506.863
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),54109.95
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),84137.535
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),227433.34
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),353644.398
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),422816.11
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),657452.196
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),67975.74
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),105697.958
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),490791.85
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),763150.154
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),238877.94
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),365547.82
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),16360.71
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),25036.309
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),255238.65
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),390584.129
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),71090.04
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),108786.978
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),2381.86
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),3644.89
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),73471.9
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),112431.867
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),13408.86
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),20519.18
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),2031.86
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),3109.295
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),15440.72
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),23628.475
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),2161.05
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),3306.991
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,GBP (£ thousands),1866.83
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Constant USD ($ thousands),2856.755
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),4027.88
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),6163.745
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),147963.16
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),226423.631
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),61312.83
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),93825.204
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),209275.99
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),320248.835
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),473501.05
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),724584.601
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),83954.09
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),128472.452
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),557455.14
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),853057.052
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),290811.1
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),435274.662
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),4722.04
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),7067.764
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),295533.14
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),442342.427
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),71299.37
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),106718.104
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),580.45
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),868.795
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),71879.82
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),107586.899
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),14691.83
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),21990.156
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),897.9
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),1343.942
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),15589.73
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),23334.097
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),12539.97
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),18769.336
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,GBP (£ thousands),1280.9
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Constant USD ($ thousands),1917.201
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),13820.87
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),20686.537
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),350205.93
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),524174.517
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),70490.43
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),105507.314
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),420696.36
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),629681.831
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),739548.2
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),1106926.774
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),77971.72
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),116705.016
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),817519.92
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),1223631.79
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,GBP (£ thousands),275662.31
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Constant USD ($ thousands),406141.401
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,GBP (£ thousands),3615.09
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Constant USD ($ thousands),5326.219
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,GBP (£ thousands),279277.4
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Constant USD ($ thousands),411467.62
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,GBP (£ thousands),60786.22
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Basic health,Normal value,Constant USD ($ thousands),89558.129
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,GBP (£ thousands),705.33
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,Medical research,Normal value,Constant USD ($ thousands),1039.183
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,GBP (£ thousands),61491.55
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LMICs,,Normal value,Constant USD ($ thousands),90597.312
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,GBP (£ thousands),7689.48
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Constant USD ($ thousands),11329.137
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,GBP (£ thousands),1466.76
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Constant USD ($ thousands),2161.021
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,GBP (£ thousands),9156.24
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Constant USD ($ thousands),13490.158
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,GBP (£ thousands),405.71
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Constant USD ($ thousands),597.744
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,GBP (£ thousands),405.71
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Constant USD ($ thousands),597.744
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,GBP (£ thousands),242479.06
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Constant USD ($ thousands),357251.542
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,GBP (£ thousands),60140.06
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Constant USD ($ thousands),88606.122
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,GBP (£ thousands),302619.12
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Constant USD ($ thousands),445857.664
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,GBP (£ thousands),587022.78
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Basic health,Normal value,Constant USD ($ thousands),864877.954
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,GBP (£ thousands),65927.24
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,Medical research,Normal value,Constant USD ($ thousands),97132.545
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,GBP (£ thousands),652950.02
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Constant USD ($ thousands),962010.498
