Year,Country,Sex,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2017,Wales,Female,"Rate per 1,000,000 population",Units,Undefined,W92000004,33.4392242099983
2013,Northern Ireland,,"Rate per 1,000,000 population",Units,Undefined,N92000002,39.8967057891213
2014,Northern Ireland,,"Rate per 1,000,000 population",Units,Undefined,N92000002,26.079897940665997
2015,Northern Ireland,,"Rate per 1,000,000 population",Units,Undefined,N92000002,30.7838375131843
2016,Northern Ireland,,"Rate per 1,000,000 population",Units,Undefined,N92000002,24.702801136543602
2017,Northern Ireland,,"Rate per 1,000,000 population",Units,Undefined,N92000002,29.398653220969802
2013,Northern Ireland,Male,"Rate per 1,000,000 population",Units,Undefined,N92000002,23.407587402259303
2014,Northern Ireland,Male,"Rate per 1,000,000 population",Units,Undefined,N92000002,21.0477107291259
2015,Northern Ireland,Male,"Rate per 1,000,000 population",Units,Undefined,N92000002,16.4993086789663
2016,Northern Ireland,Male,"Rate per 1,000,000 population",Units,Undefined,N92000002,16.3896273326537
2017,Northern Ireland,Male,"Rate per 1,000,000 population",Units,Undefined,N92000002,27.1665898757726
2013,Northern Ireland,Female,"Rate per 1,000,000 population",Units,Undefined,N92000002,55.759291428081205
2014,Northern Ireland,Female,"Rate per 1,000,000 population",Units,Undefined,N92000002,30.923866506999897
2015,Northern Ireland,Female,"Rate per 1,000,000 population",Units,Undefined,N92000002,44.5627124686469
2016,Northern Ireland,Female,"Rate per 1,000,000 population",Units,Undefined,N92000002,32.73757978465
2017,Northern Ireland,Female,"Rate per 1,000,000 population",Units,Undefined,N92000002,31.559480152242898
2013,Scotland,,"Rate per 1,000,000 population",Units,Undefined,S92000003,27.967040186196602
2014,Scotland,,"Rate per 1,000,000 population",Units,Undefined,S92000003,26.7409679108385
2015,Scotland,,"Rate per 1,000,000 population",Units,Undefined,S92000003,27.7312488367764
2016,Scotland,,"Rate per 1,000,000 population",Units,Undefined,S92000003,28.3086942846041
2017,Scotland,,"Rate per 1,000,000 population",Units,Undefined,S92000003,25.070048665388498
2013,Scotland,Male,"Rate per 1,000,000 population",Units,Undefined,S92000003,20.4895851052314
2014,Scotland,Male,"Rate per 1,000,000 population",Units,Undefined,S92000003,20.7969867476978
2015,Scotland,Male,"Rate per 1,000,000 population",Units,Undefined,S92000003,16.4721358499181
2016,Scotland,Male,"Rate per 1,000,000 population",Units,Undefined,S92000003,20.551831910372602
2017,Scotland,Male,"Rate per 1,000,000 population",Units,Undefined,S92000003,18.558497140476398
2013,Scotland,Female,"Rate per 1,000,000 population",Units,Undefined,S92000003,35.0234584205879
2014,Scotland,Female,"Rate per 1,000,000 population",Units,Undefined,S92000003,32.3510488646235
2015,Scotland,Female,"Rate per 1,000,000 population",Units,Undefined,S92000003,38.3706101397595
2016,Scotland,Female,"Rate per 1,000,000 population",Units,Undefined,S92000003,35.6474531695086
2017,Scotland,Female,"Rate per 1,000,000 population",Units,Undefined,S92000003,31.2443885796372
