Year,Value,Units,Series,Observation status,Unit multiplier
2020,338216.579978,Square km,Protected marine area (square kilometres),Normal value,Unit
2021,338234.70902699995,Square km,Protected marine area (square kilometres),Normal value,Unit
2022,338234.70902699995,Square km,Protected marine area (square kilometres),Normal value,Unit
2000,72.85796,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2001,74.00398,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2002,74.02228,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2003,74.25177,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2004,74.82403,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2005,78.14079,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2006,78.4953,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2007,78.50745,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2008,78.51946,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2009,78.53134,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2010,78.87989,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2011,80.2308,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2012,80.23372,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2013,80.23372,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2014,80.4301,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2015,80.43025,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2016,80.43096,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2017,80.78616,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2018,81.21426,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2019,81.23336,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2020,81.23336,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2021,81.23336,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
2022,81.23336,Percentage (%),Mean percentage of each marine Key Biodiversity Area (KBA) covered by protected areas (%),Normal value,Unit
