Year,Value,Units,Series,GeoCode,Observation status,Unit multiplier,Unit measure
2019,3198.29,Area (000s hectares),Woodland area net change,,Normal value,Thousands,Hectares
2020,3215.52,Area (000s hectares),Woodland area net change,,Normal value,Thousands,Hectares
2021,3228.85,Area (000s hectares),Woodland area net change,,Normal value,Thousands,Hectares
2017,0.15,Growth rate (%),Woodland area net change,,Normal value,Units,Percentage (%)
2018,0.34,Growth rate (%),Woodland area net change,,Normal value,Units,Percentage (%)
2019,0.75,Growth rate (%),Woodland area net change,,Normal value,Units,Percentage (%)
2020,0.54,Growth rate (%),Woodland area net change,,Normal value,Units,Percentage (%)
2021,0.41,Growth rate (%),Woodland area net change,,Normal value,Units,Percentage (%)
2017,1388.21,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2018,1375.54,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2019,1400.36,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2020,1394.15,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2021,1410.64,Area (000s hectares),Woodland area under certification scheme,,Normal value,Thousands,Hectares
2017,43.88,Percentage (%),Woodland area under certification scheme,,Normal value,Units,Percentage (%)
2018,43.33,Percentage (%),Woodland area under certification scheme,,Normal value,Units,Percentage (%)
2019,43.78,Percentage (%),Woodland area under certification scheme,,Normal value,Units,Percentage (%)
2020,43.36,Percentage (%),Woodland area under certification scheme,,Normal value,Units,Percentage (%)
2021,43.69,Percentage (%),Woodland area under certification scheme,,Normal value,Units,Percentage (%)
