Year,Sex,Age,Nationality,Units,Unit multiplier,Observation status,Value
2010,,40 to 49,,Percentage (%),Units,Undefined,12.935427574171
2011,,40 to 49,,Percentage (%),Units,Undefined,12.6937521338341
2012,,40 to 49,,Percentage (%),Units,Undefined,11.669753903149
2013,,40 to 49,,Percentage (%),Units,Undefined,11.5804904051173
2014,,40 to 49,,Percentage (%),Units,Undefined,12.1262569088367
2015,,40 to 49,,Percentage (%),Units,Undefined,11.9823158442234
2016,,40 to 49,,Percentage (%),Units,Undefined,10.0045802525682
2017,,40 to 49,,Percentage (%),Units,Undefined,10.0885762667709
2018,,40 to 49,,Percentage (%),Units,Undefined,9.55505433668239
2019,,40 to 49,,Percentage (%),Units,Undefined,9.64529331514325
2020,,40 to 49,,Percentage (%),Units,Undefined,12.7750569083259
2021,,40 to 49,,Percentage (%),Units,Undefined,13.6522753792299
2022,,40 to 49,,Percentage (%),Units,Undefined,14.3769349845201
2023,,40 to 49,,Percentage (%),Units,Undefined,15.9718178642133
2009,,50 to 59,,Percentage (%),Units,Undefined,11.2880748556639
2010,,50 to 59,,Percentage (%),Units,Undefined,10.2327299593646
2011,,50 to 59,,Percentage (%),Units,Undefined,9.73346828609987
2012,,50 to 59,,Percentage (%),Units,Undefined,8.59133126934985
2013,,50 to 59,,Percentage (%),Units,Undefined,9.2603550295858
2014,,50 to 59,,Percentage (%),Units,Undefined,9.36141304347826
2015,,50 to 59,,Percentage (%),Units,Undefined,8.49955532969127
2016,,50 to 59,,Percentage (%),Units,Undefined,6.95757575757576
2017,,50 to 59,,Percentage (%),Units,Undefined,7.39140588510042
2018,,50 to 59,,Percentage (%),Units,Undefined,7.08725456024166
2019,,50 to 59,,Percentage (%),Units,Undefined,6.87756297598125
2020,,50 to 59,,Percentage (%),Units,Undefined,8.79557213331729
2021,,50 to 59,,Percentage (%),Units,Undefined,9.98771498771499
2022,,50 to 59,,Percentage (%),Units,Undefined,10.8031607500885
2023,,50 to 59,,Percentage (%),Units,Undefined,12.5977315273648
2009,,60 and over,,Percentage (%),Units,Undefined,6.33663366336634
2010,,60 and over,,Percentage (%),Units,Undefined,7.3008073008073
2011,,60 and over,,Percentage (%),Units,Undefined,6.46766169154229
2012,,60 and over,,Percentage (%),Units,Undefined,5.63207835935109
2013,,60 and over,,Percentage (%),Units,Undefined,5.61797752808989
2014,,60 and over,,Percentage (%),Units,Undefined,5.91397849462366
2015,,60 and over,,Percentage (%),Units,Undefined,5.0133852518861
2016,,60 and over,,Percentage (%),Units,Undefined,4.32735426008969
2017,,60 and over,,Percentage (%),Units,Undefined,3.94846217788861
2018,,60 and over,,Percentage (%),Units,Undefined,3.65342383709323
2019,,60 and over,,Percentage (%),Units,Undefined,2.9909484454939
2020,,60 and over,,Percentage (%),Units,Undefined,3.91129032258065
2021,,60 and over,,Percentage (%),Units,Undefined,4.80865558004408
2022,,60 and over,,Percentage (%),Units,Undefined,5.61986557132188
2023,,60 and over,,Percentage (%),Units,Undefined,6.16356496499915
2016,,60 to 69,,Percentage (%),Units,Undefined,4.78531628974107
2017,,60 to 69,,Percentage (%),Units,Undefined,4.82415188297541
2018,,60 to 69,,Percentage (%),Units,Undefined,4.38701923076923
2019,,60 to 69,,Percentage (%),Units,Undefined,3.43063496840205
2020,,60 to 69,,Percentage (%),Units,Undefined,4.75022984983144
2021,,60 to 69,,Percentage (%),Units,Undefined,5.69032644504343
2022,,60 to 69,,Percentage (%),Units,Undefined,6.60744031093837
2023,,60 to 69,,Percentage (%),Units,Undefined,6.9549822964087
2016,,70 and over,,Percentage (%),Units,Undefined,3.33569907735983
2017,,70 and over,,Percentage (%),Units,Undefined,2.18886804252658
2018,,70 and over,,Percentage (%),Units,Undefined,2.20107079119572
2019,,70 and over,,Percentage (%),Units,Undefined,2.16031836270608
2020,,70 and over,,Percentage (%),Units,Undefined,2.29817324690631
2021,,70 and over,,Percentage (%),Units,Undefined,3.02663438256659
2022,,70 and over,,Percentage (%),Units,Undefined,3.59179019384265
2023,,70 and over,,Percentage (%),Units,Undefined,4.51918024172359
2009,Male,,,Percentage (%),Units,Undefined,15.7591927570684
2010,Male,,,Percentage (%),Units,Undefined,15.133461324085
2011,Male,,,Percentage (%),Units,Undefined,14.431757996773
2012,Male,,,Percentage (%),Units,Undefined,13.0497406164175
2013,Male,,,Percentage (%),Units,Undefined,12.964282588856
2014,Male,,,Percentage (%),Units,Undefined,14.1002696739397
2015,Male,,,Percentage (%),Units,Undefined,13.5607432342111
2016,Male,,,Percentage (%),Units,Undefined,10.7835416871739
2017,Male,,,Percentage (%),Units,Undefined,11.0767689601251
2018,Male,,,Percentage (%),Units,Undefined,11.082689628973
2019,Male,,,Percentage (%),Units,Undefined,10.8854826450469
2020,Male,,,Percentage (%),Units,Undefined,14.1465269673088
2021,Male,,,Percentage (%),Units,Undefined,16.0845490363114
2022,Male,,,Percentage (%),Units,Undefined,16.533602046353
2023,Male,,,Percentage (%),Units,Undefined,17.9241279809896
2009,Male,15 to 17,,Percentage (%),Units,Undefined,24.3334949103248
2010,Male,15 to 17,,Percentage (%),Units,Undefined,28.6240786240786
2011,Male,15 to 17,,Percentage (%),Units,Undefined,27.1501925545571
2012,Male,15 to 17,,Percentage (%),Units,Undefined,22.0190779014308
2013,Male,15 to 17,,Percentage (%),Units,Undefined,21.4452214452214
2014,Male,15 to 17,,Percentage (%),Units,Undefined,25.2361673414305
2015,Male,15 to 17,,Percentage (%),Units,Undefined,22.6470588235294
2016,Male,15 to 17,,Percentage (%),Units,Undefined,23.3070866141732
2017,Male,15 to 17,,Percentage (%),Units,Undefined,27.5808936825886
2018,Male,15 to 17,,Percentage (%),Units,Undefined,30.8411214953271
2019,Male,15 to 17,,Percentage (%),Units,Undefined,29.7250859106529
2020,Male,15 to 17,,Percentage (%),Units,Undefined,40.3669724770642
2021,Male,15 to 17,,Percentage (%),Units,Undefined,48.2093663911846
2022,Male,15 to 17,,Percentage (%),Units,Undefined,47.1471471471471
2023,Male,15 to 17,,Percentage (%),Units,Undefined,43.2515337423313
2009,Male,18 to 20,,Percentage (%),Units,Undefined,22.5936942296252
2010,Male,18 to 20,,Percentage (%),Units,Undefined,21.9500304692261
2011,Male,18 to 20,,Percentage (%),Units,Undefined,21.4624505928854
2012,Male,18 to 20,,Percentage (%),Units,Undefined,20.1788708775852
2013,Male,18 to 20,,Percentage (%),Units,Undefined,20.0197238658777
2014,Male,18 to 20,,Percentage (%),Units,Undefined,22.0675944333996
2015,Male,18 to 20,,Percentage (%),Units,Undefined,23.4884197581472
2016,Male,18 to 20,,Percentage (%),Units,Undefined,18.8221970554926
2017,Male,18 to 20,,Percentage (%),Units,Undefined,20.886788206167
2018,Male,18 to 20,,Percentage (%),Units,Undefined,22.438549525432
2019,Male,18 to 20,,Percentage (%),Units,Undefined,22.9560520500859
2020,Male,18 to 20,,Percentage (%),Units,Undefined,28.4269662921348
2021,Male,18 to 20,,Percentage (%),Units,Undefined,33.2365747460087
2022,Male,18 to 20,,Percentage (%),Units,Undefined,35.5296343001261
2023,Male,18 to 20,,Percentage (%),Units,Undefined,38.1158971180663
2009,Male,21 to 24,,Percentage (%),Units,Undefined,17.1742236258365
2010,Male,21 to 24,,Percentage (%),Units,Undefined,15.7767523621182
2011,Male,21 to 24,,Percentage (%),Units,Undefined,14.746680513315
2012,Male,21 to 24,,Percentage (%),Units,Undefined,13.9895988112927
2013,Male,21 to 24,,Percentage (%),Units,Undefined,13.8338322142222
2014,Male,21 to 24,,Percentage (%),Units,Undefined,17.0618085017885
2015,Male,21 to 24,,Percentage (%),Units,Undefined,16.0632506696621
2016,Male,21 to 24,,Percentage (%),Units,Undefined,12.5485000473171
2017,Male,21 to 24,,Percentage (%),Units,Undefined,13.3127551528428
2018,Male,21 to 24,,Percentage (%),Units,Undefined,14.0010712372791
2019,Male,21 to 24,,Percentage (%),Units,Undefined,13.4570507834204
2020,Male,21 to 24,,Percentage (%),Units,Undefined,18.7492512279861
2021,Male,21 to 24,,Percentage (%),Units,Undefined,20.9493437998283
2022,Male,21 to 24,,Percentage (%),Units,Undefined,21.3584905660377
2023,Male,21 to 24,,Percentage (%),Units,Undefined,23.8272987433122
2009,Male,25 to 29,,Percentage (%),Units,Undefined,15.3783063358622
2010,Male,25 to 29,,Percentage (%),Units,Undefined,15.4467168998924
2011,Male,25 to 29,,Percentage (%),Units,Undefined,14.4470908472269
2012,Male,25 to 29,,Percentage (%),Units,Undefined,13.3427628477133
2013,Male,25 to 29,,Percentage (%),Units,Undefined,13.8675721561969
2014,Male,25 to 29,,Percentage (%),Units,Undefined,14.6361988606939
2015,Male,25 to 29,,Percentage (%),Units,Undefined,14.3859193349354
2016,Male,25 to 29,,Percentage (%),Units,Undefined,11.6107823800131
2017,Male,25 to 29,,Percentage (%),Units,Undefined,11.4894185192603
2018,Male,25 to 29,,Percentage (%),Units,Undefined,11.8351158014024
2019,Male,25 to 29,,Percentage (%),Units,Undefined,11.7982331148475
2020,Male,25 to 29,,Percentage (%),Units,Undefined,15.8726574847595
2021,Male,25 to 29,,Percentage (%),Units,Undefined,18.3028679483139
2022,Male,25 to 29,,Percentage (%),Units,Undefined,18.7514760292844
2023,Male,25 to 29,,Percentage (%),Units,Undefined,19.7455194351773
2009,Male,30 to 39,,Percentage (%),Units,Undefined,14.9855625703519
2010,Male,30 to 39,,Percentage (%),Units,Undefined,14.672256097561
2011,Male,30 to 39,,Percentage (%),Units,Undefined,14.4966005401881
2012,Male,30 to 39,,Percentage (%),Units,Undefined,12.8802588996764
2013,Male,30 to 39,,Percentage (%),Units,Undefined,12.8452473039996
2014,Male,30 to 39,,Percentage (%),Units,Undefined,14.0645385752805
2015,Male,30 to 39,,Percentage (%),Units,Undefined,13.6938913263584
2016,Male,30 to 39,,Percentage (%),Units,Undefined,10.7165397399756
2017,Male,30 to 39,,Percentage (%),Units,Undefined,11.0683585755219
2018,Male,30 to 39,,Percentage (%),Units,Undefined,10.9812300988772
2019,Male,30 to 39,,Percentage (%),Units,Undefined,10.8780427732852
2020,Male,30 to 39,,Percentage (%),Units,Undefined,13.8449432618239
2021,Male,30 to 39,,Percentage (%),Units,Undefined,16.1979752530934
2022,Male,30 to 39,,Percentage (%),Units,Undefined,16.6726225928132
2023,Male,30 to 39,,Percentage (%),Units,Undefined,18.1654808186019
2009,Male,40 to 49,,Percentage (%),Units,Undefined,13.630095004597
2010,Male,40 to 49,,Percentage (%),Units,Undefined,12.6351651607169
2011,Male,40 to 49,,Percentage (%),Units,Undefined,12.4647122692725
2012,Male,40 to 49,,Percentage (%),Units,Undefined,11.4489910313901
2013,Male,40 to 49,,Percentage (%),Units,Undefined,11.42171396301
2014,Male,40 to 49,,Percentage (%),Units,Undefined,11.8591549295775
2015,Male,40 to 49,,Percentage (%),Units,Undefined,11.7651098901099
2016,Male,40 to 49,,Percentage (%),Units,Undefined,9.89975803664017
2017,Male,40 to 49,,Percentage (%),Units,Undefined,9.84173059644758
2018,Male,40 to 49,,Percentage (%),Units,Undefined,9.34511735728774
2019,Male,40 to 49,,Percentage (%),Units,Undefined,9.34153400868307
2020,Male,40 to 49,,Percentage (%),Units,Undefined,12.5072971395213
2021,Male,40 to 49,,Percentage (%),Units,Undefined,13.4394213381555
2022,Male,40 to 49,,Percentage (%),Units,Undefined,14.2633974054201
2023,Male,40 to 49,,Percentage (%),Units,Undefined,15.7920549288867
2009,Male,50 to 59,,Percentage (%),Units,Undefined,11.2328767123288
2010,Male,50 to 59,,Percentage (%),Units,Undefined,10.0685602350637
2011,Male,50 to 59,,Percentage (%),Units,Undefined,9.47724039829303
2012,Male,50 to 59,,Percentage (%),Units,Undefined,8.32651725830198
2013,Male,50 to 59,,Percentage (%),Units,Undefined,9.12624378109453
2014,Male,50 to 59,,Percentage (%),Units,Undefined,9.34606069240633
2015,Male,50 to 59,,Percentage (%),Units,Undefined,8.39898517826145
2016,Male,50 to 59,,Percentage (%),Units,Undefined,6.72172808132147
2017,Male,50 to 59,,Percentage (%),Units,Undefined,7.20687538367096
2018,Male,50 to 59,,Percentage (%),Units,Undefined,6.9319013912619
2019,Male,50 to 59,,Percentage (%),Units,Undefined,6.63460352694537
2020,Male,50 to 59,,Percentage (%),Units,Undefined,8.61027190332326
2021,Male,50 to 59,,Percentage (%),Units,Undefined,9.7495183044316
2022,Male,50 to 59,,Percentage (%),Units,Undefined,10.4588061174149
2023,Male,50 to 59,,Percentage (%),Units,Undefined,12.4109400137899
2009,Male,60 and over,,Percentage (%),Units,Undefined,6.27035830618892
2010,Male,60 and over,,Percentage (%),Units,Undefined,7.21464465183058
2011,Male,60 and over,,Percentage (%),Units,Undefined,6.30081300813008
2012,Male,60 and over,,Percentage (%),Units,Undefined,5.55032925682032
2013,Male,60 and over,,Percentage (%),Units,Undefined,5.55227406969876
2014,Male,60 and over,,Percentage (%),Units,Undefined,5.76710816777042
2015,Male,60 and over,,Percentage (%),Units,Undefined,4.91639630646369
2016,Male,60 and over,,Percentage (%),Units,Undefined,4.25972829841124
2017,Male,60 and over,,Percentage (%),Units,Undefined,3.980417198808
2018,Male,60 and over,,Percentage (%),Units,Undefined,3.57215758318024
2019,Male,60 and over,,Percentage (%),Units,Undefined,2.80241935483871
2020,Male,60 and over,,Percentage (%),Units,Undefined,3.82626680455016
2021,Male,60 and over,,Percentage (%),Units,Undefined,4.68942821883998
2022,Male,60 and over,,Percentage (%),Units,Undefined,5.48547400611621
2023,Male,60 and over,,Percentage (%),Units,Undefined,6.01188395665851
2016,Male,60 to 69,,Percentage (%),Units,Undefined,4.70867208672087
2017,Male,60 to 69,,Percentage (%),Units,Undefined,4.88274975907485
2018,Male,60 to 69,,Percentage (%),Units,Undefined,4.3223217042297
2019,Male,60 to 69,,Percentage (%),Units,Undefined,3.27868852459016
2020,Male,60 to 69,,Percentage (%),Units,Undefined,4.61879152167036
2021,Male,60 to 69,,Percentage (%),Units,Undefined,5.51425030978934
2022,Male,60 to 69,,Percentage (%),Units,Undefined,6.59246575342466
2023,Male,60 to 69,,Percentage (%),Units,Undefined,6.77436164669099
2016,Male,70 and over,,Percentage (%),Units,Undefined,3.30697340043134
2017,Male,70 and over,,Percentage (%),Units,Undefined,2.20820189274448
2018,Male,70 and over,,Percentage (%),Units,Undefined,2.10843373493976
2019,Male,70 and over,,Percentage (%),Units,Undefined,1.91082802547771
2020,Male,70 and over,,Percentage (%),Units,Undefined,2.32974910394265
2021,Male,70 and over,,Percentage (%),Units,Undefined,3.05997552019584
2022,Male,70 and over,,Percentage (%),Units,Undefined,3.24074074074074
2023,Male,70 and over,,Percentage (%),Units,Undefined,4.45859872611465
2009,Female,,,Percentage (%),Units,Undefined,18.8762479684235
2010,Female,,,Percentage (%),Units,Undefined,18.420435903445
2011,Female,,,Percentage (%),Units,Undefined,17.8494623655914
2012,Female,,,Percentage (%),Units,Undefined,15.3528983749697
2013,Female,,,Percentage (%),Units,Undefined,15.5982351414482
2014,Female,,,Percentage (%),Units,Undefined,17.6635276151693
2015,Female,,,Percentage (%),Units,Undefined,16.0348360655738
2016,Female,,,Percentage (%),Units,Undefined,13.568099430347
2017,Female,,,Percentage (%),Units,Undefined,14.2500623908161
2018,Female,,,Percentage (%),Units,Undefined,14.0152511175388
2019,Female,,,Percentage (%),Units,Undefined,14.6419098143236
2020,Female,,,Percentage (%),Units,Undefined,18.4331797235023
2021,Female,,,Percentage (%),Units,Undefined,20.1188986232791
2022,Female,,,Percentage (%),Units,Undefined,18.782662158008
2023,Female,,,Percentage (%),Units,Undefined,21.9287833827893
2009,Female,15 to 17,,Percentage (%),Units,Undefined,21.0526315789474
2010,Female,15 to 17,,Percentage (%),Units,Undefined,17.8571428571429
2011,Female,15 to 17,,Percentage (%),Units,Undefined,30.4347826086957
2012,Female,15 to 17,,Percentage (%),Units,Undefined,33.3333333333333
2013,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2014,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2015,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2016,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2017,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2018,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2019,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2020,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2021,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2022,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2023,Female,15 to 17,,Percentage (%),Units,Undefined,0.0
2009,Female,18 to 20,,Percentage (%),Units,Undefined,25.3405994550409
2010,Female,18 to 20,,Percentage (%),Units,Undefined,22.7882037533512
2011,Female,18 to 20,,Percentage (%),Units,Undefined,23.1454005934718
2012,Female,18 to 20,,Percentage (%),Units,Undefined,20.5574912891986
2013,Female,18 to 20,,Percentage (%),Units,Undefined,22.8723404255319
2014,Female,18 to 20,,Percentage (%),Units,Undefined,26.7857142857143
2015,Female,18 to 20,,Percentage (%),Units,Undefined,22.8070175438596
2016,Female,18 to 20,,Percentage (%),Units,Undefined,25.0
2017,Female,18 to 20,,Percentage (%),Units,Undefined,31.496062992126
2018,Female,18 to 20,,Percentage (%),Units,Undefined,21.2121212121212
2019,Female,18 to 20,,Percentage (%),Units,Undefined,28.695652173913
2020,Female,18 to 20,,Percentage (%),Units,Undefined,33.3333333333333
2021,Female,18 to 20,,Percentage (%),Units,Undefined,36.0
2022,Female,18 to 20,,Percentage (%),Units,Undefined,39.7058823529412
2023,Female,18 to 20,,Percentage (%),Units,Undefined,41.6666666666667
2009,Female,21 to 24,,Percentage (%),Units,Undefined,20.8196721311475
2010,Female,21 to 24,,Percentage (%),Units,Undefined,21.9001610305958
2011,Female,21 to 24,,Percentage (%),Units,Undefined,18.3745583038869
2012,Female,21 to 24,,Percentage (%),Units,Undefined,15.7798165137615
2013,Female,21 to 24,,Percentage (%),Units,Undefined,15.8351409978308
2014,Female,21 to 24,,Percentage (%),Units,Undefined,20.5752212389381
2015,Female,21 to 24,,Percentage (%),Units,Undefined,19.672131147541
2016,Female,21 to 24,,Percentage (%),Units,Undefined,16.8091168091168
2017,Female,21 to 24,,Percentage (%),Units,Undefined,17.4285714285714
2018,Female,21 to 24,,Percentage (%),Units,Undefined,20.7482993197279
2019,Female,21 to 24,,Percentage (%),Units,Undefined,18.7919463087248
2020,Female,21 to 24,,Percentage (%),Units,Undefined,20.6896551724138
2021,Female,21 to 24,,Percentage (%),Units,Undefined,26.7782426778243
2022,Female,21 to 24,,Percentage (%),Units,Undefined,24.6575342465753
2023,Female,21 to 24,,Percentage (%),Units,Undefined,28.9592760180996
2009,Female,25 to 29,,Percentage (%),Units,Undefined,19.5035460992908
2010,Female,25 to 29,,Percentage (%),Units,Undefined,17.7615571776156
2011,Female,25 to 29,,Percentage (%),Units,Undefined,18.3417085427136
2012,Female,25 to 29,,Percentage (%),Units,Undefined,13.5989010989011
2013,Female,25 to 29,,Percentage (%),Units,Undefined,18.5074626865672
2014,Female,25 to 29,,Percentage (%),Units,Undefined,18.0232558139535
2015,Female,25 to 29,,Percentage (%),Units,Undefined,17.6555716353111
2016,Female,25 to 29,,Percentage (%),Units,Undefined,13.1746031746032
2017,Female,25 to 29,,Percentage (%),Units,Undefined,14.9691358024691
2018,Female,25 to 29,,Percentage (%),Units,Undefined,14.017094017094
2019,Female,25 to 29,,Percentage (%),Units,Undefined,15.3846153846154
2020,Female,25 to 29,,Percentage (%),Units,Undefined,21.4285714285714
2021,Female,25 to 29,,Percentage (%),Units,Undefined,22.8699551569507
2022,Female,25 to 29,,Percentage (%),Units,Undefined,19.1142191142191
2023,Female,25 to 29,,Percentage (%),Units,Undefined,25.9593679458239
2009,Female,30 to 39,,Percentage (%),Units,Undefined,19.0363349131122
2010,Female,30 to 39,,Percentage (%),Units,Undefined,17.9153094462541
2011,Female,30 to 39,,Percentage (%),Units,Undefined,17.5355450236967
2012,Female,30 to 39,,Percentage (%),Units,Undefined,15.5905511811024
2013,Female,30 to 39,,Percentage (%),Units,Undefined,15.3422501966955
2014,Female,30 to 39,,Percentage (%),Units,Undefined,18.3613752743233
2015,Female,30 to 39,,Percentage (%),Units,Undefined,15.6090444930708
2016,Female,30 to 39,,Percentage (%),Units,Undefined,13.7834036568214
2017,Female,30 to 39,,Percentage (%),Units,Undefined,13.5928961748634
2018,Female,30 to 39,,Percentage (%),Units,Undefined,14.1470180305132
2019,Female,30 to 39,,Percentage (%),Units,Undefined,13.5838150289017
2020,Female,30 to 39,,Percentage (%),Units,Undefined,19.4659776055125
2021,Female,30 to 39,,Percentage (%),Units,Undefined,20.9437086092715
2022,Female,30 to 39,,Percentage (%),Units,Undefined,18.7946074544013
2023,Female,30 to 39,,Percentage (%),Units,Undefined,22.4165341812401
2009,Female,40 to 49,,Percentage (%),Units,Undefined,16.5847665847666
2010,Female,40 to 49,,Percentage (%),Units,Undefined,17.861482381531
2011,Female,40 to 49,,Percentage (%),Units,Undefined,16.5060240963855
2012,Female,40 to 49,,Percentage (%),Units,Undefined,15.4028436018957
2013,Female,40 to 49,,Percentage (%),Units,Undefined,14.2517814726841
2014,Female,40 to 49,,Percentage (%),Units,Undefined,16.7686658506732
2015,Female,40 to 49,,Percentage (%),Units,Undefined,15.8343483556638
2016,Female,40 to 49,,Percentage (%),Units,Undefined,11.8581907090465
2017,Female,40 to 49,,Percentage (%),Units,Undefined,14.1242937853107
2018,Female,40 to 49,,Percentage (%),Units,Undefined,13.0592503022975
2019,Female,40 to 49,,Percentage (%),Units,Undefined,14.6428571428571
2020,Female,40 to 49,,Percentage (%),Units,Undefined,17.4022698612863
2021,Female,40 to 49,,Percentage (%),Units,Undefined,17.6075268817204
