Year,Series,Educational measure,Education indicator,Observation status,Unit multiplier,Units,Value
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.13726
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.19397
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.56884
2017,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children and adolescents of primary and lower secondary school age,Normal value,Units,Ratio,1.57757
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.19771
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.57602
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.02508
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.79095
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.4598
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.27772
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.81116
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.0813
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.06107
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.02568
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,0.94401
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.02377
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.6051
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.38308
2017,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for children of primary school age,Normal value,Units,Ratio,1.49091
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.76448
2001,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.74593
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.61458
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.46202
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.37878
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.27721
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.51391
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.67817
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.73405
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.76641
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.79578
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.88317
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.96596
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.91567
2014,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.73979
2015,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.62125
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.75917
2017,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,"Out-of-school rate for children, adolescents and youth of primary, lower secondary and upper secondary school age",Normal value,Units,Ratio,0.9785
2000,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.76539
2001,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.78313
2002,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.66059
2003,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.50397
2004,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.35042
2005,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.30169
2006,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.58929
2007,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.64784
2008,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.67554
2009,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.68202
2010,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.7208
2011,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.86361
2012,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.94284
2013,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.82447
2016,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.60199
2017,Adjusted Gender Parity Index (GPIA),Out-of-school-rate,Out-of-school rate for youth of upper secondary school age,Normal value,Units,Ratio,0.81448
2013,Adjusted Gender Parity Index (GPIA),Participation rate in organised learning,"Adjusted net enrolment rate, one year before the official primary entry age",Normal value,Units,Ratio,0.96637
2014,Adjusted Gender Parity Index (GPIA),Participation rate in organised learning,"Adjusted net enrolment rate, one year before the official primary entry age",Normal value,Units,Ratio,0.99817
2015,Adjusted Gender Parity Index (GPIA),Participation rate in organised learning,"Adjusted net enrolment rate, one year before the official primary entry age",Normal value,Units,Ratio,0.96102
2016,Adjusted Gender Parity Index (GPIA),Participation rate in organised learning,"Adjusted net enrolment rate, one year before the official primary entry age",Normal value,Units,Ratio,0.99714
2017,Adjusted Gender Parity Index (GPIA),Participation rate in organised learning,"Adjusted net enrolment rate, one year before the official primary entry age",Normal value,Units,Ratio,0.99862
2010,Adjusted Gender Parity Index (GPIA),Adjusted net enrolment rate,"Adjusted net enrolment rate, one year before the official primary entry age, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Completion rate,"Completion rate, lower secondary education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Completion rate,"Completion rate, lower secondary education, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Completion rate,"Completion rate, primary education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Completion rate,"Completion rate, primary education, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Completion rate,"Completion rate, upper secondary education, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.07
2010,Adjusted Location Parity Index (LPIA),Completion rate,"Completion rate, upper secondary education, adjusted location parity index (LPIA)",Normal value,Units,Ratio,0.98
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Bachelor's or equivalent education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Doctoral or equivalent education, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed lower secondary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Missing value,Units,Ratio,
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed Master's or equivalent education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Missing value,Units,Ratio,
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.01
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.12
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.13
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.11
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.03
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed post-secondary non-tertiary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.01
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed primary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.01
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.12
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.13
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.11
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.03
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed short-cycle tertiary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.96
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.04
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, female, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.04
2010,Adjusted Location Parity Index (LPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, male, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.03
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, rural, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.97
2010,Adjusted Gender Parity Index (GPIA),Educational attainment rate (educational stage completed by population aged 25 years and over),"Educational attainment rate, completed upper secondary education or higher, population 25+ years, urban, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,0.95
2010,Adjusted Gender Parity Index (GPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, female, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Location Parity Index (LPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, male, adjusted location parity index (LPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, rural, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
2010,Adjusted Gender Parity Index (GPIA),Educational attainment (educational stage completed by population aged 25 years and over),"Educational attainment: at least some primary (ISCED 1), population 25+ years, urban, adjusted gender parity index (GPIA)",Normal value,Units,Ratio,1.0
