Year,Series,Bank account category,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Male,60 to 64,Percentage (%),Units,Normal value,91.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Male,65 to 74,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Male,75 to 84,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Male,85 and over,Percentage (%),Units,Normal value,90.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Female,,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Female,16 to 24,Percentage (%),Units,Normal value,90.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Female,25 to 34,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Female,35 to 44,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Female,45 to 54,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Female,55 to 59,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Female,60 to 64,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Female,65 to 74,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Female,75 to 84,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (excluding POCAs),Female,85 and over,Percentage (%),Units,Normal value,89.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),,,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),,16 to 24,Percentage (%),Units,Normal value,88.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),,25 to 34,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),,35 to 44,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),,45 to 54,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),,55 to 59,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),,60 to 64,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),,65 to 74,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),,75 to 84,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),,85 and over,Percentage (%),Units,Normal value,91.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Male,,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Male,16 to 24,Percentage (%),Units,Normal value,86.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Male,25 to 34,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Male,35 to 44,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Male,45 to 54,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Male,55 to 59,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Male,60 to 64,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Male,65 to 74,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Male,75 to 84,Percentage (%),Units,Normal value,96.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Male,85 and over,Percentage (%),Units,Normal value,91.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Female,,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Female,16 to 24,Percentage (%),Units,Normal value,90.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Female,25 to 34,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Female,35 to 44,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Female,45 to 54,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Female,55 to 59,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Female,60 to 64,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Female,65 to 74,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Female,75 to 84,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any Direct Payment Account (including POCAs),Female,85 and over,Percentage (%),Units,Normal value,91.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,,,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,,16 to 24,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,,25 to 34,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,,35 to 44,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,,45 to 54,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,,55 to 59,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,,60 to 64,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,,65 to 74,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,,75 to 84,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,,85 and over,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Male,,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Male,16 to 24,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Male,25 to 34,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Male,35 to 44,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Male,45 to 54,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Male,55 to 59,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Male,60 to 64,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Male,65 to 74,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Male,75 to 84,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Male,85 and over,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Female,,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Female,16 to 24,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Female,25 to 34,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Female,35 to 44,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Female,45 to 54,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Female,55 to 59,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Female,60 to 64,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Female,65 to 74,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Female,75 to 84,Percentage (%),Units,Normal value,1.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any other type of asset,Female,85 and over,Percentage (%),Units,Normal value,0.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),,,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),,16 to 24,Percentage (%),Units,Normal value,88.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),,25 to 34,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),,35 to 44,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),,45 to 54,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),,55 to 59,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),,60 to 64,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),,65 to 74,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),,75 to 84,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),,85 and over,Percentage (%),Units,Normal value,91.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Male,,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Male,16 to 24,Percentage (%),Units,Normal value,86.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Male,25 to 34,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Male,35 to 44,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Male,45 to 54,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Male,55 to 59,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Male,60 to 64,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Male,65 to 74,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Male,75 to 84,Percentage (%),Units,Normal value,96.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Male,85 and over,Percentage (%),Units,Normal value,91.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Female,,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Female,16 to 24,Percentage (%),Units,Normal value,90.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Female,25 to 34,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Female,35 to 44,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Female,45 to 54,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Female,55 to 59,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Female,60 to 64,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Female,65 to 74,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Female,75 to 84,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (excluding POCAs),Female,85 and over,Percentage (%),Units,Normal value,91.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),,,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),,16 to 24,Percentage (%),Units,Normal value,88.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),,25 to 34,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),,35 to 44,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),,45 to 54,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),,55 to 59,Percentage (%),Units,Normal value,96.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),,60 to 64,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),,65 to 74,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),,75 to 84,Percentage (%),Units,Normal value,96.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),,85 and over,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Male,,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Male,16 to 24,Percentage (%),Units,Normal value,86.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Male,25 to 34,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Male,35 to 44,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Male,45 to 54,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Male,55 to 59,Percentage (%),Units,Normal value,96.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Male,60 to 64,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Male,65 to 74,Percentage (%),Units,Normal value,96.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Male,75 to 84,Percentage (%),Units,Normal value,97.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Male,85 and over,Percentage (%),Units,Normal value,92.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Female,,Percentage (%),Units,Normal value,94.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Female,16 to 24,Percentage (%),Units,Normal value,90.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Female,25 to 34,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Female,35 to 44,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Female,45 to 54,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Female,55 to 59,Percentage (%),Units,Normal value,96.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Female,60 to 64,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Female,65 to 74,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Female,75 to 84,Percentage (%),Units,Normal value,95.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Any type of account (including POCAs),Female,85 and over,Percentage (%),Units,Normal value,93.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,,,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,,16 to 24,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,,25 to 34,Percentage (%),Units,Normal value,6.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,,35 to 44,Percentage (%),Units,Normal value,6.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,,45 to 54,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,,55 to 59,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,,60 to 64,Percentage (%),Units,Normal value,4.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,,65 to 74,Percentage (%),Units,Normal value,3.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,,75 to 84,Percentage (%),Units,Normal value,2.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,,85 and over,Percentage (%),Units,Normal value,2.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Male,,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Male,16 to 24,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Male,25 to 34,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Male,35 to 44,Percentage (%),Units,Normal value,6.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Male,45 to 54,Percentage (%),Units,Normal value,4.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Male,55 to 59,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Male,60 to 64,Percentage (%),Units,Normal value,4.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Male,65 to 74,Percentage (%),Units,Normal value,3.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Male,75 to 84,Percentage (%),Units,Normal value,2.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Male,85 and over,Percentage (%),Units,Normal value,2.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Female,,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Female,16 to 24,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Female,25 to 34,Percentage (%),Units,Normal value,6.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Female,35 to 44,Percentage (%),Units,Normal value,6.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Female,45 to 54,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of adults (16 years and older) with an account at a financial institution or mobile-money-service provider,Basic Bank account,Female,55 to 59,Percentage (%),Units,Normal value,5.0
