Year,Series,Observation status,Unit multiplier,Units,Value
2016,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),-3.38
2016,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),3.45
2016,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),0.94
2016,Regulatory capital to assets (%),Normal value,Units,Percentage (%),5.69
2016,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),16.88
2016,Return on assets (%),Normal value,Units,Percentage (%),-0.02
2017,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),37.79
2017,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),-3.73
2017,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),2.94
2017,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),0.73
2017,Regulatory capital to assets (%),Normal value,Units,Percentage (%),5.64
2017,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),17.1
2017,Return on assets (%),Normal value,Units,Percentage (%),0.07
2018,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),40.68
2018,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),-3.45
2018,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),6.81
2018,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),1.07
2018,Regulatory capital to assets (%),Normal value,Units,Percentage (%),5.69
2018,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),17.93
2018,Return on assets (%),Normal value,Units,Percentage (%),0.07
2019,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),44.43
2019,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),-1.03
2019,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),6.02
2019,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),1.08
2019,Regulatory capital to assets (%),Normal value,Units,Percentage (%),6.01
2019,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),18.86
2019,Return on assets (%),Normal value,Units,Percentage (%),0.1
2020,Liquid assets to short term liabilities (%),Normal value,Units,Percentage (%),49.45
2020,Net open position in foreign exchange to capital (%),Normal value,Units,Percentage (%),-8.45
2020,Non-performing loans net of provisions to capital (%),Normal value,Units,Percentage (%),6.77
2020,Non-performing loans to total gross loans (%),Normal value,Units,Percentage (%),1.22
2020,Regulatory capital to assets (%),Normal value,Units,Percentage (%),5.91
2020,Regulatory Tier 1 capital to risk-weighted assets (%),Normal value,Units,Percentage (%),18.49
2020,Return on assets (%),Normal value,Units,Percentage (%),0.23
