Year,Value,Series,GeoCode,Observation status,Unit multiplier,Unit measure
2003 Q1,5.184597971541802,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2003 Q2,4.802253136872218,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2003 Q3,5.259382900800827,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2003 Q4,4.783081004310017,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2004 Q1,4.799299419178017,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2004 Q2,4.676948509312677,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2004 Q3,4.898048812655484,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2004 Q4,4.61491017872815,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2005 Q1,4.679576328257933,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2005 Q2,4.638420930889343,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2005 Q3,4.949708183854844,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2005 Q4,5.02579580638701,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2006 Q1,5.222370436349961,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2006 Q2,5.373036087342243,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2006 Q3,5.703134153122574,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2006 Q4,5.371851046703531,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2007 Q1,5.501779709028344,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2007 Q2,5.2587364328527455,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2007 Q3,5.535726655209258,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2007 Q4,5.020316297910076,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2008 Q1,5.170648799342789,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2008 Q2,5.261448541973323,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2008 Q3,6.083677088231915,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2008 Q4,6.212063237875283,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2009 Q1,7.062884196328223,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2009 Q2,7.680363817764152,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2009 Q3,8.068471377776962,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2009 Q4,7.632498673081479,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2010 Q1,7.998436546439488,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2010 Q2,7.764572691643882,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2010 Q3,7.975463952380132,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2010 Q4,7.731054932742888,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2011 Q1,7.760913509632991,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2011 Q2,7.847571871799573,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2011 Q3,8.555846351035541,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2011 Q4,8.260395089964213,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2012 Q1,8.185271299796744,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2012 Q2,7.910604288263615,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2012 Q3,8.086697878354475,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2012 Q4,7.679739744760805,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2013 Q1,7.819149541047123,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2013 Q2,7.670391694884696,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2013 Q3,7.842283489666689,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2013 Q4,7.082869040800496,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2014 Q1,6.729857695042565,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2014 Q2,6.217879846989267,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2014 Q3,6.202383299911719,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2014 Q4,5.563811850014707,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2015 Q1,5.519146569377572,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2015 Q2,5.5408306195017305,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2015 Q3,5.527324090985198,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2015 Q4,4.948438519559196,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2016 Q1,5.060135646018519,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2016 Q2,4.8549375642726025,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2016 Q3,5.036653147586611,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2016 Q4,4.61909191789572,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2017 Q1,4.560729853299779,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2017 Q2,4.352819895937012,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2017 Q3,4.458807205245225,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2017 Q4,4.235269494054278,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2018 Q1,4.199255236005965,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2018 Q2,3.9589060141728543,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2018 Q3,4.259991186759402,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2018 Q4,3.905104259061275,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2019 Q1,3.807238772090797,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2019 Q2,3.8062127025818384,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2019 Q3,4.019415652506309,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2019 Q4,3.7012186615843214,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2020 Q1,3.952347101103678,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2020 Q2,3.957660608951716,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2020 Q3,5.075016931100712,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2020 Q4,5.220834621871723,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2021 Q1,4.835619553941164,Not seasonally adjusted,,Normal value,Units,Percentage (%)
2021 Q2,4.514358312173516,Not seasonally adjusted,,Normal value,Units,Percentage (%)
