Year,Units,Decent homes criteria,Urbanisation sub-category,Sub-national area,Age of oldest person,Age of youngest person,Income group,Disability status,Ethnicity of household reference person (HRP),Unit measure,Observation status,Unit multiplier,Value
2009,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,16.39980140981614
2010,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,14.274
2011,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,11.745
2012,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,9.943
2013,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,8.871695401484295
2014,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,8.614170468880186
2015,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,9.3221348722128
2016,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,8.938873468661154
2017,Dwelling (%),Minimum Standard (HHSRS),suburban residential,,,,,,,Percentage (%),Undefined,Units,8.055702474691618
2008,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,38.4556706879176
2009,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,31.25638913542663
2010,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,25.197
2011,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,22.764
2012,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,23.888
2013,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,22.74262174411045
2014,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,22.32060597092627
2015,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,22.32299556440164
2016,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,24.939644922261756
2017,Dwelling (%),Minimum Standard (HHSRS),village centre,,,,,,,Percentage (%),Undefined,Units,22.83627604054646
2008,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,22.62418171167628
2009,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,20.1152288421339
2010,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,16.422
2011,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,14.374
2012,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,12.866
2013,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,11.19190422535967
2014,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,11.90999443113217
2015,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,14.52321348146199
2016,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,14.839180623558155
2017,Dwelling (%),Minimum Standard (HHSRS),,North,,,,,,Percentage (%),Undefined,Units,12.335316217183395
2008,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,23.44866895458284
2009,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,22.64334568401527
2010,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,19.733
2011,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,17.454
2012,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,16.234
2013,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,13.82921632701126
2014,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,13.37666659645728
2015,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,14.2830271773214
2016,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,13.533292343641904
2017,Dwelling (%),Minimum Standard (HHSRS),,Rest of England,,,,,,Percentage (%),Undefined,Units,12.38229669186062
2008,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,18.66882328864072
2009,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,16.9389475085471
2010,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,14.0
2011,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,11.341
2012,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,10.017
2013,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,10.01329727924242
2014,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,8.416244563550274
2015,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,7.249604565512461
2016,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,7.355106921004887
2017,Dwelling (%),Minimum Standard (HHSRS),,South East,,,,,,Percentage (%),Undefined,Units,7.537772393278308
2008,Household (%),Minimum Standard (HHSRS),,,59 and under,,,,,Percentage (%),Undefined,Units,21.25577642506696
2009,Household (%),Minimum Standard (HHSRS),,,59 and under,,,,,Percentage (%),Undefined,Units,19.43365595948773
2010,Household (%),Minimum Standard (HHSRS),,,59 and under,,,,,Percentage (%),Undefined,Units,16.385
2011,Household (%),Minimum Standard (HHSRS),,,59 and under,,,,,Percentage (%),Undefined,Units,14.477
2012,Household (%),Minimum Standard (HHSRS),,,59 and under,,,,,Percentage (%),Undefined,Units,13.323
2013,Household (%),Minimum Standard (HHSRS),,,59 and under,,,,,Percentage (%),Undefined,Units,11.8236759556307
2014,Household (%),Minimum Standard (HHSRS),,,59 and under,,,,,Percentage (%),Undefined,Units,11.47115565871116
2015,Household (%),Minimum Standard (HHSRS),,,59 and under,,,,,Percentage (%),Undefined,Units,11.97581022302363
2016,Household (%),Minimum Standard (HHSRS),,,59 and under,,,,,Percentage (%),Undefined,Units,11.53261582049302
2017,Household (%),Minimum Standard (HHSRS),,,59 and under,,,,,Percentage (%),Undefined,Units,10.702469132374258
2008,Household (%),Minimum Standard (HHSRS),,,60 and over,,,,,Percentage (%),Undefined,Units,21.32910866171197
2009,Household (%),Minimum Standard (HHSRS),,,60 and over,,,,,Percentage (%),Undefined,Units,20.43832648202871
2010,Household (%),Minimum Standard (HHSRS),,,60 and over,,,,,Percentage (%),Undefined,Units,17.161
2011,Household (%),Minimum Standard (HHSRS),,,60 and over,,,,,Percentage (%),Undefined,Units,14.533
2012,Household (%),Minimum Standard (HHSRS),,,60 and over,,,,,Percentage (%),Undefined,Units,13.198
2013,Household (%),Minimum Standard (HHSRS),,,60 and over,,,,,Percentage (%),Undefined,Units,11.22143069767555
2014,Household (%),Minimum Standard (HHSRS),,,60 and over,,,,,Percentage (%),Undefined,Units,10.79037411783044
2015,Household (%),Minimum Standard (HHSRS),,,60 and over,,,,,Percentage (%),Undefined,Units,11.66189033012641
2016,Household (%),Minimum Standard (HHSRS),,,60 and over,,,,,Percentage (%),Undefined,Units,11.68807949568713
2017,Household (%),Minimum Standard (HHSRS),,,60 and over,,,,,Percentage (%),Undefined,Units,10.6537731068252
2008,Household (%),Minimum Standard (HHSRS),,,75 and over,,,,,Percentage (%),Undefined,Units,21.66614001979473
2009,Household (%),Minimum Standard (HHSRS),,,75 and over,,,,,Percentage (%),Undefined,Units,20.63738340894557
2010,Household (%),Minimum Standard (HHSRS),,,75 and over,,,,,Percentage (%),Undefined,Units,17.443
2011,Household (%),Minimum Standard (HHSRS),,,75 and over,,,,,Percentage (%),Undefined,Units,15.276
2012,Household (%),Minimum Standard (HHSRS),,,75 and over,,,,,Percentage (%),Undefined,Units,13.223
2013,Household (%),Minimum Standard (HHSRS),,,75 and over,,,,,Percentage (%),Undefined,Units,11.52612112627552
2014,Household (%),Minimum Standard (HHSRS),,,75 and over,,,,,Percentage (%),Undefined,Units,10.90196006043024
2015,Household (%),Minimum Standard (HHSRS),,,75 and over,,,,,Percentage (%),Undefined,Units,11.41363244381676
2016,Household (%),Minimum Standard (HHSRS),,,75 and over,,,,,Percentage (%),Undefined,Units,11.704617052536223
2017,Household (%),Minimum Standard (HHSRS),,,75 and over,,,,,Percentage (%),Undefined,Units,11.086039030027804
2008,Household (%),Minimum Standard (HHSRS),,,,4 and under,,,,Percentage (%),Undefined,Units,20.50302599710632
2009,Household (%),Minimum Standard (HHSRS),,,,4 and under,,,,Percentage (%),Undefined,Units,19.83803584425103
2010,Household (%),Minimum Standard (HHSRS),,,,4 and under,,,,Percentage (%),Undefined,Units,15.65
2011,Household (%),Minimum Standard (HHSRS),,,,4 and under,,,,Percentage (%),Undefined,Units,14.854
2012,Household (%),Minimum Standard (HHSRS),,,,4 and under,,,,Percentage (%),Undefined,Units,13.299
2013,Household (%),Minimum Standard (HHSRS),,,,4 and under,,,,Percentage (%),Undefined,Units,10.83113941710981
2014,Household (%),Minimum Standard (HHSRS),,,,4 and under,,,,Percentage (%),Undefined,Units,11.32010932676137
2015,Household (%),Minimum Standard (HHSRS),,,,4 and under,,,,Percentage (%),Undefined,Units,12.84507938175315
2016,Household (%),Minimum Standard (HHSRS),,,,4 and under,,,,Percentage (%),Undefined,Units,13.19236120149096
2017,Household (%),Minimum Standard (HHSRS),,,,4 and under,,,,Percentage (%),Undefined,Units,12.375462933073551
2008,Household (%),Minimum Standard (HHSRS),,,,15 and under,,,,Percentage (%),Undefined,Units,20.08574954401386
2009,Household (%),Minimum Standard (HHSRS),,,,15 and under,,,,Percentage (%),Undefined,Units,18.07473124555612
2010,Household (%),Minimum Standard (HHSRS),,,,15 and under,,,,Percentage (%),Undefined,Units,14.488
2011,Household (%),Minimum Standard (HHSRS),,,,15 and under,,,,Percentage (%),Undefined,Units,13.589
2012,Household (%),Minimum Standard (HHSRS),,,,15 and under,,,,Percentage (%),Undefined,Units,13.385
2013,Household (%),Minimum Standard (HHSRS),,,,15 and under,,,,Percentage (%),Undefined,Units,12.02631825255635
2014,Household (%),Minimum Standard (HHSRS),,,,15 and under,,,,Percentage (%),Undefined,Units,11.25037755958787
2015,Household (%),Minimum Standard (HHSRS),,,,15 and under,,,,Percentage (%),Undefined,Units,11.9335117824586
2016,Household (%),Minimum Standard (HHSRS),,,,15 and under,,,,Percentage (%),Undefined,Units,12.321661980663286
2017,Household (%),Minimum Standard (HHSRS),,,,15 and under,,,,Percentage (%),Undefined,Units,11.32110981633006
2008,Household (%),Minimum Standard (HHSRS),,,,16 and over,,,,Percentage (%),Undefined,Units,21.71837947630152
2009,Household (%),Minimum Standard (HHSRS),,,,16 and over,,,,Percentage (%),Undefined,Units,20.47756193723473
2010,Household (%),Minimum Standard (HHSRS),,,,16 and over,,,,Percentage (%),Undefined,Units,17.54
2011,Household (%),Minimum Standard (HHSRS),,,,16 and over,,,,Percentage (%),Undefined,Units,14.862
2012,Household (%),Minimum Standard (HHSRS),,,,16 and over,,,,Percentage (%),Undefined,Units,13.231
2013,Household (%),Minimum Standard (HHSRS),,,,16 and over,,,,Percentage (%),Undefined,Units,11.43931856410859
2014,Household (%),Minimum Standard (HHSRS),,,,16 and over,,,,Percentage (%),Undefined,Units,11.19263708460763
2015,Household (%),Minimum Standard (HHSRS),,,,16 and over,,,,Percentage (%),Undefined,Units,11.82355909420465
2016,Household (%),Minimum Standard (HHSRS),,,,16 and over,,,,Percentage (%),Undefined,Units,11.324081838724858
2017,Household (%),Minimum Standard (HHSRS),,,,16 and over,,,,Percentage (%),Undefined,Units,10.451633352897597
2008,Household (%),Minimum Standard (HHSRS),,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,23.18895359501638
2009,Household (%),Minimum Standard (HHSRS),,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,21.54711018687617
2010,Household (%),Minimum Standard (HHSRS),,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,18.038
2011,Household (%),Minimum Standard (HHSRS),,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,15.636
2012,Household (%),Minimum Standard (HHSRS),,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,14.915
2013,Household (%),Minimum Standard (HHSRS),,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,13.40171093612513
2014,Household (%),Minimum Standard (HHSRS),,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,13.25070074458794
2015,Household (%),Minimum Standard (HHSRS),,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,15.15118334033881
2016,Household (%),Minimum Standard (HHSRS),,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,13.530806200257684
2017,Household (%),Minimum Standard (HHSRS),,,,,1st quintile (lowest),,,Percentage (%),Undefined,Units,11.682566390873042
2008,Household (%),Minimum Standard (HHSRS),,,,,2nd quintile,,,Percentage (%),Undefined,Units,21.10243391513101
2009,Household (%),Minimum Standard (HHSRS),,,,,2nd quintile,,,Percentage (%),Undefined,Units,19.73511988508116
2010,Household (%),Minimum Standard (HHSRS),,,,,2nd quintile,,,Percentage (%),Undefined,Units,17.315
2011,Household (%),Minimum Standard (HHSRS),,,,,2nd quintile,,,Percentage (%),Undefined,Units,15.514
2012,Household (%),Minimum Standard (HHSRS),,,,,2nd quintile,,,Percentage (%),Undefined,Units,14.786
2013,Household (%),Minimum Standard (HHSRS),,,,,2nd quintile,,,Percentage (%),Undefined,Units,12.47884534704297
2014,Household (%),Minimum Standard (HHSRS),,,,,2nd quintile,,,Percentage (%),Undefined,Units,10.76597328506583
2015,Household (%),Minimum Standard (HHSRS),,,,,2nd quintile,,,Percentage (%),Undefined,Units,10.7693461468411
2016,Household (%),Minimum Standard (HHSRS),,,,,2nd quintile,,,Percentage (%),Undefined,Units,11.70529559226251
2017,Household (%),Minimum Standard (HHSRS),,,,,2nd quintile,,,Percentage (%),Undefined,Units,11.436198142188127
2008,Household (%),Minimum Standard (HHSRS),,,,,3rd quintile,,,Percentage (%),Undefined,Units,21.23257822069577
2009,Household (%),Minimum Standard (HHSRS),,,,,3rd quintile,,,Percentage (%),Undefined,Units,20.99728435494324
2010,Household (%),Minimum Standard (HHSRS),,,,,3rd quintile,,,Percentage (%),Undefined,Units,17.084
2011,Household (%),Minimum Standard (HHSRS),,,,,3rd quintile,,,Percentage (%),Undefined,Units,15.065
2012,Household (%),Minimum Standard (HHSRS),,,,,3rd quintile,,,Percentage (%),Undefined,Units,12.783
2013,Household (%),Minimum Standard (HHSRS),,,,,3rd quintile,,,Percentage (%),Undefined,Units,11.24976064991471
2014,Household (%),Minimum Standard (HHSRS),,,,,3rd quintile,,,Percentage (%),Undefined,Units,11.07949417008809
2015,Household (%),Minimum Standard (HHSRS),,,,,3rd quintile,,,Percentage (%),Undefined,Units,11.98618855390105
2016,Household (%),Minimum Standard (HHSRS),,,,,3rd quintile,,,Percentage (%),Undefined,Units,11.9547461629613
2017,Household (%),Minimum Standard (HHSRS),,,,,3rd quintile,,,Percentage (%),Undefined,Units,9.81169998483896
2008,Household (%),Minimum Standard (HHSRS),,,,,4th quintile,,,Percentage (%),Undefined,Units,18.63969770206619
2009,Household (%),Minimum Standard (HHSRS),,,,,4th quintile,,,Percentage (%),Undefined,Units,17.04560261945192
2010,Household (%),Minimum Standard (HHSRS),,,,,4th quintile,,,Percentage (%),Undefined,Units,14.183
2011,Household (%),Minimum Standard (HHSRS),,,,,4th quintile,,,Percentage (%),Undefined,Units,12.061
2012,Household (%),Minimum Standard (HHSRS),,,,,4th quintile,,,Percentage (%),Undefined,Units,11.073
2013,Household (%),Minimum Standard (HHSRS),,,,,4th quintile,,,Percentage (%),Undefined,Units,10.31231134439355
2014,Household (%),Minimum Standard (HHSRS),,,,,4th quintile,,,Percentage (%),Undefined,Units,10.98916304673581
2015,Household (%),Minimum Standard (HHSRS),,,,,4th quintile,,,Percentage (%),Undefined,Units,11.5647486676336
2016,Household (%),Minimum Standard (HHSRS),,,,,4th quintile,,,Percentage (%),Undefined,Units,10.8474037584689
2017,Household (%),Minimum Standard (HHSRS),,,,,4th quintile,,,Percentage (%),Undefined,Units,9.396914536244266
2008,Household (%),Minimum Standard (HHSRS),,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,22.18550661348197
2009,Household (%),Minimum Standard (HHSRS),,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,19.54971710626916
2010,Household (%),Minimum Standard (HHSRS),,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,16.582
2011,Household (%),Minimum Standard (HHSRS),,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,14.17
2012,Household (%),Minimum Standard (HHSRS),,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,12.991
2013,Household (%),Minimum Standard (HHSRS),,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,10.73399404027712
2014,Household (%),Minimum Standard (HHSRS),,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,10.15754466367895
2015,Household (%),Minimum Standard (HHSRS),,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,10.13615395395111
2016,Household (%),Minimum Standard (HHSRS),,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,10.101750225972989
2017,Household (%),Minimum Standard (HHSRS),,,,,5th quintile (highest),,,Percentage (%),Undefined,Units,11.108472868303922
2008,Household (%),Minimum Standard (HHSRS),,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,21.7140273180838
2009,Household (%),Minimum Standard (HHSRS),,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,19.80184350971612
2010,Household (%),Minimum Standard (HHSRS),,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,16.681
2011,Household (%),Minimum Standard (HHSRS),,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,14.693
2012,Household (%),Minimum Standard (HHSRS),,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,13.451
2013,Household (%),Minimum Standard (HHSRS),,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,11.84304451774381
2014,Household (%),Minimum Standard (HHSRS),,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,11.34680714320797
2015,Household (%),Minimum Standard (HHSRS),,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,11.87826405001057
2016,Household (%),Minimum Standard (HHSRS),,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,11.684698012026594
2017,Household (%),Minimum Standard (HHSRS),,,,,,Non-disabled (GSS harmonised),,Percentage (%),Undefined,Units,10.671511823306618
2008,Household (%),Minimum Standard (HHSRS),,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,20.25891741337728
2009,Household (%),Minimum Standard (HHSRS),,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,19.76500375583684
2010,Household (%),Minimum Standard (HHSRS),,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,16.662
2011,Household (%),Minimum Standard (HHSRS),,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,14.037
2012,Household (%),Minimum Standard (HHSRS),,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,12.85
2013,Household (%),Minimum Standard (HHSRS),,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,10.99893863873915
2014,Household (%),Minimum Standard (HHSRS),,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,10.94315054620902
2015,Household (%),Minimum Standard (HHSRS),,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,11.76306092751105
2016,Household (%),Minimum Standard (HHSRS),,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,11.31701956896196
2017,Household (%),Minimum Standard (HHSRS),,,,,,Disabled (GSS harmonised),,Percentage (%),Undefined,Units,10.492865929959294
2008,Household (%),Minimum Standard (HHSRS),,,,,,,White,Percentage (%),Undefined,Units,21.60288938940521
2009,Household (%),Minimum Standard (HHSRS),,,,,,,White,Percentage (%),Undefined,Units,20.18394274396666
2010,Household (%),Minimum Standard (HHSRS),,,,,,,White,Percentage (%),Undefined,Units,17.042
2011,Household (%),Minimum Standard (HHSRS),,,,,,,White,Percentage (%),Undefined,Units,14.555
2012,Household (%),Minimum Standard (HHSRS),,,,,,,White,Percentage (%),Undefined,Units,13.021
2013,Household (%),Minimum Standard (HHSRS),,,,,,,White,Percentage (%),Undefined,Units,11.42655428789904
2014,Household (%),Minimum Standard (HHSRS),,,,,,,White,Percentage (%),Undefined,Units,11.31651308618998
2015,Household (%),Minimum Standard (HHSRS),,,,,,,White,Percentage (%),Undefined,Units,12.1079160049346
2016,Household (%),Minimum Standard (HHSRS),,,,,,,White,Percentage (%),Undefined,Units,11.905381825423
2017,Household (%),Minimum Standard (HHSRS),,,,,,,White,Percentage (%),Undefined,Units,10.873115150040991
2008,Household (%),Minimum Standard (HHSRS),,,,,,,Asian,Percentage (%),Undefined,Units,20.20537564566518
2009,Household (%),Minimum Standard (HHSRS),,,,,,,Asian,Percentage (%),Undefined,Units,21.03968049321468
2010,Household (%),Minimum Standard (HHSRS),,,,,,,Asian,Percentage (%),Undefined,Units,15.609
2011,Household (%),Minimum Standard (HHSRS),,,,,,,Asian,Percentage (%),Undefined,Units,14.698
2012,Household (%),Minimum Standard (HHSRS),,,,,,,Asian,Percentage (%),Undefined,Units,16.108
2013,Household (%),Minimum Standard (HHSRS),,,,,,,Asian,Percentage (%),Undefined,Units,12.79285621983879
2014,Household (%),Minimum Standard (HHSRS),,,,,,,Asian,Percentage (%),Undefined,Units,9.201777969660696
2015,Household (%),Minimum Standard (HHSRS),,,,,,,Asian,Percentage (%),Undefined,Units,10.99794752416151
2016,Household (%),Minimum Standard (HHSRS),,,,,,,Asian,Percentage (%),Undefined,Units,11.59169130415193
2017,Household (%),Minimum Standard (HHSRS),,,,,,,Asian,Percentage (%),Undefined,Units,10.425766608143546
2008,Household (%),Minimum Standard (HHSRS),,,,,,,Black,Percentage (%),Undefined,Units,13.90631763793033
2009,Household (%),Minimum Standard (HHSRS),,,,,,,Black,Percentage (%),Undefined,Units,11.29750489642544
