Year,Series,Country,Region,Sex,Sector,Observation status,Unit multiplier,Units,GeoCode,Value
2016,Unpaid Family Workers as a proportion of all employees,Wales,,,Agriculture,Undefined,Units,Percentage (%),W92000004,8.40780883564683
2017,Unpaid Family Workers as a proportion of all employees,Wales,,,Agriculture,Undefined,Units,Percentage (%),W92000004,7.80431689522599
2018,Unpaid Family Workers as a proportion of all employees,Wales,,,Agriculture,Undefined,Units,Percentage (%),W92000004,8.00848977639603
2019,Unpaid Family Workers as a proportion of all employees,Wales,,,Agriculture,Undefined,Units,Percentage (%),W92000004,8.01094829600454
2020,Unpaid Family Workers as a proportion of all employees,Wales,,,Agriculture,Undefined,Units,Percentage (%),W92000004,12.8722074425462
2012,Unpaid Family Workers as a proportion of all employees,,,,Agriculture,Undefined,Units,Percentage (%),,3.52675626951207
2013,Unpaid Family Workers as a proportion of all employees,,,,Agriculture,Undefined,Units,Percentage (%),,4.18945261695428
2014,Unpaid Family Workers as a proportion of all employees,,,,Agriculture,Undefined,Units,Percentage (%),,3.93842317335485
2015,Unpaid Family Workers as a proportion of all employees,,,,Agriculture,Undefined,Units,Percentage (%),,3.496059273917
2016,Unpaid Family Workers as a proportion of all employees,,,,Agriculture,Undefined,Units,Percentage (%),,4.71835312818836
2017,Unpaid Family Workers as a proportion of all employees,,,,Agriculture,Undefined,Units,Percentage (%),,4.37918925703535
2018,Unpaid Family Workers as a proportion of all employees,,,,Agriculture,Undefined,Units,Percentage (%),,3.98194827266106
2019,Unpaid Family Workers as a proportion of all employees,,,,Agriculture,Undefined,Units,Percentage (%),,4.28382464650968
2020,Unpaid Family Workers as a proportion of all employees,,,,Agriculture,Undefined,Units,Percentage (%),,4.35807218159619
2012,Unpaid Family Workers as a proportion of all employees,,,Female,Non-Agriculture,Undefined,Units,Percentage (%),,0.464608971855293
2013,Unpaid Family Workers as a proportion of all employees,,,Female,Non-Agriculture,Undefined,Units,Percentage (%),,0.426421121203829
2014,Unpaid Family Workers as a proportion of all employees,,,Female,Non-Agriculture,Undefined,Units,Percentage (%),,0.414829620731974
2015,Unpaid Family Workers as a proportion of all employees,,,Female,Non-Agriculture,Undefined,Units,Percentage (%),,0.435123748206258
2016,Unpaid Family Workers as a proportion of all employees,,,Female,Non-Agriculture,Undefined,Units,Percentage (%),,0.410093354579189
2017,Unpaid Family Workers as a proportion of all employees,,,Female,Non-Agriculture,Undefined,Units,Percentage (%),,0.356273983842656
2018,Unpaid Family Workers as a proportion of all employees,,,Female,Non-Agriculture,Undefined,Units,Percentage (%),,0.430999677814914
2019,Unpaid Family Workers as a proportion of all employees,,,Female,Non-Agriculture,Undefined,Units,Percentage (%),,0.353805587344249
2020,Unpaid Family Workers as a proportion of all employees,,,Female,Non-Agriculture,Undefined,Units,Percentage (%),,0.287043564444005
2012,Unpaid Family Workers as a proportion of all employees,,,Male,Non-Agriculture,Undefined,Units,Percentage (%),,0.24424558980741
2013,Unpaid Family Workers as a proportion of all employees,,,Male,Non-Agriculture,Undefined,Units,Percentage (%),,0.303308643277181
2014,Unpaid Family Workers as a proportion of all employees,,,Male,Non-Agriculture,Undefined,Units,Percentage (%),,0.291084723527616
2015,Unpaid Family Workers as a proportion of all employees,,,Male,Non-Agriculture,Undefined,Units,Percentage (%),,0.276336035551043
2016,Unpaid Family Workers as a proportion of all employees,,,Male,Non-Agriculture,Undefined,Units,Percentage (%),,0.313046840516918
2017,Unpaid Family Workers as a proportion of all employees,,,Male,Non-Agriculture,Undefined,Units,Percentage (%),,0.295751180395081
2018,Unpaid Family Workers as a proportion of all employees,,,Male,Non-Agriculture,Undefined,Units,Percentage (%),,0.307910444550685
2019,Unpaid Family Workers as a proportion of all employees,,,Male,Non-Agriculture,Undefined,Units,Percentage (%),,0.322446602994771
2020,Unpaid Family Workers as a proportion of all employees,,,Male,Non-Agriculture,Undefined,Units,Percentage (%),,0.222999301900616
2012,Unpaid Family Workers as a proportion of all employees,,East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000006,0.493933900032736
2013,Unpaid Family Workers as a proportion of all employees,,East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000006,0.456564359363199
2014,Unpaid Family Workers as a proportion of all employees,,East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000006,0.291201064995757
2015,Unpaid Family Workers as a proportion of all employees,,East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000006,0.328474381740589
2016,Unpaid Family Workers as a proportion of all employees,,East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000006,0.341126555272913
2017,Unpaid Family Workers as a proportion of all employees,,East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000006,0.260838042862703
2018,Unpaid Family Workers as a proportion of all employees,,East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000006,0.30633290464332
2019,Unpaid Family Workers as a proportion of all employees,,East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000006,0.308095648308768
2020,Unpaid Family Workers as a proportion of all employees,,East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000006,0.328502822007881
2012,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000004,0.346952895583356
2013,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000004,0.290911351664144
2014,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000004,0.306191315636133
2015,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000004,0.441884414400715
2016,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000004,0.388792099463842
2017,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000004,0.347906578425384
2018,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000004,0.386251147203666
2019,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000004,0.280513041214929
2020,Unpaid Family Workers as a proportion of all employees,,East Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000004,0.211997003915437
2012,Unpaid Family Workers as a proportion of all employees,,London,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.271069523742333
2013,Unpaid Family Workers as a proportion of all employees,,London,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.350005544642291
2014,Unpaid Family Workers as a proportion of all employees,,London,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.33153676580259
2015,Unpaid Family Workers as a proportion of all employees,,London,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.306411583965384
2016,Unpaid Family Workers as a proportion of all employees,,London,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.346105142581
2017,Unpaid Family Workers as a proportion of all employees,,London,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.340488700908059
2018,Unpaid Family Workers as a proportion of all employees,,London,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.372091014993111
2019,Unpaid Family Workers as a proportion of all employees,,London,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.458246134336509
2020,Unpaid Family Workers as a proportion of all employees,,London,,Non-Agriculture,Undefined,Units,Percentage (%),E12000007,0.312947940841462
2012,Unpaid Family Workers as a proportion of all employees,,North East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000001,0.213791997784652
2013,Unpaid Family Workers as a proportion of all employees,,North East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000001,0.185642780206551
2014,Unpaid Family Workers as a proportion of all employees,,North East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000001,0.302402178209126
2015,Unpaid Family Workers as a proportion of all employees,,North East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000001,0.27132195286073
2016,Unpaid Family Workers as a proportion of all employees,,North East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000001,0.325724919561319
2017,Unpaid Family Workers as a proportion of all employees,,North East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000001,0.135697737947508
2018,Unpaid Family Workers as a proportion of all employees,,North East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000001,0.400766934069662
2019,Unpaid Family Workers as a proportion of all employees,,North East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000001,0.318088395979944
2020,Unpaid Family Workers as a proportion of all employees,,North East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000001,0.145428195457508
2012,Unpaid Family Workers as a proportion of all employees,,North West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000002,0.328279010630794
2013,Unpaid Family Workers as a proportion of all employees,,North West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000002,0.253241284263182
2014,Unpaid Family Workers as a proportion of all employees,,North West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000002,0.299054720833131
2015,Unpaid Family Workers as a proportion of all employees,,North West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000002,0.303586394731771
2016,Unpaid Family Workers as a proportion of all employees,,North West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000002,0.195997035920349
2017,Unpaid Family Workers as a proportion of all employees,,North West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000002,0.239809435236308
2018,Unpaid Family Workers as a proportion of all employees,,North West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000002,0.221577692058538
2019,Unpaid Family Workers as a proportion of all employees,,North West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000002,0.209171241952421
2020,Unpaid Family Workers as a proportion of all employees,,North West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000002,0.193432155034026
2012,Unpaid Family Workers as a proportion of all employees,,South East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000008,0.487831002449121
2013,Unpaid Family Workers as a proportion of all employees,,South East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000008,0.485650015055528
2014,Unpaid Family Workers as a proportion of all employees,,South East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000008,0.364648982754918
2015,Unpaid Family Workers as a proportion of all employees,,South East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000008,0.362868057523645
2016,Unpaid Family Workers as a proportion of all employees,,South East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000008,0.337135634093538
2017,Unpaid Family Workers as a proportion of all employees,,South East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000008,0.362935620069579
2018,Unpaid Family Workers as a proportion of all employees,,South East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000008,0.509572584588915
2019,Unpaid Family Workers as a proportion of all employees,,South East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000008,0.413564496897449
2020,Unpaid Family Workers as a proportion of all employees,,South East,,Non-Agriculture,Undefined,Units,Percentage (%),E12000008,0.30021928276747
2012,Unpaid Family Workers as a proportion of all employees,,South West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000009,0.449639958373303
2013,Unpaid Family Workers as a proportion of all employees,,South West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000009,0.519361811532719
2014,Unpaid Family Workers as a proportion of all employees,,South West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000009,0.496962463681631
2015,Unpaid Family Workers as a proportion of all employees,,South West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000009,0.470770550593549
2016,Unpaid Family Workers as a proportion of all employees,,South West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000009,0.474136189206149
2017,Unpaid Family Workers as a proportion of all employees,,South West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000009,0.462120410342794
2018,Unpaid Family Workers as a proportion of all employees,,South West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000009,0.347140214412307
2019,Unpaid Family Workers as a proportion of all employees,,South West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000009,0.397852219942219
2020,Unpaid Family Workers as a proportion of all employees,,South West,,Non-Agriculture,Undefined,Units,Percentage (%),E12000009,0.29474458491001
2012,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000005,0.274560904738837
2013,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000005,0.303760823413253
2014,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000005,0.314190590958633
2015,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000005,0.280704262525844
2016,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000005,0.359650382454024
2017,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000005,0.247411440859179
2018,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000005,0.316619028596871
2019,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000005,0.218198078991883
2020,Unpaid Family Workers as a proportion of all employees,,West Midlands,,Non-Agriculture,Undefined,Units,Percentage (%),E12000005,0.1926312604246
2012,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Non-Agriculture,Undefined,Units,Percentage (%),E12000003,0.288089184180303
2013,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Non-Agriculture,Undefined,Units,Percentage (%),E12000003,0.358388712741433
2014,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Non-Agriculture,Undefined,Units,Percentage (%),E12000003,0.288343873120351
2015,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Non-Agriculture,Undefined,Units,Percentage (%),E12000003,0.304833085249302
2016,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Non-Agriculture,Undefined,Units,Percentage (%),E12000003,0.412109703579117
2017,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Non-Agriculture,Undefined,Units,Percentage (%),E12000003,0.315460283253667
2018,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Non-Agriculture,Undefined,Units,Percentage (%),E12000003,0.285596717235578
2019,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Non-Agriculture,Undefined,Units,Percentage (%),E12000003,0.287480887151437
2020,Unpaid Family Workers as a proportion of all employees,,Yorkshire and The Humber,,Non-Agriculture,Undefined,Units,Percentage (%),E12000003,0.199038072896824
2012,Unpaid Family Workers as a proportion of all employees,England,,,Non-Agriculture,Undefined,Units,Percentage (%),E92000001,0.36474058244636
2013,Unpaid Family Workers as a proportion of all employees,England,,,Non-Agriculture,Undefined,Units,Percentage (%),E92000001,0.374062354022087
2014,Unpaid Family Workers as a proportion of all employees,England,,,Non-Agriculture,Undefined,Units,Percentage (%),E92000001,0.335926540667953
2015,Unpaid Family Workers as a proportion of all employees,England,,,Non-Agriculture,Undefined,Units,Percentage (%),E92000001,0.341933945535022
2016,Unpaid Family Workers as a proportion of all employees,England,,,Non-Agriculture,Undefined,Units,Percentage (%),E92000001,0.348307691044276
2017,Unpaid Family Workers as a proportion of all employees,England,,,Non-Agriculture,Undefined,Units,Percentage (%),E92000001,0.314890223510374
2018,Unpaid Family Workers as a proportion of all employees,England,,,Non-Agriculture,Undefined,Units,Percentage (%),E92000001,0.354781386061229
2019,Unpaid Family Workers as a proportion of all employees,England,,,Non-Agriculture,Undefined,Units,Percentage (%),E92000001,0.335199452771594
2020,Unpaid Family Workers as a proportion of all employees,England,,,Non-Agriculture,Undefined,Units,Percentage (%),E92000001,0.257059206405972
