Year,Series,Source of revenue,Units,Unit multiplier,Observation status,Value
2018,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.349094516109595
2019,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.515742860359515
2020,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.886964979991411
2021,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,6.899032087271599
2022,Total government revenue as a proportion of GDP,Social contributions,Percentage (%),Units,Normal value,7.121961049084832
1999,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.57884403581861
2000,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.24877695267554
2001,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.959469075535896
2002,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.22602317217996
2003,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,25.88397801020104
2004,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.53277115352647
2005,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.87270968382652
2006,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.15996406934372
2007,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.384473460853727
2008,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.86923486443219
2009,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,25.63126577922806
2010,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.70082319253328
2011,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,27.25483727724429
2012,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.52411423728477
2013,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.52836565867847
2014,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.281184457816
2015,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.41028257187149
2016,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.759561701878653
2017,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.98368543430049
2018,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.962700645681625
2019,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.557041175009427
2020,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,26.38066850777922
2021,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,28.180426262175995
2022,Total government revenue as a proportion of GDP,Taxes,Percentage (%),Units,Normal value,29.030787102637323
1999,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.149499592970358
2000,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.292526946999617
2001,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.44079617714828
2002,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.3815058979534456
2003,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.3287752793379246
2004,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.603104078826072
2005,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.31784605074294
2006,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.0259967667841043
2007,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.18276973874881
2008,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.257966674128712
2009,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.3753210617817597
2010,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,9.160800083851148
2011,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.961884039944454
2012,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,2.935839149308241
2013,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.988506959562273
2014,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.48137535047538
2015,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.406406461641293
2016,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.337449442624788
2017,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.457972343511392
2018,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.418867994493397
2019,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.258474553554675
2020,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.476972346337731
2021,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.2170962970532706
2022,Total government revenue as a proportion of GDP,Other revenue,Percentage (%),Units,Normal value,3.597809603096934
