Indicator,Alias,Source,Year,Sex,Location,Age,Confidence Interval,Value
Share of unemployed youth to youth population - Percent,Share of unemployed youth to youth population - Percent,UNSD_MDG_2012 Country Data,1996,Female,,15-24 yr,,0.4
Share of unemployed youth to youth population - Percent,Share of unemployed youth to youth population - Percent,UNSD_MDG_2012 Country Data,1996,Male,,15-24 yr,,0.8
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,1991,,Total,,,45.8
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,1991,Female,,,,45.1
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,1991,Male,,,,46.4
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,1999,,Total,,,29.9
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,1999,Female,,,,29
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,1999,Male,,,,30.7
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2000,,Total,,,22.9
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2000,Female,,,,21
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2000,Male,,,,24.7
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2001,,Total,,,24
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2001,Female,,,,22.4
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2001,Male,,,,25.7
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2002,,Total,,,29.6
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2002,Female,,,,28.6
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2002,Male,,,,30.7
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2003,,Total,,,39.8
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2003,Female,,,,39.2
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2003,Male,,,,40.4
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2004,,Total,,,40
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2004,Female,,,,39.4
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2004,Male,,,,40.6
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2008,,Total,,,51.2
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2008,Female,,,,53.2
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2008,Male,,,,49.1
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2009,,Total,,,68
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2009,Female,,,,71.4
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2009,Male,,,,64.6
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2010,,Total,,,69.6
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2010,Female,,,,73.8
Primary completion rate - Rate,Primary completion rate - Rate,UNSD_MDG_2012 Country Data,2010,Male,,,,65.4
Contraceptive prevalence rate - condom - Percent,Contraceptive prevalence rate - condom - Percent,UNSD_MDG_2012 Country Data,1996,Female,,15-49 yr,,0.2
Contraceptive prevalence rate - condom - Percent,Contraceptive prevalence rate - condom - Percent,UNSD_MDG_2012 Country Data,2000,Female,,15-49 yr,,0.4
Contraceptive prevalence rate - condom - Percent,Contraceptive prevalence rate - condom - Percent,UNSD_MDG_2012 Country Data,2005,Female,,15-49 yr,,0.9
Contraceptive prevalence rate - condom - Percent,Contraceptive prevalence rate - condom - Percent,UNSD_MDG_2012 Country Data,2008,Female,,15-49 yr,,1.9
Contraceptive prevalence rate - condom - Percent,Contraceptive prevalence rate - condom - Percent,UNSD_MDG_2012 Country Data,2011,Female,,15-49 yr,,2.9
Contraceptive prevalence rate - condom - Percent,Contraceptive prevalence rate - condom - Percent,UNSD_MDG_2012 Country Data,1992,Female,,15-49 yr,,0.2
2.03 Literacy rate of 15-24 year-olds - Percent,2.03 Literacy rate of 15-24 year-olds - Percent,UNSD_MDG_2012 Country Data,2000,,Total,,,77.6
2.03 Literacy rate of 15-24 year-olds - Percent,2.03 Literacy rate of 15-24 year-olds - Percent,UNSD_MDG_2012 Country Data,2000,Female,,,,76.9
2.03 Literacy rate of 15-24 year-olds - Percent,2.03 Literacy rate of 15-24 year-olds - Percent,UNSD_MDG_2012 Country Data,2000,Male,,,,78.5
2.03 Literacy rate of 15-24 year-olds - Percent,2.03 Literacy rate of 15-24 year-olds - Percent,UNSD_MDG_2012 Estimated,2010,,Total,,,77.5
2.03 Literacy rate of 15-24 year-olds - Percent,2.03 Literacy rate of 15-24 year-olds - Percent,UNSD_MDG_2012 Estimated,2010,Female,,,,77.8
2.03 Literacy rate of 15-24 year-olds - Percent,2.03 Literacy rate of 15-24 year-olds - Percent,UNSD_MDG_2012 Estimated,2010,Male,,,,77.1
2.03 Literacy rate of 15-24 year-olds - Percent,2.03 Literacy rate of 15-24 year-olds - Percent,UNSD_MDG_2012 Country Data,1991,,Total,,,74.9
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1990,,Total,,,521
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1990,,,,Lower bound,170
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1990,,,,Upper bound,1154
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1991,,Total,,,516
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1991,,,,Lower bound,169
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1991,,,,Upper bound,1147
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1992,,Total,,,517
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1992,,,,Lower bound,172
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1992,,,,Upper bound,1123
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1993,,Total,,,506
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1993,,,,Lower bound,171
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1993,,,,Upper bound,1087
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1994,,Total,,,495
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1994,,,,Lower bound,170
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1994,,,,Upper bound,1050
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1995,,Total,,,487
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1995,,,,Lower bound,173
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1995,,,,Upper bound,1021
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1996,,Total,,,470
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1996,,,,Lower bound,171
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1996,,,,Upper bound,976
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1997,,Total,,,448
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1997,,,,Lower bound,169
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1997,,,,Upper bound,924
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1998,,Total,,,419
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1998,,,,Lower bound,167
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1998,,,,Upper bound,833
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1999,,Total,,,390
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1999,,,,Lower bound,159
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1999,,,,Upper bound,757
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2000,,Total,,,361
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2000,,,,Lower bound,153
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2000,,,,Upper bound,679
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2001,,Total,,,325
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2001,,,,Lower bound,144
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2001,,,,Upper bound,589
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2002,,Total,,,289
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2002,,,,Lower bound,134
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2002,,,,Upper bound,499
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2003,,Total,,,252
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2003,,,,Lower bound,121
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2003,,,,Upper bound,418
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2004,,Total,,,215
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2004,,,,Lower bound,105
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2004,,,,Upper bound,348
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2005,,Total,,,192
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2005,,,,Lower bound,100
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2005,,,,Upper bound,289
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2006,,Total,,,167
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2006,,,,Lower bound,84
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2006,,,,Upper bound,250
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2007,,Total,,,152
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2007,,,,Lower bound,76
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2007,,,,Upper bound,229
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2008,,Total,,,143
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2008,,,,Lower bound,71
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2008,,,,Upper bound,217
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2009,,Total,,,138
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2009,,,,Lower bound,68
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2009,,,,Upper bound,212
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2010,,Total,,,128
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2010,,,,Lower bound,62
"6.09 Prevalence of tuberculosis - Per 100,000 population","6.09 Prevalence of tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,2010,,,,Upper bound,197
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,1990,,Total,,,287.92
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,1991,,Total,,,359.16
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2008,,Total,,,933.51
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,1992,,Total,,,348.93
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,1999,,Total,,,373.08
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2006,,Total,,,603.07
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,1993,,Total,,,353.91
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,1994,,Total,,,711.75
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,1995,,Total,,,694.7
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,1996,,Total,,,465.31
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,1997,,Total,,,229.6
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,1998,,Total,,,350.07
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2000,,Total,,,321.46
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2001,,Total,,,304.88
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2002,,Total,,,362.92
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2003,,Total,,,335.24
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2004,,Total,,,490.11
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2005,,Total,,,577.4
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2007,,Total,,,722.57
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2009,,Total,,,933.59
ODA received by landlocked developing countries - US$ million,ODA received by landlocked developing countries - US$ million,UNSD_MDG_2012 Country Data,2010,,Total,,,1032.2
"6.06 Incidence of malaria - Per 100,000 population","6.06 Incidence of malaria - Per 100,000 population",UNSD_MDG_2012 Estimated,2008,,Total,,,11429
Share of unemployed youth to total unemployed - Percent,Share of unemployed youth to total unemployed - Percent,UNSD_MDG_2012 Country Data,1996,,Total,15-24 yr,,45.3
Share of unemployed youth to total unemployed - Percent,Share of unemployed youth to total unemployed - Percent,UNSD_MDG_2012 Country Data,1996,Female,,15-24 yr,,48.5
Share of unemployed youth to total unemployed - Percent,Share of unemployed youth to total unemployed - Percent,UNSD_MDG_2012 Country Data,1996,Male,,15-24 yr,,43.6
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,1990,,Total,,,0
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,1999,,Total,,,0.07
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,1998,,Total,,,0.01
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,1996,,Total,,,0
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,1997,,Total,,,0
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2000,,Total,,,0.06
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2001,,Total,,,0.24
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2002,,Total,,,0.29
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2003,,Total,,,0.36
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2004,,Total,,,0.43
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2005,,Total,,,0.56
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2007,,Total,,,2.12
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2009,,Total,,,7.7
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2008,,Total,,,4.5
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2011,,Total,,,7
8.16 Internet users - Per 100 population,8.16 Internet users - Per 100 population,UNSD_MDG_2012,2010,,Total,,,8
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1990,,Total,,,61
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1990,,,,Lower bound,23
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1990,,,,Upper bound,118
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1991,,Total,,,61
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1991,,,,Lower bound,24
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1991,,,,Upper bound,117
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1992,,Total,,,62
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1992,,,,Lower bound,26
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1992,,,,Upper bound,114
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1993,,Total,,,61
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1993,,,,Lower bound,26
"6.09 Death rate associated with tuberculosis - Per 100,000 population","6.09 Death rate associated with tuberculosis - Per 100,000 population",UNSD_MDG_2012 Estimated,1993,,,,Upper bound,111
