Year,Sex,Occupation minor group,Occupation unit group,Unit measure,Observation status,Unit multiplier,Value
2011,Male,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,6.323386894002451
2011,Male,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,3.29611043854379
2011,Male,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,6.926977068943599
2011,Male,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,4.18943676032669
2011,Male,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,22.840598266233002
2011,Male,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,22.477222188617898
2011,Male,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,11.499405783641501
2011,Male,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,3.6488746484055
2011,Male,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,3.47683376210102
2011,Female,Health professionals,,"Rate per 10,000 population",Undefined,Units,77.21072455643709
2011,Female,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,30.7593981164218
2011,Female,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,5.2814900611988
2011,Female,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,11.903857246170098
2011,Female,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.5075307524079
2011,Female,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,4.36654957706759
2011,Female,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,6.235575706960059
2011,Female,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,9.00090176782656
2011,Female,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,34.6297983036226
2011,Female,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,12.5071898166906
2011,Female,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,9.39452811532885
2011,Female,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,4.31124926936798
2011,Female,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,8.41683110223517
2011,Female,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,165.40508438485202
2011,Female,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,154.77375556754401
2011,Female,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,10.6313288173072
2011,Female,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,30.2868600938874
2011,Female,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,7.778702832487969
2011,Female,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.46423315902137
2011,Female,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,12.445365315385999
2012,,Health professionals,,"Rate per 10,000 population",Undefined,Units,74.27765
2012,,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,35.43708
2012,,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,5.1333470000000005
2012,,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,9.012004
2012,,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,4.134837999999999
2012,,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,5.5091410000000005
2012,,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,4.26701
2012,,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,1.324699
2012,,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,7.873005
2012,,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,19.33395
2012,,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,6.643588
2012,,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,4.439838
2012,,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,1.8712810000000002
2012,,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.379245
2012,,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,95.7838
2012,,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,89.98348
2012,,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,5.800326999999999
2012,,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,23.430329999999998
2012,,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,3.7656370000000003
2012,,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,0.856604
2012,,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,5.971899
2012,,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,5.357034
2012,,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,7.479158
2012,Male,Health professionals,,"Rate per 10,000 population",Undefined,Units,64.77712
2012,Male,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,38.755590000000005
2012,Male,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,2.361152
2012,Male,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,7.617700999999999
2012,Male,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.951433
2012,Male,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,4.754237
2012,Male,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,1.712266
2012,Male,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,3.262311
2012,Male,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,7.144449000000001
2012,Male,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,2.2519400000000003
2012,Male,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,3.5292739999999996
2012,Male,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,22.28661
2012,Male,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,22.105539999999998
2012,Male,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,14.55299
2012,Male,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,4.054578
2012,Male,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,1.631156
2012,Male,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.0651019999999995
2012,Male,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,2.802152
2012,Female,Health professionals,,"Rate per 10,000 population",Undefined,Units,83.46298
2012,Female,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,32.22866
2012,Female,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,7.813569
2012,Female,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,10.36005
2012,Female,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,4.312158999999999
2012,Female,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,6.239
2012,Female,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,6.736996
2012,Female,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,1.574878
2012,Female,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,12.33073
2012,Female,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,31.11905
2012,Female,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,10.88954
2012,Female,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,7.414369000000001
2012,Female,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,3.680479
2012,Female,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,9.134664
2012,Female,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,166.8426
2012,Female,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,155.6094
2012,Female,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,11.23316
2012,Female,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,32.01316
2012,Female,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,3.486282
2012,Female,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,1.6847889999999999
2012,Female,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,10.16863
2012,Female,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,4.672457
2012,Female,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,12.001
2013,,Health professionals,,"Rate per 10,000 population",Undefined,Units,76.22385
2013,,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,37.57781
2013,,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,5.9784120000000005
2013,,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,7.083931
2013,,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.167427
2013,,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,6.666651
2013,,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,3.6931220000000002
2013,,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,2.311185
2013,,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.761962
2013,,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,23.29436
2013,,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,8.088054
2013,,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,6.106637999999999
2013,,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,3.106278
2013,,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,5.993387
2013,,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,99.78777
2013,,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,92.53895
2013,,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,7.248815
2013,,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,23.77263
2013,,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,4.917039
2013,,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,0.728641
2013,,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,4.216476999999999
2013,,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.248279
2013,,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,7.662195
2013,Male,Health professionals,,"Rate per 10,000 population",Undefined,Units,67.19147
2013,Male,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,42.17071
2013,Male,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,2.0867009999999997
2013,Male,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,4.642752
2013,Male,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,2.646432
2013,Male,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,6.733258999999999
2013,Male,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,1.9008639999999999
2013,Male,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,3.0517220000000003
2013,Male,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,8.62461
2013,Male,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,4.796876
2013,Male,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,2.667997
2013,Male,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,19.741529999999997
2013,Male,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,19.4818
2013,Male,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,14.174660000000001
2013,Male,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,5.061678
2013,Male,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,5.345507
2013,Male,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,2.242094
2013,Female,Health professionals,,"Rate per 10,000 population",Undefined,Units,84.96795
2013,Female,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,33.13149
2013,Female,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,9.745911999999999
2013,Female,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,9.447194999999999
2013,Female,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.6717940000000002
2013,Female,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,6.602167999999999
2013,Female,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,5.428176000000001
2013,Female,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,3.40562
2013,Female,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,10.35378
2013,Female,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,37.49589
2013,Female,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,11.274189999999999
2013,Female,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,11.23151
2013,Female,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,5.77755
2013,Female,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,9.212642
2013,Female,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,177.2792
2013,Female,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,163.2644
2013,Female,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,14.014829999999998
2013,Female,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,33.06426
2013,Female,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,4.777016000000001
2013,Female,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,7.188242999999999
2013,Female,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,7.122236999999999
2013,Female,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,12.9093
2014,,Health professionals,,"Rate per 10,000 population",Undefined,Units,81.58691999999999
2014,,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,38.29837
2014,,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,6.075228
2014,,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,9.238855000000001
2014,,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,3.3928949999999998
2014,,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,7.9420399999999995
2014,,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,3.5921309999999997
2014,,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,2.5256689999999997
2014,,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,7.382414999999999
2014,,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,22.88366
2014,,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,8.082759
2014,,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,6.4619349999999995
2014,,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,1.705968
2014,,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.632996
2014,,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,97.64268
2014,,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,91.36713
2014,,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,6.275548000000001
2014,,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,23.45489
2014,,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,3.410543
2014,,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,0.96429
2014,,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,3.863197
2014,,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,7.119708
2014,,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,8.097156
2014,Male,Health professionals,,"Rate per 10,000 population",Undefined,Units,75.74255
2014,Male,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,40.85583
2014,Male,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,1.9299389999999998
2014,Male,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,7.22815
2014,Male,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,4.438608
2014,Male,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,10.53415
2014,Male,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,5.287202
2014,Male,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,7.458069
2014,Male,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,3.517987
2014,Male,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,2.3514049999999997
2014,Male,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,21.43755
2014,Male,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,21.43755
2014,Male,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,16.56174
2014,Male,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,4.384195
2014,Male,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,1.524828
2014,Male,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.8702179999999995
2014,Male,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,3.5840379999999996
2014,Female,Health professionals,,"Rate per 10,000 population",Undefined,Units,87.25147
2014,Female,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,35.819590000000005
2014,Female,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,10.09298
2014,Female,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,11.1877
2014,Female,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,2.379356
2014,Female,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,5.429686
2014,Female,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,6.0768830000000005
2014,Female,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,3.691126
2014,Female,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,9.413163
2014,Female,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,37.83465
2014,Female,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,12.50709
2014,Female,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,11.57638
2014,Female,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,2.968326
2014,Female,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,10.782860000000001
2014,Female,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,171.5032
2014,Female,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,159.1452
2014,Female,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,12.35802
2014,Female,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,30.135959999999997
2014,Female,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,2.466848
2014,Female,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,1.706551
2014,Female,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,6.129622
2014,Female,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,7.361522
2014,Female,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,12.47142
2015,,Health professionals,,"Rate per 10,000 population",Undefined,Units,78.3549
2015,,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,35.59006
2015,,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,5.590383
2015,,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,10.01366
2015,,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,2.030409
2015,,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,7.031942
2015,,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,4.502839
2015,,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,2.463215
2015,,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,7.915063000000001
2015,,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,21.41682
2015,,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,8.038239
2015,,Therapy professionals,Occupational therapists,"Rate per 10,000 population",Undefined,Units,4.878357
2015,,Therapy professionals,Speech and language therapists,"Rate per 10,000 population",Undefined,Units,3.169711
2015,,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,5.330515
2015,,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,105.1756
2015,,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,98.40972
2015,,Nursing and midwifery professionals,Midwives,"Rate per 10,000 population",Undefined,Units,6.765931
2015,,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,22.53324
2015,,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,3.721393
2015,,Health associate professionals,Dispensing opticians,"Rate per 10,000 population",Undefined,Units,0.940715
2015,,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,4.342649
2015,,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.15988
2015,,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,7.368603
2015,Male,Health professionals,,"Rate per 10,000 population",Undefined,Units,70.63505
2015,Male,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,37.21841
2015,Male,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,2.398171
2015,Male,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,8.697578
2015,Male,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,2.218589
2015,Male,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,8.893996000000001
2015,Male,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,1.905255
2015,Male,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,6.00291
2015,Male,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,4.9634529999999994
2015,Male,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,2.5247509999999997
2015,Male,Therapy professionals,Therapy professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,1.580074
2015,Male,Nursing and midwifery professionals,,"Rate per 10,000 population",Undefined,Units,20.04524
2015,Male,Nursing and midwifery professionals,Nurses,"Rate per 10,000 population",Undefined,Units,20.04524
2015,Male,Health associate professionals,,"Rate per 10,000 population",Undefined,Units,16.764120000000002
2015,Male,Health associate professionals,Paramedics,"Rate per 10,000 population",Undefined,Units,5.785603
2015,Male,Health associate professionals,Pharmaceutical technicians,"Rate per 10,000 population",Undefined,Units,1.516472
2015,Male,Health associate professionals,Medical and dental technicians,"Rate per 10,000 population",Undefined,Units,6.396681
2015,Male,Health associate professionals,Health associate professionals not elsewhere classified,"Rate per 10,000 population",Undefined,Units,2.811896
2015,Female,Health professionals,,"Rate per 10,000 population",Undefined,Units,85.85014
2015,Female,Health professionals,Medical practitioners,"Rate per 10,000 population",Undefined,Units,34.00908
2015,Female,Health professionals,Psychologists,"Rate per 10,000 population",Undefined,Units,8.689719
2015,Female,Health professionals,Pharmacists,"Rate per 10,000 population",Undefined,Units,11.29146
2015,Female,Health professionals,Ophthalmic opticians,"Rate per 10,000 population",Undefined,Units,1.847704
2015,Female,Health professionals,Dental practitioners,"Rate per 10,000 population",Undefined,Units,5.224063
2015,Female,Health professionals,Medical radiographers,"Rate per 10,000 population",Undefined,Units,7.0248479999999995
2015,Female,Health professionals,Podiatrists,"Rate per 10,000 population",Undefined,Units,4.045637
2015,Female,Health professionals,Health professionals not elsewhere classifed,"Rate per 10,000 population",Undefined,Units,9.771583
2015,Female,Therapy professionals,,"Rate per 10,000 population",Undefined,Units,37.391490000000005
2015,Female,Therapy professionals,Physiotherapists,"Rate per 10,000 population",Undefined,Units,13.39132
