Year,Country,Ethnicity,Sex,BMI,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2011/12,England,Not stated,,Overweight,Undefined,Units,Percentage (%),E92000001,13.046162374640932
2011/12,England,Not stated,,Underweight,Undefined,Units,Percentage (%),E92000001,0.9096406793327622
2011/12,England,White,,Obese,Undefined,Units,Percentage (%),E92000001,8.882514504883716
2011/12,England,White,,Overweight,Undefined,Units,Percentage (%),E92000001,13.588814310401805
2011/12,England,White,,Underweight,Undefined,Units,Percentage (%),E92000001,0.5363150281971689
2011/12,England,,Female,Obese,Undefined,Units,Percentage (%),E92000001,9.0212042263714
2011/12,England,,Female,Overweight,Undefined,Units,Percentage (%),E92000001,12.53365175857577
2011/12,England,,Female,Underweight,Undefined,Units,Percentage (%),E92000001,0.6846142712404111
2011/12,England,,Male,Obese,Undefined,Units,Percentage (%),E92000001,9.933564233914732
2011/12,England,,Male,Overweight,Undefined,Units,Percentage (%),E92000001,13.584074773074503
2011/12,England,,Male,Underweight,Undefined,Units,Percentage (%),E92000001,1.1268501427573954
2011/12,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.48782134914489
2011/12,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0708797833335
2011/12,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.910791249898349
2012/13,England,Any other ethnic group,,Obese,Undefined,Units,Percentage (%),E92000001,11.52972749793559
2012/13,England,Any other ethnic group,,Overweight,Undefined,Units,Percentage (%),E92000001,13.51156069364162
2012/13,England,Any other ethnic group,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0425268373245251
2012/13,England,Asian,,Obese,Undefined,Units,Percentage (%),E92000001,10.28047445582931
2012/13,England,Asian,,Overweight,Undefined,Units,Percentage (%),E92000001,9.065623485922442
2012/13,England,Asian,,Underweight,Undefined,Units,Percentage (%),E92000001,3.278482602688104
2012/13,England,Black,,Obese,Undefined,Units,Percentage (%),E92000001,15.513913745306525
2012/13,England,Black,,Overweight,Undefined,Units,Percentage (%),E92000001,14.35940625328982
2012/13,England,Black,,Underweight,Undefined,Units,Percentage (%),E92000001,0.8878127522195319
2012/13,England,Chinese,,Obese,Undefined,Units,Percentage (%),E92000001,8.088589311506981
2012/13,England,Chinese,,Overweight,Undefined,Units,Percentage (%),E92000001,9.91815117958594
2012/13,England,Chinese,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0110736639383726
2012/13,England,Mixed,,Obese,Undefined,Units,Percentage (%),E92000001,9.658181818181818
2012/13,England,Mixed,,Overweight,Undefined,Units,Percentage (%),E92000001,12.054545454545456
2012/13,England,Mixed,,Underweight,Undefined,Units,Percentage (%),E92000001,1.021818181818182
2012/13,England,Not stated,,Obese,Undefined,Units,Percentage (%),E92000001,9.401269049297683
2012/13,England,Not stated,,Overweight,Undefined,Units,Percentage (%),E92000001,13.009111123162862
2012/13,England,Not stated,,Underweight,Undefined,Units,Percentage (%),E92000001,0.81349313954119
2012/13,England,White,,Obese,Undefined,Units,Percentage (%),E92000001,8.56280078784324
2012/13,England,White,,Overweight,Undefined,Units,Percentage (%),E92000001,13.477856636093774
2012/13,England,White,,Underweight,Undefined,Units,Percentage (%),E92000001,0.5304367202567406
2012/13,England,,Female,Obese,Undefined,Units,Percentage (%),E92000001,8.772851768456293
2012/13,England,,Female,Overweight,Undefined,Units,Percentage (%),E92000001,12.451059890513362
2012/13,England,,Female,Underweight,Undefined,Units,Percentage (%),E92000001,0.6521867745988217
2012/13,England,,Male,Obese,Undefined,Units,Percentage (%),E92000001,9.738726830194082
2012/13,England,,Male,Overweight,Undefined,Units,Percentage (%),E92000001,13.456217515657412
2012/13,England,,Male,Underweight,Undefined,Units,Percentage (%),E92000001,1.0921065336605214
2012/13,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.2664690527806
2012/13,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.9647528068092
2012/13,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.877010880107814
2013/14,England,Any other ethnic group,,Obese,Undefined,Units,Percentage (%),E92000001,11.2777
2013/14,England,Any other ethnic group,,Overweight,Undefined,Units,Percentage (%),E92000001,12.0161
2013/14,England,Any other ethnic group,,Underweight,Undefined,Units,Percentage (%),E92000001,1.488
2013/14,England,Asian,,Obese,Undefined,Units,Percentage (%),E92000001,10.4431
2013/14,England,Asian,,Overweight,Undefined,Units,Percentage (%),E92000001,8.6735
2013/14,England,Asian,,Underweight,Undefined,Units,Percentage (%),E92000001,3.65
2013/14,England,Black,,Obese,Undefined,Units,Percentage (%),E92000001,15.5777
2013/14,England,Black,,Overweight,Undefined,Units,Percentage (%),E92000001,15.21
2013/14,England,Black,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0508
2013/14,England,Chinese,,Obese,Undefined,Units,Percentage (%),E92000001,7.708900000000001
2013/14,England,Chinese,,Overweight,Undefined,Units,Percentage (%),E92000001,11.6279
2013/14,England,Chinese,,Underweight,Undefined,Units,Percentage (%),E92000001,0.8613
2013/14,England,Mixed,,Obese,Undefined,Units,Percentage (%),E92000001,10.0103
2013/14,England,Mixed,,Overweight,Undefined,Units,Percentage (%),E92000001,12.13
2013/14,England,Mixed,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0885
2013/14,England,Not stated,,Obese,Undefined,Units,Percentage (%),E92000001,9.5623
2013/14,England,Not stated,,Overweight,Undefined,Units,Percentage (%),E92000001,13.4845
2013/14,England,Not stated,,Underweight,Undefined,Units,Percentage (%),E92000001,0.8116
2013/14,England,White,,Obese,Undefined,Units,Percentage (%),E92000001,8.8096
2013/14,England,White,,Overweight,Undefined,Units,Percentage (%),E92000001,13.5123
2013/14,England,White,,Underweight,Undefined,Units,Percentage (%),E92000001,0.5736
2013/14,England,,Female,Obese,Undefined,Units,Percentage (%),E92000001,9.0198
2013/14,England,,Female,Overweight,Undefined,Units,Percentage (%),E92000001,12.6162
2013/14,England,,Female,Underweight,Undefined,Units,Percentage (%),E92000001,0.7079
2013/14,England,,Male,Obese,Undefined,Units,Percentage (%),E92000001,9.9198
2013/14,England,,Male,Overweight,Undefined,Units,Percentage (%),E92000001,13.4902
2013/14,England,,Male,Underweight,Undefined,Units,Percentage (%),E92000001,1.1789
2013/14,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.47890134437528
2013/14,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0620292302873
2013/14,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.948179576937222
2014/15,England,Any other ethnic group,,Obese,Undefined,Units,Percentage (%),E92000001,11.0115358947469
2014/15,England,Any other ethnic group,,Overweight,Undefined,Units,Percentage (%),E92000001,12.1937267613691
2014/15,England,Any other ethnic group,,Underweight,Undefined,Units,Percentage (%),E92000001,1.15358947468777
2014/15,England,Asian,,Obese,Undefined,Units,Percentage (%),E92000001,10.0118471906621
2014/15,England,Asian,,Overweight,Undefined,Units,Percentage (%),E92000001,8.69700324341121
2014/15,England,Asian,,Underweight,Undefined,Units,Percentage (%),E92000001,3.60465342111907
2014/15,England,Black,,Obese,Undefined,Units,Percentage (%),E92000001,14.6628450746719
2014/15,England,Black,,Overweight,Undefined,Units,Percentage (%),E92000001,14.6213606878866
2014/15,England,Black,,Underweight,Undefined,Units,Percentage (%),E92000001,1.10122190375622
2014/15,England,Chinese,,Obese,Undefined,Units,Percentage (%),E92000001,7.6
2014/15,England,Chinese,,Overweight,Undefined,Units,Percentage (%),E92000001,9.73333333333333
2014/15,England,Chinese,,Underweight,Undefined,Units,Percentage (%),E92000001,0.888888888888889
2014/15,England,Mixed,,Obese,Undefined,Units,Percentage (%),E92000001,9.90464927193436
2014/15,England,Mixed,,Overweight,Undefined,Units,Percentage (%),E92000001,12.4916845295292
2014/15,England,Mixed,,Underweight,Undefined,Units,Percentage (%),E92000001,1.0274225737305
2014/15,England,Not stated,,Obese,Undefined,Units,Percentage (%),E92000001,8.78362801255564
2014/15,England,Not stated,,Overweight,Undefined,Units,Percentage (%),E92000001,12.5104186986824
2014/15,England,Not stated,,Underweight,Undefined,Units,Percentage (%),E92000001,1.00551526006845
2014/15,England,White,,Obese,Undefined,Units,Percentage (%),E92000001,8.549792662134
2014/15,England,White,,Overweight,Undefined,Units,Percentage (%),E92000001,13.379870334898
2014/15,England,White,,Underweight,Undefined,Units,Percentage (%),E92000001,0.574915275643589
2014/15,England,,Female,Obese,Undefined,Units,Percentage (%),E92000001,8.66838335504308
2014/15,England,,Female,Overweight,Undefined,Units,Percentage (%),E92000001,12.4987861517494
2014/15,England,,Female,Underweight,Undefined,Units,Percentage (%),E92000001,0.700850865766801
2014/15,England,,Male,Obese,Undefined,Units,Percentage (%),E92000001,9.47503036868708
2014/15,England,,Male,Overweight,Undefined,Units,Percentage (%),E92000001,13.0984394180751
2014/15,England,,Male,Underweight,Undefined,Units,Percentage (%),E92000001,1.21570902470841
2014/15,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.0805324284844
2014/15,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.8051736222561
2014/15,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.963913034934069
2015/16,England,Any other ethnic group,,Obese,Undefined,Units,Percentage (%),E92000001,11.18603362276
2015/16,England,Any other ethnic group,,Overweight,Undefined,Units,Percentage (%),E92000001,12.6270090522815
2015/16,England,Any other ethnic group,,Underweight,Undefined,Units,Percentage (%),E92000001,0.988361352300018
2015/16,England,Asian,,Obese,Undefined,Units,Percentage (%),E92000001,9.59536291811268
2015/16,England,Asian,,Overweight,Undefined,Units,Percentage (%),E92000001,8.58561618548328
2015/16,England,Asian,,Underweight,Undefined,Units,Percentage (%),E92000001,3.53872849442516
2015/16,England,Black,,Obese,Undefined,Units,Percentage (%),E92000001,15.2044779529358
2015/16,England,Black,,Overweight,Undefined,Units,Percentage (%),E92000001,14.2829944406367
2015/16,England,Black,,Underweight,Undefined,Units,Percentage (%),E92000001,0.970984692711903
2015/16,England,Chinese,,Obese,Undefined,Units,Percentage (%),E92000001,7.29987557030278
2015/16,England,Chinese,,Overweight,Undefined,Units,Percentage (%),E92000001,9.78846951472418
2015/16,England,Chinese,,Underweight,Undefined,Units,Percentage (%),E92000001,0.995437577768561
2015/16,England,Mixed,,Obese,Undefined,Units,Percentage (%),E92000001,9.74573343467146
2015/16,England,Mixed,,Overweight,Undefined,Units,Percentage (%),E92000001,12.2849443791888
2015/16,England,Mixed,,Underweight,Undefined,Units,Percentage (%),E92000001,0.988046707662544
2015/16,England,Not stated,,Obese,Undefined,Units,Percentage (%),E92000001,9.33472449942863
2015/16,England,Not stated,,Overweight,Undefined,Units,Percentage (%),E92000001,12.6347692154817
2015/16,England,Not stated,,Underweight,Undefined,Units,Percentage (%),E92000001,1.06523575296865
2015/16,England,White,,Obese,Undefined,Units,Percentage (%),E92000001,8.81603883862175
2015/16,England,White,,Overweight,Undefined,Units,Percentage (%),E92000001,13.4094718882594
2015/16,England,White,,Underweight,Undefined,Units,Percentage (%),E92000001,0.593671811656561
2015/16,England,,Female,Obese,Undefined,Units,Percentage (%),E92000001,8.97122812523497
2015/16,England,,Female,Overweight,Undefined,Units,Percentage (%),E92000001,12.5539002710133
2015/16,England,,Female,Underweight,Undefined,Units,Percentage (%),E92000001,0.709734576921694
2015/16,England,,Male,Obese,Undefined,Units,Percentage (%),E92000001,9.6413377285662
2015/16,England,,Male,Overweight,Undefined,Units,Percentage (%),E92000001,13.0827048839051
2015/16,England,,Male,Underweight,Undefined,Units,Percentage (%),E92000001,1.21369784965424
2015/16,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.31354205646335
2015/16,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.824030985438
2015/16,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.967175521248117
2016/17,England,Any other ethnic group,,Obese,Undefined,Units,Percentage (%),E92000001,10.371741229481817
2016/17,England,Any other ethnic group,,Overweight,Undefined,Units,Percentage (%),E92000001,12.479884132603798
2016/17,England,Any other ethnic group,,Underweight,Undefined,Units,Percentage (%),E92000001,1.1425812681042806
2016/17,England,Asian,,Obese,Undefined,Units,Percentage (%),E92000001,9.91173664122137
2016/17,England,Asian,,Overweight,Undefined,Units,Percentage (%),E92000001,8.80759269356598
2016/17,England,Asian,,Underweight,Undefined,Units,Percentage (%),E92000001,3.59528353326063
2016/17,England,Black,,Obese,Undefined,Units,Percentage (%),E92000001,14.7595782977629
2016/17,England,Black,,Overweight,Undefined,Units,Percentage (%),E92000001,14.5795834404731
2016/17,England,Black,,Underweight,Undefined,Units,Percentage (%),E92000001,1.06527568600081
2016/17,England,Chinese,,Obese,Undefined,Units,Percentage (%),E92000001,5.762473647224175
2016/17,England,Chinese,,Overweight,Undefined,Units,Percentage (%),E92000001,10.014054813773717
2016/17,England,Chinese,,Underweight,Undefined,Units,Percentage (%),E92000001,1.1243851018973998
2016/17,England,Mixed,,Obese,Undefined,Units,Percentage (%),E92000001,10.2401506827814
2016/17,England,Mixed,,Overweight,Undefined,Units,Percentage (%),E92000001,12.0012556898446
2016/17,England,Mixed,,Underweight,Undefined,Units,Percentage (%),E92000001,1.02966567257887
2016/17,England,Not stated,,Obese,Undefined,Units,Percentage (%),E92000001,9.964741798168294
2016/17,England,Not stated,,Overweight,Undefined,Units,Percentage (%),E92000001,13.279872726490948
2016/17,England,Not stated,,Underweight,Undefined,Units,Percentage (%),E92000001,0.8932794427484199
2016/17,England,White,,Obese,Undefined,Units,Percentage (%),E92000001,9.09566541281606
2016/17,England,White,,Overweight,Undefined,Units,Percentage (%),E92000001,13.5797724223947
2016/17,England,White,,Underweight,Undefined,Units,Percentage (%),E92000001,0.56658839398846
2016/17,England,,Female,Obese,Undefined,Units,Percentage (%),E92000001,9.19872346365995
2016/17,England,,Female,Overweight,Undefined,Units,Percentage (%),E92000001,12.8835371614273
2016/17,England,,Female,Underweight,Undefined,Units,Percentage (%),E92000001,0.6820963505735
2016/17,England,,Male,Obese,Undefined,Units,Percentage (%),E92000001,10.0106429989606
2016/17,England,,Male,Overweight,Undefined,Units,Percentage (%),E92000001,13.142858921136
2016/17,England,,Male,Underweight,Undefined,Units,Percentage (%),E92000001,1.21896569966826
2016/17,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.61327318748123
2016/17,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0159416167879
2016/17,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.956211001987737
2017/18,England,Any other ethnic group,,Obese,Undefined,Units,Percentage (%),E92000001,10.3789720046809
2017/18,England,Any other ethnic group,,Overweight,Undefined,Units,Percentage (%),E92000001,13.0974885228193
2017/18,England,Any other ethnic group,,Underweight,Undefined,Units,Percentage (%),E92000001,1.27824286614457
2017/18,England,Asian,,Obese,Undefined,Units,Percentage (%),E92000001,9.89487337019592
2017/18,England,Asian,,Overweight,Undefined,Units,Percentage (%),E92000001,8.58420369991126
2017/18,England,Asian,,Underweight,Undefined,Units,Percentage (%),E92000001,3.57703597515189
2017/18,England,Black,,Obese,Undefined,Units,Percentage (%),E92000001,14.7888138862102
2017/18,England,Black,,Overweight,Undefined,Units,Percentage (%),E92000001,14.480231436837
2017/18,England,Black,,Underweight,Undefined,Units,Percentage (%),E92000001,1.13789778206365
2017/18,England,Chinese,,Obese,Undefined,Units,Percentage (%),E92000001,7.47800586510264
2017/18,England,Chinese,,Overweight,Undefined,Units,Percentage (%),E92000001,10.791788856305
2017/18,England,Chinese,,Underweight,Undefined,Units,Percentage (%),E92000001,0.821114369501466
2017/18,England,Mixed,,Obese,Undefined,Units,Percentage (%),E92000001,9.77875078780642
2017/18,England,Mixed,,Overweight,Undefined,Units,Percentage (%),E92000001,11.7059740604372
2017/18,England,Mixed,,Underweight,Undefined,Units,Percentage (%),E92000001,1.12780707864796
2017/18,England,Not stated,,Obese,Undefined,Units,Percentage (%),E92000001,9.61455127279192
2017/18,England,Not stated,,Overweight,Undefined,Units,Percentage (%),E92000001,13.2601473349704
2017/18,England,Not stated,,Underweight,Undefined,Units,Percentage (%),E92000001,0.928899209991222
2017/18,England,White,,Obese,Undefined,Units,Percentage (%),E92000001,9.08756316310074
2017/18,England,White,,Overweight,Undefined,Units,Percentage (%),E92000001,13.3725581407237
2017/18,England,White,,Underweight,Undefined,Units,Percentage (%),E92000001,0.578659625967095
2017/18,England,,Female,Obese,Undefined,Units,Percentage (%),E92000001,9.10653438065334
2017/18,England,,Female,Overweight,Undefined,Units,Percentage (%),E92000001,12.6751803216195
2017/18,England,,Female,Underweight,Undefined,Units,Percentage (%),E92000001,0.689184715548288
2017/18,England,,Male,Obese,Undefined,Units,Percentage (%),E92000001,9.94360697012711
2017/18,England,,Male,Overweight,Undefined,Units,Percentage (%),E92000001,13.0015479180181
2017/18,England,,Male,Underweight,Undefined,Units,Percentage (%),E92000001,1.26531057915256
2017/18,England,,,Obese,Undefined,Units,Percentage (%),E92000001,9.53352936840122
2017/18,England,,,Overweight,Undefined,Units,Percentage (%),E92000001,12.8416620934252
2017/18,England,,,Underweight,Undefined,Units,Percentage (%),E92000001,0.983069450473842
2007/08,Scotland,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.6760372927193794
2007/08,Scotland,,,Overweight,Undefined,Units,Percentage (%),S92000003,11.94576898441392
2007/08,Scotland,,,Obese,Undefined,Units,Percentage (%),S92000003,9.24489360187887
2008/09,Scotland,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.7835840437603654
2008/09,Scotland,,,Overweight,Undefined,Units,Percentage (%),S92000003,11.638395065320491
2008/09,Scotland,,,Obese,Undefined,Units,Percentage (%),S92000003,9.23797608309814
2009/10,Scotland,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.499858298271239
2009/10,Scotland,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.0424669180964
2009/10,Scotland,,,Obese,Undefined,Units,Percentage (%),S92000003,9.52889625253428
2010/11,Scotland,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.8115942028985508
2010/11,Scotland,,,Overweight,Undefined,Units,Percentage (%),S92000003,11.813053204941154
2010/11,Scotland,,,Obese,Undefined,Units,Percentage (%),S92000003,9.648866841746912
2011/12,Scotland,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.2394172831973151
2011/12,Scotland,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.102433071466708
2011/12,Scotland,,,Obese,Undefined,Units,Percentage (%),S92000003,9.787582945618183
2012/13,Scotland,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.152107603542685
2012/13,Scotland,,,Overweight,Undefined,Units,Percentage (%),S92000003,11.969424129947448
2012/13,Scotland,,,Obese,Undefined,Units,Percentage (%),S92000003,9.321597883208996
2013/14,Scotland,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.0144532315244068
2013/14,Scotland,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.45886737569312
2013/14,Scotland,,,Obese,Undefined,Units,Percentage (%),S92000003,10.135442232524316
2014/15,Scotland,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.1046807891097037
2014/15,Scotland,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.025915410933974
2014/15,Scotland,,,Obese,Undefined,Units,Percentage (%),S92000003,9.772876173837082
2015/16,Scotland,,,Underweight,Undefined,Units,Percentage (%),S92000003,1.137611945856374
2015/16,Scotland,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.206520322478545
2015/16,Scotland,,,Obese,Undefined,Units,Percentage (%),S92000003,9.873577985067678
2016/17,Scotland,,,Underweight,Undefined,Units,Percentage (%),S92000003,0.9683867336839448
2016/17,Scotland,,,Overweight,Undefined,Units,Percentage (%),S92000003,12.433775155737546
2016/17,Scotland,,,Obese,Undefined,Units,Percentage (%),S92000003,10.49117972403889
2012/13,Wales,,,Underweight,Undefined,Units,Percentage (%),W92000004,0.6
2012/13,Wales,,,Overweight,Undefined,Units,Percentage (%),W92000004,14.9
2012/13,Wales,,,Obese,Undefined,Units,Percentage (%),W92000004,11.3
2013/14,Wales,,,Underweight,Undefined,Units,Percentage (%),W92000004,0.8
2013/14,Wales,,,Overweight,Undefined,Units,Percentage (%),W92000004,14.6
2013/14,Wales,,,Obese,Undefined,Units,Percentage (%),W92000004,11.8
2014/15,Wales,,,Underweight,Undefined,Units,Percentage (%),W92000004,0.9
2014/15,Wales,,,Overweight,Undefined,Units,Percentage (%),W92000004,14.5
2014/15,Wales,,,Obese,Undefined,Units,Percentage (%),W92000004,11.6
2015/16,Wales,,,Underweight,Undefined,Units,Percentage (%),W92000004,1.0
2015/16,Wales,,,Overweight,Undefined,Units,Percentage (%),W92000004,14.5
2015/16,Wales,,,Obese,Undefined,Units,Percentage (%),W92000004,11.7
2016/17,Wales,,,Underweight,Undefined,Units,Percentage (%),W92000004,0.8
2016/17,Wales,,,Overweight,Undefined,Units,Percentage (%),W92000004,14.7
2016/17,Wales,,,Obese,Undefined,Units,Percentage (%),W92000004,12.4
2010/11,Northern Ireland,,,Obese,Undefined,Units,Percentage (%),N92000002,5.68497094697167
2011/12,Northern Ireland,,,Obese,Undefined,Units,Percentage (%),N92000002,5.148298327942051
2012/13,Northern Ireland,,,Obese,Undefined,Units,Percentage (%),N92000002,4.997456765005088
2013/14,Northern Ireland,,,Obese,Undefined,Units,Percentage (%),N92000002,4.993435263224733
2014/15,Northern Ireland,,,Obese,Undefined,Units,Percentage (%),N92000002,5.187950801018264
2010/11,Northern Ireland,,Male,Obese,Undefined,Units,Percentage (%),N92000002,4.572605561277028
2011/12,Northern Ireland,,Male,Obese,Undefined,Units,Percentage (%),N92000002,4.307282415630576
2012/13,Northern Ireland,,Male,Obese,Undefined,Units,Percentage (%),N92000002,4.280059376546262
2013/14,Northern Ireland,,Male,Obese,Undefined,Units,Percentage (%),N92000002,4.248284982229915
2014/15,Northern Ireland,,Male,Obese,Undefined,Units,Percentage (%),N92000002,4.026032915850123
2010/11,Northern Ireland,,Female,Obese,Undefined,Units,Percentage (%),N92000002,6.83487703609069
2011/12,Northern Ireland,,Female,Obese,Undefined,Units,Percentage (%),N92000002,6.034240808307581
2012/13,Northern Ireland,,Female,Obese,Undefined,Units,Percentage (%),N92000002,5.756148613291486
2013/14,Northern Ireland,,Female,Obese,Undefined,Units,Percentage (%),N92000002,5.776580958999258
2014/15,Northern Ireland,,Female,Obese,Undefined,Units,Percentage (%),N92000002,6.4044395959277205
