Year,Series,Sex,Age,Country,Region,Socio-economic classification,Ethnicity,Country of birth,Units,Unit multiplier,Observation status,GeoCode,Value
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,24.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,England,,,,,Percentage (%),Units,Normal value,E92000001,25.6
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,15.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,16.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,15.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,16.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,16.5
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,17.6
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,19.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,19.7
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,20.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,22.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,England,,,,,Percentage (%),Units,Normal value,E92000001,22.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,15.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,15.5
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,15.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,16.3
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,16.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,16.8
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,18.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,19.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,19.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,20.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,England,,,,,Percentage (%),Units,Normal value,E92000001,20.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,13.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,13.6
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,13.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,14.0
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,14.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,14.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,15.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,16.2
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,16.6
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,17.6
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,England,,,,,Percentage (%),Units,Normal value,E92000001,17.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,7.8
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,7.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,7.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,7.6
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,7.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,7.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,8.5
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,8.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,9.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,9.7
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,England,,,,,Percentage (%),Units,Normal value,E92000001,9.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,13.0
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,13.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,13.9
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,14.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,14.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,15.5
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,16.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,17.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,18.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,19.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,,England,,,,,Percentage (%),Units,Normal value,E92000001,19.8
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,13.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,15.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.8
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,20.0
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,21.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,23.0
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,24.3
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,25.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Wales,,,,,Percentage (%),Units,Normal value,W92000004,26.5
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,21.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,22.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,23.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,21.6
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,22.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,24.7
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,27.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,28.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,28.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Wales,,,,,Percentage (%),Units,Normal value,W92000004,29.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,16.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.8
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,22.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,23.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,24.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,24.3
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Wales,,,,,Percentage (%),Units,Normal value,W92000004,27.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.3
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,20.0
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,20.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,21.7
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,23.9
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Wales,,,,,Percentage (%),Units,Normal value,W92000004,24.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,15.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,14.3
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,14.1
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,14.7
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,16.5
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,16.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.9
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,17.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.5
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,7.6
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,8.4
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,8.2
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,8.0
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,8.4
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,9.1
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,9.2
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,10.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,10.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,10.4
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Wales,,,,,Percentage (%),Units,Normal value,W92000004,11.1
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,14.1
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,15.1
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,15.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,15.9
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,16.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,16.9
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,18.1
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,19.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,20.2
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,21.0
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,,Wales,,,,,Percentage (%),Units,Normal value,W92000004,22.3
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,13.7
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,16.0
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,14.5
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,15.1
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,13.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,17.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.8
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,21.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,23.9
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,24.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,18 to 24,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,26.9
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,15.3
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,16.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,18.4
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.5
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,20.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,22.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,24.8
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,27.4
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,26.1
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,25 to 34,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,27.4
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,17.2
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,16.3
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,18.2
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.9
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,21.4
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,21.9
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,23.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,24.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,24.2
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,35 to 44,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,26.1
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,18.5
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,18.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,17.6
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.1
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.7
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,21.3
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,22.4
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,23.5
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,24.0
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,45 to 54,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,26.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,16.9
2020,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,18.2
2019,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,16.7
2018,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,17.4
2017,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,17.8
2016,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.2
2015,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,19.6
2014,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,20.1
2013,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,20.1
2012,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,21.8
2011,Percentage of people who are current cigarette smokers aged 18 years and older,,55 to 64,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,22.7
2021,Percentage of people who are current cigarette smokers aged 18 years and older,,65 and over,Scotland,,,,,Percentage (%),Units,Normal value,S92000003,9.1
