Year,Region,Sex,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016,North East,Female,Undefined,Units,Percentage (%),E12000001,0.4195290971126939
2017,North East,Female,Undefined,Units,Percentage (%),E12000001,0.177181459871004
2018,North East,Female,Undefined,Units,Percentage (%),E12000001,0.643706924632001
2004,North West,,Undefined,Units,Percentage (%),E12000002,0.267725801706384
2005,North West,,Undefined,Units,Percentage (%),E12000002,0.299622497858706
2006,North West,,Undefined,Units,Percentage (%),E12000002,0.2907606329591789
2007,North West,,Undefined,Units,Percentage (%),E12000002,0.331630699902654
2008,North West,,Undefined,Units,Percentage (%),E12000002,0.316938926051787
2009,North West,,Undefined,Units,Percentage (%),E12000002,0.13349260337761198
2010,North West,,Undefined,Units,Percentage (%),E12000002,0.267292140969478
2011,North West,,Undefined,Units,Percentage (%),E12000002,0.258590864788317
2012,North West,,Undefined,Units,Percentage (%),E12000002,0.33726356634989
2013,North West,,Undefined,Units,Percentage (%),E12000002,0.27266883858790497
2014,North West,,Undefined,Units,Percentage (%),E12000002,0.29989292212767893
2015,North West,,Undefined,Units,Percentage (%),E12000002,0.319776347458985
2016,North West,,Undefined,Units,Percentage (%),E12000002,0.21308997562243398
2017,North West,,Undefined,Units,Percentage (%),E12000002,0.286174029692099
2018,North West,,Undefined,Units,Percentage (%),E12000002,0.24597243442507102
2004,North West,Male,Undefined,Units,Percentage (%),E12000002,0.21726719390649601
2005,North West,Male,Undefined,Units,Percentage (%),E12000002,0.20762462228472603
2006,North West,Male,Undefined,Units,Percentage (%),E12000002,0.243272528971975
2007,North West,Male,Undefined,Units,Percentage (%),E12000002,0.276548124098418
2008,North West,Male,Undefined,Units,Percentage (%),E12000002,0.180104325696736
2009,North West,Male,Undefined,Units,Percentage (%),E12000002,0.119107465554675
2010,North West,Male,Undefined,Units,Percentage (%),E12000002,0.176021127282978
2011,North West,Male,Undefined,Units,Percentage (%),E12000002,0.197219545372159
2012,North West,Male,Undefined,Units,Percentage (%),E12000002,0.173685484087792
2013,North West,Male,Undefined,Units,Percentage (%),E12000002,0.20130697977123302
2014,North West,Male,Undefined,Units,Percentage (%),E12000002,0.21593206155006603
2015,North West,Male,Undefined,Units,Percentage (%),E12000002,0.22194915554256198
2016,North West,Male,Undefined,Units,Percentage (%),E12000002,0.160557422435841
2017,North West,Male,Undefined,Units,Percentage (%),E12000002,0.257908390314392
2018,North West,Male,Undefined,Units,Percentage (%),E12000002,0.35218610000812106
2004,North West,Female,Undefined,Units,Percentage (%),E12000002,0.326026345410093
2005,North West,Female,Undefined,Units,Percentage (%),E12000002,0.40510945922756103
2006,North West,Female,Undefined,Units,Percentage (%),E12000002,0.34487512736101195
2007,North West,Female,Undefined,Units,Percentage (%),E12000002,0.39519492513442406
2008,North West,Female,Undefined,Units,Percentage (%),E12000002,0.47320081729775804
2009,North West,Female,Undefined,Units,Percentage (%),E12000002,0.14975210507992098
2010,North West,Female,Undefined,Units,Percentage (%),E12000002,0.370188981709332
2011,North West,Female,Undefined,Units,Percentage (%),E12000002,0.32742953723068396
2012,North West,Female,Undefined,Units,Percentage (%),E12000002,0.519130783093674
2013,North West,Female,Undefined,Units,Percentage (%),E12000002,0.3527661589982721
2014,North West,Female,Undefined,Units,Percentage (%),E12000002,0.39434759605758396
2015,North West,Female,Undefined,Units,Percentage (%),E12000002,0.430393003175972
2016,North West,Female,Undefined,Units,Percentage (%),E12000002,0.271058795025036
2017,North West,Female,Undefined,Units,Percentage (%),E12000002,0.31763432961506605
2018,North West,Female,Undefined,Units,Percentage (%),E12000002,0.125793739246839
2004,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.2004169993902
2005,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.270560195678216
2006,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.23873543720062
2007,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.332326071301231
2008,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.334226614151831
2009,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.365930091726024
2010,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.405001863998757
2011,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.350151133791247
2012,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.32563717964702504
2013,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.41249478169252
2014,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.309695316927269
2015,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.33929687666694797
2016,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.45633080284077293
2017,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.317466021916757
2018,Yorkshire and the Humber,,Undefined,Units,Percentage (%),E12000003,0.29901265879938693
2004,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.143186918229509
2005,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.23147006608146697
2006,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.17557446225995
2007,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.24385763490241102
2008,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.250757118763003
2009,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.321371141078507
2010,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.360179842840758
2011,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.242488401680953
2012,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.24615031893543698
2013,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.36325685942928704
2014,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.29164167373363303
2015,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.25315424109292606
2016,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.40207889019109794
2017,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.297250758813915
2018,Yorkshire and the Humber,Male,Undefined,Units,Percentage (%),E12000003,0.24067917524534804
2004,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.26726928412569
2005,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.316764088169344
2006,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.312871794779211
2007,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.43661581687941
2008,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.43093496127023206
2009,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.416576185305827
2010,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.45573128091882303
2011,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.47197720549140404
2012,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.41696474563977703
2013,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.46894933124713795
2014,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.330392413445443
2015,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.43774533212762795
2016,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.517720085559703
2017,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.340760333580236
2018,Yorkshire and the Humber,Female,Undefined,Units,Percentage (%),E12000003,0.365171176065504
2004,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.32284088292185803
2005,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.27084326497172
2006,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.240198495349757
2007,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.31882039722023303
2008,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.38120097149716603
2009,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.324466254660991
2010,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.302282582670462
2011,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.344609957732765
2012,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.41499671380563796
2013,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.32876517188476695
2014,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.33256698529182105
2015,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.43428245183004
2016,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.433875670565221
2017,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.399055391040326
2018,East Midlands,,Undefined,Units,Percentage (%),E12000004,0.435814070718335
2004,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.19650447732854198
2005,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.20681586192376003
2006,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.15301333625615698
2007,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.17439504831854902
2008,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.328232664969892
2009,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.208396220354361
2010,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.327300766057327
2011,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.297640939421005
2012,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.33389728775364697
2013,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.270430773832586
2014,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.338919352329029
2015,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.297300412045009
2016,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.407539945977069
2017,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.288786330285445
2018,East Midlands,Male,Undefined,Units,Percentage (%),E12000004,0.295180717932846
2004,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.47331079675584203
2005,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.0
2006,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.342045709744847
2007,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.489544196037789
2008,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.44329359255800393
2009,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.458360278285092
2010,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.273947066618577
2011,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.399808997297558
2012,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.508728816911379
2013,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.39608957438540005
2014,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.32533530541444605
2015,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.5923804034471021
2016,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.463720137129341
2017,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.525732263169365
2018,East Midlands,Female,Undefined,Units,Percentage (%),E12000004,0.59482702456186
2004,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.265795254770561
2005,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.264820906219713
2006,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.299356120766393
2007,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.33594092995409996
2008,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.30448092289272805
2009,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.25079751896595004
2010,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.22341605613985502
2011,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.391942359971565
2012,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.283986174187846
2013,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.3235176120053
2014,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.36888155067162104
2015,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.353770182117581
2016,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.39676803694362106
2017,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.28897533039093604
2018,West Midlands,,Undefined,Units,Percentage (%),E12000005,0.388343225392282
2004,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.18951095788702998
2005,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.0
2006,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.27276080291683397
2007,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.2626525573604
2008,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.250232084921363
2009,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.15792810503779198
2010,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.179313786115311
2011,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.419957239891775
2012,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.237126312012067
2013,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.20998791860295102
2014,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.265600881229663
2015,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.258262850722511
2016,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.252039807887371
2017,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.18693464297544896
2018,West Midlands,Male,Undefined,Units,Percentage (%),E12000005,0.302732505801358
2004,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.358193347144784
2005,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.408951554219761
2006,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.33158355437431397
2007,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.42445465023245
2008,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.369175067118748
2009,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.358219414453435
2010,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.274490791662641
2011,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.35887219254203295
2012,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.33912648866103196
2013,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.458061590923588
2014,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.48852975128554904
2015,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.466981294683358
2016,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.573871475616756
2017,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.407884757539621
2018,West Midlands,Female,Undefined,Units,Percentage (%),E12000005,0.48806659450056394
2004,East of England,,Undefined,Units,Percentage (%),E12000006,0.347501462285859
2005,East of England,,Undefined,Units,Percentage (%),E12000006,0.34735813202889004
2006,East of England,,Undefined,Units,Percentage (%),E12000006,0.295784514544713
2007,East of England,,Undefined,Units,Percentage (%),E12000006,0.297726328716161
2008,East of England,,Undefined,Units,Percentage (%),E12000006,0.35743824481945097
2009,East of England,,Undefined,Units,Percentage (%),E12000006,0.367348972137649
2010,East of England,,Undefined,Units,Percentage (%),E12000006,0.35085474996404303
2011,East of England,,Undefined,Units,Percentage (%),E12000006,0.399185573338183
2012,East of England,,Undefined,Units,Percentage (%),E12000006,0.530108183406675
2013,East of England,,Undefined,Units,Percentage (%),E12000006,0.482657104853035
2014,East of England,,Undefined,Units,Percentage (%),E12000006,0.32554696715681797
2015,East of England,,Undefined,Units,Percentage (%),E12000006,0.367367835903045
2016,East of England,,Undefined,Units,Percentage (%),E12000006,0.38251917675930297
2017,East of England,,Undefined,Units,Percentage (%),E12000006,0.285274532224943
2018,East of England,,Undefined,Units,Percentage (%),E12000006,0.31303632168441897
2004,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.153894271675853
2005,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.23217742129794397
2006,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.25921303562745
2007,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.20262973978040502
2008,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.3592114001381071
2009,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.316849905166039
2010,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.21426833860395603
2011,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.250209441649325
2012,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.235505392459469
2013,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.327870339298185
2014,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.20095107887249802
2015,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.29676163621278
2016,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.32398210265695193
2017,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.19712435490119098
2018,East of England,Male,Undefined,Units,Percentage (%),E12000006,0.21370736954290603
2004,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.5796026319184621
2005,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.48506166892580604
2006,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.33989088094889397
2007,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.41126469043021097
2008,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.355347196030085
2009,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.426395986787597
2010,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.512635510152851
2011,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.573298112707543
2012,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.865534671000604
2013,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.660026561410828
2014,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.468842433036174
2015,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.44803704038961895
2016,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.449527467471415
2017,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.38410456148645294
2018,East of England,Female,Undefined,Units,Percentage (%),E12000006,0.42483213230327704
2004,London,,Undefined,Units,Percentage (%),E12000007,0.379764054184891
2005,London,,Undefined,Units,Percentage (%),E12000007,0.340001704099487
2006,London,,Undefined,Units,Percentage (%),E12000007,0.345703234034729
2007,London,,Undefined,Units,Percentage (%),E12000007,0.346796554808177
2008,London,,Undefined,Units,Percentage (%),E12000007,0.263129510654373
2009,London,,Undefined,Units,Percentage (%),E12000007,0.30122330631336103
2010,London,,Undefined,Units,Percentage (%),E12000007,0.288086372791392
2011,London,,Undefined,Units,Percentage (%),E12000007,0.26499726211603797
2012,London,,Undefined,Units,Percentage (%),E12000007,0.268130758525615
2013,London,,Undefined,Units,Percentage (%),E12000007,0.361828402279866
2014,London,,Undefined,Units,Percentage (%),E12000007,0.33686863937733696
2015,London,,Undefined,Units,Percentage (%),E12000007,0.304097049251859
2016,London,,Undefined,Units,Percentage (%),E12000007,0.3444151754625
2017,London,,Undefined,Units,Percentage (%),E12000007,0.35435055772703705
2018,London,,Undefined,Units,Percentage (%),E12000007,0.408660334837822
2004,London,Male,Undefined,Units,Percentage (%),E12000007,0.356739135472806
2005,London,Male,Undefined,Units,Percentage (%),E12000007,0.23317596058301698
2006,London,Male,Undefined,Units,Percentage (%),E12000007,0.279458606361077
2007,London,Male,Undefined,Units,Percentage (%),E12000007,0.281213549915896
2008,London,Male,Undefined,Units,Percentage (%),E12000007,0.164532612423433
2009,London,Male,Undefined,Units,Percentage (%),E12000007,0.18113490336180701
2010,London,Male,Undefined,Units,Percentage (%),E12000007,0.24465932991138198
2011,London,Male,Undefined,Units,Percentage (%),E12000007,0.159449598038469
2012,London,Male,Undefined,Units,Percentage (%),E12000007,0.20072904276337697
2013,London,Male,Undefined,Units,Percentage (%),E12000007,0.340028636807665
2014,London,Male,Undefined,Units,Percentage (%),E12000007,0.332672117250906
2015,London,Male,Undefined,Units,Percentage (%),E12000007,0.25270836174466
2016,London,Male,Undefined,Units,Percentage (%),E12000007,0.302011166758602
2017,London,Male,Undefined,Units,Percentage (%),E12000007,0.33353117597314896
2018,London,Male,Undefined,Units,Percentage (%),E12000007,0.314656829993825
2004,London,Female,Undefined,Units,Percentage (%),E12000007,0.408469088417956
2005,London,Female,Undefined,Units,Percentage (%),E12000007,0.469513458720017
2006,London,Female,Undefined,Units,Percentage (%),E12000007,0.4267655494591
2007,London,Female,Undefined,Units,Percentage (%),E12000007,0.428048851721687
2008,London,Female,Undefined,Units,Percentage (%),E12000007,0.385241695561771
2009,London,Female,Undefined,Units,Percentage (%),E12000007,0.44759026207950703
2010,London,Female,Undefined,Units,Percentage (%),E12000007,0.341302720648522
2011,London,Female,Undefined,Units,Percentage (%),E12000007,0.39318561992247003
2012,London,Female,Undefined,Units,Percentage (%),E12000007,0.350879949893535
2013,London,Female,Undefined,Units,Percentage (%),E12000007,0.388402834041118
2014,London,Female,Undefined,Units,Percentage (%),E12000007,0.34203639974084304
2015,London,Female,Undefined,Units,Percentage (%),E12000007,0.36604754858914
2016,London,Female,Undefined,Units,Percentage (%),E12000007,0.396181469208794
2017,London,Female,Undefined,Units,Percentage (%),E12000007,0.379398445657309
2018,London,Female,Undefined,Units,Percentage (%),E12000007,0.521970100574959
2004,South East,,Undefined,Units,Percentage (%),E12000008,0.464274685258929
2005,South East,,Undefined,Units,Percentage (%),E12000008,0.309549526591973
2006,South East,,Undefined,Units,Percentage (%),E12000008,0.380447958372674
2007,South East,,Undefined,Units,Percentage (%),E12000008,0.422093477762644
2008,South East,,Undefined,Units,Percentage (%),E12000008,0.288422573135301
2009,South East,,Undefined,Units,Percentage (%),E12000008,0.39132366920949496
2010,South East,,Undefined,Units,Percentage (%),E12000008,0.48807819955605297
2011,South East,,Undefined,Units,Percentage (%),E12000008,0.39877988852284
2012,South East,,Undefined,Units,Percentage (%),E12000008,0.51315434398716
2013,South East,,Undefined,Units,Percentage (%),E12000008,0.509973421755123
2014,South East,,Undefined,Units,Percentage (%),E12000008,0.401506739954302
2015,South East,,Undefined,Units,Percentage (%),E12000008,0.39225260453425703
2016,South East,,Undefined,Units,Percentage (%),E12000008,0.347417972242674
2017,South East,,Undefined,Units,Percentage (%),E12000008,0.39020885111622
2018,South East,,Undefined,Units,Percentage (%),E12000008,0.507551691073765
2004,South East,Male,Undefined,Units,Percentage (%),E12000008,0.307989984890373
2005,South East,Male,Undefined,Units,Percentage (%),E12000008,0.208679724398535
2006,South East,Male,Undefined,Units,Percentage (%),E12000008,0.26749590846432497
2007,South East,Male,Undefined,Units,Percentage (%),E12000008,0.279843195300484
2008,South East,Male,Undefined,Units,Percentage (%),E12000008,0.139265963679999
2009,South East,Male,Undefined,Units,Percentage (%),E12000008,0.276772398361902
2010,South East,Male,Undefined,Units,Percentage (%),E12000008,0.35195543987935496
2011,South East,Male,Undefined,Units,Percentage (%),E12000008,0.24098239005623
2012,South East,Male,Undefined,Units,Percentage (%),E12000008,0.352439863269363
2013,South East,Male,Undefined,Units,Percentage (%),E12000008,0.42113884238006005
