Year,Disposal Method,Region,Waste collection Authority,Observation status,Unit multiplier,GeoCode,Value
2000 to 2001,Recycled-composted,South West,,Undefined,Units,E12000009,17.0
2000 to 2001,Other,South West,,Undefined,Units,E12000009,0.0
2001 to 2002,Landfill,,,Undefined,Units,,78.0
2001 to 2002,Incineration with EfW,,,Undefined,Units,,8.0
2001 to 2002,Incineration without EfW,,,Undefined,Units,,0.0
2001 to 2002,Recycled-composted,,,Undefined,Units,,14.000000000000002
2001 to 2002,Other,,,Undefined,Units,,0.4
2001 to 2002,Landfill,North West,,Undefined,Units,E12000002,86.0
2001 to 2002,Incineration with EfW,North West,,Undefined,Units,E12000002,2.0
2001 to 2002,Incineration without EfW,North West,,Undefined,Units,E12000002,0.0
2001 to 2002,Recycled-composted,North West,,Undefined,Units,E12000002,11.0
2001 to 2002,Other,North West,,Undefined,Units,E12000002,0.0
2001 to 2002,Landfill,East Midlands,,Undefined,Units,E12000004,78.0
2001 to 2002,Incineration with EfW,East Midlands,,Undefined,Units,E12000004,6.0
2001 to 2002,Incineration without EfW,East Midlands,,Undefined,Units,E12000004,0.0
2001 to 2002,Recycled-composted,East Midlands,,Undefined,Units,E12000004,15.0
2001 to 2002,Other,East Midlands,,Undefined,Units,E12000004,0.1
2001 to 2002,Landfill,East of England,,Undefined,Units,E12000006,80.0
2001 to 2002,Incineration with EfW,East of England,,Undefined,Units,E12000006,1.0
2001 to 2002,Incineration without EfW,East of England,,Undefined,Units,E12000006,0.0
2001 to 2002,Recycled-composted,East of England,,Undefined,Units,E12000006,18.0
2001 to 2002,Other,East of England,,Undefined,Units,E12000006,0.0
2001 to 2002,Landfill,South East,,Undefined,Units,E12000008,79.0
2001 to 2002,Incineration with EfW,South East,,Undefined,Units,E12000008,0.0
2001 to 2002,Incineration without EfW,South East,,Undefined,Units,E12000008,0.0
2001 to 2002,Recycled-composted,South East,,Undefined,Units,E12000008,19.0
2001 to 2002,Other,South East,,Undefined,Units,E12000008,1.9
2001 to 2002,Landfill,North East,,Undefined,Units,E12000001,78.0
2001 to 2002,Incineration with EfW,North East,,Undefined,Units,E12000001,15.0
2001 to 2002,Incineration without EfW,North East,,Undefined,Units,E12000001,0.0
2001 to 2002,Recycled-composted,North East,,Undefined,Units,E12000001,7.000000000000001
2001 to 2002,Other,North East,,Undefined,Units,E12000001,0.0
2001 to 2002,Landfill,Yorkshire and the Humber,,Undefined,Units,E12000003,85.0
2001 to 2002,Incineration with EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,4.0
2001 to 2002,Incineration without EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,0.0
2001 to 2002,Recycled-composted,Yorkshire and the Humber,,Undefined,Units,E12000003,11.0
2001 to 2002,Other,Yorkshire and the Humber,,Undefined,Units,E12000003,0.3
2001 to 2002,Landfill,West Midlands,,Undefined,Units,E12000005,56.99999999999999
2001 to 2002,Incineration with EfW,West Midlands,,Undefined,Units,E12000005,32.0
2001 to 2002,Incineration without EfW,West Midlands,,Undefined,Units,E12000005,0.0
2001 to 2002,Recycled-composted,West Midlands,,Undefined,Units,E12000005,11.0
2001 to 2002,Other,West Midlands,,Undefined,Units,E12000005,0.7000000000000001
2001 to 2002,Landfill,London,,Undefined,Units,E12000007,73.0
2001 to 2002,Incineration with EfW,London,,Undefined,Units,E12000007,19.0
2001 to 2002,Incineration without EfW,London,,Undefined,Units,E12000007,0.0
2001 to 2002,Recycled-composted,London,,Undefined,Units,E12000007,8.0
2001 to 2002,Other,London,,Undefined,Units,E12000007,0.0
2001 to 2002,Landfill,South West,,Undefined,Units,E12000009,81.0
2001 to 2002,Incineration with EfW,South West,,Undefined,Units,E12000009,0.0
2001 to 2002,Incineration without EfW,South West,,Undefined,Units,E12000009,0.0
2001 to 2002,Recycled-composted,South West,,Undefined,Units,E12000009,19.0
2001 to 2002,Other,South West,,Undefined,Units,E12000009,0.0
2002 to 2003,Landfill,,,Undefined,Units,,75.0
2002 to 2003,Incineration with EfW,,,Undefined,Units,,9.0
2002 to 2003,Incineration without EfW,,,Undefined,Units,,0.0
2002 to 2003,Recycled-composted,,,Undefined,Units,,16.0
2002 to 2003,Other,,,Undefined,Units,,0.5
2002 to 2003,Landfill,North West,,Undefined,Units,E12000002,83.0
2002 to 2003,Incineration with EfW,North West,,Undefined,Units,E12000002,3.0
2002 to 2003,Incineration without EfW,North West,,Undefined,Units,E12000002,0.0
2002 to 2003,Recycled-composted,North West,,Undefined,Units,E12000002,13.0
2002 to 2003,Other,North West,,Undefined,Units,E12000002,0.5
2002 to 2003,Landfill,East Midlands,,Undefined,Units,E12000004,78.0
2002 to 2003,Incineration with EfW,East Midlands,,Undefined,Units,E12000004,6.0
2002 to 2003,Incineration without EfW,East Midlands,,Undefined,Units,E12000004,0.0
2002 to 2003,Recycled-composted,East Midlands,,Undefined,Units,E12000004,16.0
2002 to 2003,Other,East Midlands,,Undefined,Units,E12000004,0.6
2002 to 2003,Landfill,East of England,,Undefined,Units,E12000006,79.0
2002 to 2003,Incineration with EfW,East of England,,Undefined,Units,E12000006,1.0
2002 to 2003,Incineration without EfW,East of England,,Undefined,Units,E12000006,0.0
2002 to 2003,Recycled-composted,East of England,,Undefined,Units,E12000006,20.0
2002 to 2003,Other,East of England,,Undefined,Units,E12000006,0.0
2002 to 2003,Landfill,South East,,Undefined,Units,E12000008,76.0
2002 to 2003,Incineration with EfW,South East,,Undefined,Units,E12000008,0.0
2002 to 2003,Incineration without EfW,South East,,Undefined,Units,E12000008,0.0
2002 to 2003,Recycled-composted,South East,,Undefined,Units,E12000008,21.0
2002 to 2003,Other,South East,,Undefined,Units,E12000008,2.0
2002 to 2003,Landfill,North East,,Undefined,Units,E12000001,76.0
2002 to 2003,Incineration with EfW,North East,,Undefined,Units,E12000001,14.000000000000002
2002 to 2003,Incineration without EfW,North East,,Undefined,Units,E12000001,0.0
2002 to 2003,Recycled-composted,North East,,Undefined,Units,E12000001,10.0
2002 to 2003,Other,North East,,Undefined,Units,E12000001,0.0
2002 to 2003,Landfill,Yorkshire and the Humber,,Undefined,Units,E12000003,79.0
2002 to 2003,Incineration with EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,7.000000000000001
2002 to 2003,Incineration without EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,0.0
2002 to 2003,Recycled-composted,Yorkshire and the Humber,,Undefined,Units,E12000003,13.0
2002 to 2003,Other,Yorkshire and the Humber,,Undefined,Units,E12000003,0.6
2002 to 2003,Landfill,West Midlands,,Undefined,Units,E12000005,54.0
2002 to 2003,Incineration with EfW,West Midlands,,Undefined,Units,E12000005,32.0
2002 to 2003,Incineration without EfW,West Midlands,,Undefined,Units,E12000005,0.0
2002 to 2003,Recycled-composted,West Midlands,,Undefined,Units,E12000005,14.000000000000002
2002 to 2003,Other,West Midlands,,Undefined,Units,E12000005,0.0
2002 to 2003,Landfill,London,,Undefined,Units,E12000007,71.0
2002 to 2003,Incineration with EfW,London,,Undefined,Units,E12000007,20.0
2002 to 2003,Incineration without EfW,London,,Undefined,Units,E12000007,0.0
2002 to 2003,Recycled-composted,London,,Undefined,Units,E12000007,9.0
2002 to 2003,Other,London,,Undefined,Units,E12000007,0.0
2002 to 2003,Landfill,South West,,Undefined,Units,E12000009,78.0
2002 to 2003,Incineration with EfW,South West,,Undefined,Units,E12000009,0.0
2002 to 2003,Incineration without EfW,South West,,Undefined,Units,E12000009,0.0
2002 to 2003,Recycled-composted,South West,,Undefined,Units,E12000009,22.0
2002 to 2003,Other,South West,,Undefined,Units,E12000009,0.0
2003 to 2004,Landfill,,,Undefined,Units,,72.0
2003 to 2004,Incineration with EfW,,,Undefined,Units,,9.0
2003 to 2004,Incineration without EfW,,,Undefined,Units,,0.0
2003 to 2004,Recycled-composted,,,Undefined,Units,,19.0
2003 to 2004,Other,,,Undefined,Units,,0.1
2003 to 2004,Landfill,North West,,Undefined,Units,E12000002,80.0
2003 to 2004,Incineration with EfW,North West,,Undefined,Units,E12000002,2.0
2003 to 2004,Incineration without EfW,North West,,Undefined,Units,E12000002,0.0
2003 to 2004,Recycled-composted,North West,,Undefined,Units,E12000002,18.0
2003 to 2004,Other,North West,,Undefined,Units,E12000002,0.0
2003 to 2004,Landfill,East Midlands,,Undefined,Units,E12000004,73.0
2003 to 2004,Incineration with EfW,East Midlands,,Undefined,Units,E12000004,6.0
2003 to 2004,Incineration without EfW,East Midlands,,Undefined,Units,E12000004,0.0
2003 to 2004,Recycled-composted,East Midlands,,Undefined,Units,E12000004,20.0
2003 to 2004,Other,East Midlands,,Undefined,Units,E12000004,0.4
2003 to 2004,Landfill,East of England,,Undefined,Units,E12000006,75.0
2003 to 2004,Incineration with EfW,East of England,,Undefined,Units,E12000006,1.0
2003 to 2004,Incineration without EfW,East of England,,Undefined,Units,E12000006,0.0
2003 to 2004,Recycled-composted,East of England,,Undefined,Units,E12000006,24.0
2003 to 2004,Other,East of England,,Undefined,Units,E12000006,0.1
2003 to 2004,Landfill,South East,,Undefined,Units,E12000008,73.0
2003 to 2004,Incineration with EfW,South East,,Undefined,Units,E12000008,2.0
2003 to 2004,Incineration without EfW,South East,,Undefined,Units,E12000008,0.0
2003 to 2004,Recycled-composted,South East,,Undefined,Units,E12000008,24.0
2003 to 2004,Other,South East,,Undefined,Units,E12000008,0.4
2003 to 2004,Landfill,North East,,Undefined,Units,E12000001,70.0
2003 to 2004,Incineration with EfW,North East,,Undefined,Units,E12000001,13.0
2003 to 2004,Incineration without EfW,North East,,Undefined,Units,E12000001,0.0
2003 to 2004,Recycled-composted,North East,,Undefined,Units,E12000001,16.0
2003 to 2004,Other,North East,,Undefined,Units,E12000001,0.2
2003 to 2004,Landfill,Yorkshire and the Humber,,Undefined,Units,E12000003,75.0
2003 to 2004,Incineration with EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,8.0
2003 to 2004,Incineration without EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,0.0
2003 to 2004,Recycled-composted,Yorkshire and the Humber,,Undefined,Units,E12000003,16.0
2003 to 2004,Other,Yorkshire and the Humber,,Undefined,Units,E12000003,0.0
2003 to 2004,Landfill,West Midlands,,Undefined,Units,E12000005,53.0
2003 to 2004,Incineration with EfW,West Midlands,,Undefined,Units,E12000005,31.0
2003 to 2004,Incineration without EfW,West Midlands,,Undefined,Units,E12000005,0.0
2003 to 2004,Recycled-composted,West Midlands,,Undefined,Units,E12000005,17.0
2003 to 2004,Other,West Midlands,,Undefined,Units,E12000005,0.1
2003 to 2004,Landfill,London,,Undefined,Units,E12000007,70.0
2003 to 2004,Incineration with EfW,London,,Undefined,Units,E12000007,19.0
2003 to 2004,Incineration without EfW,London,,Undefined,Units,E12000007,0.0
2003 to 2004,Recycled-composted,London,,Undefined,Units,E12000007,11.0
2003 to 2004,Other,London,,Undefined,Units,E12000007,0.0
2003 to 2004,Landfill,South West,,Undefined,Units,E12000009,75.0
2003 to 2004,Incineration with EfW,South West,,Undefined,Units,E12000009,0.0
2003 to 2004,Incineration without EfW,South West,,Undefined,Units,E12000009,0.0
2003 to 2004,Recycled-composted,South West,,Undefined,Units,E12000009,25.0
2003 to 2004,Other,South West,,Undefined,Units,E12000009,0.0
2004 to 2005,Landfill,,,Undefined,Units,,66.9
2004 to 2005,Incineration with EfW,,,Undefined,Units,,9.5
2004 to 2005,Incineration without EfW,,,Undefined,Units,,0.0
2004 to 2005,Recycled-composted,,,Undefined,Units,,23.5
2004 to 2005,Other,,,Undefined,Units,,0.1
2004 to 2005,Landfill,North West,,Undefined,Units,E12000002,74.7
2004 to 2005,Incineration with EfW,North West,,Undefined,Units,E12000002,2.4
2004 to 2005,Incineration without EfW,North West,,Undefined,Units,E12000002,0.0
2004 to 2005,Recycled-composted,North West,,Undefined,Units,E12000002,22.8
2004 to 2005,Other,North West,,Undefined,Units,E12000002,0.0
2004 to 2005,Landfill,East Midlands,,Undefined,Units,E12000004,66.5
2004 to 2005,Incineration with EfW,East Midlands,,Undefined,Units,E12000004,6.6000000000000005
2004 to 2005,Incineration without EfW,East Midlands,,Undefined,Units,E12000004,0.0
2004 to 2005,Recycled-composted,East Midlands,,Undefined,Units,E12000004,26.9
2004 to 2005,Other,East Midlands,,Undefined,Units,E12000004,0.0
2004 to 2005,Landfill,East of England,,Undefined,Units,E12000006,68.8
2004 to 2005,Incineration with EfW,East of England,,Undefined,Units,E12000006,1.1
2004 to 2005,Incineration without EfW,East of England,,Undefined,Units,E12000006,0.0
2004 to 2005,Recycled-composted,East of England,,Undefined,Units,E12000006,30.1
2004 to 2005,Other,East of England,,Undefined,Units,E12000006,0.0
2004 to 2005,Landfill,South East,,Undefined,Units,E12000008,67.7
2004 to 2005,Incineration with EfW,South East,,Undefined,Units,E12000008,4.0
2004 to 2005,Incineration without EfW,South East,,Undefined,Units,E12000008,0.0
2004 to 2005,Recycled-composted,South East,,Undefined,Units,E12000008,27.9
2004 to 2005,Other,South East,,Undefined,Units,E12000008,0.4
2004 to 2005,Landfill,North East,,Undefined,Units,E12000001,67.2
2004 to 2005,Incineration with EfW,North East,,Undefined,Units,E12000001,14.499999999999998
2004 to 2005,Incineration without EfW,North East,,Undefined,Units,E12000001,0.0
2004 to 2005,Recycled-composted,North East,,Undefined,Units,E12000001,18.1
2004 to 2005,Other,North East,,Undefined,Units,E12000001,0.2
2004 to 2005,Landfill,Yorkshire and the Humber,,Undefined,Units,E12000003,70.7
2004 to 2005,Incineration with EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,9.0
2004 to 2005,Incineration without EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,0.0
2004 to 2005,Recycled-composted,Yorkshire and the Humber,,Undefined,Units,E12000003,20.3
2004 to 2005,Other,Yorkshire and the Humber,,Undefined,Units,E12000003,0.0
2004 to 2005,Landfill,West Midlands,,Undefined,Units,E12000005,49.0
2004 to 2005,Incineration with EfW,West Midlands,,Undefined,Units,E12000005,30.4
2004 to 2005,Incineration without EfW,West Midlands,,Undefined,Units,E12000005,0.0
2004 to 2005,Recycled-composted,West Midlands,,Undefined,Units,E12000005,20.5
2004 to 2005,Other,West Midlands,,Undefined,Units,E12000005,0.2
2004 to 2005,Landfill,London,,Undefined,Units,E12000007,65.4
2004 to 2005,Incineration with EfW,London,,Undefined,Units,E12000007,19.9
2004 to 2005,Incineration without EfW,London,,Undefined,Units,E12000007,0.0
2004 to 2005,Recycled-composted,London,,Undefined,Units,E12000007,14.7
2004 to 2005,Other,London,,Undefined,Units,E12000007,0.0
2004 to 2005,Landfill,South West,,Undefined,Units,E12000009,70.0
2004 to 2005,Incineration with EfW,South West,,Undefined,Units,E12000009,0.0
2004 to 2005,Incineration without EfW,South West,,Undefined,Units,E12000009,0.1
2004 to 2005,Recycled-composted,South West,,Undefined,Units,E12000009,29.9
2004 to 2005,Other,South West,,Undefined,Units,E12000009,0.0
2005 to 2006,Landfill,,,Undefined,Units,,62.2
2005 to 2006,Incineration with EfW,,,Undefined,Units,,9.9
2005 to 2006,Incineration without EfW,,,Undefined,Units,,0.0
2005 to 2006,Recycled-composted,,,Undefined,Units,,27.1
2005 to 2006,Other,,,Undefined,Units,,0.7000000000000001
2005 to 2006,Landfill,North West,,Undefined,Units,E12000002,70.3
2005 to 2006,Incineration with EfW,North West,,Undefined,Units,E12000002,2.5
2005 to 2006,Incineration without EfW,North West,,Undefined,Units,E12000002,0.0
2005 to 2006,Recycled-composted,North West,,Undefined,Units,E12000002,27.1
2005 to 2006,Other,North West,,Undefined,Units,E12000002,0.0
2005 to 2006,Landfill,East Midlands,,Undefined,Units,E12000004,59.6
2005 to 2006,Incineration with EfW,East Midlands,,Undefined,Units,E12000004,5.0
2005 to 2006,Incineration without EfW,East Midlands,,Undefined,Units,E12000004,0.0
2005 to 2006,Recycled-composted,East Midlands,,Undefined,Units,E12000004,31.8
2005 to 2006,Other,East Midlands,,Undefined,Units,E12000004,3.6
2005 to 2006,Landfill,East of England,,Undefined,Units,E12000006,65.3
2005 to 2006,Incineration with EfW,East of England,,Undefined,Units,E12000006,1.2
2005 to 2006,Incineration without EfW,East of England,,Undefined,Units,E12000006,0.0
2005 to 2006,Recycled-composted,East of England,,Undefined,Units,E12000006,33.5
2005 to 2006,Other,East of England,,Undefined,Units,E12000006,0.0
2005 to 2006,Landfill,South East,,Undefined,Units,E12000008,59.3
2005 to 2006,Incineration with EfW,South East,,Undefined,Units,E12000008,9.5
2005 to 2006,Incineration without EfW,South East,,Undefined,Units,E12000008,0.0
2005 to 2006,Recycled-composted,South East,,Undefined,Units,E12000008,30.5
2005 to 2006,Other,South East,,Undefined,Units,E12000008,0.6
2005 to 2006,Landfill,North East,,Undefined,Units,E12000001,60.6
2005 to 2006,Incineration with EfW,North East,,Undefined,Units,E12000001,13.3
2005 to 2006,Incineration without EfW,North East,,Undefined,Units,E12000001,0.0
2005 to 2006,Recycled-composted,North East,,Undefined,Units,E12000001,22.3
2005 to 2006,Other,North East,,Undefined,Units,E12000001,3.8
2005 to 2006,Landfill,Yorkshire and the Humber,,Undefined,Units,E12000003,67.0
2005 to 2006,Incineration with EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,9.4
2005 to 2006,Incineration without EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,0.0
2005 to 2006,Recycled-composted,Yorkshire and the Humber,,Undefined,Units,E12000003,23.1
2005 to 2006,Other,Yorkshire and the Humber,,Undefined,Units,E12000003,0.4
2005 to 2006,Landfill,West Midlands,,Undefined,Units,E12000005,43.6
2005 to 2006,Incineration with EfW,West Midlands,,Undefined,Units,E12000005,30.7
2005 to 2006,Incineration without EfW,West Midlands,,Undefined,Units,E12000005,0.0
2005 to 2006,Recycled-composted,West Midlands,,Undefined,Units,E12000005,25.5
2005 to 2006,Other,West Midlands,,Undefined,Units,E12000005,0.1
2005 to 2006,Landfill,London,,Undefined,Units,E12000007,63.7
2005 to 2006,Incineration with EfW,London,,Undefined,Units,E12000007,18.2
2005 to 2006,Incineration without EfW,London,,Undefined,Units,E12000007,0.0
2005 to 2006,Recycled-composted,London,,Undefined,Units,E12000007,18.1
2005 to 2006,Other,London,,Undefined,Units,E12000007,0.0
2005 to 2006,Landfill,South West,,Undefined,Units,E12000009,66.9
2005 to 2006,Incineration with EfW,South West,,Undefined,Units,E12000009,0.0
2005 to 2006,Incineration without EfW,South West,,Undefined,Units,E12000009,0.1
2005 to 2006,Recycled-composted,South West,,Undefined,Units,E12000009,32.9
2005 to 2006,Other,South West,,Undefined,Units,E12000009,0.1
2006 to 2007,Landfill,,,Undefined,Units,,57.9
2006 to 2007,Incineration with EfW,,,Undefined,Units,,11.1
2006 to 2007,Incineration without EfW,,,Undefined,Units,,0.0
2006 to 2007,Recycled-composted,,,Undefined,Units,,30.6
2006 to 2007,Other,,,Undefined,Units,,0.4
2006 to 2007,Landfill,North West,,Undefined,Units,E12000002,65.9
2006 to 2007,Incineration with EfW,North West,,Undefined,Units,E12000002,2.9000000000000004
2006 to 2007,Incineration without EfW,North West,,Undefined,Units,E12000002,0.0
2006 to 2007,Recycled-composted,North West,,Undefined,Units,E12000002,31.2
2006 to 2007,Other,North West,,Undefined,Units,E12000002,0.0
2006 to 2007,Landfill,East Midlands,,Undefined,Units,E12000004,58.3
2006 to 2007,Incineration with EfW,East Midlands,,Undefined,Units,E12000004,6.4
2006 to 2007,Incineration without EfW,East Midlands,,Undefined,Units,E12000004,0.0
2006 to 2007,Recycled-composted,East Midlands,,Undefined,Units,E12000004,34.7
2006 to 2007,Other,East Midlands,,Undefined,Units,E12000004,0.5
2006 to 2007,Landfill,East of England,,Undefined,Units,E12000006,61.8
2006 to 2007,Incineration with EfW,East of England,,Undefined,Units,E12000006,1.4
2006 to 2007,Incineration without EfW,East of England,,Undefined,Units,E12000006,0.0
2006 to 2007,Recycled-composted,East of England,,Undefined,Units,E12000006,36.8
2006 to 2007,Other,East of England,,Undefined,Units,E12000006,0.0
2006 to 2007,Landfill,South East,,Undefined,Units,E12000008,54.0
2006 to 2007,Incineration with EfW,South East,,Undefined,Units,E12000008,12.1
2006 to 2007,Incineration without EfW,South East,,Undefined,Units,E12000008,0.0
2006 to 2007,Recycled-composted,South East,,Undefined,Units,E12000008,33.900000000000006
2006 to 2007,Other,South East,,Undefined,Units,E12000008,0.0
2006 to 2007,Landfill,North East,,Undefined,Units,E12000001,57.4
2006 to 2007,Incineration with EfW,North East,,Undefined,Units,E12000001,13.8
2006 to 2007,Incineration without EfW,North East,,Undefined,Units,E12000001,0.0
2006 to 2007,Recycled-composted,North East,,Undefined,Units,E12000001,26.5
2006 to 2007,Other,North East,,Undefined,Units,E12000001,2.3
2006 to 2007,Landfill,Yorkshire and the Humber,,Undefined,Units,E12000003,62.7
2006 to 2007,Incineration with EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,9.9
2006 to 2007,Incineration without EfW,Yorkshire and the Humber,,Undefined,Units,E12000003,0.0
2006 to 2007,Recycled-composted,Yorkshire and the Humber,,Undefined,Units,E12000003,27.200000000000003
2006 to 2007,Other,Yorkshire and the Humber,,Undefined,Units,E12000003,0.1
2006 to 2007,Landfill,West Midlands,,Undefined,Units,E12000005,41.5
2006 to 2007,Incineration with EfW,West Midlands,,Undefined,Units,E12000005,29.9
2006 to 2007,Incineration without EfW,West Midlands,,Undefined,Units,E12000005,0.0
2006 to 2007,Recycled-composted,West Midlands,,Undefined,Units,E12000005,28.5
2006 to 2007,Other,West Midlands,,Undefined,Units,E12000005,0.0
2006 to 2007,Landfill,London,,Undefined,Units,E12000007,56.8
2006 to 2007,Incineration with EfW,London,,Undefined,Units,E12000007,21.9
2006 to 2007,Incineration without EfW,London,,Undefined,Units,E12000007,0.0
2006 to 2007,Recycled-composted,London,,Undefined,Units,E12000007,19.9
2006 to 2007,Other,London,,Undefined,Units,E12000007,1.4
2006 to 2007,Landfill,South West,,Undefined,Units,E12000009,61.7
2006 to 2007,Incineration with EfW,South West,,Undefined,Units,E12000009,0.0
2006 to 2007,Incineration without EfW,South West,,Undefined,Units,E12000009,0.1
2006 to 2007,Recycled-composted,South West,,Undefined,Units,E12000009,37.9
2006 to 2007,Other,South West,,Undefined,Units,E12000009,0.2
2007 to 2008,Landfill,,,Undefined,Units,,54.400000000000006
2007 to 2008,Incineration with EfW,,,Undefined,Units,,11.1
2007 to 2008,Incineration without EfW,,,Undefined,Units,,0.0
2007 to 2008,Recycled-composted,,,Undefined,Units,,34.0
2007 to 2008,Other,,,Undefined,Units,,0.4
2007 to 2008,Landfill,North West,,Undefined,Units,E12000002,62.2
2007 to 2008,Incineration with EfW,North West,,Undefined,Units,E12000002,2.2
2007 to 2008,Incineration without EfW,North West,,Undefined,Units,E12000002,0.0
2007 to 2008,Recycled-composted,North West,,Undefined,Units,E12000002,35.6
2007 to 2008,Other,North West,,Undefined,Units,E12000002,0.0
2007 to 2008,Landfill,East Midlands,,Undefined,Units,E12000004,53.0
2007 to 2008,Incineration with EfW,East Midlands,,Undefined,Units,E12000004,6.9
2007 to 2008,Incineration without EfW,East Midlands,,Undefined,Units,E12000004,0.0
2007 to 2008,Recycled-composted,East Midlands,,Undefined,Units,E12000004,40.1
2007 to 2008,Other,East Midlands,,Undefined,Units,E12000004,0.0
2007 to 2008,Landfill,East of England,,Undefined,Units,E12000006,58.3
2007 to 2008,Incineration with EfW,East of England,,Undefined,Units,E12000006,1.6
2007 to 2008,Incineration without EfW,East of England,,Undefined,Units,E12000006,0.0
2007 to 2008,Recycled-composted,East of England,,Undefined,Units,E12000006,40.0
2007 to 2008,Other,East of England,,Undefined,Units,E12000006,0.0
2007 to 2008,Landfill,South East,,Undefined,Units,E12000008,51.2
2007 to 2008,Incineration with EfW,South East,,Undefined,Units,E12000008,12.1
2007 to 2008,Incineration without EfW,South East,,Undefined,Units,E12000008,0.0
2007 to 2008,Recycled-composted,South East,,Undefined,Units,E12000008,36.7
2007 to 2008,Other,South East,,Undefined,Units,E12000008,0.0
2007 to 2008,Landfill,North East,,Undefined,Units,E12000001,56.8
2007 to 2008,Incineration with EfW,North East,,Undefined,Units,E12000001,13.1
