Year,Series,Type of heritage,Area of spending,Observation status,Unit multiplier,Unit measure,Value
2017,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2018,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2019,General government expenditure,Natural heritage,Waste water management,Normal value,Units,GBP (£) per capita,0.0
2000,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,4.143592460699554
2001,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,6.783617816723901
2002,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,4.329099126263145
2003,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,3.5716261966205374
2004,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,3.6863807414129015
2005,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,4.651293672088762
2006,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,2.877007123469637
2007,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,2.919155695370611
2008,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,3.364400117754004
2009,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,4.513294946233969
2010,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,8.0147228706411
2011,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,4.076789007207068
2012,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,2.558668864296366
2013,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,2.636271033621035
2014,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,7.631957000965992
2015,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,7.064966978958685
2016,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,1.8583934645480984
2017,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.8631106507854307
2018,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,0.8880780786204987
2019,General government expenditure,Natural heritage,Pollution abatement,Normal value,Units,GBP (£) per capita,2.006084123790361
2000,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,4.007736970184815
2001,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,4.73669074484462
2002,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,5.861970801321302
2003,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,5.483200780727304
2004,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,5.621313619258586
2005,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,6.786585073154422
2006,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,7.118537625499161
2007,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,10.225198999985324
2008,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.556575299480135
2009,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,7.693481420804523
2010,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,9.14602570128825
2011,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.153578014414135
2012,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,6.891138843104937
2013,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.033606995945759
2014,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,7.78676343100587
2015,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.677622485025342
2016,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.941614456473225
2017,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,8.449399002425796
2018,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,7.10462462896399
2019,General government expenditure,Natural heritage,Protection of biodiversity and landscape,Normal value,Units,GBP (£) per capita,6.512288013797068
2000,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,4.041700842813499
2001,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,4.97352528208685
2002,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,6.182020931278499
2003,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,6.656974648161283
2004,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,7.639648776321759
2005,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,8.723244715981414
2006,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,8.926942103108647
2007,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,10.469820985630903
2008,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,8.168375285893134
2009,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,8.73748203114334
2010,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,12.428397294433513
2011,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,9.212279035665585
2012,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,10.50153049211208
2013,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,9.671526868905572
2014,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,9.288385802392687
2015,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,11.887574873291353
2016,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,10.06883672185486
2017,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,12.552960166686352
2018,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,7.089572458139912
2019,General government expenditure,Natural heritage,Research and development environmental protection,Normal value,Units,GBP (£) per capita,6.227843249976047
2000,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,14.196898758790276
2001,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,12.213895420635057
2002,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,18.61344176856333
2003,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,24.98461517823756
2004,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,18.131655501881557
2005,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,26.070418268824916
2006,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,24.01889947079509
2007,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,27.250889200917825
2008,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,25.62120089674203
2009,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,34.45202014118101
2010,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,31.740214628860965
2011,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,29.058972807185263
2012,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,29.055804097009656
2013,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,24.06962251406661
2014,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,27.307854259034503
2015,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,25.57210873905698
2016,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,28.59184043407197
2017,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,27.11984518520537
2018,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,26.672446700263112
2019,General government expenditure,Natural heritage,Environmental protection not elsewhere classified,Normal value,Units,GBP (£) per capita,26.31862604196608
2000,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,206.7041288181761
2001,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,167.83110314144096
2002,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,180.92939188790837
2003,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,198.1833334171743
2004,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,195.07793108970083
2005,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,211.42695399854009
2006,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,216.84413690608295
2007,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,225.26423251482817
2008,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,242.22063347772217
2009,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,248.6006376434497
2010,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,248.08993060811508
2011,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,238.90299612389012
2012,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,234.5184836355074
2013,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,206.4559001773633
2014,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,205.1649617318505
2015,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,201.67409000153583
2016,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,193.33385124626608
2017,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,203.80010963019492
2018,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,195.60295985887083
2019,General government expenditure,Cultural heritage,,Normal value,Units,GBP (£) per capita,192.29963112005365
2000,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,59.878307444371416
2001,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,53.20318711620117
2002,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,57.7100918543873
2003,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,61.92495560619552
2004,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,62.70183351570632
2005,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,66.65750753559233
2006,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,71.3004565399304
2007,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,80.05662183561076
2008,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,92.47247823653672
2009,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,98.92307321656588
2010,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,97.10083732343313
2011,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,93.41851399460536
2012,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,91.70394788478144
2013,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,68.35585603152293
2014,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,62.8823718821985
2015,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,57.50268775917678
2016,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,53.34503207252
2017,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,55.22393935814852
2018,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,55.97902329473956
2019,General government expenditure,Cultural heritage,Recreational and sporting services,Normal value,Units,GBP (£) per capita,53.41573249017917
2000,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,77.93010574651743
2001,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,71.84544854769679
2002,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,74.06633796956828
2003,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,83.40501738023734
2004,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,81.58410953054525
2005,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,88.98702769092236
2006,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,88.84197997274241
2007,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,88.25961242092593
2008,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,90.41825316463886
2009,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,89.01309819227279
2010,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,91.01410941769772
2011,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,86.10241589252446
2012,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,84.45176987677577
2013,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,83.17513107258793
2014,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,82.35702078121517
2015,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,82.69083090155122
2016,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,80.489762841575
2017,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,81.85923119554454
2018,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,75.77262792839983
2019,General government expenditure,Cultural heritage,Cultural services,Normal value,Units,GBP (£) per capita,73.07236274791606
2000,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,49.89292889153807
2001,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,48.22966183411432
2002,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,54.459056323769445
2003,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,58.11857463608818
2004,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,56.58010622114281
2005,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,59.85436981591802
2006,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,60.41714959286239
2007,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,60.29116539544775
2008,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,62.322277181279695
2009,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,64.06951437910071
2010,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,63.60789999920331
2011,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,64.89679245193577
2012,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,65.69343065693431
2013,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,62.44374525198228
2014,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,68.59472915067
2015,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,72.30840116725543
2016,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,71.41105378525806
2017,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,72.74357133988086
2018,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,70.51942031079723
2019,General government expenditure,Cultural heritage,Broadcasting and publishing services,Normal value,Units,GBP (£) per capita,73.55142761329884
2000,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0
2001,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.0169167526601593
2002,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.1684474368195776
2003,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.167681981061997
2004,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.1668045584349729
2005,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.198631758238666
2006,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.2466006105831118
2007,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.2283138532692097
2008,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.2426250084918753
2009,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.256984765621863
2010,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.7488906062030449
2011,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.7742738812137454
2012,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.8790518797582607
2013,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,0.8891565024638994
2014,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.1146062962871226
2015,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.44371064352634
2016,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.645135198124546
2017,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.923071099118416
2018,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.881521353009531
2019,General government expenditure,Cultural heritage,Religious and other community services,Normal value,Units,GBP (£) per capita,1.886317907444668
2000,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0509458089430273
2001,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0169167526601593
2002,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0336894873639155
2003,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0838409905309985
2004,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,0.0333609116869945
2005,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,1.075922023792774
2006,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,1.8084044776094863
2007,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.1689816060574927
2008,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.490950087183253
2009,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.248616699191301
2010,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.6609517284235853
2011,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.228012596962002
2012,General government expenditure,Cultural heritage,"Research and development recreation, culture and religion",Normal value,Units,GBP (£) per capita,2.1348402794129187
