Year,Country,Region,Sex,Age,Observation status,Unit multiplier,Unit measure,Value
2011,England,North East,,,Undefined,Units,"Rate per 100,000 population",2.233826996
2012,England,North East,,,Undefined,Units,"Rate per 100,000 population",2.958822035
2013,England,North East,,,Undefined,Units,"Rate per 100,000 population",2.911249412
2014,England,North East,,,Undefined,Units,"Rate per 100,000 population",2.176622615
2015,England,North East,,,Undefined,Units,"Rate per 100,000 population",2.362283627
2016,England,North East,,,Undefined,Units,"Rate per 100,000 population",2.123956369
2017,England,North East,,,Undefined,Units,"Rate per 100,000 population",2.1930429869999997
2018,England,North East,,,Undefined,Units,"Rate per 100,000 population",1.956425145
2010,England,North West,,,Undefined,Units,"Rate per 100,000 population",2.763563863
2011,England,North West,,,Undefined,Units,"Rate per 100,000 population",2.976206926
2012,England,North West,,,Undefined,Units,"Rate per 100,000 population",2.3290380230000003
2013,England,North West,,,Undefined,Units,"Rate per 100,000 population",2.097561085
2014,England,North West,,,Undefined,Units,"Rate per 100,000 population",2.5655310940000002
2015,England,North West,,,Undefined,Units,"Rate per 100,000 population",2.466837756
2016,England,North West,,,Undefined,Units,"Rate per 100,000 population",2.574764731
2017,England,North West,,,Undefined,Units,"Rate per 100,000 population",2.300710589
2018,England,North West,,,Undefined,Units,"Rate per 100,000 population",2.6604158780000002
2010,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",3.235144786
2011,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",3.271427091
2012,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",2.708346616
2013,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",3.09108008
2014,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",2.9476968510000003
2015,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",2.7642702669999997
2016,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",2.543605321
2017,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",2.93570979
2018,England,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",3.32140123
2010,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",4.060286603
2011,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",4.121259351
2012,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",3.7217057319999998
2013,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",3.218407202
2014,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",3.644307796
2015,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",3.71999551
2016,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",4.041994417
2017,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",3.814181462
2018,England,East Midlands,,,Undefined,Units,"Rate per 100,000 population",4.07980685
2010,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",2.802798343
2011,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",3.387614205
2012,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",3.119039378
2013,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",2.748884147
2014,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",2.730404578
2015,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",2.832303973
2016,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",2.6674592180000003
2017,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",3.2589930289999995
2018,England,West Midlands,,,Undefined,Units,"Rate per 100,000 population",2.9318272210000003
2010,England,East of England,,,Undefined,Units,"Rate per 100,000 population",3.392222546
2011,England,East of England,,,Undefined,Units,"Rate per 100,000 population",3.39450377
2012,England,East of England,,,Undefined,Units,"Rate per 100,000 population",3.166317694
2013,England,East of England,,,Undefined,Units,"Rate per 100,000 population",2.99062456
2014,England,East of England,,,Undefined,Units,"Rate per 100,000 population",3.124350825
2015,England,East of England,,,Undefined,Units,"Rate per 100,000 population",3.192905824
2016,England,East of England,,,Undefined,Units,"Rate per 100,000 population",3.4752786139999996
2017,England,East of England,,,Undefined,Units,"Rate per 100,000 population",3.242315065
2018,England,East of England,,,Undefined,Units,"Rate per 100,000 population",2.7413987
2010,England,London,,,Undefined,Units,"Rate per 100,000 population",1.5629855259999998
2011,England,London,,,Undefined,Units,"Rate per 100,000 population",1.9379828430000001
2012,England,London,,,Undefined,Units,"Rate per 100,000 population",1.6247769090000002
2013,England,London,,,Undefined,Units,"Rate per 100,000 population",1.580049464
2014,England,London,,,Undefined,Units,"Rate per 100,000 population",1.51064513
2015,England,London,,,Undefined,Units,"Rate per 100,000 population",1.56918309
2016,England,London,,,Undefined,Units,"Rate per 100,000 population",1.322742424
2017,England,London,,,Undefined,Units,"Rate per 100,000 population",1.484419095
2018,England,London,,,Undefined,Units,"Rate per 100,000 population",1.257285379
2010,England,South East,,,Undefined,Units,"Rate per 100,000 population",3.310883445
2011,England,South East,,,Undefined,Units,"Rate per 100,000 population",2.9816993
2012,England,South East,,,Undefined,Units,"Rate per 100,000 population",2.6705091430000003
2013,England,South East,,,Undefined,Units,"Rate per 100,000 population",2.672533655
2014,England,South East,,,Undefined,Units,"Rate per 100,000 population",2.7834106469999997
2015,England,South East,,,Undefined,Units,"Rate per 100,000 population",2.6258767080000003
2016,England,South East,,,Undefined,Units,"Rate per 100,000 population",3.1006560430000003
2017,England,South East,,,Undefined,Units,"Rate per 100,000 population",2.940261485
2018,England,South East,,,Undefined,Units,"Rate per 100,000 population",2.824727313
2010,England,South West,,,Undefined,Units,"Rate per 100,000 population",3.649309007
2011,England,South West,,,Undefined,Units,"Rate per 100,000 population",3.018394663
2012,England,South West,,,Undefined,Units,"Rate per 100,000 population",3.8204114469999997
2013,England,South West,,,Undefined,Units,"Rate per 100,000 population",3.5331076360000004
2014,England,South West,,,Undefined,Units,"Rate per 100,000 population",3.411221036
2015,England,South West,,,Undefined,Units,"Rate per 100,000 population",3.161775053
2016,England,South West,,,Undefined,Units,"Rate per 100,000 population",2.9545187189999997
2017,England,South West,,,Undefined,Units,"Rate per 100,000 population",3.381710987
2018,England,South West,,,Undefined,Units,"Rate per 100,000 population",3.285869778
2010,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",4.565362302
2011,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",4.710682493999999
2012,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",4.398324639
2013,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",4.148730723
2014,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",4.240711733
2015,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",4.225851584
2016,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",4.201832781
2017,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",4.229103986
2018,Great Britain,,Male,,Undefined,Units,"Rate per 100,000 population",4.152020829
2010,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",1.5595965
2011,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",1.5289693309999999
2012,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",1.3222837029999999
2013,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",1.396963526
2014,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",1.459271589
2015,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",1.2868811009999999
2016,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",1.4540524380000002
2017,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",1.3965860909999999
2018,Great Britain,,Female,,Undefined,Units,"Rate per 100,000 population",1.410221204
2013,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",0.257271125
2014,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",0.23074029899999998
2015,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",0.281922899
2016,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",0.41135916899999997
2017,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",0.312684028
2018,Great Britain,,,4 and under,Undefined,Units,"Rate per 100,000 population",0.34280060700000003
2013,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",0.266617728
2014,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",0.43554253600000004
2015,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",0.470789038
2016,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",0.337860096
2017,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",0.33120246
2018,Great Britain,,,5 to 7,Undefined,Units,"Rate per 100,000 population",0.24686451199999998
2013,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",0.36739987399999996
2014,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",0.356076282
2015,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",0.413727192
2016,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",0.666876066
2017,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",0.324996523
2018,Great Britain,,,8 to 11,Undefined,Units,"Rate per 100,000 population",0.223269462
2013,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",0.7810311670000001
2014,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",0.8681262040000001
2015,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",0.7315492309999999
2016,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",0.9105315359999999
2017,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",0.6464272679999999
2018,Great Britain,,,12 to 15,Undefined,Units,"Rate per 100,000 population",0.76583832
2013,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",4.846256629
2014,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",4.257898235
2015,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",3.93413852
2016,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",3.569402142
2017,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",3.776050025
2018,Great Britain,,,16 to 19,Undefined,Units,"Rate per 100,000 population",3.6998732619999997
2013,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",4.632807811
2014,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",4.621434212
2015,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",4.616625741
2016,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",4.283228672
2017,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",4.313112202
2018,Great Britain,,,20 to 29,Undefined,Units,"Rate per 100,000 population",3.930040093
2013,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",2.507664515
2014,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",2.8230928
2015,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",2.396703596
2016,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",3.067958885
2017,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",3.215759872
2018,Great Britain,,,30 to 39,Undefined,Units,"Rate per 100,000 population",3.109646122
2013,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",2.847003809
2014,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",2.680386003
2015,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",2.973913248
2016,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",2.8211848739999996
2017,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",2.623007736
2018,Great Britain,,,40 to 49,Undefined,Units,"Rate per 100,000 population",2.5190256069999997
2013,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",2.7059181480000003
2014,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",2.516890131
2015,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",2.64676013
2016,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",2.614745937
2017,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",2.522729561
2018,Great Britain,,,50 to 59,Undefined,Units,"Rate per 100,000 population",2.6853210030000003
2013,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",1.912037796
2014,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",2.7426501689999996
2015,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",1.9906477059999999
2016,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",2.190615945
2017,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",2.644003777
2018,Great Britain,,,60 to 69,Undefined,Units,"Rate per 100,000 population",2.762623335
2013,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",3.436343075
2014,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",3.162213145
2015,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",3.5724830539999997
2016,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",3.4464854160000002
2017,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",3.338558566
2018,Great Britain,,,70 to 79,Undefined,Units,"Rate per 100,000 population",3.8523797980000003
2013,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",5.888519769
2014,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",6.63689292
2015,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",6.062658898
2016,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",6.8502556729999995
2017,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",6.50833114
2018,Great Britain,,,80 and over,Undefined,Units,"Rate per 100,000 population",5.994704054
