Year,Sector,Country,Region,Age,Sex,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2000,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.259110873226
2000,Public sector,,,16 to 17,Male,Undefined,Units,Percentage (%),,0.261765558889
2011,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.26876269921
2002,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.278603865174
2001,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.282616612755
2003,Public sector,,,16 to 17,Female,Undefined,Units,Percentage (%),,0.29026058644200003
2016,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.301637303287
2009,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.30245146610999996
2000,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.35448822842200006
2007,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.364229646496
2005,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.370234271352
2008,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.38561730916299997
2000,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,0.39736578650700005
2001,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.402553447177
2005,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.42385815946500005
2006,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.43159219836400003
2004,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.45662929591300006
2004,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.46543795975100005
2003,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.46822041049199997
2002,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.473900281977
2003,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.48411313814900003
2001,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,0.487535597147
2002,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.49468062092299997
2006,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.495057778089
2001,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.5191569537740001
2000,Public sector,,,16 to 17,,Undefined,Units,Percentage (%),,0.520876432115
2007,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.542709167694
2004,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,0.5623844114050001
2002,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,0.604393832085
2005,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,0.615717207781
2003,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,0.625374657007
2006,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,0.659074096552
2007,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,0.6592145903909999
2009,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.667197550082
2008,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.68956792656
2000,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,0.751854014929
2008,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,0.80272193151
2010,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.8093242950399999
2012,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.824765951562
2011,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.830461851436
2001,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,0.890089044324
2013,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,0.9528669527949999
2010,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,0.9898967115899999
2014,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,1.0124891087299999
2016,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,1.0142367675200001
2004,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,1.01901370732
2005,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,1.0395753672499999
2015,Public sector,,,65 and over,Male,Undefined,Units,Percentage (%),,1.05167220943
2009,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,1.06518807469
2002,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,1.07829411406
2003,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,1.0935950675
2016,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.10361839515
2015,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.13155830943
2006,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,1.15413187464
2014,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.15692039748
2011,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,1.15735182356
2016,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.16669109491
2013,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.1705472968100001
2012,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.17357451994
2015,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.19221255513
2000,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.20002584652
2007,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,1.20192375809
2011,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.20207514734
2014,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.2177315045200001
2012,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,1.22008542738
2010,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.22405618047
2001,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.2286481880700002
2013,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.23955369054
2002,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.24366475261
2012,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.24450298509
2003,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.2524594351
2009,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.25548811167
2006,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.2559293710500001
2000,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.25711575396
2011,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.2681728073799998
2007,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.26956579172
2004,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.2739038582
2005,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.27426958273
2008,,,,16 to 17,Female,Undefined,Units,Percentage (%),,1.2795692893000001
2010,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.28509240106
2009,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.29838851563
2001,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.29848559918
2003,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.3040317380600002
2004,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.31093449241
2005,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.3137195208499999
2002,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.31373049111
2006,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.3162396931
2008,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.3287946908200001
2007,,,,16 to 17,Male,Undefined,Units,Percentage (%),,1.33769467331
2016,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,1.44625932124
2013,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,1.4585752572600001
2015,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,1.4790328953999998
2008,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,1.4922898580700001
2014,Public sector,,,65 and over,Female,Undefined,Units,Percentage (%),,1.5628530621799999
2009,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,1.7323856247799998
2010,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,1.7992210066299998
2013,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,1.8156886960699998
2012,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,1.8492193096400003
2011,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,1.987813675
2012,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,2.0448513789400002
2011,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.10676863
2014,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.1790115095
2016,,,,16 to 17,,Undefined,Units,Percentage (%),,2.27030949006
2016,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.29001599662
2015,,,,16 to 17,,Undefined,Units,Percentage (%),,2.3237708645599997
2010,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.34911179403
2015,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.36883290414
2014,,,,16 to 17,,Undefined,Units,Percentage (%),,2.374651902
2013,,,,16 to 17,,Undefined,Units,Percentage (%),,2.4101009873500003
2013,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,2.41144221005
2007,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.41360741442
2001,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.4148995897
2012,,,,16 to 17,,Undefined,Units,Percentage (%),,2.41807750503
2008,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.43014484199
2005,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.43332039001
2000,,,,16 to 17,,Undefined,Units,Percentage (%),,2.45714160048
2006,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.46017026601
2016,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,2.4604960887700003
2009,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.4693854898299996
2004,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.4700319099400003
2011,,,,16 to 17,,Undefined,Units,Percentage (%),,2.47024795471
2002,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.47269750355
2010,,,,16 to 17,,Undefined,Units,Percentage (%),,2.50914858153
2001,,,,16 to 17,,Undefined,Units,Percentage (%),,2.52713378725
2000,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.52801809459
2015,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,2.53070510482
2009,,,,16 to 17,,Undefined,Units,Percentage (%),,2.5538766272999998
2003,,,,16 to 17,,Undefined,Units,Percentage (%),,2.55649117316
2002,,,,16 to 17,,Undefined,Units,Percentage (%),,2.5573952437200003
2006,,,,16 to 17,,Undefined,Units,Percentage (%),,2.57216906414
2014,Public sector,,,65 and over,,Undefined,Units,Percentage (%),,2.57534217091
2003,Public sector,,,18 to 24,Male,Undefined,Units,Percentage (%),,2.5816456612
2004,,,,16 to 17,,Undefined,Units,Percentage (%),,2.58483835061
2005,,,,16 to 17,,Undefined,Units,Percentage (%),,2.5879891035900005
2007,,,,16 to 17,,Undefined,Units,Percentage (%),,2.60726046503
2008,,,,16 to 17,,Undefined,Units,Percentage (%),,2.60836398012
2016,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.83654561946
2015,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.8438335633499996
2014,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.84921136592
2013,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.8542334191000003
2001,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.85696469962
2000,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.8579664815400005
2003,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.85885216044
2004,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.8591019063700003
2002,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.8594536199799996
2005,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.85985649909
2012,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.86262167995
2006,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.86568642213
2011,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.8668939606599997
2007,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.87297712824
2010,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.87579452569
2008,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.87777976407
2009,,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,2.8803710269800002
2011,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.32893027347
2013,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.3582532915499996
2012,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.37049484837
2010,Public sector,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,3.5686457846300006
2011,Public sector,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,3.6024445159199994
2009,Public sector,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,3.62758835435
2000,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.7064513963699994
2010,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.74302068025
2008,Public sector,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,3.7475016655599998
2006,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.76444523182
2012,Public sector,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,3.7655477934900006
2014,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.7849150224
2013,Public sector,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,3.7959464101699996
2009,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.79833045607
2017,Public sector,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,3.81804895871
2016,Public sector,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,3.82363702891
2016,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.8255147002699994
2014,Public sector,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,3.88016603501
2007,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.8935071353199993
2015,Public sector,Northern Ireland,,,,Undefined,Units,Percentage (%),N92000002,3.9036847865699995
2008,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.9322145297500004
2005,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,3.9741812128800005
2016,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.01664305236
2015,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.03105456833
2015,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.03275259384
2014,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.053934476459999
2001,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.05599093461
2013,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.0721540724
2012,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.0849364642
2011,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.1027653488
2010,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.1218776657300005
2009,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.13655781614
2004,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.1433236466
2008,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.15586418765
2000,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.17554475749
2007,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.1782186049000005
2003,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.18755149902
2006,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.19643445902
2000,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.207924234709999
2005,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.21617096216
2001,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.218106550340001
2004,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.23767568784
2001,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.256363776130001
2003,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.25989804728
2002,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.279577237869999
2002,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.2923000777
2002,Public sector,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.29276054862
2001,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.29700626339
2000,,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.31922391146
2017,Public sector,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.329557910119999
2016,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.33201264427
2015,Public sector,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.3414812112400005
2002,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.34710784146
2016,Public sector,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.37248444932
2003,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.382165118500001
2014,Public sector,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.40353726764
2015,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.4171287024699994
2013,Public sector,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.4314668498800005
2003,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.447717077119999
2004,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.45129907802
2014,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.46108188226
2012,Public sector,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.48117226103
2013,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.52387085857
2005,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.52557480909
2011,Public sector,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.53522032808
2004,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.53687654007
2016,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.54715230401
2005,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.57021565922
2006,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.580880087480001
2012,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.60067595918
2007,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.60884969318
2006,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.60968141042
2015,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.61139061915
2008,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.6304599467
2009,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.63860818562
2010,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.64157942988
2011,,,,18 to 24,Female,Undefined,Units,Percentage (%),,4.64341039275
2014,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.6479024208499995
2010,Public sector,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.6594982078900005
2007,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.66589719431
2009,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.66898057943
2008,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.67053352875
2013,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.68126571176
2009,Public sector,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.7018527168
2010,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.71051884197
2012,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.7366887669599995
2016,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.74218169513
2011,,,,18 to 24,Male,Undefined,Units,Percentage (%),,4.7465957453400005
2015,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.75976713512
2014,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.78667410399
2013,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.80833094691
2012,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.82546982554
2011,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.8411961448500005
2008,Public sector,England,North East,,,Undefined,Units,Percentage (%),E12000001,4.84676882079
2010,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.85977921797
2009,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.88089990175
2008,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.89434226045
2007,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.90271420435
2006,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.9084530082599995
2005,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.91499418108
2001,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.923166160219999
2002,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.92351161093
2003,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.926031909700001
2004,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.933117670480001
2000,,Wales,,,,Undefined,Units,Percentage (%),W92000004,4.93643105546
2013,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,5.173941987619999
2012,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,5.219714158
2011,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,5.43569890347
2016,Public sector,Wales,,,,Undefined,Units,Percentage (%),W92000004,5.56165386023
2015,Public sector,Wales,,,,Undefined,Units,Percentage (%),W92000004,5.58190441445
2017,Public sector,Wales,,,,Undefined,Units,Percentage (%),W92000004,5.590062111799999
2010,Public sector,Wales,,,,Undefined,Units,Percentage (%),W92000004,5.5945145706699995
2011,Public sector,Wales,,,,Undefined,Units,Percentage (%),W92000004,5.61273721454
2009,Public sector,Wales,,,,Undefined,Units,Percentage (%),W92000004,5.635995640669999
2008,Public sector,Wales,,,,Undefined,Units,Percentage (%),W92000004,5.82944703531
2014,Public sector,Wales,,,,Undefined,Units,Percentage (%),W92000004,5.883414546109999
2012,Public sector,Wales,,,,Undefined,Units,Percentage (%),W92000004,5.89538251832
2013,Public sector,Wales,,,,Undefined,Units,Percentage (%),W92000004,5.94297492271
2014,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,5.9639265319
2010,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.0921324742900005
2016,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.1155306968900005
2013,Public sector,England,East Midlands,,,Undefined,Units,Percentage (%),E12000004,6.16626588801
2012,Public sector,England,East Midlands,,,Undefined,Units,Percentage (%),E12000004,6.18504004089
2010,Public sector,England,East Midlands,,,Undefined,Units,Percentage (%),E12000004,6.20227520648
2009,Public sector,England,East Midlands,,,Undefined,Units,Percentage (%),E12000004,6.21205044372
2016,Public sector,England,East Midlands,,,Undefined,Units,Percentage (%),E12000004,6.22027076473
2015,Public sector,England,East Midlands,,,Undefined,Units,Percentage (%),E12000004,6.22035753375
2006,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.22461549783
2000,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.2344694909700005
2017,Public sector,England,East Midlands,,,Undefined,Units,Percentage (%),E12000004,6.26598465473
2009,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.2677159459
2008,Public sector,England,East Midlands,,,Undefined,Units,Percentage (%),E12000004,6.27914723518
2014,Public sector,England,East Midlands,,,Undefined,Units,Percentage (%),E12000004,6.2804547915499995
2007,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.3071145497500005
2011,Public sector,England,East Midlands,,,Undefined,Units,Percentage (%),E12000004,6.320360244450001
2008,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.36235937174
2015,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.40158549799
2005,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.40750160288
2001,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.47089052431
2007,,,,25 to 34,Male,Undefined,Units,Percentage (%),,6.53411846151
2006,,,,25 to 34,Male,Undefined,Units,Percentage (%),,6.56236967664
2008,,,,25 to 34,Male,Undefined,Units,Percentage (%),,6.562943134559999
2009,,,,25 to 34,Male,Undefined,Units,Percentage (%),,6.582104097289999
2000,,,,65 and over,Male,Undefined,Units,Percentage (%),,6.58489746258
2008,,,,25 to 34,Female,Undefined,Units,Percentage (%),,6.589169292359999
2007,,,,25 to 34,Female,Undefined,Units,Percentage (%),,6.5927690527
2009,,,,25 to 34,Female,Undefined,Units,Percentage (%),,6.60221155357
2010,,,,25 to 34,Male,Undefined,Units,Percentage (%),,6.60799067474
2005,,,,25 to 34,Male,Undefined,Units,Percentage (%),,6.60918139913
2004,Public sector,,,18 to 24,,Undefined,Units,Percentage (%),,6.613355556549999
2006,,,,25 to 34,Female,Undefined,Units,Percentage (%),,6.63546213728
2004,,,,25 to 34,Male,Undefined,Units,Percentage (%),,6.64541586436
2001,,,,65 and over,Male,Undefined,Units,Percentage (%),,6.64561929982
2010,,,,25 to 34,Female,Undefined,Units,Percentage (%),,6.651988825399999
2011,,,,25 to 34,Male,Undefined,Units,Percentage (%),,6.67276657105
2005,,,,25 to 34,Female,Undefined,Units,Percentage (%),,6.686548499700001
2012,,,,25 to 34,Male,Undefined,Units,Percentage (%),,6.689319508990001
