Year,Type of violence,Unit measure,Unit multiplier,Observation status,Value
2008/09,Acquaintance violence,Percentage (%),Units,Normal value,39.89297949353563
2008/09,Assault with minor injury,Percentage (%),Units,Normal value,37.106640983446106
2008/09,Domestic violence,Percentage (%),Units,Normal value,49.14633696430236
2008/09,Stranger violence,Percentage (%),Units,Normal value,45.18895485996673
2008/09,Violence without injury,Percentage (%),Units,Normal value,34.40124949182007
2008/09,Wounding,Percentage (%),Units,Normal value,64.56894785313007
2008/09,,Percentage (%),Units,Normal value,43.82221391137489
2009/10,Acquaintance violence,Percentage (%),Units,Normal value,45.84573514791697
2009/10,Assault with minor injury,Percentage (%),Units,Normal value,40.83641944600151
2009/10,Domestic violence,Percentage (%),Units,Normal value,42.84873542349965
2009/10,Stranger violence,Percentage (%),Units,Normal value,47.707326850477
2009/10,Violence without injury,Percentage (%),Units,Normal value,41.63976011899362
2009/10,Wounding,Percentage (%),Units,Normal value,59.70745703500185
2009/10,,Percentage (%),Units,Normal value,46.205015707830015
2010/11,Acquaintance violence,Percentage (%),Units,Normal value,38.35534738794804
2010/11,Assault with minor injury,Percentage (%),Units,Normal value,34.59317986276471
2010/11,Domestic violence,Percentage (%),Units,Normal value,41.56839652257553
2010/11,Stranger violence,Percentage (%),Units,Normal value,43.32006691160316
2010/11,Violence without injury,Percentage (%),Units,Normal value,34.94808027077412
2010/11,Wounding,Percentage (%),Units,Normal value,58.09085903302966
2010/11,,Percentage (%),Units,Normal value,40.87926067942063
2011/12,Acquaintance violence,Percentage (%),Units,Normal value,45.133433676977134
2011/12,Assault with minor injury,Percentage (%),Units,Normal value,32.99616642910482
2011/12,Domestic violence,Percentage (%),Units,Normal value,39.18161742496868
2011/12,Stranger violence,Percentage (%),Units,Normal value,40.63712502488471
2011/12,Violence without injury,Percentage (%),Units,Normal value,35.13964179915451
2011/12,Wounding,Percentage (%),Units,Normal value,67.16626942138593
2011/12,,Percentage (%),Units,Normal value,42.42954393865437
2012/13,Acquaintance violence,Percentage (%),Units,Normal value,44.54790975636906
2012/13,Assault with minor injury,Percentage (%),Units,Normal value,39.61271349008938
2012/13,Domestic violence,Percentage (%),Units,Normal value,49.03410378502919
2012/13,Stranger violence,Percentage (%),Units,Normal value,40.19189768029515
2012/13,Violence without injury,Percentage (%),Units,Normal value,35.86607724394597
2012/13,Wounding,Percentage (%),Units,Normal value,56.03646847210028
2012/13,,Percentage (%),Units,Normal value,44.07574452427797
2013/14,Acquaintance violence,Percentage (%),Units,Normal value,54.37146119796636
2013/14,Assault with minor injury,Percentage (%),Units,Normal value,50.77600253541641
2013/14,Domestic violence,Percentage (%),Units,Normal value,55.14470592625986
2013/14,Stranger violence,Percentage (%),Units,Normal value,48.122421130157576
2013/14,Violence without injury,Percentage (%),Units,Normal value,54.09013253464945
2013/14,Wounding,Percentage (%),Units,Normal value,58.85166368284447
2013/14,,Percentage (%),Units,Normal value,52.43987337398034
2014/15,Acquaintance violence,Percentage (%),Units,Normal value,47.00668502516493
2014/15,Assault with minor injury,Percentage (%),Units,Normal value,46.98983136690153
2014/15,Domestic violence,Percentage (%),Units,Normal value,54.54760436190224
2014/15,Stranger violence,Percentage (%),Units,Normal value,55.60472203551866
2014/15,Violence without injury,Percentage (%),Units,Normal value,48.54603656732001
2014/15,Wounding,Percentage (%),Units,Normal value,70.8188477528176
2014/15,,Percentage (%),Units,Normal value,52.91097909245056
2015/16,Acquaintance violence,Percentage (%),Units,Normal value,46.2306580590958
2015/16,Assault with minor injury,Percentage (%),Units,Normal value,49.00638650723492
2015/16,Domestic violence,Percentage (%),Units,Normal value,52.23918796739929
2015/16,Stranger violence,Percentage (%),Units,Normal value,59.87208191074651
2015/16,Violence without injury,Percentage (%),Units,Normal value,49.35597178581628
2015/16,Wounding,Percentage (%),Units,Normal value,65.23580927307339
2015/16,,Percentage (%),Units,Normal value,52.68114974432744
2016/17,Acquaintance violence,Percentage (%),Units,Normal value,42.09236467921027
2016/17,Assault with minor injury,Percentage (%),Units,Normal value,40.26020659699539
2016/17,Domestic violence,Percentage (%),Units,Normal value,39.33174139692712
2016/17,Stranger violence,Percentage (%),Units,Normal value,42.61045800591107
2016/17,Violence without injury,Percentage (%),Units,Normal value,43.26310680832675
2016/17,Wounding,Percentage (%),Units,Normal value,46.03191716636335
2016/17,,Percentage (%),Units,Normal value,41.78909874258952
2017/18,Acquaintance violence,Percentage (%),Units,Normal value,41.65834787998609
2017/18,Assault with minor injury,Percentage (%),Units,Normal value,34.2024215057827
2017/18,Domestic violence,Percentage (%),Units,Normal value,26.61154419050676
2017/18,Stranger violence,Percentage (%),Units,Normal value,39.370501313770255
2017/18,Violence without injury,Percentage (%),Units,Normal value,36.55329181690543
2017/18,Wounding,Percentage (%),Units,Normal value,57.33423935295981
2017/18,,Percentage (%),Units,Normal value,38.12099539755057
2018/19,Acquaintance violence,Percentage (%),Units,Normal value,44.63166809541151
2018/19,Assault with minor injury,Percentage (%),Units,Normal value,39.167639676951744
2018/19,Domestic violence,Percentage (%),Units,Normal value,40.149650370232415
2018/19,Stranger violence,Percentage (%),Units,Normal value,45.65845692463486
2018/19,Violence without injury,Percentage (%),Units,Normal value,36.1582647451503
2018/19,Wounding,Percentage (%),Units,Normal value,59.98260085844266
2018/19,,Percentage (%),Units,Normal value,44.28668947857067
2019/20,Acquaintance violence,Percentage (%),Units,Normal value,39.6897569410919
2019/20,Assault with minor injury,Percentage (%),Units,Normal value,42.59551462793224
2019/20,Domestic violence,Percentage (%),Units,Normal value,57.748556405499215
2019/20,Stranger violence,Percentage (%),Units,Normal value,56.32022492899288
2019/20,Violence without injury,Percentage (%),Units,Normal value,36.95293323634743
2019/20,Wounding,Percentage (%),Units,Normal value,67.52723207669527
2019/20,,Percentage (%),Units,Normal value,49.48654820387205
2020/21,Acquaintance violence,Percentage (%),Units,Normal value,
2020/21,Assault with minor injury,Percentage (%),Units,Normal value,
2020/21,Domestic violence,Percentage (%),Units,Normal value,
2020/21,Stranger violence,Percentage (%),Units,Normal value,
2020/21,Violence without injury,Percentage (%),Units,Normal value,
2020/21,Wounding,Percentage (%),Units,Normal value,
2020/21,,Percentage (%),Units,Normal value,
2021/22,Acquaintance violence,Percentage (%),Units,Normal value,
2021/22,Assault with minor injury,Percentage (%),Units,Normal value,
2021/22,Domestic violence,Percentage (%),Units,Normal value,
2021/22,Stranger violence,Percentage (%),Units,Normal value,
2021/22,Violence without injury,Percentage (%),Units,Normal value,
2021/22,Wounding,Percentage (%),Units,Normal value,
2021/22,,Percentage (%),Units,Normal value,
2022/23,Acquaintance violence,Percentage (%),Units,Normal value,49.6673790582477
2022/23,Assault with minor injury,Percentage (%),Units,Normal value,41.99111672589406
2022/23,Domestic violence,Percentage (%),Units,Normal value,49.96423019235402
2022/23,Stranger violence,Percentage (%),Units,Normal value,35.67129506231292
2022/23,Violence without injury,Percentage (%),Units,Normal value,37.622328944670855
2022/23,Wounding,Percentage (%),Units,Normal value,50.74292767602707
2022/23,,Percentage (%),Units,Normal value,43.38051206313863
