Year,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,Units,GeoCode,Value
2013,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.1979901361314179
2014,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.1971978189921219
2015,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2016,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2607497337093344
2017,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2018,Wales,Male,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2001,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.3329868050648625
2002,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.3316712183013525
2003,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2004,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2633587057499765
2005,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2006,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.1960774061312097
2007,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2601179374728501
2008,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2009,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.3868412094203571
2010,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.4503119375121424
2011,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2012,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2013,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.1914260281970539
2014,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.2546601210526885
2015,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2016,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2017,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2018,Wales,Female,,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2001,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2002,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2003,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2004,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0056441879106687
2005,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2006,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2007,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2008,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0054702879486639
2009,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2010,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2011,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2012,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0070711611249623
2013,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2014,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2015,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0070711611249623
2016,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0
2017,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0051826528386348
2018,,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0034257593499635
2001,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2002,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2003,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2004,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0059767385336271
2005,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2006,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2007,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2008,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0057897338870403
2009,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2010,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2011,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2012,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0074775119902372
2013,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2014,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2015,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0054758188115074
2016,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0
2017,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0143834627575291
2018,England,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0071457692990525
2001,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2002,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2003,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2004,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2005,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2006,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2007,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2008,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2009,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2010,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2011,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2012,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2013,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2014,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2015,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2016,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2017,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2018,Wales,,Exposure to excessive natural heat,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.0
2001,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2406418123399517
2002,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1729967541436477
2003,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1683589643146717
2004,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1618000534391711
2005,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1455893618823868
2006,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1594043349156252
2007,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1820274816633973
2008,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1932835075194578
2009,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2100108059611856
2010,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.2316293546790018
2011,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1353013098751245
2012,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1308164808118032
2013,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1580382771868112
2014,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.1114814501660324
2015,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0552816302787716
2016,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0685151869992706
2017,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0919233505652732
2018,,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",,0.0862713390254035
2001,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2386260993130278
2002,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.16304588390968
2003,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1742595875371706
2004,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1573874480521809
2005,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.152155768618422
2006,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1628562681984521
2007,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1790541902251865
2008,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.198780863455051
2009,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2030792134803369
2010,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.2184548698453484
2011,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1318089465473108
2012,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1364645938218291
2013,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1559430538294815
2014,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.1067813169074702
2015,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0529329151779056
2016,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0633277078425775
2017,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0934925079239395
2018,England,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",E92000001,0.0839627892638675
2001,Wales,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.274892173544927
2002,Wales,,Exposure to excessive natural cold,Undefined,Units,"Rate per 100,000 population","Rate per 100,000 population",W92000004,0.3421287800098259
