Year,Series,Age,Country,Country of birth,Death classification,Deprivation quintile,Ethnicity,Observation status,Unit multiplier,Units,Unit measure,GeoCode,Value
2014-16,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,4.26
2003-05,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.19
2004-06,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.83
2005-07,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.26
2006-08,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.15
2007-09,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.09
2008-10,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.85
2009-11,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.85
2010-12,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.41
2011-13,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.52
2012-14,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.08
2013-15,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,4.94
2014-16,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.52
2009-11,Maternal mortality rate,19 and under,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,10.36
2009-11,Maternal mortality rate,20 to 24,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.98
2009-11,Maternal mortality rate,25 to 29,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.05
2009-11,Maternal mortality rate,30 to 34,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,10.09
2009-11,Maternal mortality rate,35 to 39,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,15.53
2009-11,Maternal mortality rate,40 and over,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,26.3
2010-12,Maternal mortality rate,19 and under,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.03
2010-12,Maternal mortality rate,20 to 24,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.72
2010-12,Maternal mortality rate,25 to 29,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.01
2010-12,Maternal mortality rate,30 to 34,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.99
2010-12,Maternal mortality rate,35 to 39,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,13.16
2010-12,Maternal mortality rate,40 and over,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,25.48
2011-13,Maternal mortality rate,19 and under,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.2
2011-13,Maternal mortality rate,20 to 24,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.4
2011-13,Maternal mortality rate,25 to 29,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.6
2011-13,Maternal mortality rate,30 to 34,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.0
2011-13,Maternal mortality rate,35 to 39,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,13.6
2011-13,Maternal mortality rate,40 and over,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,19.9
2012-14,Maternal mortality rate,19 and under,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.0
2012-14,Maternal mortality rate,20 to 24,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.95
2012-14,Maternal mortality rate,25 to 29,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.14
2012-14,Maternal mortality rate,30 to 34,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.88
2012-14,Maternal mortality rate,35 to 39,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,13.62
2012-14,Maternal mortality rate,40 and over,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,17.88
2013-15,Maternal mortality rate,19 and under,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.0
2013-15,Maternal mortality rate,20 to 24,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.37
2013-15,Maternal mortality rate,25 to 29,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,6.9
2013-15,Maternal mortality rate,30 to 34,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.72
2013-15,Maternal mortality rate,35 to 39,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,13.39
2013-15,Maternal mortality rate,40 and over,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,20.17
2014-16,Maternal mortality rate,19 and under,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,11.1
2014-16,Maternal mortality rate,20 to 24,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.26
2014-16,Maternal mortality rate,25 to 29,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.14
2014-16,Maternal mortality rate,30 to 34,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.32
2014-16,Maternal mortality rate,35 to 39,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,14.16
2014-16,Maternal mortality rate,40 and over,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,22.17
2009-11,Maternal mortality rate,,England,,,Quintile 1 (least deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,7.52
2009-11,Maternal mortality rate,,England,,,Quintile 2,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,9.29
2009-11,Maternal mortality rate,,England,,,Quintile 3,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,10.23
2009-11,Maternal mortality rate,,England,,,Quintile 4,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,12.64
2009-11,Maternal mortality rate,,England,,,Quintile 5 (most deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,13.07
2010-12,Maternal mortality rate,,England,,,Quintile 1 (least deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,9.14
2010-12,Maternal mortality rate,,England,,,Quintile 2,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,8.25
2010-12,Maternal mortality rate,,England,,,Quintile 3,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,8.76
2010-12,Maternal mortality rate,,England,,,Quintile 4,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,10.28
2010-12,Maternal mortality rate,,England,,,Quintile 5 (most deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,12.22
2011-13,Maternal mortality rate,,England,,,Quintile 1 (least deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,7.6
2011-13,Maternal mortality rate,,England,,,Quintile 2,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,6.8
2011-13,Maternal mortality rate,,England,,,Quintile 3,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,5.8
2011-13,Maternal mortality rate,,England,,,Quintile 4,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,10.2
2011-13,Maternal mortality rate,,England,,,Quintile 5 (most deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,10.9
2012-14,Maternal mortality rate,,England,,,Quintile 1 (least deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,5.93
2012-14,Maternal mortality rate,,England,,,Quintile 2,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,5.88
2012-14,Maternal mortality rate,,England,,,Quintile 3,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,5.9
2012-14,Maternal mortality rate,,England,,,Quintile 4,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,9.22
2012-14,Maternal mortality rate,,England,,,Quintile 5 (most deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,9.59
2013-15,Maternal mortality rate,,England,,,Quintile 1 (least deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,3.92
2013-15,Maternal mortality rate,,England,,,Quintile 2,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,4.26
2013-15,Maternal mortality rate,,England,,,Quintile 3,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,7.37
2013-15,Maternal mortality rate,,England,,,Quintile 4,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,10.51
2013-15,Maternal mortality rate,,England,,,Quintile 5 (most deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,9.23
2014-16,Maternal mortality rate,,England,,,Quintile 1 (least deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,3.26
2014-16,Maternal mortality rate,,England,,,Quintile 2,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,5.54
2014-16,Maternal mortality rate,,England,,,Quintile 3,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,10.03
2014-16,Maternal mortality rate,,England,,,Quintile 4,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,11.84
2014-16,Maternal mortality rate,,England,,,Quintile 5 (most deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,10.58
2012-14,Maternal mortality rate,,England,,,,White (inc. not known),Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,7.42
2012-14,Maternal mortality rate,,England,,,,Mixed/multiple ethnic groups,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,3.32
2012-14,Maternal mortality rate,,England,,,,Asian,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,10.1
2012-14,Maternal mortality rate,,England,,,,Black,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,31.13
2012-14,Maternal mortality rate,,England,,,,Chinese or other,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,4.11
2013-15,Maternal mortality rate,,England,,,,White (inc. not known),Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,6.58
2013-15,Maternal mortality rate,,England,,,,Asian,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,10.79
2013-15,Maternal mortality rate,,England,,,,Black,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,28.17
2013-15,Maternal mortality rate,,England,,,,Chinese or other,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,4.07
2013-15,Maternal mortality rate,,England,,,,Mixed/multiple ethnic groups,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,9.92
2014-16,Maternal mortality rate,,England,,,,White (inc. not known),Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,8.04
2014-16,Maternal mortality rate,,England,,,,Asian,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,14.52
2014-16,Maternal mortality rate,,England,,,,Black,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,39.66
2014-16,Maternal mortality rate,,England,,,,Chinese or other,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,5.32
2014-16,Maternal mortality rate,,England,,,,Mixed/multiple ethnic groups,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,16.32
2009-11,Maternal mortality rate,,,Born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.96
2009-11,Maternal mortality rate,,,Not born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,12.11
2010-12,Maternal mortality rate,,,Born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.41
2010-12,Maternal mortality rate,,,Not born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,11.46
2011-13,Maternal mortality rate,,,Born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.9
2011-13,Maternal mortality rate,,,Not born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.3
2012-14,Maternal mortality rate,,,Born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.87
2012-14,Maternal mortality rate,,,Not born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.85
2013-15,Maternal mortality rate,,,Born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.78
2013-15,Maternal mortality rate,,,Not born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.23
2014-16,Maternal mortality rate,,,Born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.38
2014-16,Maternal mortality rate,,,Not born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.4
2015-17,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.19
2015-17,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,3.82
2015-17,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.35
2015-17,Maternal mortality rate,,,Born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.97
2015-17,Maternal mortality rate,,,Not born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.85
2015-17,Maternal mortality rate,19 and under,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,12.03
2015-17,Maternal mortality rate,20 to 24,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.58
2015-17,Maternal mortality rate,25 to 29,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.56
2015-17,Maternal mortality rate,30 to 34,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.07
2015-17,Maternal mortality rate,35 to 39,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,12.81
2015-17,Maternal mortality rate,40 and over,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,24.23
2015-17,Maternal mortality rate,,England,,,Quintile 1 (least deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,5.19
2015-17,Maternal mortality rate,,England,,,Quintile 2,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,5.19
2015-17,Maternal mortality rate,,England,,,Quintile 3,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,7.22
2015-17,Maternal mortality rate,,England,,,Quintile 4,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,10.52
2015-17,Maternal mortality rate,,England,,,Quintile 5 (most deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,11.58
2015-17,Maternal mortality rate,,England,,,,White (inc. not known),Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,7.22
2015-17,Maternal mortality rate,,England,,,,Asian,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,12.74
2015-17,Maternal mortality rate,,England,,,,Black,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,38.03
2015-17,Maternal mortality rate,,England,,,,Chinese or other,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,9.28
2015-17,Maternal mortality rate,,England,,,,Mixed/multiple ethnic groups,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,22.51
2016-18,Maternal mortality rate,,,,Direct,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,4.12
2016-18,Maternal mortality rate,,,,Indirect,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.59
2016-18,Maternal mortality rate,,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.71
2016-18,Maternal mortality rate,19 and under,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,11.56
2016-18,Maternal mortality rate,20 to 24,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,5.91
2016-18,Maternal mortality rate,25 to 29,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,9.14
2016-18,Maternal mortality rate,30 to 34,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,7.27
2016-18,Maternal mortality rate,35 to 39,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,13.41
2016-18,Maternal mortality rate,40 and over,,,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,27.48
2016-18,Maternal mortality rate,,England,,,Quintile 1 (least deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,5.7
2016-18,Maternal mortality rate,,England,,,Quintile 2,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,6.3
2016-18,Maternal mortality rate,,England,,,Quintile 3,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,6.82
2016-18,Maternal mortality rate,,England,,,Quintile 4,,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,8.41
2016-18,Maternal mortality rate,,England,,,Quintile 5 (most deprived),,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,15.27
2016-18,Maternal mortality rate,,England,,,,White (inc. not known),Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,7.87
2016-18,Maternal mortality rate,,England,,,,Asian,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,14.65
2016-18,Maternal mortality rate,,England,,,,Black,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,34.27
2016-18,Maternal mortality rate,,England,,,,Chinese or other,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,7.97
2016-18,Maternal mortality rate,,England,,,,Mixed/multiple ethnic groups,Definition differs,Units,"Rate per 100,000 maternities",Units,E92000001,25.14
2016-18,Maternal mortality rate,,,Born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.83
2016-18,Maternal mortality rate,,,Not born in UK,,,,Definition differs,Units,"Rate per 100,000 maternities",Units,,8.27
1985-87,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,7.67
1988-90,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,7.24
1991-93,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,6.48
1994-96,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,7.19
1997-99,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,6.03
2000-02,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,6.81
2003-05,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,7.05
2006-08,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,6.76
2009-11,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,5.57
2012-14,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,4.65
2015-17,Maternal mortality ratio,,,,,,,Normal value,Units,"Rate per 100,000 live births",Units,,4.1
2017-19,Maternal mortality rate,,,,Direct,,,Normal value,Units,"Rate per 100,000 maternities",Units,,3.59
2017-19,Maternal mortality rate,,,,Indirect,,,Normal value,Units,"Rate per 100,000 maternities",Units,,5.2
2017-19,Maternal mortality rate,,,,,,,Normal value,Units,"Rate per 100,000 maternities",Units,,8.79
2017-19,Maternal mortality rate,19 and under,,,,,,Normal value,Units,"Rate per 100,000 maternities",Units,,14.1
2017-19,Maternal mortality rate,20 to 24,,,,,,Normal value,Units,"Rate per 100,000 maternities",Units,,6.25
2017-19,Maternal mortality rate,25 to 29,,,,,,Normal value,Units,"Rate per 100,000 maternities",Units,,8.51
2017-19,Maternal mortality rate,30 to 34,,,,,,Normal value,Units,"Rate per 100,000 maternities",Units,,6.53
2017-19,Maternal mortality rate,35 to 39,,,,,,Normal value,Units,"Rate per 100,000 maternities",Units,,10.8
2017-19,Maternal mortality rate,40 and over,,,,,,Normal value,Units,"Rate per 100,000 maternities",Units,,23.26
2017-19,Maternal mortality rate,,England,,,Quintile 1 (least deprived),,Normal value,Units,"Rate per 100,000 maternities",Units,E92000001,7.73
2017-19,Maternal mortality rate,,England,,,Quintile 2,,Normal value,Units,"Rate per 100,000 maternities",Units,E92000001,5.74
2017-19,Maternal mortality rate,,England,,,Quintile 3,,Normal value,Units,"Rate per 100,000 maternities",Units,E92000001,5.44
2017-19,Maternal mortality rate,,England,,,Quintile 4,,Normal value,Units,"Rate per 100,000 maternities",Units,E92000001,6.36
2017-19,Maternal mortality rate,,England,,,Quintile 5 (most deprived),,Normal value,Units,"Rate per 100,000 maternities",Units,E92000001,14.12
2017-19,Maternal mortality rate,,England,,,,White (inc. not known),Normal value,Units,"Rate per 100,000 maternities",Units,E92000001,7.04
2017-19,Maternal mortality rate,,England,,,,Asian,Normal value,Units,"Rate per 100,000 maternities",Units,E92000001,11.74
2017-19,Maternal mortality rate,,England,,,,Black,Normal value,Units,"Rate per 100,000 maternities",Units,E92000001,31.61
2017-19,Maternal mortality rate,,England,,,,Chinese or other,Normal value,Units,"Rate per 100,000 maternities",Units,E92000001,9.37
2017-19,Maternal mortality rate,,England,,,,Mixed/multiple ethnic groups,Normal value,Units,"Rate per 100,000 maternities",Units,E92000001,15.41
2017-19,Maternal mortality rate,,,Born in UK,,,,Normal value,Units,"Rate per 100,000 maternities",Units,,8.66
2017-19,Maternal mortality rate,,,Not born in UK,,,,Normal value,Units,"Rate per 100,000 maternities",Units,,6.93
