Year,Series,Sex,Age,Employment status,Number of hours per week providing care,Net weekly income (£),Units,Unit multiplier,Observation status,Value
2015/16,Proportion of informal carers by characteristics,,,,,£100 - £149,Percentage (%),Units,Normal value,8.0
2015/16,Proportion of informal carers by characteristics,Female,,,,£100 - £149,Percentage (%),Units,Normal value,10.0
2015/16,Proportion of informal carers by characteristics,Male,,,,£100 - £149,Percentage (%),Units,Normal value,6.0
2014/15,Proportion of informal carers by characteristics,,,,,£100 - £149,Percentage (%),Units,Normal value,9.0
2014/15,Proportion of informal carers by characteristics,Female,,,,£100 - £149,Percentage (%),Units,Normal value,11.0
2014/15,Proportion of informal carers by characteristics,Male,,,,£100 - £149,Percentage (%),Units,Normal value,5.0
2013/14,Proportion of informal carers by characteristics,,,,,£100 - £149,Percentage (%),Units,Normal value,9.0
2013/14,Proportion of informal carers by characteristics,Female,,,,£100 - £149,Percentage (%),Units,Normal value,11.0
2013/14,Proportion of informal carers by characteristics,Male,,,,£100 - £149,Percentage (%),Units,Normal value,6.0
2020/21,Proportion of informal carers by characteristics,,,,,£150 - £199,Percentage (%),Units,Normal value,9.0
2020/21,Proportion of informal carers by characteristics,Female,,,,£150 - £199,Percentage (%),Units,Normal value,11.0
2020/21,Proportion of informal carers by characteristics,Male,,,,£150 - £199,Percentage (%),Units,Normal value,6.0
2019/20,Proportion of informal carers by characteristics,,,,,£150 - £199,Percentage (%),Units,Normal value,9.0
2019/20,Proportion of informal carers by characteristics,Female,,,,£150 - £199,Percentage (%),Units,Normal value,12.0
2019/20,Proportion of informal carers by characteristics,Male,,,,£150 - £199,Percentage (%),Units,Normal value,6.0
2018/19,Proportion of informal carers by characteristics,,,,,£150 - £199,Percentage (%),Units,Normal value,9.0
2018/19,Proportion of informal carers by characteristics,Female,,,,£150 - £199,Percentage (%),Units,Normal value,11.0
2018/19,Proportion of informal carers by characteristics,Male,,,,£150 - £199,Percentage (%),Units,Normal value,6.0
2017/18,Proportion of informal carers by characteristics,,,,,£150 - £199,Percentage (%),Units,Normal value,10.0
2017/18,Proportion of informal carers by characteristics,Female,,,,£150 - £199,Percentage (%),Units,Normal value,12.0
2017/18,Proportion of informal carers by characteristics,Male,,,,£150 - £199,Percentage (%),Units,Normal value,8.0
2016/17,Proportion of informal carers by characteristics,,,,,£150 - £199,Percentage (%),Units,Normal value,11.0
2016/17,Proportion of informal carers by characteristics,Female,,,,£150 - £199,Percentage (%),Units,Normal value,13.0
2016/17,Proportion of informal carers by characteristics,Male,,,,£150 - £199,Percentage (%),Units,Normal value,9.0
2015/16,Proportion of informal carers by characteristics,,,,,£150 - £199,Percentage (%),Units,Normal value,10.0
2015/16,Proportion of informal carers by characteristics,Female,,,,£150 - £199,Percentage (%),Units,Normal value,10.0
2015/16,Proportion of informal carers by characteristics,Male,,,,£150 - £199,Percentage (%),Units,Normal value,9.0
2014/15,Proportion of informal carers by characteristics,,,,,£150 - £199,Percentage (%),Units,Normal value,10.0
2014/15,Proportion of informal carers by characteristics,Female,,,,£150 - £199,Percentage (%),Units,Normal value,12.0
2014/15,Proportion of informal carers by characteristics,Male,,,,£150 - £199,Percentage (%),Units,Normal value,7.0
2013/14,Proportion of informal carers by characteristics,,,,,£150 - £199,Percentage (%),Units,Normal value,12.0
2013/14,Proportion of informal carers by characteristics,Female,,,,£150 - £199,Percentage (%),Units,Normal value,14.0
2013/14,Proportion of informal carers by characteristics,Male,,,,£150 - £199,Percentage (%),Units,Normal value,8.0
2020/21,Proportion of informal carers by characteristics,,,,,£200 - £249,Percentage (%),Units,Normal value,8.0
2020/21,Proportion of informal carers by characteristics,Female,,,,£200 - £249,Percentage (%),Units,Normal value,8.0
2020/21,Proportion of informal carers by characteristics,Male,,,,£200 - £249,Percentage (%),Units,Normal value,9.0
2019/20,Proportion of informal carers by characteristics,,,,,£200 - £249,Percentage (%),Units,Normal value,10.0
2019/20,Proportion of informal carers by characteristics,Female,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2019/20,Proportion of informal carers by characteristics,Male,,,,£200 - £249,Percentage (%),Units,Normal value,8.0
2018/19,Proportion of informal carers by characteristics,,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2018/19,Proportion of informal carers by characteristics,Female,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2018/19,Proportion of informal carers by characteristics,Male,,,,£200 - £249,Percentage (%),Units,Normal value,9.0
2017/18,Proportion of informal carers by characteristics,,,,,£200 - £249,Percentage (%),Units,Normal value,10.0
2017/18,Proportion of informal carers by characteristics,Female,,,,£200 - £249,Percentage (%),Units,Normal value,12.0
2017/18,Proportion of informal carers by characteristics,Male,,,,£200 - £249,Percentage (%),Units,Normal value,7.0
2016/17,Proportion of informal carers by characteristics,,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2016/17,Proportion of informal carers by characteristics,Female,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2016/17,Proportion of informal carers by characteristics,Male,,,,£200 - £249,Percentage (%),Units,Normal value,10.0
2015/16,Proportion of informal carers by characteristics,,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2015/16,Proportion of informal carers by characteristics,Female,,,,£200 - £249,Percentage (%),Units,Normal value,12.0
2015/16,Proportion of informal carers by characteristics,Male,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2014/15,Proportion of informal carers by characteristics,,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2014/15,Proportion of informal carers by characteristics,Female,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2014/15,Proportion of informal carers by characteristics,Male,,,,£200 - £249,Percentage (%),Units,Normal value,11.0
2013/14,Proportion of informal carers by characteristics,,,,,£200 - £249,Percentage (%),Units,Normal value,12.0
2013/14,Proportion of informal carers by characteristics,Female,,,,£200 - £249,Percentage (%),Units,Normal value,12.0
2013/14,Proportion of informal carers by characteristics,Male,,,,£200 - £249,Percentage (%),Units,Normal value,12.0
2020/21,Proportion of informal carers by characteristics,,,,,£250 - £299,Percentage (%),Units,Normal value,9.0
2020/21,Proportion of informal carers by characteristics,Female,,,,£250 - £299,Percentage (%),Units,Normal value,10.0
2020/21,Proportion of informal carers by characteristics,Male,,,,£250 - £299,Percentage (%),Units,Normal value,7.0
2019/20,Proportion of informal carers by characteristics,,,,,£250 - £299,Percentage (%),Units,Normal value,9.0
2019/20,Proportion of informal carers by characteristics,Female,,,,£250 - £299,Percentage (%),Units,Normal value,9.0
2019/20,Proportion of informal carers by characteristics,Male,,,,£250 - £299,Percentage (%),Units,Normal value,8.0
2018/19,Proportion of informal carers by characteristics,,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2018/19,Proportion of informal carers by characteristics,Female,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2018/19,Proportion of informal carers by characteristics,Male,,,,£250 - £299,Percentage (%),Units,Normal value,12.0
2017/18,Proportion of informal carers by characteristics,,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2017/18,Proportion of informal carers by characteristics,Female,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2017/18,Proportion of informal carers by characteristics,Male,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2016/17,Proportion of informal carers by characteristics,,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2016/17,Proportion of informal carers by characteristics,Female,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2016/17,Proportion of informal carers by characteristics,Male,,,,£250 - £299,Percentage (%),Units,Normal value,10.0
2015/16,Proportion of informal carers by characteristics,,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2015/16,Proportion of informal carers by characteristics,Female,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2015/16,Proportion of informal carers by characteristics,Male,,,,£250 - £299,Percentage (%),Units,Normal value,10.0
2014/15,Proportion of informal carers by characteristics,,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2014/15,Proportion of informal carers by characteristics,Female,,,,£250 - £299,Percentage (%),Units,Normal value,10.0
2014/15,Proportion of informal carers by characteristics,Male,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2013/14,Proportion of informal carers by characteristics,,,,,£250 - £299,Percentage (%),Units,Normal value,10.0
2013/14,Proportion of informal carers by characteristics,Female,,,,£250 - £299,Percentage (%),Units,Normal value,9.0
2013/14,Proportion of informal carers by characteristics,Male,,,,£250 - £299,Percentage (%),Units,Normal value,11.0
2020/21,Proportion of informal carers by characteristics,,,,,£300 - £399,Percentage (%),Units,Normal value,18.0
2020/21,Proportion of informal carers by characteristics,Female,,,,£300 - £399,Percentage (%),Units,Normal value,20.0
2020/21,Proportion of informal carers by characteristics,Male,,,,£300 - £399,Percentage (%),Units,Normal value,15.0
2019/20,Proportion of informal carers by characteristics,,,,,£300 - £399,Percentage (%),Units,Normal value,16.0
2019/20,Proportion of informal carers by characteristics,Female,,,,£300 - £399,Percentage (%),Units,Normal value,15.0
2019/20,Proportion of informal carers by characteristics,Male,,,,£300 - £399,Percentage (%),Units,Normal value,18.0
2018/19,Proportion of informal carers by characteristics,,,,,£300 - £399,Percentage (%),Units,Normal value,17.0
2018/19,Proportion of informal carers by characteristics,Female,,,,£300 - £399,Percentage (%),Units,Normal value,16.0
2018/19,Proportion of informal carers by characteristics,Male,,,,£300 - £399,Percentage (%),Units,Normal value,20.0
2017/18,Proportion of informal carers by characteristics,,,,,£300 - £399,Percentage (%),Units,Normal value,16.0
2017/18,Proportion of informal carers by characteristics,Female,,,,£300 - £399,Percentage (%),Units,Normal value,15.0
2017/18,Proportion of informal carers by characteristics,Male,,,,£300 - £399,Percentage (%),Units,Normal value,19.0
2016/17,Proportion of informal carers by characteristics,,,,,£300 or more,Percentage (%),Units,Normal value,44.0
2016/17,Proportion of informal carers by characteristics,Female,,,,£300 or more,Percentage (%),Units,Normal value,38.0
2016/17,Proportion of informal carers by characteristics,Male,,,,£300 or more,Percentage (%),Units,Normal value,53.0
2015/16,Proportion of informal carers by characteristics,,,,,£300 or more,Percentage (%),Units,Normal value,44.0
2015/16,Proportion of informal carers by characteristics,Female,,,,£300 or more,Percentage (%),Units,Normal value,39.0
2015/16,Proportion of informal carers by characteristics,Male,,,,£300 or more,Percentage (%),Units,Normal value,53.0
2014/15,Proportion of informal carers by characteristics,,,,,£300 or more,Percentage (%),Units,Normal value,44.0
2014/15,Proportion of informal carers by characteristics,Female,,,,£300 or more,Percentage (%),Units,Normal value,37.0
2014/15,Proportion of informal carers by characteristics,Male,,,,£300 or more,Percentage (%),Units,Normal value,54.0
2013/14,Proportion of informal carers by characteristics,,,,,£300 or more,Percentage (%),Units,Normal value,39.0
2013/14,Proportion of informal carers by characteristics,Female,,,,£300 or more,Percentage (%),Units,Normal value,33.0
2013/14,Proportion of informal carers by characteristics,Male,,,,£300 or more,Percentage (%),Units,Normal value,50.0
2020/21,Proportion of informal carers by characteristics,,,,,£400 - £499,Percentage (%),Units,Normal value,12.0
2020/21,Proportion of informal carers by characteristics,Female,,,,£400 - £499,Percentage (%),Units,Normal value,10.0
2020/21,Proportion of informal carers by characteristics,Male,,,,£400 - £499,Percentage (%),Units,Normal value,15.0
2019/20,Proportion of informal carers by characteristics,,,,,£400 - £499,Percentage (%),Units,Normal value,12.0
2019/20,Proportion of informal carers by characteristics,Female,,,,£400 - £499,Percentage (%),Units,Normal value,9.0
2019/20,Proportion of informal carers by characteristics,Male,,,,£400 - £499,Percentage (%),Units,Normal value,16.0
2018/19,Proportion of informal carers by characteristics,,,,,£400 - £499,Percentage (%),Units,Normal value,11.0
2018/19,Proportion of informal carers by characteristics,Female,,,,£400 - £499,Percentage (%),Units,Normal value,9.0
2018/19,Proportion of informal carers by characteristics,Male,,,,£400 - £499,Percentage (%),Units,Normal value,13.0
2017/18,Proportion of informal carers by characteristics,,,,,£400 - £499,Percentage (%),Units,Normal value,11.0
2017/18,Proportion of informal carers by characteristics,Female,,,,£400 - £499,Percentage (%),Units,Normal value,10.0
2017/18,Proportion of informal carers by characteristics,Male,,,,£400 - £499,Percentage (%),Units,Normal value,14.0
2016/17,Proportion of informal carers by characteristics,,,,,£400 - £499,Percentage (%),Units,Missing value,
2016/17,Proportion of informal carers by characteristics,Female,,,,£400 - £499,Percentage (%),Units,Missing value,
2016/17,Proportion of informal carers by characteristics,Male,,,,£400 - £499,Percentage (%),Units,Missing value,
2015/16,Proportion of informal carers by characteristics,,,,,£400 - £499,Percentage (%),Units,Missing value,
2015/16,Proportion of informal carers by characteristics,Female,,,,£400 - £499,Percentage (%),Units,Missing value,
2015/16,Proportion of informal carers by characteristics,Male,,,,£400 - £499,Percentage (%),Units,Missing value,
2014/15,Proportion of informal carers by characteristics,,,,,£400 - £499,Percentage (%),Units,Missing value,
2014/15,Proportion of informal carers by characteristics,Female,,,,£400 - £499,Percentage (%),Units,Missing value,
2014/15,Proportion of informal carers by characteristics,Male,,,,£400 - £499,Percentage (%),Units,Missing value,
2013/14,Proportion of informal carers by characteristics,,,,,£400 - £499,Percentage (%),Units,Missing value,
2013/14,Proportion of informal carers by characteristics,Female,,,,£400 - £499,Percentage (%),Units,Missing value,
2013/14,Proportion of informal carers by characteristics,Male,,,,£400 - £499,Percentage (%),Units,Missing value,
2020/21,Proportion of informal carers by characteristics,,,,,£500 or more,Percentage (%),Units,Normal value,21.0
2020/21,Proportion of informal carers by characteristics,Female,,,,£500 or more,Percentage (%),Units,Normal value,16.0
2020/21,Proportion of informal carers by characteristics,Male,,,,£500 or more,Percentage (%),Units,Normal value,29.0
2019/20,Proportion of informal carers by characteristics,,,,,£500 or more,Percentage (%),Units,Normal value,22.0
2019/20,Proportion of informal carers by characteristics,Female,,,,£500 or more,Percentage (%),Units,Normal value,18.0
2019/20,Proportion of informal carers by characteristics,Male,,,,£500 or more,Percentage (%),Units,Normal value,29.0
2018/19,Proportion of informal carers by characteristics,,,,,£500 or more,Percentage (%),Units,Normal value,18.0
2018/19,Proportion of informal carers by characteristics,Female,,,,£500 or more,Percentage (%),Units,Normal value,14.0
2018/19,Proportion of informal carers by characteristics,Male,,,,£500 or more,Percentage (%),Units,Normal value,23.0
2017/18,Proportion of informal carers by characteristics,,,,,£500 or more,Percentage (%),Units,Normal value,17.0
2017/18,Proportion of informal carers by characteristics,Female,,,,£500 or more,Percentage (%),Units,Normal value,12.0
2017/18,Proportion of informal carers by characteristics,Male,,,,£500 or more,Percentage (%),Units,Normal value,23.0
2016/17,Proportion of informal carers by characteristics,,,,,£500 or more,Percentage (%),Units,Missing value,
2016/17,Proportion of informal carers by characteristics,Female,,,,£500 or more,Percentage (%),Units,Missing value,
2016/17,Proportion of informal carers by characteristics,Male,,,,£500 or more,Percentage (%),Units,Missing value,
2015/16,Proportion of informal carers by characteristics,,,,,£500 or more,Percentage (%),Units,Missing value,
2015/16,Proportion of informal carers by characteristics,Female,,,,£500 or more,Percentage (%),Units,Missing value,
2015/16,Proportion of informal carers by characteristics,Male,,,,£500 or more,Percentage (%),Units,Missing value,
2014/15,Proportion of informal carers by characteristics,,,,,£500 or more,Percentage (%),Units,Missing value,
2014/15,Proportion of informal carers by characteristics,Female,,,,£500 or more,Percentage (%),Units,Missing value,
2014/15,Proportion of informal carers by characteristics,Male,,,,£500 or more,Percentage (%),Units,Missing value,
2013/14,Proportion of informal carers by characteristics,,,,,£500 or more,Percentage (%),Units,Missing value,
2013/14,Proportion of informal carers by characteristics,Female,,,,£500 or more,Percentage (%),Units,Missing value,
2013/14,Proportion of informal carers by characteristics,Male,,,,£500 or more,Percentage (%),Units,Missing value,
2020/21,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,19.0
2020/21,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,18.0
2020/21,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,21.0
2019/20,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,24.0
2019/20,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,23.0
2019/20,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,25.0
2018/19,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,22.0
2018/19,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,21.0
2018/19,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,25.0
2017/18,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,21.0
2017/18,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,18.0
2017/18,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,24.0
2016/17,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,22.0
2016/17,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,20.0
2016/17,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,25.0
2015/16,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,23.0
2015/16,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,21.0
2015/16,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,27.0
2014/15,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,24.0
2014/15,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,22.0
2014/15,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,27.0
2013/14,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,25.0
2013/14,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,24.0
2013/14,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,27.0
2012/13,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,25.0
2012/13,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,24.0
2012/13,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,27.0
2011/12,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,26.0
2011/12,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,25.0
2011/12,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,29.0
2010/11,Proportion of informal carers by characteristics,,,,0-4 hours,,Percentage (%),Units,Normal value,24.0
2010/11,Proportion of informal carers by characteristics,Female,,,0-4 hours,,Percentage (%),Units,Normal value,23.0
2010/11,Proportion of informal carers by characteristics,Male,,,0-4 hours,,Percentage (%),Units,Normal value,26.0
2020/21,Proportion of informal carers by characteristics,,,,5-19 hours,,Percentage (%),Units,Normal value,32.0
2020/21,Proportion of informal carers by characteristics,Female,,,5-19 hours,,Percentage (%),Units,Normal value,33.0
2020/21,Proportion of informal carers by characteristics,Male,,,5-19 hours,,Percentage (%),Units,Normal value,30.0
2019/20,Proportion of informal carers by characteristics,,,,5-19 hours,,Percentage (%),Units,Normal value,33.0
2019/20,Proportion of informal carers by characteristics,Female,,,5-19 hours,,Percentage (%),Units,Normal value,33.0
2019/20,Proportion of informal carers by characteristics,Male,,,5-19 hours,,Percentage (%),Units,Normal value,33.0
2018/19,Proportion of informal carers by characteristics,,,,5-19 hours,,Percentage (%),Units,Normal value,33.0
2018/19,Proportion of informal carers by characteristics,Female,,,5-19 hours,,Percentage (%),Units,Normal value,35.0
2018/19,Proportion of informal carers by characteristics,Male,,,5-19 hours,,Percentage (%),Units,Normal value,30.0
2017/18,Proportion of informal carers by characteristics,,,,5-19 hours,,Percentage (%),Units,Normal value,32.0
2017/18,Proportion of informal carers by characteristics,Female,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2017/18,Proportion of informal carers by characteristics,Male,,,5-19 hours,,Percentage (%),Units,Normal value,30.0
2016/17,Proportion of informal carers by characteristics,,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2016/17,Proportion of informal carers by characteristics,Female,,,5-19 hours,,Percentage (%),Units,Normal value,35.0
2016/17,Proportion of informal carers by characteristics,Male,,,5-19 hours,,Percentage (%),Units,Normal value,32.0
2015/16,Proportion of informal carers by characteristics,,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2015/16,Proportion of informal carers by characteristics,Female,,,5-19 hours,,Percentage (%),Units,Normal value,37.0
2015/16,Proportion of informal carers by characteristics,Male,,,5-19 hours,,Percentage (%),Units,Normal value,28.0
2014/15,Proportion of informal carers by characteristics,,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2014/15,Proportion of informal carers by characteristics,Female,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2014/15,Proportion of informal carers by characteristics,Male,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2013/14,Proportion of informal carers by characteristics,,,,5-19 hours,,Percentage (%),Units,Normal value,33.0
2013/14,Proportion of informal carers by characteristics,Female,,,5-19 hours,,Percentage (%),Units,Normal value,34.0
2013/14,Proportion of informal carers by characteristics,Male,,,5-19 hours,,Percentage (%),Units,Normal value,32.0
