Year,Country,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2005,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.13
2005,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,13.26
2005,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,26.09
2006,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.14
2006,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.55
2006,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,26.44
2006,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.12
2006,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,11.46
2006,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,22.12
2006,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.16
2006,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,13.23
2006,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,25.64
2006,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.14
2006,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,13.46
2006,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,26.23
2007,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.13
2007,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.3
2007,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,25.74
2007,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.08
2007,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,11.34
2007,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,22.01
2007,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.14
2007,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,13.79
2007,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.39
2007,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.13
2007,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,13.28
2007,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,25.68
2008,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.13
2008,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.28
2008,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,25.63
2008,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.1
2008,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,11.61
2008,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,22.59
2008,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.07
2008,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,13.77
2008,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,26.22
2008,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.12
2008,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,13.27
2008,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,25.58
2009,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.11
2009,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,12.88
2009,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,24.7
2009,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.08
2009,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,10.94
2009,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,21.27
2009,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.07
2009,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,12.87
2009,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,24.25
2009,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.11
2009,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,12.81
2009,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,24.55
2010,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.12
2010,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,12.17
2010,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,23.32
2010,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.1
2010,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,10.51
2010,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,20.38
2010,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.1
2010,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,12.22
2010,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,22.86
2010,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.12
2010,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,12.12
2010,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,23.19
2011,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.1
2011,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,11.03
2011,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,21.09
2011,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.03
2011,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,9.85
2011,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,19.09
2011,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.07
2011,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,11.22
2011,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,21.05
2011,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.1
2011,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,11.01
2011,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,21.02
2012,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.12
2012,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,10.41
2012,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,19.83
2012,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.14
2012,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,9.4
2012,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,17.98
2012,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.06
2012,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,10.48
2012,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,19.67
2012,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.11
2012,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,10.39
2012,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,19.76
2013,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.08
2013,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,9.07
2013,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,17.3
2013,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.04
2013,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,8.15
2013,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,15.62
2013,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.12
2013,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,9.62
2013,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,17.98
2013,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.08
2013,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,9.09
2013,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,17.3
2014,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.08
2014,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,8.13
2014,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,15.54
2014,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.09
2014,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,7.38
2014,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,14.07
2014,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.11
2014,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,8.64
2014,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,16.18
2014,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.08
2014,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,8.15
2014,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,15.55
2015,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.06
2015,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,7.49
2015,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,14.43
2015,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.07
2015,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,6.73
2015,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,12.93
2015,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.09
2015,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,7.56
2015,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,14.26
2015,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.07
2015,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,7.47
2015,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,14.37
2016,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.06
2016,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,6.99
2016,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,13.67
2016,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.05
2016,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,7.03
2016,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,13.72
2016,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.05
2016,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,7.05
2016,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,13.47
2016,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.06
2016,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,6.99
2016,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,13.66
2017,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.04
2017,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,6.3
2017,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,12.64
2017,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.02
2017,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,6.16
2017,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,12.35
2017,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.08
2017,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,6.6
2017,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,12.89
2017,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.05
2017,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,6.32
2017,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,12.65
2018,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.04
2018,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,5.8
2018,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,11.89
2018,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.0171022027637159
2018,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,5.794883970418832
2018,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,11.90971782294702
2018,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.0426973328399419
2018,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,5.770819105916341
2018,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,11.555127587867116
2018,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.0387960676730969
2018,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,5.795214482117991
2018,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,11.863225569351917
2019,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.05
2019,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,5.36
2019,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,11.13
2019,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.0497092011731371
2019,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,5.500156898295038
2019,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,11.549850109429311
2019,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.0485480660531115
2019,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,5.135243445294408
2019,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,10.458246846559158
2019,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.0466942058716407
2019,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,5.343587061280815
2019,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,11.08645454519886
2020,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.04
2020,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,4.74
2020,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,9.93
2020,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.0323258445126879
2020,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,4.21428202078701
2020,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,8.99121187504616
2020,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.0136793291656977
2020,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,4.508674182296854
2020,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,9.273962570606106
2020,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.0375329871845136
2020,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,4.707588574302414
2020,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,9.850246758846566
2021,England and Wales,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,0.0278918434003913
2021,England and Wales,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,4.028460200408418
2021,England and Wales,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K04000001,8.279052889413045
2021,Northern Ireland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,0.0483068450799478
2021,Northern Ireland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,4.034488922178625
2021,Northern Ireland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",N92000002,8.504261158457316
2021,Scotland,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,0.0133973727751987
2021,Scotland,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,3.623767467393041
2021,Scotland,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",S92000003,7.514129595276421
2021,United Kingdom,10 to 14,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,0.0274366264737025
2021,United Kingdom,10 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,3.998118224264161
2021,United Kingdom,15 to 19,Undefined,Units,"Birth rate per 1,000 women in age group",K02000001,8.228441143180072
