Year,Units,Material category,Observation status,Unit multiplier,Unit measure,Value
2003,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,170.6334
2004,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,173.85989999999998
2005,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,172.35029999999998
2006,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,167.6477
2007,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,161.9506
2008,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,169.17479999999998
2009,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,163.6012
2010,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,160.56820000000002
2011,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,165.0108
2012,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,159.181
2013,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,169.7742
2014,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,181.0601
2015,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,174.7963
2016,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,168.44920000000002
2017,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,182.6595
2018,Domestic material consumption (Million metric tonnes),Biomass,Undefined,Units,Million metric tonnes,174.6735
2000,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,16.9655
2001,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,20.3047
2002,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,18.8867
2003,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,17.4026
2004,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,19.2925
2005,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,17.2714
2006,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,18.0785
2007,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,20.5299
2008,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,15.4372
2009,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,6.2542
2010,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,9.4378
2011,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,8.9774
2012,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,9.8523
2013,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,12.6564
2014,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,14.8838
2015,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,13.634
2016,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,12.1942
2017,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,11.5622
2018,Domestic material consumption (Million metric tonnes),Metal ores,Undefined,Units,Million metric tonnes,11.2524
2000,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,298.0389
2001,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,303.8595
2002,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,289.7323
2003,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,283.8125
2004,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,295.0795
2005,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,284.7195
2006,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,284.1623
2007,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,289.53709999999995
2008,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,256.2828
2009,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,205.87920000000005
2010,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,203.1572
2011,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,200.9767
2012,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,186.8586
2013,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,198.9032
2014,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,213.5014
2015,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,209.5642
2016,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,219.9657
2017,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,221.1788
2018,Domestic material consumption (Million metric tonnes),Non-metallic minerals,Undefined,Units,Million metric tonnes,226.4037
2000,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,240.5836
2001,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,242.2288
2002,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,231.5085
2003,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,244.3185
2004,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,254.1608
2005,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,250.8326
2006,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,245.6999
2007,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,239.3964
2008,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,226.3078
2009,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,208.7325
2010,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,193.3404
2011,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,192.7138
2012,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,194.1838
2013,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,183.2887
2014,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,170.6589
2015,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,160.871
2016,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,149.0349
2017,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,145.5661
2018,Domestic material consumption (Million metric tonnes),Fossil fuels,Undefined,Units,Million metric tonnes,144.489
2000,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),12.5
2001,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),12.6
2002,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),12.2
2003,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),12.1
2004,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),12.5
2005,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),12.1
2006,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),11.9
2007,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),11.7
2008,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),10.9
2009,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),9.5
2010,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),9.2
2011,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),9.1
2012,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),8.8
2013,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),8.9
2014,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),9.1
2015,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),8.7
2016,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),8.5
2017,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),8.6
2018,Domestic material consumption per capita (Tonnes),,Undefined,Units,DMC per capita (Tonnes),8.5
2000,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.976305104260598
2001,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.85699853311494
2002,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.952419796374932
2003,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.8612164778773166
2004,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.900064126382952
2005,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.852854726831897
2006,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.756141038562715
2007,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.6411129000233617
2008,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.7364037250913773
2009,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.6276890932075285
2010,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.558470232756638
2011,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.607417585912144
2012,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.4987194888692463
2013,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.648349863180555
2014,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.802928853141099
2015,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.6846292232008357
2016,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.565943538859507
2017,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.765882292746138
2018,Domestic material consumption per capita (Tonnes),Biomass,Undefined,Units,DMC per capita (Tonnes),2.6292173392107085
2000,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.288107040540977
2001,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.3434894947671085
2002,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.3181417437554026
2003,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.291810430302085
2004,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.3218078876051528
2005,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.2858874926762786
2006,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.2972119257565481
2007,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.3348044633745698
2008,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.2496968318270842
2009,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.1004521551598553
2010,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.1503805259242527
2011,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.1418563550735326
2012,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.1546549777937472
2013,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.19743032338458
2014,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.230410965554429
2015,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.2093993684598598
2016,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.1857511267584565
2017,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.175078133057352
2018,Domestic material consumption per capita (Tonnes),Metal ores,Undefined,Units,DMC per capita (Tonnes),0.1693731744525333
2000,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),5.06127761899667
2001,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),5.140314613620798
2002,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),4.880468220719524
2003,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),4.759027257427654
2004,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),4.922063525752737
2005,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),4.712863113068061
2006,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),4.671649993661528
2007,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),4.721811279768978
2008,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),4.145376312529103
2009,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),3.306739365959977
2010,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),3.237077134639281
2011,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),3.1757326304616984
2012,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),2.933184396899272
2013,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),3.102740360468049
2014,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),3.305141410205888
2015,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),3.218616043112495
2016,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),3.3506811946017474
2017,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),3.3491525294377764
2018,Domestic material consumption per capita (Tonnes),Non-metallic minerals,Undefined,Units,DMC per capita (Tonnes),3.40786973239478
2000,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),4.085575373475234
2001,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),4.097723587644386
2002,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),3.899702853552904
2003,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),4.096783619445367
2004,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),4.239520547364817
2005,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),4.151945012880944
2006,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),4.039325189434482
2007,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),3.9041097733454064
2008,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),3.660530450972807
2009,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),3.3525677907493368
2010,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),3.0806576781035195
2011,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),3.045166444668808
2012,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),3.048170607564269
2013,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),2.8591659013415573
2014,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),2.6419114694806947
2015,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),2.470755889944705
2016,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),2.270210477221457
2017,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),2.204203440905694
2018,Domestic material consumption per capita (Tonnes),Fossil fuels,Undefined,Units,DMC per capita (Tonnes),2.174874747029264
2000,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),491.44909432436174
2001,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),480.1158692714537
2002,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),455.758754126923
2003,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),441.90123391899
2004,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),448.9304249345228
2005,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),423.9292634902009
2006,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),407.69979881359694
2007,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),395.0904051953105
2008,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),371.9591232090364
2009,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),340.5109678102596
2010,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),324.8133455200949
2011,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),319.99957744983186
2012,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),305.42991358774145
2013,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),307.2403185186576
2014,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),307.5950432492396
2015,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),289.3639678842854
2016,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),279.8157133278342
2017,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),280.16352274258645
2018,Domestic material consumption per GDP (Tonnes per £m),,Undefined,Units,Tonnes of DMC per GDP (£m),274.53338859516214
2000,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),116.57713674531465
2001,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),109.09061548041372
2002,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),110.64408405981906
2003,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),104.28837118903976
2004,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),103.79627357671085
2005,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),99.72400193719396
2006,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),94.37167808824506
2007,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),89.00140192488519
2008,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),93.23360480918984
2009,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),94.1617821080113
2010,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),90.64884343379885
2011,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),91.74387010363044
2012,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),87.21271704423177
2013,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),91.0681210456724
2014,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),94.6538335670141
2015,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),89.27652815232491
2016,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),84.41546336266299
2017,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),89.83692973853478
2018,Domestic material consumption per GDP (Tonnes per £m),Biomass,Undefined,Units,Tonnes of DMC per GDP (£m),84.77263219402725
2000,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.284694507412492
2001,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),13.115680656071476
2002,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.922593759271768
2003,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),10.636187337616102
2004,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.51783480824902
2005,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),9.993444322742992
2006,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),10.176688271406876
2007,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),11.28239031765057
2008,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),8.507566163284517
2009,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),3.599647298796856
2010,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),5.328113876592667
2011,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),4.991318262006679
2012,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),5.397917164327933
2013,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),6.7889854124033455
2014,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),7.78089003620745
2015,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),6.963512298766037
2016,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),6.110916782846015
2017,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),5.686605673523067
2018,Domestic material consumption per GDP (Tonnes per £m),Metal ores,Undefined,Units,Tonnes of DMC per GDP (£m),5.461020512556697
2000,Domestic material consumption per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),198.24219373583225
2001,Domestic material consumption per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),196.27594430420305
2002,Domestic material consumption per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),182.89910422887297
2003,Domestic material consumption per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),173.46160451640387
2004,Domestic material consumption per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),176.1657087625096
2005,Domestic material consumption per GDP (Tonnes per £m),Non-metallic minerals,Undefined,Units,Tonnes of DMC per GDP (£m),164.7422021868073
