Year,Cause of death,Country,Region,Sex,Unit measure,Observation status,GeoCode,Value
2013,Protein-energy malnutrition,England,West Midlands,Female,"Rate per 100,000 population",Undefined,E12000005,0.313446870755407
2013,Protein-energy malnutrition,England,West Midlands,Male,"Rate per 100,000 population",Undefined,E12000005,0.178329410086311
2013,Protein-energy malnutrition,England,Yorkshire and The Humber,,"Rate per 100,000 population",Undefined,E12000003,0.074935836190262
2013,Protein-energy malnutrition,England,Yorkshire and The Humber,Female,"Rate per 100,000 population",Undefined,E12000003,0.0738579711215332
2013,Protein-energy malnutrition,England,Yorkshire and The Humber,Male,"Rate per 100,000 population",Undefined,E12000003,0.0760456273764259
2013,Protein-energy malnutrition,Northern Ireland,,,"Rate per 100,000 population",Undefined,N92000002,0.273268841886648
2013,Protein-energy malnutrition,Northern Ireland,,Female,"Rate per 100,000 population",Undefined,N92000002,0.536135535063264
2013,Protein-energy malnutrition,Northern Ireland,,Male,"Rate per 100,000 population",Undefined,N92000002,0.0
2013,Protein-energy malnutrition,Scotland,,,"Rate per 100,000 population",Undefined,S92000003,0.168928430654879
2013,Protein-energy malnutrition,Scotland,,Female,"Rate per 100,000 population",Undefined,S92000003,0.182415176942722
2013,Protein-energy malnutrition,Scotland,,Male,"Rate per 100,000 population",Undefined,S92000003,0.154637182510535
2013,Protein-energy malnutrition,United Kingdom,,,"Rate per 100,000 population",Undefined,K02000001,0.134153437213852
2013,Protein-energy malnutrition,United Kingdom,,Female,"Rate per 100,000 population",Undefined,K02000001,0.159643381246815
2013,Protein-energy malnutrition,United Kingdom,,Male,"Rate per 100,000 population",Undefined,K02000001,0.107823549931817
2013,Protein-energy malnutrition,Wales,,,"Rate per 100,000 population",Undefined,W92000004,0.162211263950169
2013,Protein-energy malnutrition,Wales,,Female,"Rate per 100,000 population",Undefined,W92000004,0.1914241960183769
2013,Protein-energy malnutrition,Wales,,Male,"Rate per 100,000 population",Undefined,W92000004,0.131995776135164
2014,,England,,,"Rate per 100,000 population",Undefined,E92000001,52.37809435789431
2014,,England,,Female,"Rate per 100,000 population",Undefined,E92000001,59.0558899772722
2014,,England,,Male,"Rate per 100,000 population",Undefined,E92000001,45.5081947619261
2014,,England,East,,"Rate per 100,000 population",Undefined,E12000006,54.4928788659366
2014,,England,East,Female,"Rate per 100,000 population",Undefined,E12000006,60.98000065464309
2014,,England,East,Male,"Rate per 100,000 population",Undefined,E12000006,47.8039228925425
2014,,England,East Midlands,,"Rate per 100,000 population",Undefined,E12000004,52.227541294691
2014,,England,East Midlands,Female,"Rate per 100,000 population",Undefined,E12000004,59.890180053633
2014,,England,East Midlands,Male,"Rate per 100,000 population",Undefined,E12000004,44.3599493029151
2014,,England,London,,"Rate per 100,000 population",Undefined,E12000007,36.0212661311099
2014,,England,London,Female,"Rate per 100,000 population",Undefined,E12000007,41.7876472091241
2014,,England,London,Male,"Rate per 100,000 population",Undefined,E12000007,30.1584677514583
2014,,England,North East,,"Rate per 100,000 population",Undefined,E12000001,56.1347233360064
2014,,England,North East,Female,"Rate per 100,000 population",Undefined,E12000001,64.0161725067385
2014,,England,North East,Male,"Rate per 100,000 population",Undefined,E12000001,47.930792611643696
2014,,England,North West,,"Rate per 100,000 population",Undefined,E12000002,58.194308145240406
2014,,England,North West,Female,"Rate per 100,000 population",Undefined,E12000002,63.725219504114
2014,,England,North West,Male,"Rate per 100,000 population",Undefined,E12000002,52.48917748917749
2014,,England,South East,,"Rate per 100,000 population",Undefined,E12000008,56.727518593644405
2014,,England,South East,Female,"Rate per 100,000 population",Undefined,E12000008,64.0024838108755
2014,,England,South East,Male,"Rate per 100,000 population",Undefined,E12000008,49.2118768328446
2014,,England,South West,,"Rate per 100,000 population",Undefined,E12000009,58.9862260985009
2014,,England,South West,Female,"Rate per 100,000 population",Undefined,E12000009,66.1327728656327
2014,,England,South West,Male,"Rate per 100,000 population",Undefined,E12000009,51.582385403761705
2014,,England,West Midlands,,"Rate per 100,000 population",Undefined,E12000005,51.5104841250394
2014,,England,West Midlands,Female,"Rate per 100,000 population",Undefined,E12000005,57.3554863274489
2014,,England,West Midlands,Male,"Rate per 100,000 population",Undefined,E12000005,45.5317943634046
2014,,England,Yorkshire and The Humber,,"Rate per 100,000 population",Undefined,E12000003,53.655715378444405
2014,,England,Yorkshire and The Humber,Female,"Rate per 100,000 population",Undefined,E12000003,61.2792878949498
2014,,England,Yorkshire and The Humber,Male,"Rate per 100,000 population",Undefined,E12000003,45.8090406602559
2014,,Northern Ireland,,,"Rate per 100,000 population",Undefined,N92000002,44.498777506112496
2014,,Northern Ireland,,Female,"Rate per 100,000 population",Undefined,N92000002,51.076988696950295
2014,,Northern Ireland,,Male,"Rate per 100,000 population",Undefined,N92000002,37.6647834274953
2014,,Scotland,,,"Rate per 100,000 population",Undefined,S92000003,39.4382526740968
2014,,Scotland,,Female,"Rate per 100,000 population",Undefined,S92000003,42.3830467812875
2014,,Scotland,,Male,"Rate per 100,000 population",Undefined,S92000003,36.31812054689
2014,,United Kingdom,,,"Rate per 100,000 population",Undefined,K02000001,51.957682114284296
2014,,United Kingdom,,Female,"Rate per 100,000 population",Undefined,K02000001,58.4214858397098
2014,,United Kingdom,,Male,"Rate per 100,000 population",Undefined,K02000001,45.2887040869603
2014,,Wales,,,"Rate per 100,000 population",Undefined,W92000004,70.6662354463131
2014,,Wales,,Female,"Rate per 100,000 population",Undefined,W92000004,79.7733494620233
2014,,Wales,,Male,"Rate per 100,000 population",Undefined,W92000004,61.2633931505949
2014,Acute respiratory infections,England,,,"Rate per 100,000 population",Undefined,E92000001,50.0767721101836
2014,Acute respiratory infections,England,,Female,"Rate per 100,000 population",Undefined,E92000001,56.13686037308391
2014,Acute respiratory infections,England,,Male,"Rate per 100,000 population",Undefined,E92000001,43.8423498124991
2014,Acute respiratory infections,England,East,,"Rate per 100,000 population",Undefined,E12000006,52.3656789590015
2014,Acute respiratory infections,England,East,Female,"Rate per 100,000 population",Undefined,E12000006,58.459624889529
2014,Acute respiratory infections,England,East,Male,"Rate per 100,000 population",Undefined,E12000006,46.082171432429696
2014,Acute respiratory infections,England,East Midlands,,"Rate per 100,000 population",Undefined,E12000004,50.1142881787208
2014,Acute respiratory infections,England,East Midlands,Female,"Rate per 100,000 population",Undefined,E12000004,57.2510960711701
2014,Acute respiratory infections,England,East Midlands,Male,"Rate per 100,000 population",Undefined,E12000004,42.786591495127
2014,Acute respiratory infections,England,London,,"Rate per 100,000 population",Undefined,E12000007,34.4052275335504
2014,Acute respiratory infections,England,London,Female,"Rate per 100,000 population",Undefined,E12000007,39.5112773222457
2014,Acute respiratory infections,England,London,Male,"Rate per 100,000 population",Undefined,E12000007,29.2138015728692
2014,Acute respiratory infections,England,North East,,"Rate per 100,000 population",Undefined,E12000001,53.3852674991408
2014,Acute respiratory infections,England,North East,Female,"Rate per 100,000 population",Undefined,E12000001,60.4971548367775
2014,Acute respiratory infections,England,North East,Male,"Rate per 100,000 population",Undefined,E12000001,45.9823864079183
2014,Acute respiratory infections,England,North West,,"Rate per 100,000 population",Undefined,E12000002,55.432496845647
2014,Acute respiratory infections,England,North West,Female,"Rate per 100,000 population",Undefined,E12000002,60.2186757965653
2014,Acute respiratory infections,England,North West,Male,"Rate per 100,000 population",Undefined,E12000002,50.4955570745044
2014,Acute respiratory infections,England,South East,,"Rate per 100,000 population",Undefined,E12000008,54.55262564796031
2014,Acute respiratory infections,England,South East,Female,"Rate per 100,000 population",Undefined,E12000008,61.4743191696975
2014,Acute respiratory infections,England,South East,Male,"Rate per 100,000 population",Undefined,E12000008,47.4019428152493
2014,Acute respiratory infections,England,South West,,"Rate per 100,000 population",Undefined,E12000009,56.40477200228641
2014,Acute respiratory infections,England,South West,Female,"Rate per 100,000 population",Undefined,E12000009,62.6177706914046
2014,Acute respiratory infections,England,South West,Male,"Rate per 100,000 population",Undefined,E12000009,49.9680894995683
2014,Acute respiratory infections,England,West Midlands,,"Rate per 100,000 population",Undefined,E12000005,48.6050337802359
2014,Acute respiratory infections,England,West Midlands,Female,"Rate per 100,000 population",Undefined,E12000005,53.7902388369678
2014,Acute respiratory infections,England,West Midlands,Male,"Rate per 100,000 population",Undefined,E12000005,43.3012321200963
2014,Acute respiratory infections,England,Yorkshire and The Humber,,"Rate per 100,000 population",Undefined,E12000003,51.4542639129867
2014,Acute respiratory infections,England,Yorkshire and The Humber,Female,"Rate per 100,000 population",Undefined,E12000003,58.3734873285026
2014,Acute respiratory infections,England,Yorkshire and The Humber,Male,"Rate per 100,000 population",Undefined,E12000003,44.3325509199667
2014,Acute respiratory infections,Northern Ireland,,,"Rate per 100,000 population",Undefined,N92000002,41.8907905460473
2014,Acute respiratory infections,Northern Ireland,,Female,"Rate per 100,000 population",Undefined,N92000002,47.984644913627605
2014,Acute respiratory infections,Northern Ireland,,Male,"Rate per 100,000 population",Undefined,N92000002,35.559986706547
2014,Acute respiratory infections,Scotland,,,"Rate per 100,000 population",Undefined,S92000003,36.7641558830129
