Year,Series,Violence type,Age,Sex,Country of birth,Disability status,Sexual orientation,Ethnicity,Ethnic group,Highest qualification,Household income,Region,Urban or rural,Observation status,Unit multiplier,Units,GeoCode,Value
2015/16,(a) Physical violence - 16 and over,,,,,,,Mixed,Any other Mixed ethnic background,,,,,Normal value,Units,Percentage (%),,0.0
2015/16,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Asian,,,,,Normal value,Units,Percentage (%),,2.379890328403052
2015/16,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black African,,,,,Missing value; suppressed,Units,Percentage (%),,
2015/16,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black Caribbean,,,,,Normal value,Units,Percentage (%),,2.028139073372186
2015/16,(a) Physical violence - 16 and over,,,,,,,Mixed,,,,,,Normal value,Units,Percentage (%),,1.3935263668240994
2015/16,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Any other ethnic group,,,,,Normal value,Units,Percentage (%),,1.021963621570494
2015/16,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Arab,,,,,Normal value,Units,Percentage (%),,3.661318496015748
2015/16,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,,,,,,Normal value,Units,Percentage (%),,2.0189884555440245
2015/16,(a) Physical violence - 16 and over,,,,,,,White,Any other White background,,,,,Normal value,Units,Percentage (%),,1.7466246940784622
2015/16,(a) Physical violence - 16 and over,,,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Normal value,Units,Percentage (%),,1.850759746052323
2015/16,(a) Physical violence - 16 and over,,,,,,,White,Gypsy or Irish Traveller,,,,,Missing value; suppressed,Units,Percentage (%),,
2015/16,(a) Physical violence - 16 and over,,,,,,,White,Irish,,,,,Normal value,Units,Percentage (%),,1.8215606046684696
2015/16,(a) Physical violence - 16 and over,,,,,,,White,,,,,,Normal value,Units,Percentage (%),,1.8466528844472123
2015/16,(a) Physical violence - 16 and over,,,,,,,,,Apprenticeship or A/AS level,,,,Normal value,Units,Percentage (%),,1.9376133163608649
2015/16,(a) Physical violence - 16 and over,,,,,,,,,Degree or diploma,,,,Normal value,Units,Percentage (%),,1.9873825378855436
2015/16,(a) Physical violence - 16 and over,,,,,,,,,No qualifications,,,,Normal value,Units,Percentage (%),,0.9046098214112116
2015/16,(a) Physical violence - 16 and over,,,,,,,,,O level/GCSE,,,,Normal value,Units,Percentage (%),,2.259016235477848
2015/16,(a) Physical violence - 16 and over,,,,,,,,,Other qualification,,,,Normal value,Units,Percentage (%),,1.02087764843964
2015/16,(a) Physical violence - 16 and over,,,,,,,,,,"£10,000 to less than £20,000",,,Normal value,Units,Percentage (%),,1.8545759184735544
2015/16,(a) Physical violence - 16 and over,,,,,,,,,,"£20,000 to less than £30,000",,,Normal value,Units,Percentage (%),,1.9560188567783736
2015/16,(a) Physical violence - 16 and over,,,,,,,,,,"£30,000 to less than £40,000",,,Normal value,Units,Percentage (%),,1.7664578617503874
2015/16,(a) Physical violence - 16 and over,,,,,,,,,,"£40,000 to less than £50,000",,,Normal value,Units,Percentage (%),,1.791229990637596
2015/16,(a) Physical violence - 16 and over,,,,,,,,,,"£50,000 or more",,,Normal value,Units,Percentage (%),,1.70099121163302
2015/16,(a) Physical violence - 16 and over,,,,,,,,,,"Less than £10,000",,,Normal value,Units,Percentage (%),,1.967847622353761
2015/16,(a) Physical violence - 16 and over,,,,,,,,,,No income stated or not enough information provided,,,Normal value,Units,Percentage (%),,1.7093991433039166
2015/16,(a) Physical violence - 16 and over,,,,,,,,,,,,Rural,Normal value,Units,Percentage (%),,1.340199977319696
2015/16,(a) Physical violence - 16 and over,,,,,,,,,,,,Urban,Normal value,Units,Percentage (%),,1.903662388696389
2015/16,(a) Physical violence - 16 and over,,,,,,,,,,,,,Normal value,Units,Percentage (%),,1.7969733332441653
2016/17,(a) Physical violence - 16 and over,Assault with minor injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4002998343320044
2016/17,(a) Physical violence - 16 and over,Violence with injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.7987133819513081
2016/17,(a) Physical violence - 16 and over,Violence without injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.9254598413043446
2016/17,(a) Physical violence - 16 and over,Wounding,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4090630886960472
2016/17,(a) Physical violence - 16 and over,,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,4.078078622762168
2016/17,(a) Physical violence - 16 and over,,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,2.0415480081841704
2016/17,(a) Physical violence - 16 and over,,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,1.5809224649307638
2016/17,(a) Physical violence - 16 and over,,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,1.898452446791652
2016/17,(a) Physical violence - 16 and over,,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,0.8165588017222697
2016/17,(a) Physical violence - 16 and over,,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,0.4740063873211351
2016/17,(a) Physical violence - 16 and over,,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,0.1721554804545651
2016/17,(a) Physical violence - 16 and over,,16 to 24,Female,,,,,,,,,,Normal value,Units,Percentage (%),,2.673766886299508
2016/17,(a) Physical violence - 16 and over,,25 to 34,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.6812407431319365
2016/17,(a) Physical violence - 16 and over,,35 to 44,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.2134982036876674
2016/17,(a) Physical violence - 16 and over,,45 to 54,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.5881629323549524
2016/17,(a) Physical violence - 16 and over,,55 to 64,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.9228072784680212
2016/17,(a) Physical violence - 16 and over,,65 to 74,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.3147477727870753
2016/17,(a) Physical violence - 16 and over,,75 and over,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.0967175535041443
2016/17,(a) Physical violence - 16 and over,,16 to 24,Male,,,,,,,,,,Normal value,Units,Percentage (%),,5.422491233492995
2016/17,(a) Physical violence - 16 and over,,25 to 34,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.402942511371347
2016/17,(a) Physical violence - 16 and over,,35 to 44,Male,,,,,,,,,,Normal value,Units,Percentage (%),,1.954559272622468
2016/17,(a) Physical violence - 16 and over,,45 to 54,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.218240250220181
2016/17,(a) Physical violence - 16 and over,,55 to 64,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.7066104492992528
2016/17,(a) Physical violence - 16 and over,,65 to 74,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.6453246647331128
2016/17,(a) Physical violence - 16 and over,,75 and over,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.2709318904389126
2016/17,(a) Physical violence - 16 and over,,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.270309291011838
2016/17,(a) Physical violence - 16 and over,,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.0793872596580143
2016/17,(a) Physical violence - 16 and over,,,,,,,Asian,Any other Asian background,,,,,Normal value,Units,Percentage (%),,0.749307258119959
2016/17,(a) Physical violence - 16 and over,,,,,,,Asian,Bangladeshi,,,,,Normal value,Units,Percentage (%),,1.8299233252511544
2016/17,(a) Physical violence - 16 and over,,,,,,,Asian,Chinese,,,,,Normal value,Units,Percentage (%),,0.6814787577408387
2016/17,(a) Physical violence - 16 and over,,,,,,,Asian,Indian,,,,,Normal value,Units,Percentage (%),,0.4499597583548557
2016/17,(a) Physical violence - 16 and over,,,,,,,Asian,Pakistani,,,,,Normal value,Units,Percentage (%),,0.9102810598553652
2016/17,(a) Physical violence - 16 and over,,,,,,,Asian,,,,,,Normal value,Units,Percentage (%),,0.7839314564559086
2016/17,(a) Physical violence - 16 and over,,,,,,,Black,African,,,,,Normal value,Units,Percentage (%),,1.309340265496472
2016/17,(a) Physical violence - 16 and over,,,,,,,Black,Any other Black background,,,,,Normal value,Units,Percentage (%),,7.041004436451693
2016/17,(a) Physical violence - 16 and over,,,,,,,Black,Caribbean,,,,,Normal value,Units,Percentage (%),,1.6280247235360872
2016/17,(a) Physical violence - 16 and over,,,,,,,Black,,,,,,Normal value,Units,Percentage (%),,1.7854446291012478
2016/17,(a) Physical violence - 16 and over,,,,,,,Mixed,Any other Mixed ethnic background,,,,,Normal value,Units,Percentage (%),,1.2538492392330909
2016/17,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Asian,,,,,Normal value,Units,Percentage (%),,0.4848120750605977
2016/17,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black African,,,,,Normal value,Units,Percentage (%),,3.1781135066874797
2016/17,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black Caribbean,,,,,Normal value,Units,Percentage (%),,3.1264618194715728
2016/17,(a) Physical violence - 16 and over,,,,,,,Mixed,,,,,,Normal value,Units,Percentage (%),,1.9186214559887769
2016/17,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Any other ethnic group,,,,,Normal value,Units,Percentage (%),,1.1446862891023066
2016/17,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Arab,,,,,Normal value,Units,Percentage (%),,1.1599672312482432
2016/17,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,,,,,,Normal value,Units,Percentage (%),,1.1510772916328835
2016/17,(a) Physical violence - 16 and over,,,,,,,White,Any other White background,,,,,Normal value,Units,Percentage (%),,1.4957276004141251
2016/17,(a) Physical violence - 16 and over,,,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Normal value,Units,Percentage (%),,1.767074163529622
2016/17,(a) Physical violence - 16 and over,,,,,,,White,Gypsy or Irish Traveller,,,,,Missing value; suppressed,Units,Percentage (%),,
2016/17,(a) Physical violence - 16 and over,,,,,,,White,Irish,,,,,Normal value,Units,Percentage (%),,1.0994169058688412
2016/17,(a) Physical violence - 16 and over,,,,,,,White,,,,,,Normal value,Units,Percentage (%),,1.7410259650096158
2016/17,(a) Physical violence - 16 and over,,,,,,,,,Apprenticeship or A/AS level,,,,Normal value,Units,Percentage (%),,2.4034162022980685
2016/17,(a) Physical violence - 16 and over,,,,,,,,,Degree or diploma,,,,Normal value,Units,Percentage (%),,1.4168069171489197
2016/17,(a) Physical violence - 16 and over,,,,,,,,,No qualifications,,,,Normal value,Units,Percentage (%),,1.114881798402254
2016/17,(a) Physical violence - 16 and over,,,,,,,,,O level/GCSE,,,,Normal value,Units,Percentage (%),,1.9851728278627612
2016/17,(a) Physical violence - 16 and over,,,,,,,,,Other qualification,,,,Normal value,Units,Percentage (%),,1.9622366241407052
2016/17,(a) Physical violence - 16 and over,,,,,,,,,,"£10,000 to less than £20,000",,,Normal value,Units,Percentage (%),,1.6396543710859648
2016/17,(a) Physical violence - 16 and over,,,,,,,,,,"£20,000 to less than £30,000",,,Normal value,Units,Percentage (%),,1.7448742149830938
2016/17,(a) Physical violence - 16 and over,,,,,,,,,,"£30,000 to less than £40,000",,,Normal value,Units,Percentage (%),,1.7662204420872418
2016/17,(a) Physical violence - 16 and over,,,,,,,,,,"£40,000 to less than £50,000",,,Normal value,Units,Percentage (%),,1.9500739262340472
2016/17,(a) Physical violence - 16 and over,,,,,,,,,,"£50,000 or more",,,Normal value,Units,Percentage (%),,1.3893413048155845
2016/17,(a) Physical violence - 16 and over,,,,,,,,,,"Less than £10,000",,,Normal value,Units,Percentage (%),,2.581059793673996
2016/17,(a) Physical violence - 16 and over,,,,,,,,,,No income stated or not enough information provided,,,Normal value,Units,Percentage (%),,1.4516300984759585
2016/17,(a) Physical violence - 16 and over,,,,,,,,,,,,Rural,Normal value,Units,Percentage (%),,1.2240891974918826
2016/17,(a) Physical violence - 16 and over,,,,,,,,,,,,Urban,Normal value,Units,Percentage (%),,1.7623084320057525
2016/17,(a) Physical violence - 16 and over,,,,,,,,,,,,,Normal value,Units,Percentage (%),,1.6663071735395631
2017/18,(a) Physical violence - 16 and over,Assault with minor injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.5422915854859338
2017/18,(a) Physical violence - 16 and over,Violence with injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.9028645285514686
2017/18,(a) Physical violence - 16 and over,Violence without injury,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.910245946963292
2017/18,(a) Physical violence - 16 and over,Wounding,,,,,,,,,,,,Normal value,Units,Percentage (%),,0.3812243635055946
2017/18,(a) Physical violence - 16 and over,,16 to 24,,,,,,,,,,,Normal value,Units,Percentage (%),,4.006611129846034
2017/18,(a) Physical violence - 16 and over,,25 to 34,,,,,,,,,,,Normal value,Units,Percentage (%),,2.3851668760777702
2017/18,(a) Physical violence - 16 and over,,35 to 44,,,,,,,,,,,Normal value,Units,Percentage (%),,1.9518006343345744
2017/18,(a) Physical violence - 16 and over,,45 to 54,,,,,,,,,,,Normal value,Units,Percentage (%),,1.6343801206237456
2017/18,(a) Physical violence - 16 and over,,55 to 64,,,,,,,,,,,Normal value,Units,Percentage (%),,1.0266134637678328
2017/18,(a) Physical violence - 16 and over,,65 to 74,,,,,,,,,,,Normal value,Units,Percentage (%),,0.3958726168487911
2017/18,(a) Physical violence - 16 and over,,75 and over,,,,,,,,,,,Normal value,Units,Percentage (%),,0.2936316295170394
2017/18,(a) Physical violence - 16 and over,,16 to 24,Female,,,,,,,,,,Normal value,Units,Percentage (%),,2.2117944394811064
2017/18,(a) Physical violence - 16 and over,,25 to 34,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.7223649124417535
2017/18,(a) Physical violence - 16 and over,,35 to 44,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.716032119348465
2017/18,(a) Physical violence - 16 and over,,45 to 54,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.2302261718235157
2017/18,(a) Physical violence - 16 and over,,55 to 64,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.7711040427441834
2017/18,(a) Physical violence - 16 and over,,65 to 74,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.2020900148422048
2017/18,(a) Physical violence - 16 and over,,75 and over,Female,,,,,,,,,,Normal value,Units,Percentage (%),,0.1154208910265732
2017/18,(a) Physical violence - 16 and over,,16 to 24,Male,,,,,,,,,,Normal value,Units,Percentage (%),,5.718112205715719
2017/18,(a) Physical violence - 16 and over,,25 to 34,Male,,,,,,,,,,Normal value,Units,Percentage (%),,3.0463605662679982
2017/18,(a) Physical violence - 16 and over,,35 to 44,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.191760436992336
2017/18,(a) Physical violence - 16 and over,,45 to 54,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.051263081887223
2017/18,(a) Physical violence - 16 and over,,55 to 64,Male,,,,,,,,,,Normal value,Units,Percentage (%),,1.2910139282884237
2017/18,(a) Physical violence - 16 and over,,65 to 74,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.6042847418239762
2017/18,(a) Physical violence - 16 and over,,75 and over,Male,,,,,,,,,,Normal value,Units,Percentage (%),,0.5243865466220416
2017/18,(a) Physical violence - 16 and over,,,Female,,,,,,,,,,Normal value,Units,Percentage (%),,1.1952467350826903
2017/18,(a) Physical violence - 16 and over,,,Male,,,,,,,,,,Normal value,Units,Percentage (%),,2.327567479331208
2017/18,(a) Physical violence - 16 and over,,,,,,,Asian,Any other Asian background,,,,,Normal value,Units,Percentage (%),,0.9301895056678612
2017/18,(a) Physical violence - 16 and over,,,,,,,Asian,Bangladeshi,,,,,Normal value,Units,Percentage (%),,2.024234920086744
2017/18,(a) Physical violence - 16 and over,,,,,,,Asian,Chinese,,,,,Normal value,Units,Percentage (%),,0.0
2017/18,(a) Physical violence - 16 and over,,,,,,,Asian,Indian,,,,,Normal value,Units,Percentage (%),,1.283010347879843
2017/18,(a) Physical violence - 16 and over,,,,,,,Asian,Pakistani,,,,,Normal value,Units,Percentage (%),,1.050213607174003
2017/18,(a) Physical violence - 16 and over,,,,,,,Asian,,,,,,Normal value,Units,Percentage (%),,1.1391411978880412
2017/18,(a) Physical violence - 16 and over,,,,,,,Black,African,,,,,Normal value,Units,Percentage (%),,0.8184810333125934
2017/18,(a) Physical violence - 16 and over,,,,,,,Black,Any other Black background,,,,,Normal value,Units,Percentage (%),,1.0136649971583012
2017/18,(a) Physical violence - 16 and over,,,,,,,Black,Caribbean,,,,,Normal value,Units,Percentage (%),,2.875349977299545
2017/18,(a) Physical violence - 16 and over,,,,,,,Black,,,,,,Normal value,Units,Percentage (%),,1.4689040211085267
2017/18,(a) Physical violence - 16 and over,,,,,,,Mixed,Any other Mixed ethnic background,,,,,Normal value,Units,Percentage (%),,1.57788868204351
2017/18,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Asian,,,,,Normal value,Units,Percentage (%),,4.575755118252694
2017/18,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black African,,,,,Normal value,Units,Percentage (%),,3.31342953181112
2017/18,(a) Physical violence - 16 and over,,,,,,,Mixed,White and Black Caribbean,,,,,Normal value,Units,Percentage (%),,5.337650539975536
2017/18,(a) Physical violence - 16 and over,,,,,,,Mixed,,,,,,Normal value,Units,Percentage (%),,3.726234374999141
2017/18,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Any other ethnic group,,,,,Normal value,Units,Percentage (%),,0.9631994989737568
2017/18,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,Arab,,,,,Normal value,Units,Percentage (%),,1.7892217911134212
2017/18,(a) Physical violence - 16 and over,,,,,,,Other ethnic group,,,,,,Normal value,Units,Percentage (%),,1.2474233516085491
2017/18,(a) Physical violence - 16 and over,,,,,,,White,Any other White background,,,,,Normal value,Units,Percentage (%),,1.005185142693686
2017/18,(a) Physical violence - 16 and over,,,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Normal value,Units,Percentage (%),,1.8600818131845969
2017/18,(a) Physical violence - 16 and over,,,,,,,White,Gypsy or Irish Traveller,,,,,Missing value; suppressed,Units,Percentage (%),,
