Year,Series,Institution,Observation status,Unit multiplier,Units,Value
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),5.17241
2000,"Proportion of members of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),2.17391
2005,"Proportion of members of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),2.12766
2010,"Proportion of members of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2015,"Proportion of members of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2016,"Proportion of members of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2017,"Proportion of members of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2018,"Proportion of members of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2019,"Proportion of members of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2000,"Proportion of voting rights of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2005,"Proportion of voting rights of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2015,"Proportion of voting rights of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2000,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.54945
2005,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.54348
2010,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.53476
2015,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.53191
2016,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.53191
2017,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.5291
2018,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.5291
2019,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.5291
2020,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.5291
2021,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.5291
2000,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),4.3271
2005,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),4.3028
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),4.2958
2015,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.932
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.94
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.8595
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.7787
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.7087
2020,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.89409
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.8924
2000,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.57471
2005,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.5618
2010,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.54945
2015,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.54348
2016,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.54348
2017,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.54348
2018,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.54348
2019,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.5435
2020,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.54054
2021,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.54054
2000,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),5.0505
2005,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),5.0351
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),5.0215
2015,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),4.48404
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),4.48404
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),4.48404
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),4.484
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),4.4542
2020,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),4.48345
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),4.4353
2000,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.5618
2005,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.55249
2010,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.54945
2015,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.53191
2016,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.53191
2017,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.5291
2018,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.5291
2019,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.5291
2020,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.5291
2021,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.52632
2000,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),5.0279
2005,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),4.948
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),4.8602
2015,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),4.2896
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),4.069
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),4.0357
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),4.0348
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),4.03481
2020,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),4.03267
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),4.028
2000,"Proportion of members of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2005,"Proportion of members of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2010,"Proportion of members of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2015,"Proportion of members of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2016,"Proportion of members of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2017,"Proportion of members of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185185185185
2018,"Proportion of members of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.8519
2019,"Proportion of members of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2021,"Proportion of members of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2000,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.8519
2005,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.8519
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.8519
2015,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.8519
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.8519
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185185185185
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.8519
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2000,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5291
2005,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.52356
2010,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.52083
2015,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2016,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2017,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2018,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2019,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2020,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2021,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2000,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5291
2005,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5236
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5208
2015,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5181
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5181
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5181
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5181
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5181
2020,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5181
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.5181
2000,"Proportion of members of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2005,"Proportion of members of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2010,"Proportion of members of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2015,"Proportion of members of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2016,"Proportion of members of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2017,"Proportion of members of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2018,"Proportion of members of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2019,"Proportion of members of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2020,"Proportion of members of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2000,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.6667
2005,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.6667
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.6667
2015,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.6667
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.6667
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.6667
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.6667
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.6667
2020,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.667
2000,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.71429
2005,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.67114
2010,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.65359
2015,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.625
2016,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.61728
2017,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2018,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2019,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2020,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2021,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2000,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.7143
2005,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.6711
2010,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.6536
2015,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.625
2016,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.6173
2017,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.6098
2018,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.6098
2019,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.6098
2020,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2020,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.23457
2020,"Proportion of members of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2021,"Proportion of members of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.47059
2021,"Proportion of members of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.23457
2021,"Proportion of members of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),2.08333
2021,"Proportion of members of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2022,"Proportion of members of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2022,"Proportion of members of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),4.16667
2022,"Proportion of members of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),0.5291
2022,"Proportion of members of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),0.53763
2022,"Proportion of members of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),0.52632
2022,"Proportion of members of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2022,"Proportion of members of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
2020,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),2.58177
2020,"Proportion of voting rights of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",Asian Development Bank,Normal value,Units,Percentage (%),1.924
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",African Development Bank,Normal value,Units,Percentage (%),1.78147
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",Inter-American Development Bank,Normal value,Units,Percentage (%),0.964
2021,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Security Council,Normal value,Units,Percentage (%),6.66667
2022,"Proportion of voting rights of developing countries in international organisations, by organisation",UN Economic and Social Council,Normal value,Units,Percentage (%),1.85185
2022,"Proportion of voting rights of developing countries in international organisations, by organisation",Financial Stability Board,Normal value,Units,Percentage (%),5.26316
2022,"Proportion of voting rights of developing countries in international organisations, by organisation",International Bank for Reconstruction and Development,Normal value,Units,Percentage (%),3.92336
2022,"Proportion of voting rights of developing countries in international organisations, by organisation",International Finance Corporation,Normal value,Units,Percentage (%),4.49147
2022,"Proportion of voting rights of developing countries in international organisations, by organisation",International Monetary Fund,Normal value,Units,Percentage (%),4.05919
2022,"Proportion of voting rights of developing countries in international organisations, by organisation",UN General Assembly,Normal value,Units,Percentage (%),0.51813
2022,"Proportion of voting rights of developing countries in international organisations, by organisation",World Trade Organisation,Normal value,Units,Percentage (%),0.60976
