Year,Units,Area of spending category,Area of spending sub-category,Observation status,Unit multiplier,Unit measure,Value
2015,Percentage (%) of national budget,Health,"Medical products, appliances and equipment",Undefined,Units,Percentage (%),1.019914215
2000,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.498266052
2001,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.523865405
2002,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.598647713
2003,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.498124258
2004,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.56658062699999
2005,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.604180311
2006,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.713907599
2007,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.665645333
2008,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.56148554
2009,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.835605549
2010,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.78351352
2011,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.849486254
2012,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.874674692
2013,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.822048289
2014,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.921569514
2015,Percentage (%) of national budget,Health,Outpatient services,Undefined,Units,Percentage (%),1.840835993
2000,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),10.92944294
2001,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),11.18446894
2002,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),11.3000026999999
2003,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),11.36660623
2004,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),11.81302912
2005,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),11.92982643
2006,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),12.23195651
2007,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),12.33217265
2008,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),12.2011436
2009,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),12.66962538
2010,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),12.55991708
2011,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),12.67491834
2012,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),12.42637093
2013,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),12.83101251
2014,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),12.99059879
2015,Percentage (%) of national budget,Health,Hospital services,Undefined,Units,Percentage (%),13.38164878
2000,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.037553773
2001,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.040490934
2002,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.039786367
2003,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.040951474
2004,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.042196178
2005,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.05555526
2006,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.046786987
2007,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.040536667
2008,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.040720786
2009,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.055149309
2010,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.071086377
2011,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.066780392
2012,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.068153592
2013,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.358285991
2014,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.474582572999999
2015,Percentage (%) of national budget,Health,Public health services,Undefined,Units,Percentage (%),0.518004137
2000,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.219624825
2001,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.287315912
2002,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.310423579
2003,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.319380336
2004,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.282828436
2005,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.285053505
2006,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.297932851
2007,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.308142011
2008,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.344133358999999
2009,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.355238565
2010,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.428901047
2011,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.253104296
2012,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.182301195
2013,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.166342473
2014,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.193199576
2015,Percentage (%) of national budget,Health,Research and development - health,Undefined,Units,Percentage (%),0.37814801
2000,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.175337272
2001,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.1769963
2002,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.150603764
2003,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.162982749
2004,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.182850105
2005,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.202519333
2006,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.171440888999999
2007,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.165313596999999
2008,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.116467144
2009,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.202855937
2010,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.152365773
2011,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.17429021
2012,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.421805027
2013,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.517810094
2014,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.628338282999999
2015,Percentage (%) of national budget,Health,Health - not elsewhere classified,Undefined,Units,Percentage (%),0.666468714
2000,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),13.07518783
2001,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),13.67938939
2002,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),14.70746905
2003,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),13.8393344
2004,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),13.52121403
2005,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),13.70652978
2006,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),14.09341022
2007,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),13.97802469
2008,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),13.34346132
2009,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),13.51886973
2010,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),13.58213124
2011,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),12.94058529
2012,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),12.36504558
2013,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),12.02927525
2014,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),12.26842431
2015,Percentage (%) of national budget,Education,,Undefined,Units,Percentage (%),11.9515231999999
2000,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),4.054253548
2001,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),4.367201858
2002,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),4.664221041
2003,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),4.144330279
2004,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),4.110515972
2005,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),4.162739638
2006,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),4.336151135
2007,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),4.202829016
2008,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),3.970561434
2009,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),4.015034719
2010,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),4.044113267
2011,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),3.851178905
2012,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),3.470422114
2013,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),3.326592153
2014,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),3.200731596
2015,Percentage (%) of national budget,Education,Pre-primary and primary education,Undefined,Units,Percentage (%),3.182631391
2000,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),3.559320717
2001,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),3.774385483
2002,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),4.032584361
2003,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),3.768770283
2004,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),3.845744458
2005,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),3.934128856
2006,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),4.221690113
2007,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),4.192536503
2008,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),4.032639276
2009,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),4.199874298
2010,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),4.319192395
2011,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),4.398645879
2012,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),4.493627832
2013,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),4.847217076
2014,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),5.366626972
2015,Percentage (%) of national budget,Education,Secondary education,Undefined,Units,Percentage (%),5.177920448
2000,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.478064712
2001,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.612606016
2002,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.644952751
2003,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.560683293
2004,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.540730716
2005,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.85320277
2006,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.585243384
2007,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.60024828699999
2008,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.294807103
2009,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.393173313
2010,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.48434180199999
2011,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.376205022
2012,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.378789675
2013,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.23489667
2014,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.112970249
2015,Percentage (%) of national budget,Education,Post-secondary non-tertiary education,Undefined,Units,Percentage (%),1.067572592
2000,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.503704874
2001,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.517561427
2002,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.56335698
2003,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.52076075099999
2004,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.53122707199999
2005,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.60080794699999
2006,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.503533253
2007,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.537859822
2008,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.622139578
2009,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.691474687
2010,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.62426415
2011,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.34830272
2012,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.412286714
2013,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.131206002
2014,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),1.095132577
2015,Percentage (%) of national budget,Education,Tertiary education,Undefined,Units,Percentage (%),0.807073400999999
2000,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.098642107
2001,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.12938187099999
2002,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.302834947
2003,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.329173706
2004,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.28964445
2005,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.197899195
2006,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.320061425
2007,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.35227789199999
2008,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.264907225
2009,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.120865005
2010,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),1.026714975
2011,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),0.972877904
2012,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),0.829953568
2013,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),0.742430324
2014,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),0.72883221
2015,Percentage (%) of national budget,Education,Education not definable by level,Undefined,Units,Percentage (%),0.741823844
2000,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.055942172
2001,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.051886587
2002,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.090137477
2003,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.0905459719999999
2004,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.080971044
2005,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.0974435709999999
2006,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.097751384
2007,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.067138856
2008,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.117463806999999
2009,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.167648398
2010,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.175002217
2011,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.12311395
2012,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.074079991
2013,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.066639908
2014,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.075621681
2015,Percentage (%) of national budget,Education,Subsidiary services to education,Undefined,Units,Percentage (%),0.070614244
2000,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.017870416
2001,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.024973451
2002,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.022478174
2003,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.014610827
2004,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.013685247
2005,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.01189202
2006,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.013033518
2007,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.01171763
2008,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.0048409329999999
2009,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.003300707
2010,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.00211803
2011,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.001322384
2012,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.001932522
2013,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.002444321
2014,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.002386731
2015,Percentage (%) of national budget,Education,Research and development - education,Undefined,Units,Percentage (%),0.148464577
2000,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),1.307389288
2001,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),1.201392694
2002,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),1.38690331699999
2003,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),1.410459294
2004,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),1.108695074
2005,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),0.848415788
2006,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),1.015946008
2007,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),1.013416687
2008,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),1.036101967
2009,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),0.927498600999999
2010,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),0.906384404
2011,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),0.868938522
2012,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),0.703953165999999
2013,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),0.677848792
2014,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),0.686122291
2015,Percentage (%) of national budget,Education,Education - not elsewhere classified,Undefined,Units,Percentage (%),0.7554227
2000,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),37.78764248
2001,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),37.8815725
2002,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),37.34478821
2003,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),37.24608543
2004,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),36.79810839
2005,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),36.03282198
2006,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),34.92665304
2007,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),34.97760191
2008,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),33.57642409
2009,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),35.55438808
2010,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),35.63691144
2011,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),36.43419156
2012,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),37.38527264
2013,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),37.90717241
2014,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),37.8246582
2015,Percentage (%) of national budget,Social protection,,Undefined,Units,Percentage (%),38.38333304
2000,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),6.217091888
2001,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),6.407266062
2002,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),6.21543980799999
2003,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.92932063799999
2004,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.72499496299999
2005,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.597059299
2006,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.246158036
2007,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.18600154899999
2008,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.096220655
2009,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.267515407
2010,Percentage (%) of national budget,Social protection,Sickness and disability,Undefined,Units,Percentage (%),5.140723228
