Year,Country,Energy category,Energy sub-category,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016,,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),,0.000545369836062
2016,,Energy efficient products,,Undefined,Units,Percentage (%),,0.0194255541607
2016,,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),,0.00366176889927
2016,,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),,0.0119981363934
2016,,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),,0.00376564886805
2016,,Low carbon services,,Undefined,Units,Percentage (%),,0.00132446960186
2016,,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),,0.00132446960186
2016,,Low emission vehicles,,Undefined,Units,Percentage (%),,0.00654443803274
2016,,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),,0.00519399843868
2016,,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),,0.00137640958625
2014,England,,,Undefined,Units,Percentage (%),E92000001,0.355849324065
2014,England,Low carbon electricity,,Undefined,Units,Percentage (%),E92000001,0.259801977194
2014,England,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),E92000001,0.0780841900377
2014,England,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),E92000001,0.0195616881358
2014,England,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),E92000001,0.0917936279833
2014,England,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),E92000001,0.00048768751585
2014,England,Low carbon electricity,Other renewable electricity,Undefined,Units,Percentage (%),E92000001,0.000189656256164
2014,England,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),E92000001,0.0
2014,England,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),E92000001,0.0696851272648
2014,England,Low carbon heat,,Undefined,Units,Percentage (%),E92000001,0.0226232819853
2014,England,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),E92000001,0.0009753750317
2014,England,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),E92000001,0.0216479069536
2014,England,Energy from waste  biomass,,Undefined,Units,Percentage (%),E92000001,0.0446505014511
2014,England,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),E92000001,0.0442711889388
2014,England,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),E92000001,0.000379312512328
2014,England,Energy efficient products,,Undefined,Units,Percentage (%),E92000001,0.0212956881921
2014,England,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),E92000001,0.00119212503874
2014,England,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),E92000001,0.0171503443074
2014,England,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),E92000001,0.00295321884598
2014,England,Low carbon services,,Undefined,Units,Percentage (%),E92000001,0.000812812526416
2014,England,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),E92000001,0.000812812526416
2014,England,Low emission vehicles,,Undefined,Units,Percentage (%),E92000001,0.00666506271661
2014,England,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),E92000001,0.00658378146397
2014,England,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),E92000001,8.12812526416e-05
2015,England,,,Undefined,Units,Percentage (%),E92000001,0.189094617197
2015,England,Low carbon electricity,,Undefined,Units,Percentage (%),E92000001,0.139061182155
2015,England,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),E92000001,0.0326673327202
2015,England,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),E92000001,0.0228989001645
2015,England,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),E92000001,0.0665788831372
2015,England,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),E92000001,0.000529454339064
2015,England,Low carbon heat,,Undefined,Units,Percentage (%),E92000001,0.00230312637493
2015,England,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),E92000001,0.000105890867813
2015,England,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),E92000001,0.00219723550711
2015,England,Energy from waste  biomass,,Undefined,Units,Percentage (%),E92000001,0.0226871184289
2015,England,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),E92000001,0.0212046462795
2015,England,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),E92000001,0.00148247214938
2015,England,Energy efficient products,,Undefined,Units,Percentage (%),E92000001,0.0222635549576
2015,England,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),E92000001,0.00397090754298
2015,England,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),E92000001,0.0159101028889
2015,England,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),E92000001,0.00238254452579
2015,England,Low carbon services,,Undefined,Units,Percentage (%),E92000001,0.000211781735625
2015,England,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),E92000001,0.000211781735625
2015,England,Low emission vehicles,,Undefined,Units,Percentage (%),E92000001,0.00256785354446
2016,England,,,Undefined,Units,Percentage (%),E92000001,0.318911504135
2016,England,Low carbon electricity,,Undefined,Units,Percentage (%),E92000001,0.257076952723
2016,England,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),E92000001,0.135797089179
2016,England,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),E92000001,0.0353191893831
2016,England,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),E92000001,0.0712876285709
2016,England,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),E92000001,0.0
2016,England,Low carbon heat,,Undefined,Units,Percentage (%),E92000001,0.00584324824352
2016,England,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),E92000001,0.000727159781416
2016,England,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),E92000001,0.0051160884621
2016,England,Energy from waste  biomass,,Undefined,Units,Percentage (%),E92000001,0.0321248803433
2016,England,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),E92000001,0.0316314504916
2016,England,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),E92000001,0.000519399843868
2016,England,Energy efficient products,,Undefined,Units,Percentage (%),E92000001,0.0168285549413
2016,England,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),E92000001,0.00340206897734
2016,England,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),E92000001,0.010076356971
2016,England,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),E92000001,0.00332415900076
2016,England,Low carbon services,,Undefined,Units,Percentage (%),E92000001,0.00103879968774
2016,England,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),E92000001,0.00103879968774
2016,England,Low emission vehicles,,Undefined,Units,Percentage (%),E92000001,0.00599906819668
2016,England,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),E92000001,0.00467459859482
2016,England,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),E92000001,0.00132446960186
2014,Scotland,,,Undefined,Units,Percentage (%),S92000003,0.0648353458571
2014,Scotland,Low carbon electricity,,Undefined,Units,Percentage (%),S92000003,0.0548377517822
2014,Scotland,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),S92000003,0.000541875017611
2014,Scotland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),S92000003,0.0420224076157
2014,Scotland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),S92000003,0.000352218761447
2014,Scotland,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),S92000003,0.00506653141466
2014,Scotland,Low carbon electricity,Other renewable electricity,Undefined,Units,Percentage (%),S92000003,0.000243843757925
2014,Scotland,Low carbon heat,,Undefined,Units,Percentage (%),S92000003,0.000108375003522
2014,Scotland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),S92000003,8.12812526416e-05
2014,Scotland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),S92000003,5.41875017611e-05
2014,Scotland,Energy from waste  biomass,,Undefined,Units,Percentage (%),S92000003,0.00867000028178
2014,Scotland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),S92000003,0.00867000028178
2014,Scotland,Energy efficient products,,Undefined,Units,Percentage (%),S92000003,0.0011108437861
2014,Scotland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),S92000003,8.12812526416e-05
2014,Scotland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),S92000003,0.000948281280819
2014,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),S92000003,8.12812526416e-05
2014,Scotland,Low carbon services,,Undefined,Units,Percentage (%),S92000003,8.12812526416e-05
2014,Scotland,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),S92000003,8.12812526416e-05
2014,Scotland,Low emission vehicles,,Undefined,Units,Percentage (%),S92000003,2.70937508805e-05
2015,Scotland,,,Undefined,Units,Percentage (%),S92000003,0.0686437550596
2015,Scotland,Low carbon electricity,,Undefined,Units,Percentage (%),S92000003,0.0643287021962
2015,Scotland,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),S92000003,0.00495039807024
2015,Scotland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),S92000003,0.0429387468981
2015,Scotland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),S92000003,0.000317672603438
2015,Scotland,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),S92000003,0.00632697935181
2015,Scotland,Low carbon heat,,Undefined,Units,Percentage (%),S92000003,5.29454339064e-05
2015,Scotland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),S92000003,2.64727169532e-05
2015,Scotland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),S92000003,2.64727169532e-05
2015,Scotland,Energy from waste  biomass,,Undefined,Units,Percentage (%),S92000003,0.00291199886485
2015,Scotland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),S92000003,0.00291199886485
2015,Scotland,Energy efficient products,,Undefined,Units,Percentage (%),S92000003,0.0012442176968
2015,Scotland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),S92000003,2.64727169532e-05
2015,Scotland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),S92000003,0.00100596324422
2015,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),S92000003,0.000211781735625
2015,Scotland,Low carbon services,,Undefined,Units,Percentage (%),S92000003,7.94181508595e-05
2015,Scotland,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),S92000003,7.94181508595e-05
2015,Scotland,Low emission vehicles,,Undefined,Units,Percentage (%),S92000003,2.64727169532e-05
2015,Scotland,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),S92000003,2.64727169532e-05
2016,Scotland,,,Undefined,Units,Percentage (%),S92000003,0.0905054227941
2016,Scotland,Low carbon electricity,,Undefined,Units,Percentage (%),S92000003,0.087544843684
2016,Scotland,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),S92000003,0.00142834957064
2016,Scotland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),S92000003,0.071832998407
2016,Scotland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),S92000003,0.000103879968774
2016,Scotland,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),S92000003,0.00451877864166
2016,Scotland,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),S92000003,0.0
2016,Scotland,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),S92000003,0.00966083709595
2016,Scotland,Energy from waste  biomass,,Undefined,Units,Percentage (%),S92000003,0.00127252961748
2016,Scotland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),S92000003,0.00124655962528
2016,Scotland,Energy efficient products,,Undefined,Units,Percentage (%),S92000003,0.00163610950819
2016,Scotland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),S92000003,5.19399843868e-05
2016,Scotland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),S92000003,0.0011946196409
2016,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),S92000003,0.000363579890708
2016,Scotland,Low carbon services,,Undefined,Units,Percentage (%),S92000003,5.19399843868e-05
2016,Scotland,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),S92000003,5.19399843868e-05
2014,Wales,,,Undefined,Units,Percentage (%),W92000004,0.0150370317387
2014,Wales,Low carbon electricity,,Undefined,Units,Percentage (%),W92000004,0.0114335628716
2014,Wales,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),W92000004,5.41875017611e-05
2014,Wales,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),W92000004,0.0041724376356
2014,Wales,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),W92000004,0.00623156270253
2014,Wales,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),W92000004,0.000379312512328
2014,Wales,Low carbon electricity,Other renewable electricity,Undefined,Units,Percentage (%),W92000004,0.000568968768491
2014,Wales,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),W92000004,0.0
2014,Wales,Low carbon heat,,Undefined,Units,Percentage (%),W92000004,0.000839906277297
2014,Wales,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),W92000004,0.000812812526416
2014,Wales,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),W92000004,2.70937508805e-05
2014,Wales,Energy from waste  biomass,,Undefined,Units,Percentage (%),W92000004,0.00100246878258
2014,Wales,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),W92000004,0.0009753750317
2014,Wales,Energy efficient products,,Undefined,Units,Percentage (%),W92000004,0.00149015629843
2014,Wales,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),W92000004,5.41875017611e-05
2014,Wales,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),W92000004,0.00140887504579
2014,Wales,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),W92000004,2.70937508805e-05
2014,Wales,Low emission vehicles,,Undefined,Units,Percentage (%),W92000004,0.000270937508805
2015,Wales,,,Undefined,Units,Percentage (%),W92000004,0.0228194820136
2015,Wales,Low carbon electricity,,Undefined,Units,Percentage (%),W92000004,0.01755141134
2015,Wales,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),W92000004,2.64727169532e-05
2015,Wales,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),W92000004,0.000105890867813
2015,Wales,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),W92000004,0.0173925750382
2015,Wales,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),W92000004,0.0
2015,Wales,Low carbon heat,,Undefined,Units,Percentage (%),W92000004,2.64727169532e-05
2015,Wales,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),W92000004,2.64727169532e-05
2015,Wales,Energy from waste  biomass,,Undefined,Units,Percentage (%),W92000004,0.00423563471251
2015,Wales,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),W92000004,0.00420916199556
2015,Wales,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),W92000004,2.64727169532e-05
2015,Wales,Energy efficient products,,Undefined,Units,Percentage (%),W92000004,0.000688290640783
2015,Wales,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),W92000004,0.000105890867813
2015,Wales,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),W92000004,0.000555927056017
2015,Wales,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),W92000004,2.64727169532e-05
2015,Wales,Low emission vehicles,,Undefined,Units,Percentage (%),W92000004,0.000317672603438
2015,Wales,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),W92000004,0.000264727169532
2015,Wales,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),W92000004,7.94181508595e-05
2016,Wales,,,Undefined,Units,Percentage (%),W92000004,0.0150625954722
2016,Wales,Low carbon electricity,,Undefined,Units,Percentage (%),W92000004,0.0134524559562
2016,Wales,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),W92000004,0.00646652805616
2016,Wales,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),W92000004,0.00677816796248
2016,Wales,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),W92000004,0.000207759937547
2016,Wales,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),W92000004,0.0
2016,Wales,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),W92000004,0.0
2016,Wales,Energy from waste  biomass,,Undefined,Units,Percentage (%),W92000004,0.000779099765803
2016,Wales,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),W92000004,0.000753129773609
2016,Wales,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),W92000004,2.59699921934e-05
2016,Wales,Energy efficient products,,Undefined,Units,Percentage (%),W92000004,0.000753129773609
2016,Wales,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),W92000004,7.79099765803e-05
2016,Wales,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),W92000004,0.000623279812642
2016,Wales,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),W92000004,5.19399843868e-05
2016,Wales,Low carbon services,,Undefined,Units,Percentage (%),W92000004,7.79099765803e-05
2016,Wales,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),W92000004,7.79099765803e-05
2014,Northern Ireland,,,Undefined,Units,Percentage (%),N92000002,0.00810103151328
2014,Northern Ireland,Low carbon electricity,,Undefined,Units,Percentage (%),N92000002,0.00550003142875
2014,Northern Ireland,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),N92000002,0.0
2014,Northern Ireland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),N92000002,0.0048768751585
2014,Northern Ireland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),N92000002,0.00051478126673
2014,Northern Ireland,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),N92000002,5.41875017611e-05
2014,Northern Ireland,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),N92000002,0.0
2014,Northern Ireland,Low carbon heat,,Undefined,Units,Percentage (%),N92000002,0.000298031259686
2014,Northern Ireland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),N92000002,2.70937508805e-05
2014,Northern Ireland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),N92000002,0.000270937508805
2014,Northern Ireland,Energy from waste  biomass,,Undefined,Units,Percentage (%),N92000002,0.000677343772014
2014,Northern Ireland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),N92000002,0.000650250021133
2014,Northern Ireland,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),N92000002,2.70937508805e-05
2014,Northern Ireland,Energy efficient products,,Undefined,Units,Percentage (%),N92000002,0.00151725004931
2014,Northern Ireland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),N92000002,5.41875017611e-05
2014,Northern Ireland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),N92000002,0.00140887504579
2014,Northern Ireland,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),N92000002,5.41875017611e-05
2014,Northern Ireland,Low carbon services,,Undefined,Units,Percentage (%),N92000002,2.70937508805e-05
2014,Northern Ireland,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),N92000002,2.70937508805e-05
2014,Northern Ireland,Low emission vehicles,,Undefined,Units,Percentage (%),N92000002,8.12812526416e-05
2014,Northern Ireland,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),N92000002,8.12812526416e-05
2014,Northern Ireland,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),N92000002,0.0
2015,Northern Ireland,,,Undefined,Units,Percentage (%),N92000002,0.00571810686189
2015,Northern Ireland,Low carbon electricity,,Undefined,Units,Percentage (%),N92000002,0.0050298162211
2015,Northern Ireland,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),N92000002,0.0
2015,Northern Ireland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),N92000002,0.0041826892786
2015,Northern Ireland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),N92000002,0.000794181508595
2015,Northern Ireland,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),N92000002,0.0
2015,Northern Ireland,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),N92000002,0.0
2015,Northern Ireland,Low carbon heat,,Undefined,Units,Percentage (%),N92000002,5.29454339064e-05
2015,Northern Ireland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),N92000002,2.64727169532e-05
2015,Northern Ireland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),N92000002,2.64727169532e-05
2015,Northern Ireland,Energy from waste  biomass,,Undefined,Units,Percentage (%),N92000002,0.000264727169532
2015,Northern Ireland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),N92000002,0.000264727169532
2015,Northern Ireland,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),N92000002,0.0
2015,Northern Ireland,Energy efficient products,,Undefined,Units,Percentage (%),N92000002,0.000370618037345
2015,Northern Ireland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),N92000002,2.64727169532e-05
2015,Northern Ireland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),N92000002,0.000344145320391
2015,Northern Ireland,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),N92000002,0.0
2016,Northern Ireland,,,Undefined,Units,Percentage (%),N92000002,0.0234768729429
2016,Northern Ireland,Low carbon electricity,,Undefined,Units,Percentage (%),N92000002,0.0177634746603
2016,Northern Ireland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),N92000002,0.0176595946915
2016,Northern Ireland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),N92000002,7.79099765803e-05
2016,Northern Ireland,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),N92000002,0.0
2016,Northern Ireland,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),N92000002,0.0
2016,Northern Ireland,Low carbon heat,,Undefined,Units,Percentage (%),N92000002,0.000415519875095
2016,Northern Ireland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),N92000002,0.000415519875095
2016,Northern Ireland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),N92000002,2.59699921934e-05
2016,Northern Ireland,Energy from waste  biomass,,Undefined,Units,Percentage (%),N92000002,0.00488235853236
