Year,Country,Sex,Age,Exposure category,Ethnicity,Unit measure,Observation status,Unit multiplier,GeoCode,Value
2017,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,7.746467521255769
2018,,Female,25 to 34,,,"Rate per 100,000 population",Undefined,Units,,7.197552474516305
2000,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,11.148876408341131
2001,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,14.101035946056118
2002,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,18.01844001530162
2003,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,20.48252201755614
2004,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,21.763831919318186
2005,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,22.43570652833993
2006,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,21.284345252591446
2007,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,22.152274914746187
2008,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,21.761290269422133
2009,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,20.2860703960502
2010,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,19.66715519328521
2011,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,18.905102784959816
2012,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,19.15076118820202
2013,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,17.422359282509067
2014,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,17.576417976562936
2015,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,18.164282133810417
2016,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,16.28028107226926
2017,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,13.896953509077536
2018,,,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,12.483467368123083
2000,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,15.851962505475024
2001,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,20.144121743513768
2002,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,24.2585584272893
2003,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,26.88002146674852
2004,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,29.61848807828985
2005,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,30.127270678304367
2006,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,29.09965138887494
2007,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,30.954958227929147
2008,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,29.747901755586607
2009,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,28.64477226960097
2010,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,27.954885918543376
2011,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,27.50194799199692
2012,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,27.37590123748199
2013,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,26.139929918555907
2014,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,25.76319001830347
2015,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,26.457593709800257
2016,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,24.151943110969462
2017,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,20.07859738799966
2018,,Male,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,17.890828282574645
2000,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,6.530261374909012
2001,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,8.164340144343647
2002,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,11.8870268115914
2003,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,14.18980274035792
2004,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,14.05129839575482
2005,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,14.869762189591851
2006,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,13.602101826837432
2007,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,13.514552031317528
2008,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,13.921899745994576
2009,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,12.087286245309796
2010,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,11.543228733246956
2011,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,10.478861880641784
2012,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,11.095947476997504
2013,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,8.882220699699193
2014,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,9.55333025301616
2015,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,10.032652554170236
2016,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,8.55384300490395
2017,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,7.820129657749725
2018,,Female,35 to 49,,,"Rate per 100,000 population",Undefined,Units,,7.168077260182439
2000,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,2.7516845468835456
2001,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,3.4863646723851462
2002,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,3.777382418159117
2003,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,4.153136823282789
2004,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,4.93492457444296
2005,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,5.8561680299925465
2006,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,5.007783697620447
2007,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,5.534934113834781
2008,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,6.34243640651927
2009,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,6.516189798029231
2010,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,6.492724897359596
2011,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,6.577309426358962
2012,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,7.042356003309648
2013,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,6.691452240983676
2014,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,7.82216726011576
2015,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,7.097853352857839
2016,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,6.735933976075499
2017,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,6.352855929997471
2018,,,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,6.09121122073885
2000,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,4.259513444139069
2001,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,5.134834659307655
2002,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,5.845460064985928
2003,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,6.218655657972394
2004,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,7.3662513567774015
2005,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,8.495831082442674
2006,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,7.29245641078724
2007,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,8.604887871124944
2008,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,9.136766658446003
2009,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,9.760623412097845
2010,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,9.48475872233004
2011,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,9.975076358507051
2012,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,10.309253002416265
2013,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,9.967216222724764
2014,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,11.34239086256992
2015,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,10.714559734684515
2016,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,10.066080663524144
2017,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,9.468206741232605
2018,,Male,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,8.930473607956392
2000,,Female,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,1.2811710369157787
2001,,Female,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,1.8794360924605849
2002,,Female,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,1.7640892879566572
2003,,Female,50 to 64,,,"Rate per 100,000 population",Undefined,Units,,2.142808406049411
