Year,Region,Age,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2016,North West,4,Undefined,Units,Percentage (%),E12000002,99.0
2017,North West,4,Undefined,Units,Percentage (%),E12000002,98.0
2018,North West,4,Undefined,Units,Percentage (%),E12000002,99.0
2011,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,96.0
2012,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,96.0
2013,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97.0
2014,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97.0
2015,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97.0
2016,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97.0
2017,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97.0
2018,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97.0
2015,Yorkshire and the Humber,2,Undefined,Units,Percentage (%),E12000003,65.0
2016,Yorkshire and the Humber,2,Undefined,Units,Percentage (%),E12000003,71.0
2017,Yorkshire and the Humber,2,Undefined,Units,Percentage (%),E12000003,73.0
2018,Yorkshire and the Humber,2,Undefined,Units,Percentage (%),E12000003,73.0
2011,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,94.0
2012,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,96.0
2013,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,95.0
2014,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,96.0
2015,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,95.0
2016,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,96.0
2017,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,96.0
2018,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,95.0
2011,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98.0
2012,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98.0
2013,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98.0
2014,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,99.0
2015,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,99.0
2016,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98.0
2017,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98.0
2018,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,98.0
2011,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,96.0
2012,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97.0
2013,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97.0
2014,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,98.0
2015,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97.0
2016,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97.0
2017,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97.0
2018,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,97.0
2015,East Midlands,2,Undefined,Units,Percentage (%),E12000004,56.0
2016,East Midlands,2,Undefined,Units,Percentage (%),E12000004,65.0
2017,East Midlands,2,Undefined,Units,Percentage (%),E12000004,68.0
2018,East Midlands,2,Undefined,Units,Percentage (%),E12000004,67.0
2011,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95.0
2012,East Midlands,3,Undefined,Units,Percentage (%),E12000004,96.0
2013,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95.0
2014,East Midlands,3,Undefined,Units,Percentage (%),E12000004,96.0
2015,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95.0
2016,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95.0
2017,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95.0
2018,East Midlands,3,Undefined,Units,Percentage (%),E12000004,95.0
2011,East Midlands,4,Undefined,Units,Percentage (%),E12000004,97.0
2012,East Midlands,4,Undefined,Units,Percentage (%),E12000004,98.0
2013,East Midlands,4,Undefined,Units,Percentage (%),E12000004,99.0
2014,East Midlands,4,Undefined,Units,Percentage (%),E12000004,99.0
2015,East Midlands,4,Undefined,Units,Percentage (%),E12000004,99.0
2016,East Midlands,4,Undefined,Units,Percentage (%),E12000004,98.0
2017,East Midlands,4,Undefined,Units,Percentage (%),E12000004,98.0
2018,East Midlands,4,Undefined,Units,Percentage (%),E12000004,97.0
2011,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,96.0
2012,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,97.0
2013,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,97.0
2014,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,98.0
2015,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,97.0
2016,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,97.0
2017,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,97.0
2018,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,96.0
2015,West Midlands,2,Undefined,Units,Percentage (%),E12000005,56.0
2016,West Midlands,2,Undefined,Units,Percentage (%),E12000005,65.0
2017,West Midlands,2,Undefined,Units,Percentage (%),E12000005,67.0
2018,West Midlands,2,Undefined,Units,Percentage (%),E12000005,68.0
2011,West Midlands,3,Undefined,Units,Percentage (%),E12000005,91.0
2012,West Midlands,3,Undefined,Units,Percentage (%),E12000005,92.0
2013,West Midlands,3,Undefined,Units,Percentage (%),E12000005,92.0
2014,West Midlands,3,Undefined,Units,Percentage (%),E12000005,92.0
2015,West Midlands,3,Undefined,Units,Percentage (%),E12000005,94.0
2016,West Midlands,3,Undefined,Units,Percentage (%),E12000005,94.0
2017,West Midlands,3,Undefined,Units,Percentage (%),E12000005,95.0
2018,West Midlands,3,Undefined,Units,Percentage (%),E12000005,93.0
2011,West Midlands,4,Undefined,Units,Percentage (%),E12000005,97.0
2012,West Midlands,4,Undefined,Units,Percentage (%),E12000005,98.0
2013,West Midlands,4,Undefined,Units,Percentage (%),E12000005,98.0
2014,West Midlands,4,Undefined,Units,Percentage (%),E12000005,99.0
2015,West Midlands,4,Undefined,Units,Percentage (%),E12000005,99.0
2016,West Midlands,4,Undefined,Units,Percentage (%),E12000005,99.0
2017,West Midlands,4,Undefined,Units,Percentage (%),E12000005,98.0
2018,West Midlands,4,Undefined,Units,Percentage (%),E12000005,98.0
2011,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,94.0
2012,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,95.0
2013,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,95.0
2014,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,96.0
2015,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,96.0
2016,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,97.0
2017,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,96.0
2018,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,96.0
2015,East of England,2,Undefined,Units,Percentage (%),E12000006,62.0
2016,East of England,2,Undefined,Units,Percentage (%),E12000006,71.0
2017,East of England,2,Undefined,Units,Percentage (%),E12000006,73.0
2018,East of England,2,Undefined,Units,Percentage (%),E12000006,70.0
2011,East of England,3,Undefined,Units,Percentage (%),E12000006,95.0
2012,East of England,3,Undefined,Units,Percentage (%),E12000006,95.0
2013,East of England,3,Undefined,Units,Percentage (%),E12000006,95.0
2014,East of England,3,Undefined,Units,Percentage (%),E12000006,95.0
2015,East of England,3,Undefined,Units,Percentage (%),E12000006,94.0
2016,East of England,3,Undefined,Units,Percentage (%),E12000006,95.0
2017,East of England,3,Undefined,Units,Percentage (%),E12000006,93.0
2018,East of England,3,Undefined,Units,Percentage (%),E12000006,94.0
2011,East of England,4,Undefined,Units,Percentage (%),E12000006,97.0
2012,East of England,4,Undefined,Units,Percentage (%),E12000006,97.0
2013,East of England,4,Undefined,Units,Percentage (%),E12000006,98.0
2014,East of England,4,Undefined,Units,Percentage (%),E12000006,97.0
2015,East of England,4,Undefined,Units,Percentage (%),E12000006,97.0
2016,East of England,4,Undefined,Units,Percentage (%),E12000006,96.0
2017,East of England,4,Undefined,Units,Percentage (%),E12000006,96.0
2018,East of England,4,Undefined,Units,Percentage (%),E12000006,95.0
2011,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96.0
2012,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96.0
2013,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96.0
2014,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96.0
2015,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96.0
2016,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,96.0
2017,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,95.0
2018,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,95.0
2015,London,2,Undefined,Units,Percentage (%),E12000007,46.0
2016,London,2,Undefined,Units,Percentage (%),E12000007,57.0
2017,London,2,Undefined,Units,Percentage (%),E12000007,58.0
2018,London,2,Undefined,Units,Percentage (%),E12000007,61.0
2011,London,3,Undefined,Units,Percentage (%),E12000007,85.0
2012,London,3,Undefined,Units,Percentage (%),E12000007,86.0
2013,London,3,Undefined,Units,Percentage (%),E12000007,87.0
2014,London,3,Undefined,Units,Percentage (%),E12000007,86.0
2015,London,3,Undefined,Units,Percentage (%),E12000007,83.0
2016,London,3,Undefined,Units,Percentage (%),E12000007,82.0
2017,London,3,Undefined,Units,Percentage (%),E12000007,82.0
2018,London,3,Undefined,Units,Percentage (%),E12000007,83.0
2011,London,4,Undefined,Units,Percentage (%),E12000007,92.0
2012,London,4,Undefined,Units,Percentage (%),E12000007,93.0
2013,London,4,Undefined,Units,Percentage (%),E12000007,94.0
2014,London,4,Undefined,Units,Percentage (%),E12000007,94.0
2015,London,4,Undefined,Units,Percentage (%),E12000007,93.0
2016,London,4,Undefined,Units,Percentage (%),E12000007,89.0
2017,London,4,Undefined,Units,Percentage (%),E12000007,87.0
2018,London,4,Undefined,Units,Percentage (%),E12000007,87.0
2011,London,3 to 4,Undefined,Units,Percentage (%),E12000007,88.0
2012,London,3 to 4,Undefined,Units,Percentage (%),E12000007,89.0
2013,London,3 to 4,Undefined,Units,Percentage (%),E12000007,90.0
2014,London,3 to 4,Undefined,Units,Percentage (%),E12000007,90.0
2015,London,3 to 4,Undefined,Units,Percentage (%),E12000007,88.0
2016,London,3 to 4,Undefined,Units,Percentage (%),E12000007,86.0
2017,London,3 to 4,Undefined,Units,Percentage (%),E12000007,84.0
2018,London,3 to 4,Undefined,Units,Percentage (%),E12000007,85.0
2015,South East,2,Undefined,Units,Percentage (%),E12000008,60.0
2016,South East,2,Undefined,Units,Percentage (%),E12000008,68.0
2017,South East,2,Undefined,Units,Percentage (%),E12000008,71.0
2018,South East,2,Undefined,Units,Percentage (%),E12000008,70.0
2011,South East,3,Undefined,Units,Percentage (%),E12000008,93.0
2012,South East,3,Undefined,Units,Percentage (%),E12000008,94.0
2013,South East,3,Undefined,Units,Percentage (%),E12000008,94.0
2014,South East,3,Undefined,Units,Percentage (%),E12000008,94.0
2015,South East,3,Undefined,Units,Percentage (%),E12000008,93.0
2016,South East,3,Undefined,Units,Percentage (%),E12000008,95.0
2017,South East,3,Undefined,Units,Percentage (%),E12000008,94.0
2018,South East,3,Undefined,Units,Percentage (%),E12000008,94.0
2011,South East,4,Undefined,Units,Percentage (%),E12000008,96.0
2012,South East,4,Undefined,Units,Percentage (%),E12000008,96.0
2013,South East,4,Undefined,Units,Percentage (%),E12000008,97.0
2014,South East,4,Undefined,Units,Percentage (%),E12000008,96.0
2015,South East,4,Undefined,Units,Percentage (%),E12000008,96.0
2016,South East,4,Undefined,Units,Percentage (%),E12000008,96.0
2017,South East,4,Undefined,Units,Percentage (%),E12000008,96.0
2018,South East,4,Undefined,Units,Percentage (%),E12000008,95.0
2011,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,95.0
2012,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,95.0
2013,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,95.0
2014,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,95.0
2015,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,94.0
2016,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,96.0
2017,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,95.0
2018,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,96.0
2015,South West,2,Undefined,Units,Percentage (%),E12000009,64.0
2016,South West,2,Undefined,Units,Percentage (%),E12000009,75.0
2017,South West,2,Undefined,Units,Percentage (%),E12000009,80.0
2018,South West,2,Undefined,Units,Percentage (%),E12000009,83.0
2011,South West,3,Undefined,Units,Percentage (%),E12000009,95.0
2012,South West,3,Undefined,Units,Percentage (%),E12000009,97.0
2013,South West,3,Undefined,Units,Percentage (%),E12000009,96.0
2014,South West,3,Undefined,Units,Percentage (%),E12000009,96.0
2015,South West,3,Undefined,Units,Percentage (%),E12000009,96.0
2016,South West,3,Undefined,Units,Percentage (%),E12000009,95.0
2017,South West,3,Undefined,Units,Percentage (%),E12000009,96.0
2018,South West,3,Undefined,Units,Percentage (%),E12000009,96.0
2011,South West,4,Undefined,Units,Percentage (%),E12000009,98.0
2012,South West,4,Undefined,Units,Percentage (%),E12000009,98.0
2013,South West,4,Undefined,Units,Percentage (%),E12000009,99.0
2014,South West,4,Undefined,Units,Percentage (%),E12000009,99.0
2015,South West,4,Undefined,Units,Percentage (%),E12000009,98.0
2016,South West,4,Undefined,Units,Percentage (%),E12000009,98.0
2017,South West,4,Undefined,Units,Percentage (%),E12000009,97.0
2018,South West,4,Undefined,Units,Percentage (%),E12000009,98.0
2011,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97.0
2012,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,98.0
2013,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97.0
2014,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97.0
2015,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97.0
2016,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97.0
2017,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,96.0
2018,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,97.0
2019,,2,Undefined,Units,Percentage (%),,68.0
2019,North East,2,Undefined,Units,Percentage (%),E12000001,82.0
2019,North West,2,Undefined,Units,Percentage (%),E12000002,74.0
2019,Yorkshire and the Humber,2,Undefined,Units,Percentage (%),E12000003,71.0
2019,East Midlands,2,Undefined,Units,Percentage (%),E12000004,64.0
2019,West Midlands,2,Undefined,Units,Percentage (%),E12000005,66.0
2019,East of England,2,Undefined,Units,Percentage (%),E12000006,69.0
2019,London,2,Undefined,Units,Percentage (%),E12000007,56.0
2019,South East,2,Undefined,Units,Percentage (%),E12000008,68.0
2019,South West,2,Undefined,Units,Percentage (%),E12000009,75.0
2019,,3,Undefined,Units,Percentage (%),,92.0
2019,North East,3,Undefined,Units,Percentage (%),E12000001,98.0
2019,North West,3,Undefined,Units,Percentage (%),E12000002,95.0
2019,Yorkshire and the Humber,3,Undefined,Units,Percentage (%),E12000003,95.0
2019,East Midlands,3,Undefined,Units,Percentage (%),E12000004,94.0
2019,West Midlands,3,Undefined,Units,Percentage (%),E12000005,93.0
2019,East of England,3,Undefined,Units,Percentage (%),E12000006,93.0
2019,London,3,Undefined,Units,Percentage (%),E12000007,82.0
2019,South East,3,Undefined,Units,Percentage (%),E12000008,93.0
2019,South West,3,Undefined,Units,Percentage (%),E12000009,95.0
2019,,4,Undefined,Units,Percentage (%),,95.0
2019,North East,4,Undefined,Units,Percentage (%),E12000001,99.0
2019,North West,4,Undefined,Units,Percentage (%),E12000002,98.0
2019,Yorkshire and the Humber,4,Undefined,Units,Percentage (%),E12000003,97.0
2019,East Midlands,4,Undefined,Units,Percentage (%),E12000004,98.0
2019,West Midlands,4,Undefined,Units,Percentage (%),E12000005,98.0
2019,East of England,4,Undefined,Units,Percentage (%),E12000006,95.0
2019,London,4,Undefined,Units,Percentage (%),E12000007,86.0
2019,South East,4,Undefined,Units,Percentage (%),E12000008,95.0
2019,South West,4,Undefined,Units,Percentage (%),E12000009,98.0
2019,,3 to 4,Undefined,Units,Percentage (%),,94.0
2019,North East,3 to 4,Undefined,Units,Percentage (%),E12000001,99.0
2019,North West,3 to 4,Undefined,Units,Percentage (%),E12000002,97.0
2019,Yorkshire and the Humber,3 to 4,Undefined,Units,Percentage (%),E12000003,96.0
2019,East Midlands,3 to 4,Undefined,Units,Percentage (%),E12000004,96.0
2019,West Midlands,3 to 4,Undefined,Units,Percentage (%),E12000005,95.0
2019,East of England,3 to 4,Undefined,Units,Percentage (%),E12000006,94.0
2019,London,3 to 4,Undefined,Units,Percentage (%),E12000007,84.0
2019,South East,3 to 4,Undefined,Units,Percentage (%),E12000008,94.0
2019,South West,3 to 4,Undefined,Units,Percentage (%),E12000009,96.0
