Year,Age,Disability status,Region,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014,,,East Midlands,Undefined,Units,Percentage (%),E12000004,35.7
2015,,,East Midlands,Undefined,Units,Percentage (%),E12000004,38.2
2016,,,East Midlands,Undefined,Units,Percentage (%),E12000004,37.7
2017,,,East Midlands,Undefined,Units,Percentage (%),E12000004,37.6
2012,,,West Midlands,Undefined,Units,Percentage (%),E12000005,35.1
2013,,,West Midlands,Undefined,Units,Percentage (%),E12000005,33.9
2014,,,West Midlands,Undefined,Units,Percentage (%),E12000005,36.4
2015,,,West Midlands,Undefined,Units,Percentage (%),E12000005,37.6
2016,,,West Midlands,Undefined,Units,Percentage (%),E12000005,35.1
2017,,,West Midlands,Undefined,Units,Percentage (%),E12000005,37.2
2012,,,East of England,Undefined,Units,Percentage (%),E12000006,35.5
2013,,,East of England,Undefined,Units,Percentage (%),E12000006,35.0
2014,,,East of England,Undefined,Units,Percentage (%),E12000006,36.3
2015,,,East of England,Undefined,Units,Percentage (%),E12000006,37.0
2016,,,East of England,Undefined,Units,Percentage (%),E12000006,36.0
2017,,,East of England,Undefined,Units,Percentage (%),E12000006,34.1
2012,,,London,Undefined,Units,Percentage (%),E12000007,35.9
2013,,,London,Undefined,Units,Percentage (%),E12000007,33.9
2014,,,London,Undefined,Units,Percentage (%),E12000007,35.9
2015,,,London,Undefined,Units,Percentage (%),E12000007,38.1
2016,,,London,Undefined,Units,Percentage (%),E12000007,37.2
2017,,,London,Undefined,Units,Percentage (%),E12000007,38.8
2012,,,South East,Undefined,Units,Percentage (%),E12000008,34.6
2013,,,South East,Undefined,Units,Percentage (%),E12000008,36.2
2014,,,South East,Undefined,Units,Percentage (%),E12000008,35.8
2015,,,South East,Undefined,Units,Percentage (%),E12000008,34.1
2016,,,South East,Undefined,Units,Percentage (%),E12000008,34.7
2017,,,South East,Undefined,Units,Percentage (%),E12000008,36.6
2012,,,South West,Undefined,Units,Percentage (%),E12000009,35.7
2013,,,South West,Undefined,Units,Percentage (%),E12000009,36.5
2014,,,South West,Undefined,Units,Percentage (%),E12000009,37.6
2015,,,South West,Undefined,Units,Percentage (%),E12000009,39.7
2016,,,South West,Undefined,Units,Percentage (%),E12000009,39.1
2017,,,South West,Undefined,Units,Percentage (%),E12000009,38.0
2012,,,Wales,Undefined,Units,Percentage (%),W92000004,38.7
2013,,,Wales,Undefined,Units,Percentage (%),W92000004,36.7
2014,,,Wales,Undefined,Units,Percentage (%),W92000004,35.8
2015,,,Wales,Undefined,Units,Percentage (%),W92000004,38.3
2016,,,Wales,Undefined,Units,Percentage (%),W92000004,39.8
2017,,,Wales,Undefined,Units,Percentage (%),W92000004,41.6
2012,,,Scotland,Undefined,Units,Percentage (%),S92000003,38.6
2013,,,Scotland,Undefined,Units,Percentage (%),S92000003,38.3
2014,,,Scotland,Undefined,Units,Percentage (%),S92000003,39.3
2015,,,Scotland,Undefined,Units,Percentage (%),S92000003,38.7
2016,,,Scotland,Undefined,Units,Percentage (%),S92000003,40.7
2017,,,Scotland,Undefined,Units,Percentage (%),S92000003,41.2
2012,,,Northern Ireland,Undefined,Units,Percentage (%),N92000002,38.3
2013,,,Northern Ireland,Undefined,Units,Percentage (%),N92000002,41.2
2014,,,Northern Ireland,Undefined,Units,Percentage (%),N92000002,44.1
2015,,,Northern Ireland,Undefined,Units,Percentage (%),N92000002,35.4
2016,,,Northern Ireland,Undefined,Units,Percentage (%),N92000002,36.1
2017,,,Northern Ireland,Undefined,Units,Percentage (%),N92000002,38.2
